NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
EricaKlarreich,1790,120,"Mathematics and science journalist. My work has appeared in Quanta, Nature, New Scientist, Science News and other publications.",14029,896,"@DrBrandyMath @mathmoves I'm afraid not."
,,,,,,"@mrkgrnao @AstroKatie @QuantaMagazine Thank you!"
,,,,,,"""You can be pushing on something for six months and then have it collapse, and that hurts. I don’t think we talk ab… https://t.co/6D7Tbe11ux"
,,,,,,"“I think that’s a very powerful message — that nobody can take away from you the joy that you’ve had doing mathemat… https://t.co/q26EJuX6Hj"
,,,,,,"RT @FedericoArdila: Thank you for this lovely and thoughtful conversation, @EricaKlarreich and @QuantaMagazine! I’ve always struggled to fi…"
,,,,,,"RT @7homaslin: A thief smashed @SFSU mathematician Federico Ardila's car window 4 years ago, making off with a backpack that contained 5 ye…"
,,,,,,"My conversation with the inspiring @FedericoArdila -- https://t.co/O1Z67wXasO via @QuantaMagazine"
,,,,,,"@FedericoArdila @mathmoves So sorry that I have to postpone this talk, due to illness."
,,,,,,"@7homaslin @nattyover Congratulations, Natalie!"
,,,,,,"@pavelcurtis Yay!!! Just arrived in the mail yesterday. Thank you!"
,,,,,,"@nileshtrivedi @QuantaMagazine Thank you!"
,,,,,,"Sup Ct hearing arguments in WI gerrymander case; I wrote about the math they'll be considering here: https://t.co/0UkDOkzV18 @QuantaMagazine"
,,,,,,"RT @KSHartnett: Fields Medalist Vladimir Voevodsky died Saturday at age 51. My story for @QuantaMagazine on his last project. https://t.co/…"
,,,,,,"@bjflanagan Langlands is huge; not sure what resources are out there on a popular level. I did write about one slic… https://t.co/9a0FGJ5tzM"
,,,,,,"@bjflanagan Thanks! Coincidentally, I just published a follow-up moonshine story yesterday:
https://t.co/xMQxfg5PXC"
,,,,,,"RT @QuantaMagazine: A pariah symmetry group has found a home in the framework of moonshine theory.
https://t.co/EP9HbdGl6V https://t.co/JkR…"
,,,,,,"@KelseyAHE @QuantaMagazine They meant it in the ""balderdash"" sense of the word, because the connections seemed so outlandish."
,,,,,,"@KelseyAHE @QuantaMagazine I believe that was John Conway and Simon Norton in their 1979 paper, ""Monstrous Moonshine."""
,,,,,,"@EricRWeinstein @QuantaMagazine Thank you!"
,,,,,,"""Pariah"" symmetry group newly linked to the strange world of moonshine -- my latest math story for @QuantaMagazine https://t.co/xMQxfg5PXC"
,,,,,,"RT @philipcball: Can we rebuild quantum theory from scratch? My latest piece for @QuantaMagazine https://t.co/UPce9E49Vl"
,,,,,,"RT @7homaslin: The mathematician Svitlana Mayboroda solved a decades-old problem that has big implications for #LED technology. https://t.c…"
,,,,,,"RT @QuantaMagazine: @TuftsUniversity Can’t make #gerrymandr but want to know more about gerrymandering and workshop organizer Moon Duchin?…"
,,,,,,"RT @martinstaylor: Terrific optical illusion by Victoria Skye. @RichardWiseman @chriscfrench https://t.co/IeSFupAcfU"
,,,,,,"RT @oliviawalch: my face after Moon Duchin's talk at the Geometry of Redistricting Workshop this morning --&gt; 😍😍😍😍😍#gerrymandr https://t.co/…"
,,,,,,"RT @thecommongreen: The only human, alive or dead, not contained within the frame of this photo is Michael Collins.
The ultimate anti-selfi…"
,,,,,,"At Nash equilibrium, game players have no incentive to deviate--but how do they get to equilibrium in the 1st place? https://t.co/obGghUc1Et"
,,,,,,"No clear path to game theory equilibrium -- my latest story   https://t.co/obGghUc1Et via @QuantaMagazine"
,,,,,,"“Maryam’s work was driven by a certain pure joy” @sioroberts in @NewYorker  https://t.co/61HSmB6Vic"
,,,,,,"Thank you! https://t.co/EK8wDhQeEJ"
,,,,,,"#MaryamMirzakhani was wonderfully warm when I met her in 2014. So unassuming and matter-of-fact about her achieveme… https://t.co/8MxyhQ76Qh"
,,,,,,"Mathematics has lost one of its brightest lights, far too early  #MaryamMirzakhani  https://t.co/9zpzqSCwEU via @QuantaMagazine"
,,,,,,"RT @pomeranian99: How maps changed the way we see the world: My latest @SmithsonianMag column -- https://t.co/f9bRzwLBK9 https://t.co/GNxjJ…"
,,,,,,"RT @QuantaMagazine: June Huh thought he had no talent for math until a chance meeting with a legendary mind. https://t.co/aFJMC0eCbH https:…"
,,,,,,"RT @QuantaMagazine: #SCOTUS says it will consider whether gerrymandering violates the Constitution. Here's how to fight it with math: https…"
,,,,,,"@JenLucPiquant @WIRED @nattyover Yikes!"
,,,,,,"RT @JSEllenberg: Please share: Geometry of Redistricting conference in Madison, Oct 12-15.  Democracy, law, math.  Register now! https://t.…"
,,,,,,"I had the privilege of providing bridge narration for this lovely documentary, coming soon to PBS. Check your local… https://t.co/on9fFzZvgY"
,,,,,,"@theapplepieblog @QuantaMagazine Interesting perspective!"
,,,,,,"RT @7homaslin: And finally, from the center: @EricaKlarreich in @QuantaMagazine: https://t.co/l59TqramEW"
,,,,,,"RT @QuantaMagazine: Biased voting maps can be created unintentionally. Mathematics can help spot if that's the case: https://t.co/2YVF59eAY…"
,,,,,,"Are Democratic voters gerrymandering themselves by clustering in cities? https://t.co/xJs6hE8xEb via @QuantaMagazine"
,,,,,,"A summer workshop aims to get ""persuasive, well-armed mathematicians"" involved in gerrymandering court cases --… https://t.co/Fv7xPM5YZv"
,,,,,,"RT @QuantaMagazine: Powerful new mathematical tools are available to battle partisan bias in drawing voting districts: https://t.co/2YVF59e…"
,,,,,,"I wanted to learn more about gerrymandering, so I wrote this for @QuantaMagazine : https://t.co/xJs6hEq92L https://t.co/YRfAgJ64Gx"
,,,,,,"RT @countingfilm: ""Together and Alone: Closing the Prime Gap"" @EricaKlarreich wrote this Nov 2013 article for #QuantaMagazine https://t.co/…"
,,,,,,"RIP Raymond Smullyan, and thank you for all the wonderful puzzles. Sharing them now with my own kid, as my parents… https://t.co/9ytECzxNvl"
,,,,,,"@sommosexual @bgreene @snopes Ben Carson has said enough dumb things that we don't have to start making them up."
,,,,,,"@sommosexual @bgreene @snopes The meme portrays this as a direct Carson quote; there are better ways to joke than one that might fool many."
,,,,,,"@bgreene @sommosexual According to Snopes, this is fake news; I suggest you take it down https://t.co/styDaH5yph"
,,,,,,"@docile_atom Thank you!"
,,,,,,"Graph isomorphism is back down for the count -- my latest for @QuantaMagazine https://t.co/tohpBwRAa0 https://t.co/HNwUNL5O3G"
,,,,,,"RT @QuantaMagazine: Graph isomorphism has been vanquished — again. @EricaKlarreich explains on the Abstractions blog: https://t.co/VylttzgH…"
,,,,,,"@RodrigoAldecoa I'm looking into it! Waiting for word on whether Babai's fix has been carefully vetted by others."
,,,,,,"My latest article -- graph isomorphism problem strikes back! 
https://t.co/DH0vnfK1Oh https://t.co/M39t1dVLlE"
,,,,,,"RT @QuantaMagazine: What does a new retraction mean for one of computer science's big problems? @EricaKlarreich explains on the blog: https…"
,,,,,,"@PaulaDAiello I'm happy to follow you! I just don't post all that often, and mostly about professional stuff."
,,,,,,"@PaulaDAiello ... and save social and political stuff for Facebook."
,,,,,,"@PaulaDAiello Hi Paula! I just followed you! Note, though, that I mostly use Twitter for professional stuff..."
,,,,,,"@PaulaDAiello No, I haven't read that."
,,,,,,"@mikeandallie Thank, Mike, so great to hear how much your son enjoyed learning about sphere packing!"
,,,,,,"@PublicitDi Sure! Why don't you email me privately at klarreic@nasw.org"
,,,,,,"RT @QuantaMagazine: Quanta senior physics writer @nattyover received the Clark/Payne Award for Young Science Journalists this Saturday #sci…"
,,,,,,"RT @QuantaMagazine: Our article by @EricaKlarreich on envy-free cake cutting is now available from @sciam. Read the original here: https://…"
,,,,,,"@fflo @evelynjlamb Not that I'm aware of, but I haven't mastered the details"
,,,,,,"@ruebeck @stevenstrogatz They definitely care about fair division, but the new alg has too many steps to have immediate practical value"
,,,,,,"RT @QuantaMagazine: All is not fair in cake-cutting and math. @EricaKlarreich explains on the blog: https://t.co/Vdxt54mCSQ https://t.co/ZO…"
,,,,,,"@dtwps @sehurlburt They're certainly not outsiders to math, but they were outsiders to this particular mathematical field."
