NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
GAMEbyRonaldo,59218,662,"The first truly global crowdsourced football competition. Dare to be challenged!",86065,1506,"Harry Kane explains that picture in an Arsenal shirt after signing new Spurs deal | http://t.co/bJ2JDuF3cY"
,,,,,,"Video of new Arsenal signing Gabriel Paulista training at London Colney http://t.co/6AoMHhWriX #Arsenal"
,,,,,,"Roma give up on Vlad Chiriches, consider a move for Spurs’ Younes Kaboul instead http://t.co/5D9yvuOt6W #football"
,,,,,,"Neymar posts super cute videos playing football with his son http://t.co/CmgLAeZldO #neymar"
,,,,,,"Kane signs long-term Spurs deal http://t.co/GkyoZNgurf #football"
,,,,,,"Sealed with a kiss http://t.co/smObo1jy7F #AFCAsianCup"
,,,,,,"The remarkable tale of Equatorial Guinea's poet-coach http://t.co/DRVU4f8Fhe #football"
,,,,,,"The six most frustrating players in the Premier League | Soccerlens http://t.co/KE5bsvDgm6"
,,,,,,"Wenger Has Stumbled Across A System That Can Abate Arsenal’s Big Away Day Blues | http://t.co/kcCdQ6O0aK"
,,,,,,"Watch Manchester City 0-2 Arsenal Match Highlights [VIDEO] http://t.co/06Ib1zBUjE"
,,,,,,"5 Reasons Why Arsenal Could Get a Result at City http://t.co/tuj2BRCVWj"
,,,,,,"Chelsea - Strengths and Weaknesses After 2014 | http://t.co/6teS2RvhvB #football"
,,,,,,"Has the time come for Arsene Wenger leave Arsenal? | http://t.co/STofWrMcRe #arsenal"
,,,,,,"Santi Cazorla hailed as Arsenal stun Man City in 2-0 win at the Etihadhttp://buff.ly/1xlVx8S"
,,,,,,"FIFA Ballon d'Or 2014 in tweets http://t.co/ajXoVeO2Pg"
,,,,,,"South Americans take aim for New Zealand 2015 http://t.co/dBjKq9PrXD #fifa"
,,,,,,"Generation 2018 comes into play http://t.co/gpibDjBbuS #fifa"
,,,,,,"Low: My job is very draining http://t.co/ZRk1a0IyjX"
,,,,,,"Ballon d’Or 2014: 37m people join in across digital http://t.co/0iwjhrKXMH #fifa"
,,,,,,"Appiah gunning for Ghanaian glory http://t.co/s6L5BOQQgL #fifa"
,,,,,,"Road to Russia begins in Miami http://t.co/Cke7OOYYXh #fifa"
,,,,,,"Holders Japan launch Asian Cup defence http://t.co/bJDpfWLpJk"
,,,,,,"Brilliant Barcelona topple Atletico http://t.co/IAsn6ysJCc"
,,,,,,"Cillessen: Neuer is best in the world by far http://t.co/sTO6h8XKCQ"
,,,,,,"Possible Arsenal lineup vs Stoke City http://t.co/OsONSiiGeU #football"
,,,,,,"PHOTOS: Xherdan Shaqiri unveiled at Inter Milan http://t.co/PJ6uoNoTvn"
,,,,,,"Is a Lionel Messi transfer from Barca to Chelsea possible? http://t.co/ZR0o1q3eKe #football"
,,,,,,"James Milner Transfer: Liverpool must seize opportunity http://t.co/BF3CmdosQJ"
,,,,,,"Joel Campbell set to leave Arsenal and join Benfica http://t.co/VhmJ2IX9dz"
,,,,,,"Manchester City have agreed a fee for Wilfried Bony http://t.co/JmZ0bqcml4"
,,,,,,"Lionel Messi has now overtaken the career goal tally of Real Madrid legend Raul - http://t.co/aA4Hyuawzn #football"
,,,,,,"Lionel Messi masterclass inspires Barcelona win against Atletico Madrid - http://t.co/bgGi0PKgtN"
,,,,,,"Messi denies trying to get Enrique sacked: http://t.co/FrHLegRTx3 #football"
,,,,,,"Watch Francesco Totti Take a Selfie After Scoring Acrobatic Goal In Rome Derby [VIDEO] http://t.co/tO3vF8w4f8"
,,,,,,"Arsenal’s Ideal Starting XI Now That Players Returning From Injury | World Soccer Talk http://t.co/nSaVweuDL3"
,,,,,,"Gary Neville Previews Arsenal’s Chances Against Manchester City [VIDEO]  http://t.co/0sOE0eALbg #football"
,,,,,,"Brad Guzan: Blame Aston Villa Players Not Manager Paul Lambert | http://t.co/kHV8XWPfe9"
,,,,,,"The Power of The GAME.

Join Us: http://t.co/hXUKZehfKu #CR7 #Ronaldo #Cristiano http://t.co/IUyKkiTmoK"
,,,,,,"RT @ESPNFC: UEFA Team of the Year. Four players from @FCBayern and a certain Mr @Cristiano Ronaldo again. http://t.co/BS6gWpYItY"
,,,,,,"2015 Asian Cup: your photos and experiences | http://t.co/coDdR8cSB9 #Football"
,,,,,,"UEFA Team of the Year Revealed | http://t.co/0FQjtfbqDx"
,,,,,,"15 Bold Predictions for World Football in 2015 http://t.co/WhyycCqluv #Football #Predictions"
,,,,,,"Reasons Why The Copa del Rey Needs a Revamp | http://t.co/k8OMoTpjaB"
,,,,,,"RT @FIFAcom: Intriguing Ballon d’Or stats featuring @Ronaldo, Messi, @fabiocannavaro &amp; Stoichkov http://t.co/X5IH1BwXZh http://t.co/B24d8xC…"
,,,,,,"Del Piero: Ronaldo is the future http://t.co/TaLwuAxlSu #FutureIsBright"
,,,,,,"""Selfie sticks"" have been banned from White Hart Lane.  http://t.co/XXrqw0rZwg"
,,,,,,"The Power of The GAME.

Join Us: http://t.co/EZhxHgbp35 #CR7 #Ronaldo http://t.co/KfKuO2TUJq"
