NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
GeroldKiefer,200,0,"27 years experience in ICT & HR
more than 18 years leading positions
Sales optimization and -coaching
Cost reduction
App's
Interim- & project management,",3,8,"About Us - Penguin Formula -  https://t.co/MVGqL9tG6p Ihre Java Spezialisten für englischsprachige Projekte - Vor Ort Einsätze und Nearsh..."
,,,,,,"Ich bin für einen Stopp der Todesschiffe. Unterstütze mich im Kampf gegen den Lebendtiertransport: https://t.co/2OUaNlfr2U v/ @AnimalsAus"
,,,,,,"Nearshore software development from sunny Portugal (EU-based) for our customers in the D-A-CH area.
Please get in touch for further que ..."
,,,,,,"Ich bin für einen Stopp der Todesschiffe. Unterstütze mich im Kampf gegen den Lebendtiertransport: https://t.co/2OUaNlfr2U v/ @AnimalsAus"
,,,,,,"About Us - Penguin Formula -  https://t.co/MVGqL9tG6p Nearshore Software Entwicklung mit Schwerpunkt JAVA in höchster Qualität und zu att..."
,,,,,,"GDPR &amp; DSGVO - Die Zeit läuft
Die Datenschutzgrundverordnung tritt endgültig ab 25.05.2018 in Kraft. Sie ist diesem Datum verbindlich u ..."
,,,,,,"ecoDMS GmbH -  https://t.co/cRwQs6L1VG Wirklich gutes , einfaches und preiswertes Tool zur Archivierung für Einzelkämpfer und KMU"
,,,,,,"Nearshore Software Development in JAVA from sunny Lisbon. Please get in touch with us: We analyze your requests and make an individual offe…"
,,,,,,"About Us - Penguin Formula -  https://t.co/MVGqL9tG6p Nearshore Software-Entwicklung im JAVA Umfeld aus dem sonnigen Portugal. Sprechen S..."
,,,,,,"Join the team! https://t.co/IrbQlmaKYb"
,,,,,,"About Us - Penguin Formula -  https://t.co/MVGqL9tG6p Ab Ende November wird wieder ein hochklassiger Java-Entwickler für den bundesweiten..."
,,,,,,"Manchmal frage ich mich warum Menschen ein Profil in XING haben, wenn Sie partout nicht kommunizieren wollen."
,,,,,,"About Us - Penguin Formula -  https://t.co/MVGqL9tG6p Hochqualifizierte englischsprachige JAVA-Entwickler für Ihre Projekte - Individuell..."
,,,,,,"Senior programming jobs - Penguin Formula, Lisbon -  https://t.co/9cNK3bf11D Wir liefern hochqualifizierte englischsprachige JAVA Berater..."
,,,,,,"About Us - Penguin Formula -  https://t.co/MVGqL9tG6p Individuelle Softwareentwicklung mit Schwerpunkt JAVA aus dem sonnigen Portugal. Au..."
,,,,,,"About Us - Penguin Formula -  https://t.co/MVGqL9tG6p Wir vermitteln englischsprachige Top Java-Entwickler für Ihre Projekte. Außerdem bi..."
,,,,,,"Senior programming jobs - Penguin Formula, Lisbon -  https://t.co/9cNK3bf11D Aktuell gesucht. Senior Java Entwickler, der Deutsch, Englis..."
,,,,,,"Interessantes #Event online: Kaltakquise - 4 Tipps wie Sie fast überall einen qualifizierten Termin bekommen - https://t.co/BjEzOMUgSC Gu..."
,,,,,,"We deliver some of the best Java Developers for your international (anglophone) projects!  https://t.co/LXQLxqnRdR"
,,,,,,"""Java Profis für internationale Projekte"" https://t.co/PGsqI6eVs6 by @GeroldKiefer on @LinkedIn"
,,,,,,"Neues von Penguin Formula GmbH: Penguin Formula auf Wachstumskurs / Deutsche GmbH gegründet - https://t.co/MgwZZw4FTJ"
,,,,,,"Neues von Penguin Formula B.V.: Penguin Formula auf Wachstumskurs - https://t.co/ud0Lu0Tx7S"
,,,,,,"""Java Specialists for international projects"" https://t.co/BrpiUe3pfW by @GeroldKiefer on @LinkedIn"
,,,,,,"Heute mal eine Frage in die Community: Kennt sich jemand mit dem E-Bilanz Modul von Lexware buchhalter plus aus? Bräuchte da mal Hilfe.  ..."
,,,,,,"Ihre Vorteile - VIDANOVA GmbH-Regionaldirektion Rhein-Main -  https://t.co/UfpNM17baz Wir optimieren Ihren Vertrieb!"
