NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
HeyLisaMichelle,719,9863,"will cancel plans for TV | @cnntech 🎥
lisa.fischer@cnn.com",342522,429,"buying white shoes and then remembering I live in New York City https://t.co/tBlppSTF38"
,,,,,,"Is my dentist judging me"
,,,,,,"when you have a great relationship with someone online but are then forced to interact face-to-face https://t.co/YUJuMzGY0R"
,,,,,,"@ramyzab  https://t.co/YCYVrnb5Ij"
,,,,,,"there is only one correct answer, help prove me right tysm https://t.co/BhjOk7OrMW"
,,,,,,"@ramyzab your bias is evident in the photos you chose"
,,,,,,"apparently I've been brain hacking for years and didn't even know it!!!   https://t.co/gwwmSxvjTz https://t.co/SnbtVf92cR"
,,,,,,"oh ya, inject this right into my veins https://t.co/A2hdoLaak7"
,,,,,,"""Lauer’s conduct was not a secret among other employees at 'Today,' numerous sources say.... 'They protected the sh… https://t.co/vm13OMzDyc"
,,,,,,"@_abigailbrooks every time"
,,,,,,"RT @MikeIsaac: oh hell yeah https://t.co/MqW730NBS1"
,,,,,,"damn I knew these sneakers were cool but I didn't know they could TIME TRAVEL! (to a state thousands of miles from… https://t.co/niqQqTvXCU"
,,,,,,"@tonytyson7 @HillAndrewR  https://t.co/tqILm9TiBF"
,,,,,,"@tonytyson7 @HillAndrewR this is wildly upsetting"
,,,,,,"RT @superdeluxe: smash that like button if you bought something you didn’t even really want last night just to feel involved"
,,,,,,"@HillAndrewR is ""dad"" a codename for @tonytyson7"
,,,,,,"funny bc when I tell my dad to “turn on Hanukkah” he won’t even wake up from his latke-induced coma https://t.co/9K79UYrdNE"
,,,,,,"@emilynussbaum Diane Nguyen (possibly/hopefully?)"
,,,,,,"RT @kateconger: Q: Uber had a group dedicated to stealing trade secrets and confidential information from competitors, correct?

[extremely…"
,,,,,,"how do I get Facebook to stop notifying me when random people are interested in events near where I live??? I don't… https://t.co/klRs8pTOBo"
,,,,,,"RT @thegreatkhalid: Wow. I did it. https://t.co/Efiwl0vGrI"
,,,,,,"every argument I’ve had in the last 5 years https://t.co/g3mb0Ek0t1"
,,,,,,"update: I did not like this movie at all"
,,,,,,"@_CaseyWayne I actually have so many problems with everything happening so far"
,,,,,,"@_CaseyWayne I am rewatching this movie for the first time in maybe 15 years and I think I hate it"
,,,,,,"when the suspense is literally killing you https://t.co/HCgd4xrP90"
,,,,,,"RT @BarbraStreisand: Thx for the @iamcardib lesson @TiffanyHaddish. B 😘 https://t.co/0Q1myeUV2X"
,,,,,,"RT @RiversCuomo: This is completely normal, right?"
,,,,,,"🤦🏻‍♀️🤦🏻‍♀️🤦🏻‍♀️ https://t.co/LXaFCcHO2V"
,,,,,,"@CNNMoneyMike Mike.... I hurt my knee sleeping"
,,,,,,"when I get a new follower https://t.co/5mKlw6MCnD"
,,,,,,"@marisaforziati Update your phone man"
,,,,,,"sad because somebody, somewhere is probably walking around with a Comic Sans tattoo"
,,,,,,"The Remarkable Life of A Curious Girl ✨ https://t.co/pWZMp52OHy https://t.co/aZWx6pJuBc"
,,,,,,"RT @bjnovak: Dogs should judge the dog show"
,,,,,,"@tonytyson7 did you just call yourself booboo"
,,,,,,"@mrshopewell420 no"
,,,,,,".@sfiegerman : “There’s some sort of fried situation next to some cups of indeterminate — “ 

@kyurieff + me: “Lets go”"
,,,,,,"@jackiewattles i mean... can you blame him https://t.co/pkkPfym7FZ"
,,,,,,"these expensive, these is treaded bottoms, these is moon shoes  https://t.co/Gk5wE3YDF2"
,,,,,,"@Moss_Cohen @frankpallotta @kyurieff @sfiegerman its the day before vacation, leave me alone"
,,,,,,"@Moss_Cohen @frankpallotta @kyurieff @sfiegerman omfg why were we not informed of the whipped cream"
,,,,,,"@CNNMoneyMike does this mean there’s no pie"
,,,,,,"RT @finah: every single headline this year looks like someone pulled names and scenarios out of a hat https://t.co/Lnm31c1WXi"
,,,,,,"RT @MJB_SF: Sexual harassment is vile. As an assault survivor outside of work I know that. 

But let’s not forget how misogyny plays out in…"
,,,,,,"@superdeluxe @rulaoftheworld"
,,,,,,"RT @_abigailbrooks: @DylanByers I think we can find some suitable replacements"
,,,,,,"""Eventually, she’ll ask a friend to use a phone to record a set. And that night she will kill. Utterly destroy the… https://t.co/DDJ4e9HKFf"
,,,,,,"""I’ve often heard that things used to be different. And no one may be able to correct the past. But what may once h… https://t.co/TjlCJU7XLq"
,,,,,,"trying to make plans with more than one other person https://t.co/gBcv9T2lXm"
,,,,,,"RT @NBCNews: As of Nov 20 (61 days after Hurricane Maria landfall): 

• 51% of Puerto Rican customers are without electricity
• 9% are with…"
,,,,,,"RT @mattmittenthal: salaries for:
NYC Mayor--225K
NYS Governor--179K
NYS Attorney General--151K

Avg salary for the 2500 ppl in MTA managem…"
,,,,,,"RT @HuffPost: Sentences for black men 20 percent longer than for white men with similar crimes, study shows https://t.co/FykzkNUrIh https:/…"
,,,,,,"RT @mkraju: Trump very quick to weigh in on the Democrat Franken, but silent on the Republican Roy Moore, despite being accused of sexual m…"
,,,,,,"@ramyzab @HeySamantha gr8 sell"
,,,,,,"@ramyzab @HeySamantha then what is the point"
,,,,,,"@ramyzab @HeySamantha just had to google what kimchi is"
,,,,,,"@Moss_Cohen @CNNMoneyMike sir."
,,,,,,"@CNNMoneyMike  https://t.co/q0pdsfgChL"
,,,,,,"@CNNMoneyMike @Moss_Cohen this is offensive"
,,,,,,"@LaurieSegallCNN @morninglory515 @jack @Square + @LoganWhiteside and @jmoorheadcnn &lt;3"
,,,,,,"RT @TomKludt: The Franken accusations are leading left of center websites, liberal commentators are calling on him to step down. https://t.…"
,,,,,,"also feat. my first-ever write for CNN 🙈: https://t.co/PzZ7XZBXyQ"
,,,,,,"went to Iowa with @jack + @LaurieSegallCNN to answer the question: Can tech bring jobs back to a factory town? 

wo… https://t.co/4eXu26yQj8"
,,,,,,"@CNNMoneyMike i h8 u"
,,,,,,"@julpepitone @selenalarson they are my favorite so https://t.co/Y06r7RPJ1n"
,,,,,,"@julpepitone @selenalarson me"
,,,,,,"it feels like a few weeks might be too early to definitively say that someone's career has ""ended""… https://t.co/l6sAe4H2GL"
,,,,,,"re-downloaded Tinder &amp; found out you can now have a profile song... pretty excited for the return rate on this https://t.co/fLFFWEsW1L"
,,,,,,".@selenalarson spitting truth https://t.co/HvHKVuYMmZ"
,,,,,,"Two Alleged Victims of Brand New’s Jesse Lacey Detail Years of Sexual Exploitation of Minors https://t.co/RyphHIzGSm https://t.co/Az42RdvaPL"
