NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
HistoryInPics,4144277,194,"Sharing the most powerful and entertaining historical photographs ever taken.",116717,463646,"Louis Armstrong plays for his wife in front of the Sphinx by the pyramids in Giza, 1961. https://t.co/g7rLE30DJD"
,,,,,,"$5 Silver Certificate, 1899. The only US banknote with a Native American Indian Chief on it. https://t.co/NdCWh3vxAr"
,,,,,,"American soldier and his English girlfriend on lawn in Hyde Park, London, 1944. Photograph By Ralph Morse. https://t.co/2TLi0theWY"
,,,,,,"Sunday in Glasgow, Scotland, 1980. Photograph by Raymond Depardon. https://t.co/6wpeVvyCod"
,,,,,,"Kitty Tatch and a friend dance on the overhanging rock at Glacier Point, Yosemite, California, 1890s. Photograph by… https://t.co/47oqbUY2rI"
,,,,,,"Eric Clapton and Jimi Hendrix, 1967. https://t.co/wC4r9hU1z7"
,,,,,,"Hitler says goodbye to Mussolini at the station, Germany, 1944. https://t.co/h39lDuIcOP"
,,,,,,"Russian soldiers playing piano in a wrecked living room in Berlin, 1945. Photograph by Dmitri Baltermants. https://t.co/0lMeAyrvPu"
,,,,,,"Children making a kite out of paper money, which is rendered virtually worthless by a period of post-war hyperinfla… https://t.co/q290IU9XY8"
,,,,,,"Queen Elizabeth II perches in a howdah on the back of an elephant at Benares, during her tour of India, 1961. https://t.co/f2KAudobkJ"
,,,,,,"The Liberation Of Auschwitz, 1945. Photograph by Boris Ignatovich. https://t.co/RUeCE9QSjS"
,,,,,,"Disneyland, 1961. https://t.co/AyhuZeNfO1"
,,,,,,"People walking over Westminster Bridge in London, with Big Ben and the Houses of Parliament visible through snow an… https://t.co/PanEOklYYv"
,,,,,,"Western Union messengers leaving the White House on Dec. 7, 1941, day of Pearl Harbor attack. Photograph by Thomas… https://t.co/LQ9c4GGaKv"
,,,,,,"Smoke billows up from U.S. warships (USS West Virginia and USS Tennessee) along battleship row during the attack on… https://t.co/OkVrAZtZBJ"
,,,,,,"The very first Rockefeller Center Christmas tree, NYC 1931. St. Patrick's Cathedral is visible in the background on… https://t.co/oEVhX8ZjUa"
,,,,,,"An English cavalryman and his horse ride through a gas attack wearing protective masks and body cover, 1934. https://t.co/HwIiGnSPaL"
,,,,,,"An American soldier at an advanced allied base, with a kangaroo. 1942. Photograph by John Earl McNeil. https://t.co/F4kNXjKmb8"
,,,,,,"Patrick Swayze and Jennifer Grey in Dirty Dancing, 1987. https://t.co/YbC2k5E6Tp"
,,,,,,"Turkish men having lunch in restaurant of Nevsehir named Lokanda, 1970. Photograph by Bill Ray. https://t.co/TmLWxVVcOD"
,,,,,,"John Glenn relaxing in his Chuck Taylors aboard the USS Noa after his legendary orbital flight, 1962. https://t.co/kEq04796RW"
,,,,,,"James Dean attending a dance class. NYC, 1955. Photograph by Dennis Stock. https://t.co/yALDw5ibPj"
,,,,,,"The Green Line demarcation zone, Beirut, Lebanon 1982. It separated the Muslim west from the Christian east. As war… https://t.co/HT85OD7j9p"
,,,,,,"Christian Bale in his teens, 1980s. https://t.co/lEIWhhQ7AF"
,,,,,,"Coca Cola delivery truck, 1909. https://t.co/oy5bHfX5AI"
