NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
HumbleShaad_,18,60,"Stay focused. Remain Quiet. Be Humble 🤑🤐💰 2️⃣1️⃣",278838,27,"Heartless 💔💔💪🏽"
,,,,,,"@DrippinFlava_ Shitty 💩"
,,,,,,"Word he better than Curry https://t.co/pOD68zyHo5"
,,,,,,"RT @BleacherReport: 🗣 STAY IN YO LANE https://t.co/iA2li2dM1B"
,,,,,,"RT @NBAonTNT: ""Your move, chief."" 😉 https://t.co/onQSCffrn8"
,,,,,,"RT @NBAonTNT: ""Yes. Oh no... phew... yes. Um. Yes. YES, KYRIEEEE!"" https://t.co/ScU55yBftw"
,,,,,,"Facts y’all hoes ain’t shit word 😎👀 https://t.co/DiBZEKeWlK"
,,,,,,"Mfs really did miss me"
,,,,,,"I’ve been minding my own business gee 💪🏽💪🏽👌🏽"
,,,,,,"Mfs don’t even be a Twitter kio 😂👀"
,,,,,,"Excuses is all I hear"
,,,,,,"Grown as hell &amp; can’t spell 🤦🏽‍♂️"
,,,,,,"Mfs talk too much, when they don’t be on shit fareal 😂😂💀"
,,,,,,"Mfs really bold on Twitter, ha Twitter Fingers 😎😂👀"
,,,,,,"Mfs be saying anything nowadays 🤣"
,,,,,,"Before you come at me rec, make sure you have proof of what the fuck you talking about 😭💯💯"
,,,,,,"Kyrie vs. Brodie 👀🔥"
,,,,,,"I want to meet someone who makes me feel the way music does 🗣💯"
,,,,,,"These kids need some fucking soap for Halloween"
,,,,,,"I just hope you pick up when it’s 2️⃣ or 3️⃣"
,,,,,,"When my mind fucked up I just don’t care at all"
,,,,,,"Now the word around town round town that boy going crazy 🙃🎶🔥"
,,,,,,"😍😍😍🤤 https://t.co/ljUe2GCEyW"
,,,,,,"RT @let_thatmango: i stggggg bra 🙄 https://t.co/ZdFe6TPhfF"
,,,,,,"This mf dressed like Jason Vorhees and shit 😭😭🤦🏽‍♂️🔥"
,,,,,,"Jeepers Creepers 3 🔥🔥🔥"
,,,,,,"RT @BleacherReport: OH MY. https://t.co/Dh7poEBOr2"
,,,,,,"RT @NBAonTNT: KYRIE, CHILL 😱 https://t.co/tkWjRw7f4o"
,,,,,,"Eat brother it’s your time ✊🏽👀🍽 https://t.co/QzoFxQg8gh"
,,,,,,"I feel you Brodie 💪🏽 https://t.co/dMXao3BAHh"
,,,,,,"RT @BleacherReport: ""Stay behind the computer"" 

Jaylen Brown takes a fan 1-on-1 *NSFW* (via @trevsteedy) https://t.co/ZZAK0IwCB6"
,,,,,,"😭😭😭😭😭🐢🐢 https://t.co/g28TPziHw6"
,,,,,,"RT @BleacherReport: Dropped him 😳

(via @ricozulkarnain9) https://t.co/uaKjCxNukH"
,,,,,,"We miss you in Cindy Todd 💔 respect ✊🏽 https://t.co/gvzMVtnw3Y"
,,,,,,"Word 😭😭💪🏽👀 https://t.co/iocGUe6y8c"
,,,,,,"My age changed not me 👀"
,,,,,,"My last goal is to get my apartment by Thanksgiving 💪🏽💪🏽🙏🏽💯"
,,,,,,"Everything I said I was gone do this year I’ve done it ✅"
,,,,,,"Pushing people away isn’t being antisocial, just me finding myself and growing as a person 💯"
,,,,,,"RT @NBAonTNT: In the Fall of 2017, an elite @NBA trio was sent on a top secret assignment in the West. The objective: Defeat the Warriors.…"
,,,,,,"It feel good to have a sideways ID, y’all fuckers can’t question my age now pussies 🖕🏽"
,,,,,,"Second chances don’t exist nowadays you either fwm or y’all done for good"
,,,,,,"RT @lweisbordxo: im 19 years old and have lived through 4 of these.... https://t.co/A3NqO8Ja2s"
,,,,,,"Only been 2️⃣1️⃣ for a week and I peep more &amp; more positive opportunities then when I was 2️⃣0️⃣"
,,,,,,"My only goal right now is to travel the world and secure the bag I’m cool on dating prolly for a while 🤙🏽🆒"
,,,,,,"😭😭😭😭😭😭💀 https://t.co/hNWPun9UU9"
,,,,,,"RT @BleacherReport: Breaking: NBA All-Star game will not be East vs. West for 2018, captains will pick teams https://t.co/KhhoftsN8C"
,,,,,,"🤤🤤🤤😭❤️👀 https://t.co/RwSS1MGW8C"
,,,,,,"Word 💯💯✊🏽 https://t.co/qwLjNldiHa"
,,,,,,"People change on you and lie to your face, but it’s a part of life so why trip"
,,,,,,"Word 👀 https://t.co/C8k5R43hVH"
,,,,,,"Wolves and Thunder will be in WCF https://t.co/qIuxX0hfjV"
,,,,,,"Headed back home where I should’ve been all along ✈️🔜TN"
,,,,,,"Ain’t nothing here but evil vibes and negative people, I’m cool on that fr"
,,,,,,"Moving out the state is the best decision I ever made in life 🙏🏽✊🏽"
,,,,,,"Don’t get too high cause everything that may seem perfect can also be destructive"
,,,,,,"People miss you when they fucked up or see you doing good without em 💯"
,,,,,,"More responsibilities = More facial hair"
,,,,,,"Being 21 now shit a lot more clearer 💯"
,,,,,,"RT @BleacherReport: FILTHY 🔥

(via @JoshFox46) https://t.co/dnA9vUocAS"
,,,,,,"Word and that’s all I swear, no games 🤞🏽 https://t.co/Xhh4aEktNG"
,,,,,,"Word 😋🤤🤤❤️💯 https://t.co/6aaPkUXQeZ"
,,,,,,"They salty 😂😂😂😂😂 https://t.co/cuDaH5MFod"
,,,,,,"RT @NessRhyme: Usher &amp; Chris Tucker surprising MJ on stage is the most iconic thing ever https://t.co/xOt001qtJ2"
