NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
IFC_FIVES,32333,2935,"Eyes on da Prize 👀 .....PRIZE HUNTERS✨",75845,477,"@LucozadeSport FITWATER NATIONAL CHAMPIONS 
: @SloughScorpionz 🏆  🙌🏾

(Nationals are like London buses, you wait ag… https://t.co/tBsIrDIXJF"
,,,,,,"RT @SloughScorpionz: Champions https://t.co/RrXKr3ECTx"
,,,,,,"@wwfcofficial @billtu @EbereEze10 WEREN'T TO BAD AT THE FIVE'O GAME BACK IN DA DAY (no 10)👌🏾

...What a squad 😍 😍 😍… https://t.co/g9vTEEXMMy"
,,,,,,"THESE GUYS 👌🏾👌🏾👌🏾 https://t.co/KqW0zpfTOO"
,,,,,,"RT @_TCFCOfficial: Lucozade Sport Fitwater Winners... @VanDaPinDaSar @musaa786 @mussabham @Asif_153 @Uhusain56 https://t.co/5gF2jKD2lf"
,,,,,,"RT @ugomonye: Looking for a 5aSide football team - SW London 🙏🏾⚽️"
,,,,,,"@UfitDrinks INDEED!  #TeamUFIT ...LUV IT 👌🏾👌🏾"
,,,,,,"RT @UfitDrinks: Congrats guys! #TeamUFIT https://t.co/U5djaUQb0A"
,,,,,,"I'M A CELEB ON POINT AS USUAL👌🏾👌🏾👌🏾 
#ImACeleb"
,,,,,,"FITWATER HEAT WINNERS ⚽️
THANKS TO @UfitDrinks FOR DAT EXTRA BOOST 🔋 HELPING THE TEAM OVER THE LINE 🏆 https://t.co/DlCfWBs7wh"
,,,,,,"@antuanwilliams ITS GETTING SILLY NOW 😂 😂 😂

GAFFA :1️⃣0️⃣ - 3️⃣: @antuanwilliams 🏓

#SameAgainNextWeek 👍🏾"
,,,,,,"RT @GBMiniFootball: 4 days left to enter the trials.. https://t.co/95CyQ9Cp6x"
,,,,,,"RT @lee_currie: https://t.co/FXppWQPWwp
Lovely write up from goals nice touch"
,,,,,,"RT @Joey7Barton: Just had a game of 5 a side. First time I’ve kicked a ball since Burnley v Manchester United in April. Sometimes you forge…"
,,,,,,"RT @lee_currie: Please retweet https://t.co/A6eYAQo9MN"
,,,,,,"GAFFA :6️⃣ - 1️⃣: @antuanwilliams  👀!!!

REVENGE IS A DISH BEST SERVED COLD 🏓 

#DontHate"
,,,,,,"GOTTA LOVE A BIT OF GREENWICH 💖 💖 💖 https://t.co/3H8aE3Vy5P"
,,,,,,"RT @lee_currie: If you think you got what it takes then see tweet and get registering.
Please retweet https://t.co/bALaMemaM3"
,,,,,,"RT @Soccerex: Relive the Soccerex Football Festival tonight on Sky Sports 

⚽ ➡️ 📺 https://t.co/3gydIVJX1x 
#freestyle #football #streetsoc…"
,,,,,,"RT @lee_currie: England trials will take place this December date and venue to be confirmed. If you’re interested in coming please DM me. P…"
,,,,,,"RT @goals_bradford: Congratulations to Spartans who won the 2017 #Lucozade Cup beating Fax Lads 3-2 in a nail biting final! @LucozadeSport…"
,,,,,,"RT @Spain4football: Please forward to any men's veterans or age 18-35 men &amp; women social footballers - 7 A side Lloret 🇪🇸 in May-DM me http…"
,,,,,,"EUREKA!!!!! 🤗 🤗 🤗"
,,,,,,"RT @lee_currie: So.... I’m proud to be the new GB mini football manager for England can’t wait to get started thanks to @TainyTempah and hi…"
,,,,,,"RT @TeamNRG5: @goalsnorwich @LucozadeSport @LucozadeEnergy tourney winners #fivos #backballin #nextstop @FAFutsalCup https://t.co/2ydmHOyIOA"
,,,,,,"RT @Leatherheadfc: RICHARD BRADY: Club has confirmed Player, Paul Semakula has left the club due to family commitments. Thanks to Paul for…"
,,,,,,"RT @goalsliverpoolN: The Lucozade Cup 2017 Final @LivoLads win another tournament well done lads another trophy to the collection  #Goals #…"
,,,,,,"100% GUARANTEE THERE WERE IDENTICAL SCENES IN THE @Rossc100C HOUSEHOLD EARLIER THIS WEEK 🤔  
https://t.co/nADPjzQX7o"
,,,,,,"RT @TeamNRG5: Buzzing for the return of #futsal 5's @SportsparkUEA tomorrow night. Can we make it 3 titles in a row? #teamNRG #futsal #uea"
