NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
IvankaTrump,5005944,1176,"Wife, mother, sister, daughter. Entrepreneur & advocate for the education & empowerment of women & girls. This is my personal page. Views expressed are my own.",391730,1411105,"RT @FoxNews: Jared Kushner: ""@POTUS has a very long career of accomplishing things that a lot of people say were impossible. I think the mo…"
,,,,,,"Americans are SO close to historic tax cuts &amp; middle income tax relief. Thank you @SenateMajLdr @senorrinhatch and… https://t.co/N8SAEhs6ux"
,,,,,,"RT @WhiteHouse: ""The Administration looks forward to working with Congress to fulfill the promise we made to deliver historic tax cuts for…"
,,,,,,"RT @amitabhk87: Thanks Entrepreneurs #GES2017 best ever! Terrific energy, 53 sessions, over 250 speakers, 53% women entrepreneurs. Super in…"
,,,,,,"Tour of Golkonda Fort with members of the US delegation prior to departing Hyderabad. The perfect end to a remarkab… https://t.co/GyjonBdxMR"
,,,,,,"RT @GISTNetwork: A shout out @IvankaTrump for attending #GES2017 and highlighting why #women #entrepreneurs in #STEM matter! #GISTCatalyst…"
,,,,,,"At #GES2017 today discussing the importance of workforce development and skills training. Together, we can ensure o… https://t.co/OgNSdrtZWS"
,,,,,,"RT @realDonaldTrump: Great work Ivanka! https://t.co/AQL4JLvnDh"
,,,,,,"RT @airnewsalerts: Advisor to @POTUS, @IvankaTrump lays emphasis on #technology as it reduces the barriers in starting businesses for women…"
,,,,,,"RT @GES2017: .@IvankaTrump will speak at this morning's opening plenary session - We Can Do It! at 9:15 am. Watch it LIVE here: https://t.c…"
,,,,,,"Today, the Senate Budget Committee voted to advance the Tax Cuts &amp; Job’s Act- taking Americans one big step closer to much needed #TaxReform"
,,,,,,"RT @nikkihaley: Thrilled to see @IvankaTrump in India promoting female entrepreneurs. At home that means improving workforce development &amp;…"
,,,,,,"RT @Scavino45: .@IvankaTrump at @GES2017 in India with Prime Minister @narendramodi. #GES2017 https://t.co/0bTDFfkQLy"
,,,,,,"RT @StateDept: .@IvankaTrump to #GES2017 delegates: ""You are saving lives, creating jobs, and bringing hope to our communities."" https://t.…"
,,,,,,"RT @StateDept: .@IvankaTrump comments on U.S. efforts to fuel entrepreneurship so that Americans can turn their dreams into incredible lega…"
,,,,,,"RT @GenderAtState: .@IvankaTrump reiterates the U.S. commitment to empowering #womenentrepreneurs with access to capital, mentorship &amp; netw…"
,,,,,,"It was an honor to meet with you Prime Minister Modi. Thank you for co-hosting the 8th annual Global Entrepreneursh… https://t.co/KUCq6C92xR"
,,,,,,"RT @statedeptspox: #GES2017 highlights the important role of women #entrepreneurs &amp; demonstrates the importance of #innovation &amp; partnershi…"
,,,,,,"RT @StateDept: Just announced -- #India's Prime Minister @narendramodi will inaugurate the 8th Global Entrepreneurship Summit and Advisor t…"
,,,,,,"RT @GES2017: PM @NarendraModi, @TelanganaCMO K. Chandrasekhar Rao, and Senior Advisor @IvankaTrump will deliver remarks during the official…"
,,,,,,"Thank you for the warm welcome. I’m excited to be in Hyderabad, India for #GES2017. https://t.co/1U08h5L9Rm"
,,,,,,".@RandPaul underscores the importance of providing relief for ALL Americans through #TaxReform: “I plan to vote for… https://t.co/MMoMSlN4od"
,,,,,,"RT @GES2017: #GES2017 by the numbers: Women will represent 52.5 percent of #entrepreneurs, #investors and #ecosystem supporters at GES 2017…"
,,,,,,"An inspiring story of generosity &amp; compassion.Thank you Kate, Johnny &amp; Mark for this beautiful act of love &amp; empathy https://t.co/WquBUBQSpQ"
,,,,,,"RT @USAndIndia: The final countdown: 2 days until @GES2017! @PMOIndia @narendramodi and @IvankaTrump will inaugurate #GES2017 featuring 1,5…"
,,,,,,"A new study shows how state occupational licensing rules block upward mobility https://t.co/QQLniMZjyi via @WSJ"
,,,,,,"Malia Obama should be allowed the same privacy as her school aged peers. She is a young adult and private citizen, and should be OFF limits."
,,,,,,"Thankful for this crew, each and every day! ♥️ https://t.co/0XYS2DLUTx"
,,,,,,"RT @USAID: When women #entrepreneurs succeed, economies benefit at home &amp; abroad! Our support continues when USAID joins @IvankaTrump at #G…"
,,,,,,"US jobless claims fall as record run persists. #MAGA @realDonaldTrump https://t.co/ouzNJaiPjX"
,,,,,,"RT @GES2017: .@IvankaTrump w/ @State_SCA &amp; @USAID representatives held special briefing on #GES2017 &amp; joint support for an open &amp; collabora…"
,,,,,,"RT @USAndIndia: U.S. and India are proud to co-host #GES2017 Nov. 28-30! Summit will bring #entrepreneurs together with global leaders. htt…"
,,,,,,"RT @CNNPolitics: Ivanka Trump is set for a trip to India https://t.co/WK1yxrGbxm https://t.co/yC8cQuBDHB"
,,,,,,"Getting ready for Thanksgiving! 
🍁🍽🦃🥧 https://t.co/Mpxdxu9MZy"
,,,,,,"The perfect way to end the day! 🐻 https://t.co/jAt14lBE0J"
,,,,,,"RT @GES2017: .@IvankaTrump: Business &amp; gov'ts must promote women in STEM...Over the coming decades, technologies such as automation &amp; robot…"
,,,,,,"Today, #WomensEntrepreneurshipDay, we celebrate women entrepreneurs &amp; reaffirm our mission of ensuring they are equ… https://t.co/qucrT0FcVe"
,,,,,,"Heart wrenching story of one young girl’s exploitation by traffickers. We must come together to #EndModernSlavery https://t.co/uhNX8rbhgg"
,,,,,,"A new study suggests that the robot revolution could create 21 million new jobs. The author states “Work will chang… https://t.co/mz9oaAhTeu"
,,,,,,"Thank YOU! https://t.co/ujOuEab2SP"
,,,,,,"Congratulations to the House on passing the Tax Cuts and Jobs Act bill. This brings us one step closer to making hi… https://t.co/IT0LLDlDLh"
,,,,,,"RT @LaOpinionLA: Reforma Contributiva Favorece a los Latinos | La Opinión https://t.co/o09aR1iDak https://t.co/TMF14wIPYO"
,,,,,,"RT @SenDeanHeller: Thank you @IvankaTrump for your leadership on enhancing the child tax credit. The Senate #taxrelief bill now includes my…"
,,,,,,"RT @GOP: .@IvankaTrump's push to expand the child tax credit is a win for American families.
https://t.co/MBP18Omd6M"
,,,,,,"RT @narendramodi: We look forward to welcoming you @IvankaTrump. Closer economic cooperation between India and USA helps our people, partic…"
,,,,,,"This week, Global Entrepreneurship Week, spotlights the incredible contributions of innovators across the globe. I… https://t.co/Xqx10X7PgP"
,,,,,,"“Automation will transform our work, our lives, our society. Whether the outcome is inclusive or exclusive is up to… https://t.co/iSfsJo3pRg"
,,,,,,"It was great to join Secretaries Acosta, DeVos and Ross for the inaugural meeting of the Task Force on… https://t.co/TFUP9keH0G"
,,,,,,"RT @FoxBusiness: .@IvankaTrump on tax reform plan: ""For small businesses it's the lowest tax rate since 1931."" https://t.co/iIkK6ZItIN"
,,,,,,"RT @stevenmnuchin1: Sat down w/ @IvankaTrump @RepTomMacArthur to discuss the importance of #TaxReform for middle class Americans and the U.…"
,,,,,,"RT @GOP: .@IvankaTrump: This deregulation philosophy coupled with tax reform is going to have an enormous impact on GDP growth. https://t.c…"
,,,,,,"Great morning talking #TaxReform with @RepTomMacArthur &amp; Treasury Secretary Mnuchin in Bayville, NJ. We are seeking… https://t.co/KkcGxw2Gep"
,,,,,,"RT @RepTomMacArthur: Thank you to the Secretary and @IvankaTrump for joining me today. https://t.co/WyNoNqpoG6"
,,,,,,"RT @foxandfriends: .@IvankaTrump: We're optimistic tax reform will get passed. https://t.co/ONSaWaNwDA"
,,,,,,"RT @FoxNews: .@IvankaTrump: ""Tax reform is a critical component of our plan to invigorate the economy."" https://t.co/2mXlBrv9Px"
,,,,,,"Tune in to Fox &amp; Friends at 7:30 am as I discuss the importance of #TaxReform for American families, workers &amp; businesses. The time is now!"
,,,,,,"RT @foxandfriends: TUNE IN ALERT: @IvankaTrump joins us live at 7:30am/et https://t.co/sQQznJ8DI9"
,,,,,,"RT @AP: Ivanka Trump says a tax bill is key to her father's goals of growing the economy and helping the middle class. https://t.co/HKMymzQ…"
