NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
JBNutrition,429,97,"Registered Dietitian Nutritionist, Head Coach @Habit, supports clean eating and real foods, always sending good vibes, and believing in watershed moments",102021,70,"RT @Habit: Cooking wholesome dishes that taste good is part skill and part having the right tools. Here are 10 chef-approved kitchen gadget…"
,,,,,,"RT @Habit: It's much easier to change your eating and exercise habits when you use the right tools. Our Head Coach @JBNutrition calls them…"
,,,,,,"Delicious!! https://t.co/rOItvDMAWY"
,,,,,,"Thanks @CakeNutrition!!! https://t.co/EmsZPi5VdI"
,,,,,,"Whale watching while at work! Not too shabby. Honored to speak at the Rise Up retreat. Talking… https://t.co/r31rw7W6PH"
,,,,,,"Perspective | 14 tools and tips that could be game-changers for your wellness routine https://t.co/9CdGLYhBCF"
,,,,,,"RT @NeilGrimmerCEO: Last month, I spoke at #TEDxSanFrancisco about how my quest to find the right foods led me to start @Habit. Thank you t…"
,,,,,,"RT @SenatorDurbin: 94% of Americans (93% of gun owners) want background checks on every gun sale. Retweet if you do too."
,,,,,,"RT @CivilEats: Why Americans have stopped eating leftovers https://t.co/KVpl8rXQiz https://t.co/tdeCoye8s2"
,,,,,,"I buy a week’s worth of avocado on Sundays, with varying levels of ripeness to make each day… https://t.co/5O7au7ZtEi"
,,,,,,"It’s getting cozy and I love it. Cooked up my first batch of soup for the season. Roasted… https://t.co/EVXEt5ha1T"
,,,,,,"So good. https://t.co/efuvLIcGZn"
,,,,,,"RT @BreneBrown: Being brave means you’ll flip over those handlebars on occasion.  Skinned knees + bruised hearts heal. Silence + fear haunt…"
,,,,,,"RT @StephenCurry30: Salute to @andreward on checking off everything he ever wanted to do in the ring. #missionaccomplished https://t.co/9W6…"
,,,,,,"The tradition is to spend the 10 days between Rosh Hashanah and Yom Kippur to reflect on the… https://t.co/OqfbqUNK2V"
,,,,,,"RT @ProjectDrawdown: A cow walks onto a beach... https://t.co/29O56223uR 
#climateoptimism #drawdown"
,,,,,,"Well, that felt good. Wow I needed that! Start resistance training this weekend. Keep it simple.… https://t.co/5IDCGCKHL9"
,,,,,,"As theplantedone one says, ""Meal prep is my jam!"" Spend 5 minutes today thinking about how to… https://t.co/NURcGixYb1"
,,,,,,"Beautiful way to start the day. Hike through the desert talking up nutrition, mindfulness, and… https://t.co/zYePvLx2Gi"
,,,,,,"First meal out of Rwanda was a veggie full plate in the Amsterdam airport. Craving vegetables… https://t.co/puCktQtAxS"
,,,,,,"RT @markhymanmd: 95% of all illnesses are caused or worsened by stress. The key to health is learning how to actively relax. https://t.co/R…"
,,,,,,"❤️ https://t.co/MKcDU1wt2C"
,,,,,,"RT @NPRHealth: Coca-Cola Offers A Sweet Quest: A Million Bucks To Replace Sugar https://t.co/ez6olP1DAq"
,,,,,,"RT @Habit: The small power of steps. Exercise can be as simple as putting one foot in front of the other - Habit's @JBNutrition https://t.c…"
,,,,,,"Keep exercise simple. Have a strong standing posture and go for a walk. Latest @washingtonpost article. https://t.co/s12wMrn5fo"
,,,,,,"Still on a high from yesterday. Obsessed. So happy! https://t.co/ZZQXOBkJTc"
,,,,,,"Thanks! https://t.co/IqTk2L1R6L"
,,,,,,"Monkey, monkey! I mean, rabbit, rabbit! Month is starting off right with some golden monkeys in… https://t.co/JeZ4Tshm7R"
,,,,,,"Brought my jr._soul shirt with me to spread the love! Inspiring, passionate, tenacious girls are… https://t.co/zMJKFK0cTn"
,,,,,,"Morning ritual - wake up for sunrise, meditate, workout, coffee. Precious. Last morning here at… https://t.co/MtvyFOmWoR"
,,,,,,"Vegetable recipe testing was a success! Worked with the girls to create 5 dishes that could be… https://t.co/mxVmspQZSE"
,,,,,,"These girls! So inspiring. Having a playful moment dancing to Nigerian hip hop (which is the jam… https://t.co/Dg7MzLzacu"
,,,,,,"Tea plantations! Gorgeous fluffy green pillows for miles. I almost want to give up my coffee… https://t.co/anzmujWGnE"
,,,,,,"Some Saturdays, you're fortunate enough to spend the day trekking through the untouched Rwandan… https://t.co/Rlr6iw1B8w"
,,,,,,"Habit has gone national! To celebrate, take $50 off Habit Core with code NATIONAL50. Valid thru 8/27 at 11:59pm. https://t.co/47uB5uO6v2"
,,,,,,"RT @NeilGrimmerCEO: Check out @Habit on the @TODAYshow tomorrow morning!! https://t.co/SQ6cFBoN8s"
,,,,,,"It always comes down to vegetables. The school has a huge farm right next door, but none of the… https://t.co/f1Hl3lo9zu"
,,,,,,"Sunrise in Rwanda. Volunteering at Gashora Girls Academy for the next little bit. I'm in awe of… https://t.co/5DIJDKRC9i"
,,,,,,"Such a treat to stroll through Amsterdam today for a layover. The canals, the bikes, the… https://t.co/XISvsGcsxa"
,,,,,,"#repost fitandwellmedgal - her #mealprep is the jam! It's Thursday - start thinking now about… https://t.co/Ln568464XO"
,,,,,,"Ask questions. #watershed #daregreatly #havefun https://t.co/X9xAs8P13K"
,,,,,,"Evening walks through this glorious town. Bootylicious hill workout, wise words from evevenus,… https://t.co/QY2muFMqRi"
,,,,,,"RT @tischfoodcenter: ""Follow me on this green path."" @TeachersCollege Professor Emerita Joan Gussow inspiring a new wave of #farmers @Eatin…"
,,,,,,"You are really brave. Thank you. #repost @theclasswithtt #brave #keepgoing #havefun https://t.co/IQ7E2wZiBV"
,,,,,,"RT @Habit: Weight loss is hard. Having the right mindset can help you succeed, our Head Coach @JBNutrition explains https://t.co/GbrPilG9RK"
,,,,,,"Work lunch last week @Habit. Quick micro of kale and Jimmy Nardello peppers topped with salmon,… https://t.co/FOG5Iayd11"
,,,,,,"Thanks @kellymcgonigal! Your @TEDTalks was a game changer. @washingtonpost  https://t.co/rQVgRJHJH2"
,,,,,,"""When you choose to view your stress response as helpful, you create the biology of courage.""… https://t.co/zxUy6c8qvc"
,,,,,,"RT @simonsinek: Accountability is hard. Blame is easy. One builds trust the other destroys it."
,,,,,,"Gorgeous salad from @missionheirloom - a treat for a weekday lunch! Love the edible flowers and… https://t.co/qGJrHB4tqQ"
,,,,,,"RT @Habit: Skipped the gym? Didn't pack lunch? Your nighttime routine may need a makeover, our Head Coach @JBNutrition explains https://t.c…"
,,,,,,"@cityslickerfarm - you're making the world a better place. Warms this city girl's heart.… https://t.co/xfjeWgqKQO"
,,,,,,"Perspective | Not reaching your wellness goals? Take a look at your nighttime routine. https://t.co/tKkjjnA5CJ"
,,,,,,"How's your nighttime routine? What if the day really starts the evening before? Most recent post… https://t.co/cFwkfHOcSm"
,,,,,,"RT @Mygenneve: How to revise your nighttime routine, from #nutrition to #movement to #mindfulness via @JBNutrition https://t.co/lZpvxaGmuz"
,,,,,,"@Habit told me I may metabolize caffeine slowly. Considering my deep love of coffee, this is… https://t.co/rviC9DA5wa"
,,,,,,"Still smiling from my visit to @teacherscollege last week. I don't have the words to express my… https://t.co/LTmTPjEOGZ"
,,,,,,"Thrilled to be able to visit the paulnicklengallery. You are a hero of mine. Your photos take my… https://t.co/qbZfNWBYGR"
,,,,,,"Vegetables! So many delicious, gorgeous vegetables at abcvnyc - thank you! Loved spending time… https://t.co/kjugROJ9us"
,,,,,,"It was a privilege to speak on behalf of @Habit about personalized nutrition and the future of… https://t.co/kilvAjH95K"
,,,,,,"When Israelis cook you breakfast... Even chatted it up in Hebrew like the old days. Shakshuka!… https://t.co/M02yIR7t0d"
,,,,,,"Strolling for miles with @MarinaGarciaVas. A glorious summer day in NYC. https://t.co/SDwkHNK1bo"
,,,,,,"So excited to finally take a live class at the pelotoncycle studio! What fun. Good music, good… https://t.co/EPwYLdtxzX"
,,,,,,"Grateful. https://t.co/Ntdv2CN5e0"
,,,,,,"Buy vegetables today! Buy enough for the week and batch prep. Keep it simple - chop, sauté, or… https://t.co/GXvvDCN8Ns"
,,,,,,"RT @rachel_rdn: Perspective | How a common meditation technique can help you eat more healthfully https://t.co/nEFNTDMwVN Love this! @jbnut…"
,,,,,,"Thanks @8thandlake for your article on @Habit! Wonderful working with you and excited to hear… https://t.co/26c6YXcah3"
,,,,,,"Found this guy right outside my door this morning! It's going to be a good month. Rabbit,… https://t.co/8rptgoTyWC"
,,,,,,"Latest Washington Post article - the power of mindful eating and one measly raisin.... https://t.co/Ssc8Vt0q2n"
,,,,,,"The power of mindful eating and one measly raisin. Latest @washingtonpost article - https://t.co/jjaqhS37I5"
,,,,,,"One measly raisin. Building a practice in mindful eating can change your relationship to food.… https://t.co/REUsvoRMUd"
,,,,,,"Impromptu dinner party. Grab the venison from the freezer and add tomatoes, spices, and some… https://t.co/Pc9dZFmZRl"
,,,,,,"""Chocolate is a beautiful thing that should be encouraged"" - my quote in a @fastcompany article… https://t.co/4WNYoJ4Pdx"
,,,,,,"Yes! Eat your vegetables! https://t.co/pN1Afy5Tmh"
,,,,,,"A recent grad just quoted me, not realizing I wrote the article! That was fun. washingtonpost… https://t.co/TlyYvzhtwJ"
,,,,,,"One last moment before heading home. It was a true privilege to speak at #stanfordsierracamp -… https://t.co/VbpUPpfjfH"
,,,,,,"Pure joy. Feels like a mix of a loving hug, grounded clarity, and exhilarating freedom. Damn,… https://t.co/XVKCZcEUGC"
,,,,,,"RT @NeilGrimmerCEO: This is what happens when the photographer want to shoot you on a bed of carrots! #whatupdoc  #habitlife. @habit https:…"
,,,,,,"RT @patbailey: Thank you for being my @Habit nutrition coach @JBNutrition! #personalizednutrition at it's best! cc: @mindbodygreen #wellnes…"
,,,,,,"Thanks @patbailey for such a beautiful article on habitnutrition and the power of intuitive… https://t.co/LQYoZAMyUE"
,,,,,,"These two... #havefun #horse #play #watershed https://t.co/U3Jn5RlFy4"
,,,,,,"Doesn't have to be fancy. Buy in bulk, prep in bulk, and batch cook! And yes of course, there… https://t.co/NyDlnlk46F"
,,,,,,"Thank you. #appreciation #watershed #havefun https://t.co/zRTLsZ830g"
,,,,,,"Tips for new grads - have fun and be healthy out there! Thanks @washingtonpost. https://t.co/TSjzYxnjRs"
,,,,,,"New diploma? New job? Here are 4 healthy habits to start right now. https://t.co/gSOUiYfnyM"
,,,,,,"Strolling through industrial dogpatch enjoying wonderful conversation, and come across this lush… https://t.co/7oJqDdrcvp"
,,,,,,"Thanks @AdHealthCenter!! https://t.co/hsn3I1u0og"
,,,,,,"Imagine eating with confidence?!? What a pleasure. @Habit https://t.co/jH5gQBVq8e"
,,,,,,"Fresh mint from my cousin's gorgeous garden, some glorious sunshine, a moment to catch my… https://t.co/lqlqJIzdkL"
,,,,,,"Excellent piece on the habitnutrition blog! Create strategies for… https://t.co/0XRUZqElAQ"
,,,,,,"RT @DanBarber: 100% whole wheat croissant. Perfected! (It only took us eight years.) https://t.co/F47UWxUOak"
,,,,,,"RT @Habit: Kits are going out. We're so excited. Have you received yours yet?"
,,,,,,"Get your greens! Avocado, peas, spinach and kale in here. Coconut and berries to balance it out.… https://t.co/cp5AB1u6OG"
,,,,,,"My new buddy. #havefun #play #horse https://t.co/iUN5E3L1PE"
,,,,,,"RT @foodbizschool: If you missed Thursday's FOODBIZ+ w/ @Habit's Neil Grimmer + @CIACulinary's FBS Dean @ideagardener, here's a clip: https…"
,,,,,,"RT @NeilGrimmerCEO: Say goodbye to confusion.  Our head nutrition @JBNutrition shares her advice on eating with confidence. https://t.co/gG…"
,,,,,,"RT @Habit: ‘Clean eating’ is a fuzzy term — and that’s why it works - A great new post from our head coach @JBNutrition https://t.co/UFL1BB…"
,,,,,,"RT @NeilGrimmerCEO: Thinking about going #glutenfree? Our head nutritionist @JBNutrition shares how to do it right. https://t.co/A4psiv0O8L"
,,,,,,"Be smart when going gluten-free. @washingtonpost https://t.co/Rd6CUHwqqp"
,,,,,,"4 mistakes people make when going gluten-free https://t.co/wr7FHjNlKL"
,,,,,,"How to Eat with Confidence in 2017 - Habit https://t.co/jRRIqjcKl5"
,,,,,,"I just published “How to Eat with Confidence in 2017” https://t.co/kz37IpV6f6"
,,,,,,"Thanks to you both! @LeslieBeckRD @CrysMacGregor https://t.co/Mu7FXeFVWX"
,,,,,,"New article on the Washington Post on the topic of clean eating. Enjoy!... https://t.co/cCBsEOBZUf"
,,,,,,"Thanks @PalumboRD! https://t.co/NfUTXbtLUM"
