NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
JakeRBright,2110,3045,"Writer, Award Winning Author, Advisor. Writing/Speaking on/Doing Global Biz, Politics & Tech. Outdoor Sports Devotee. Co-author @tnafricabook. Followers real.",66729,124,"With this @MikaelaShiffrin is now officially a 5 medal contender in 2018 Olympics. Something she told me she wanted… https://t.co/F11JfPSWws"
,,,,,,"Quite a scare. Vonn was about to win race and took nasty spill. Olympics still in play. https://t.co/lPj9ue17BO"
,,,,,,"After some of the top contenders already skied. @lindseyvonn still up. Perhaps 2 US women on podium in World Cup sp… https://t.co/3jThnNBuJD"
,,,,,,"Nigeria's 2nd big E-comm site, Konga, dropping staff https://t.co/g96qHtJT2E"
,,,,,,"Digging @MillerBode's commentating. Lot of detail on how ski racing works &amp; doesn't. https://t.co/TZz3OefQPh"
,,,,,,"RT @usskiteam: .@lindseyvonn has won at @SkiLouise 18 TIMES. And we think she can do it again today. 🔥  

Watch the race LIVE at 2:30pm ET…"
,,,,,,"RT @usskiteam: .@tedligety has podiumed on the Birds of Prey track 12 TIMES and he's feeling good today. 🇺🇸 The super G starts at 10:45 and…"
,,,,,,"Anyone noticing the Dow drop over 200pts since Flynn guilty announcement? https://t.co/4400IVZMOo"
,,,,,,"RT @ldelevingne: Go @reuters https://t.co/32Ekzujl9m"
,,,,,,"RT @usskiteam: Here we go! The @usskiteam men AND women are racing speed today. See who's racing and how to watch here ➡️ https://t.co/FPfq…"
,,,,,,"@ducatitriumphny giving public preview this weekend of @DucatiMotor's Panigale V4. Love this video of Alesandro Val… https://t.co/8rDU1QZ1Qb"
,,,,,,"Cool Bitcoin conversation @bloomberg with @lloydblankfein  @MikeBloomberg &amp; @adsteel. MB sees no scenario where cry… https://t.co/JOHxKARckg"
,,,,,,"RT @Wimbart: Interesting read concerning #Africa's #IPOs [present and future] - Will Interswitch still be the company that brings Sub-Sahar…"
,,,,,,"RT @AubreyHruby: Congrats to @ngozidozie &amp; @ChijiokeD on @googledevs accelerator! Big things ahead @JakeRBright  https://t.co/qxc3bujASL"
,,,,,,"Important to note deregulation of govt. controlled telcom industry in Kenya  in 2000s paved way for Silicon Savanna… https://t.co/y24mlEA0Xb"
,,,,,,"Maybe even more like diamonds. https://t.co/Zhe8qXztZL"
,,,,,,"RT @matthewsdolan: Top House Democrat says Detroit Rep. Conyers, accused of sexual misconduct, should resign https://t.co/27bE3GPW8z"
,,,,,,"RT @MunyaChiura: Will Interswitch be the company that brings Africa its big tech windfall? @JakeRBright @TechCrunch @InterswitchGRP https:/…"
,,,,,,"RT @TechCrunch: Meet the man who deactivated @realDonaldTrump's Twitter account https://t.co/p73IMHVBAz https://t.co/wxWp9geXNa"
,,,,,,"RT @ldelevingne: Former SAC COO Sol Kumin finds redemption in Asia - new from me &amp; @sveaherbst
🇨🇳🇯🇵🇰🇷

https://t.co/fe43siayRo"
,,,,,,"RT @usskiteam: Thanks for the amazing training, @CopperMtn. We're feeling ready for this weekend's races. 💪 #usalpine https://t.co/aaiYNGbR…"
,,,,,,"Wow. Not even Lake Wobegon is safe from sexual harassment claims.  https://t.co/6cquoTS6Ck via @dwbronner @CNNMoney"
,,,,,,"RT @TechCrunch: Taking a ride through SF in Cruise’s self-driving Bolt EV https://t.co/ywpUGHj6Jt https://t.co/bhoJsYnzoV"
,,,,,,"RT @joebrusuelas: Economic Statistic of the Day: Outlays on equipment increased 10.4% in Q3'17. In my estimation the business cycle has shi…"
,,,,,,"RT @lancekoliver: Is riding two-up a #motorcycle safety blind spot? https://t.co/Fx1usc33hv @JakeRBright investigates @RevZilla"
