NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
JohnGruell,5,21,,24719,3,"@Aprilhudak1 rapids right now"
,,,,,,"@Aprilhudak1 kik?"
,,,,,,"@Aprilhudak1 need a night out"
,,,,,,"@Aprilhudak1 party is coming"
,,,,,,"@mn_confess what a waste"
,,,,,,"@tadiannn14 perfect lol"
,,,,,,"@tadiannn14 adventures galore. Rib Lake trails this weekend"
,,,,,,"RT @foursquare: Going out for a night on the town? Download the Foursquare app to discover where you should be going. https://t.co/xAqMSyFG…"
,,,,,,"RT @selenagomez: I just wanna say thank you to all you guys for the past few weeks. Reminds me of why I do what I do!"
,,,,,,"RT @ReutersOpinion: Why future generations will never know the era of innocence @Playboy encapsulates: https://t.co/hwYiJMBsPK https://t.co…"
,,,,,,"@tadiannn14 4 wheelin"
,,,,,,"@tadiannn14 so"
,,,,,,"@tadiannn14 @meghan_3801 twitter is strange for chatting"
,,,,,,"@tadiannn14 @meghan_3801 do you use kik?"
,,,,,,"@tadiannn14 @meghan_3801 aahhh, that feels better. Studying? Goal?"
,,,,,,"@tadiannn14 @meghan_3801 oh. Sorry, I had 20+ in mind."
,,,,,,"@tadiannn14 @meghan_3801 sorry, what do you do all day"
,,,,,,"@tadiannn14 @meghan_3801 you do all day?"
,,,,,,"@tadiannn14 @meghan_3801 morning"
,,,,,,"@tadiannn14 @meghan_3801 people say hurtful things when they're scared."
,,,,,,"@tadiannn14 @meghan_3801 her"
,,,,,,"@tadiannn14 @meghan_3801 I don't want to scare."
,,,,,,"@tadiannn14 @meghan_3801 she's very pretty but not a good match"
,,,,,,"@tadiannn14 @meghan_3801 no"
,,,,,,"@tadiannn14 @meghan_3801 I prefer to write about several different things but only to one person. A personal deep thought entanglement"
,,,,,,"@tadiannn14 @meghan_3801 depends on how passionate I am about the subject"
,,,,,,"@tadiannn14 @meghan_3801 no but I do like to write"
,,,,,,"@tadiannn14 @meghan_3801 not so much the street but the attitude"
,,,,,,"@tadiannn14 @meghan_3801 Not a dirt road either"
,,,,,,"@tadiannn14 @meghan_3801 Not the same street."
,,,,,,"@tadiannn14 @meghan_3801 Sorry, my mistake"
,,,,,,"@tadiannn14 @meghan_3801 was boating yesterday. Would have been nice to have interesting company"
,,,,,,"@tadiannn14 @meghan_3801 hey sweet thang"
,,,,,,"@meghan_3801 burned my finger"
,,,,,,"@tadiannn14 6'-6"""
,,,,,,"@Landen_Parker @meghan_3801 been there"
,,,,,,"@meghan_3801 @amanda_bear3 sleek and svelte."
,,,,,,"@meghan_3801 hormones"
,,,,,,"@tadiannn14 relatives are the best. Lol"
,,,,,,"@meghan_3801 you're sweet"
,,,,,,"@meghan_3801 please tweet something you believe."
,,,,,,"@meghan_3801 do I scare you?"
,,,,,,"@meghan_3801 good night"
,,,,,,"@meghan_3801 @tadiannn14 when someone is in it"
,,,,,,"@meghan_3801 @tadiannn14 I like the way leather feels in my hands"
,,,,,,"@meghan_3801 I'm thinking terrible things about you"
,,,,,,"@meghan_3801 every time I see your picture I think now that's a gorgeous girl"
,,,,,,"@FemaIeThings @meghan_3801 someone will make that happen and be the next billionaire"
,,,,,,"@meghan_3801 wacha doin on a Friday nite?"
,,,,,,"@meghan_3801 Had to set up my acct again."
,,,,,,"@meghan_3801 hi"
