NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
KDTrey5,17318272,86,"IM ME, I DO ME, AND I CHILL",158081,555367,"New video up! Reviewing some of the best high school ballers on @Overtime​ https://t.co/Bm7SjcO8qd"
,,,,,,"@nealmohan I’m into it. Gonna pop on later this week to check in with my fans, been a great experience for me so far"
,,,,,,"Got word that the @YouTube Community tab I've been talking to you guys on is opening up to more creators this week. @nealmohan true?"
,,,,,,"Good luck to the USA Men’s World Cup Qualifying Team tomorrow in Greensboro #FIBAWC #DefendTheCup https://t.co/yNSOdzv92n"
,,,,,,"All-basketball Q&amp;A session up now! Gonna keep doing these for you guys throughout the season https://t.co/ABl1hHsgfd"
,,,,,,"New vid going up tomorrow answering some of your 🏀 q’s. Watch @javalemcgee34's Parking Lot Chronicles first https://t.co/ZAuOUEULc9"
,,,,,,"RT @richkleiman: Kevin Durant on His Legendary Game at Harlem’s Rucker Park | GQ https://t.co/C4treZRPZt via @YouTube"
,,,,,,"RT @warriors: 📷 @KDTrey5 for @GQMagazine » https://t.co/AYc2gyyEcT https://t.co/HFkDdi4iZb"
,,,,,,"Cool animation @GQMagazine on my Rucker game https://t.co/k6F27k2sTE"
,,,,,,"Tune in and show some love https://t.co/REYatmcvhq"
,,,,,,"Behind the scenes of my @GQMagazine shoot up now on YouTube https://t.co/FxKDM7IupF"
,,,,,,"RT @GQMagazine: Kevin Durant is just heating up https://t.co/ZRQNpJwfRl #GQMOTY https://t.co/CwibVCeB7H"
,,,,,,"RT @GQMagazine: Our Champion of the Year: @KDTrey5 https://t.co/IlOUK9Lr48 #GQMOTY https://t.co/D1BaD7qGAm"
,,,,,,"RT @richkleiman: JaVale McGee's Parking Lot Chronicles: Episode 3 https://t.co/oQfHm5aqdi via @YouTube"
,,,,,,"RT @YTCreators: You might know him from the @NFL, but check out @RSherman_25's @YouTube channel where you'll get a behind the scenes look i…"
,,,,,,"RT @nealmohan: Welcome to @YouTube, @RSherman_25! https://t.co/piLoOwRPnB"
,,,,,,"This story is a must-read...honored &amp; humbled to share a cover w you @Kaepernick7 https://t.co/QFtIFj7DL5"
,,,,,,"RT @GQMagazine: .@Kaepernick7 will not be silenced https://t.co/NxQFCxdf1L #GQMOTY https://t.co/jBIa1cHwPm"
,,,,,,"In good company! Thank you @GQMagazine for the honor https://t.co/SiB5AkTeYU"
,,,,,,"Watch on my @YouTube channel https://t.co/ZAuOUEULc9 https://t.co/he84jiPPYR"
,,,,,,"RT @PlayersTribune: “In 2017, in America, silence is no longer an option.”

@StephenCurry30 in his own words. https://t.co/1RNiZjUoEe"
,,,,,,"RT @JaValeMcGee34: NEW EPISODE OF THE PARKING LOT CHRONICLES EPISODE 3 IS OUT ON @KDTrey5 YOUTUBE. https://t.co/lc0lD88pNP"
,,,,,,"Parking Lot Chronicles is back! New one with @javalemcgee34 @klaythompson @e40 @AR510 https://t.co/ZAuOUEULc9"
,,,,,,"Follow my business partner’s new IG https://t.co/qDOBcO2mPQ https://t.co/M2vLHUl3xk"
,,,,,,"Gearing up for another Q&amp;A vid - get your questions in here: https://t.co/tTqTDE73vS"
,,,,,,"RT @richkleiman: Parking lot chronicles 3 coming soon https://t.co/T8oYAqXvuu https://t.co/lTgUe3WhQ8"
,,,,,,"🔥🔥🔥 https://t.co/YMXUZJ3W39"
,,,,,,"RT @richkleiman: Make sure not to miss it!!
JaVale McGee's Parking Lot Chronicles: Episode 2 https://t.co/4P5Nf65QJe via @YouTube"
,,,,,,"RT @RonConway: #BandTogetherBayArea 11/9 @ATTPark - proud to support #northbayfire relief w/ @Metallica @davematthewsbnd @G_Eazy https://t.…"
,,,,,,"Parking Lot Chronicles @Javalemcgee34 Episode 2 is up! Including a special appearance from yours truly https://t.co/cj0gf0abfw"
,,,,,,"Subscribe to my channel to get updates - we got a new @JaValeMcGee34 episode coming up too! https://t.co/wwzZJsEO7e"
,,,,,,"New vid up from opening night and the ring ceremony https://t.co/5LzVZ8aNDY"
,,,,,,"ICYMI: First episode of @JaValeMcGee34 Parking Lot Chronicles is up now! Episode 2 hits next week https://t.co/MqUEi4Un3D"
,,,,,,"Hard Work @beatsbydre #1of1 https://t.co/ixyF4DCMkL"
,,,,,,"Parking Lot Chronicles Ep 1 w/@JavaleMcGee34 @andre @NickSwagyPYoung https://t.co/MqUEi4Un3D"
,,,,,,"Here we go...the first episode of Parking Lot Chronicles with @JaValeMcGee34 is up now! https://t.co/MqUEi4Un3D presented by @beatsbydre"
,,,,,,"Thank you!! Appreciate the love https://t.co/xXunye9p5X"
,,,,,,"What happens when you give @JaValeMcGee34 a camera crew @OracleArena. Parking Lot Chronicles starts tomorrow https://t.co/Oqjk5n3Tl1"
,,,,,,"💯 https://t.co/7KoOh9793X"
,,,,,,"My @FastCompany article is out now, this one is really special to me. Read it here: https://t.co/utqW7Gy86V https://t.co/pEJKaiMwSM"
,,,,,,"RT @warriors: #DubNation, check out @KDTrey5 on the cover of @FastCompany &amp; his Q&amp;A over on his YouTube » https://t.co/We8D95qxlv https://t…"
,,,,,,"RT @richkleiman: Make sure to watch KD Fan Q&amp;A and Fast Company Cover reveal  https://t.co/v1RKLIx0bi"
,,,,,,"RT @FastCompany: Our Nov issue features NBA star Kevin Durant's nascent business empire. Get a sneak peak and insights from @KDTrey5: https…"
,,,,,,"On the cover of @FastCompany - story out next week! Sharing the moment &amp; answering your Q's on my Youtube:… https://t.co/GPn2GPaSsd"
,,,,,,"New court launch in Redwood City! S/o to @AlaskaAir for the grand prize. Watch: https://t.co/99pRs9uN3F"
,,,,,,"RT @darrenrovell: JUST IN: @KDTrey5’s investment company has taken a stake in upstart fast casual pizza biz @pieology https://t.co/4L3A0zHE…"
,,,,,,"Some thoughts on getting ready for the season and a look inside @Warriors training camp:  https://t.co/24rVUWespF"
,,,,,,"New Nike x NBA connected jersey 🔥 Check the bts from the launch on my YouTube https://t.co/9WODbGxNDE https://t.co/4WA7TmZAxH"
,,,,,,"RT @richkleiman: San Francisco Magazine | Modern Luxury | KD and the VCs: How Kevin Durant Became a Made Man in Silicon Valley https://t.co…"
,,,,,,"RT @richkleiman: Kevin Durant is newest MVP for Alaska Airlines  https://t.co/cDz7PIqTOU"
,,,,,,"Back to the grind...some thoughts on coming back to the Bay and from the NBA x Nike jersey launch https://t.co/9WODbGgcM6"
,,,,,,"New #KDCF court, vid coming soon. Thanks to @AlaskaAir for hooking our B&amp;G Club winner up, more on our partnership… https://t.co/lDS8IPfnTO"
,,,,,,"RT @richkleiman: .@laurenepowell &amp; @ronconway urge #TCDisrupt audience to call Congress &amp; tell them to pass the #DREAMAct https://t.co/WIWe…"
,,,,,,"Yesterday's talk @TechCrunch Disrupt with @richkleiman https://t.co/8e8iQk5Ksb"
,,,,,,"Thanks @sanfranmag for the love - cover story out now https://t.co/1YgWF29vWb https://t.co/jYehjf6llE"
,,,,,,"On my way to TechCrunch Disrupt SF this am w @richkleiman to talk business #TCDisrupt"
,,,,,,"Shooting contest with Chris Mullin up now on @YouTube​ https://t.co/8HqlqDmlh3"
,,,,,,"Officially part of the @AlaskaAir team. Looking fwd to doing great things in the Bay &amp; beyond #ThirtyFiveMedia https://t.co/DXBxdbIg8m"
,,,,,,"Good win skins. Cowboys, pass the sticks"
,,,,,,"@OprahSideNigga you have to start wording shit like this a little better, I'm confused lol"
,,,,,,"@codywallace1244 no, I just deleted it."
,,,,,,"@OprahSideNigga I see u, well it's a bet"
,,,,,,"@OprahSideNigga https://t.co/sgtZKHFxI5"
,,,,,,"@OprahSideNigga and my 5 racks"
,,,,,,"@OprahSideNigga wen I win, Ima need u to take the caps lock off and wear full warrior gear all the way down to the socks, for a whole day."
,,,,,,"@OprahSideNigga you do NOT wanna lose 5 racks to me."
,,,,,,"@OprahSideNigga u trash"
,,,,,,"@NickSwagyPYoung https://t.co/C0ClFWS0bN"
,,,,,,"Q&amp;A from Nike campus with @SteveNash​ https://t.co/c84CK7pv26"
,,,,,,"It's time for my fantasy camp weekend - you can still help make an impact even if you're not there in person:… https://t.co/AeybM99Kq5"
,,,,,,"RT @richkleiman: Looking forward to @TechCrunch Disrupt SF on Tues w @KDTrey5. More info: https://t.co/xhHNnLLHwP #TCDisrupt #ThirtyFiveMed…"
,,,,,,"@Bmaggia you're just upset. I get it lol. I love you too"
,,,,,,"@CKiepert I bring out the ya mama jokes on occasion. Be on the look out"
,,,,,,"@Bmaggia scenario: u tell a joke on me, I laugh, I make a joke about u, u call me soft?? 🤔🤔 makes zero sense to me. Who's the soft one?"
,,,,,,"@incarceratedbob @Stugotz790 same man that uses amazon instead of going to the mall. Lmao"
,,,,,,"@Mohsin_35_313 thanks bro!!"
,,,,,,"@Smailing07 @OGZaves didn't know I played golf"
,,,,,,"@OGZaves I now play for every team in every league. Mission accomplished! Winning rings every year until I retire"
,,,,,,"@zoolander8816 I don't get this one. I think u mean Atlanta or to be even funnier, the patriots 🗣 HA"
,,,,,,"@deusoc17 so you're tellin me what I was thinking?"
,,,,,,"@thehappydaze u said 81 and I gave u somebody else that didn't have 81 and u backtracking. Think before u tweet me lol"
,,,,,,"@waldorfsfinest everyday, I don't think about if we are gonna win or lose a game. Every single day I think about my individual skills tho"
,,,,,,"@waldorfsfinest I play for more than one reason. If anybody tell u they don't then it's just a lie"
,,,,,,"@waldorfsfinest a coach is suppose to put me in position to maximize what i do best. That's why more than one person wins a ring."
,,,,,,"@waldorfsfinest i play to be the best individual talent I can be, that's why u work out by yourself."
,,,,,,"@Jason_Stateman it is."
,,,,,,"@thehappydaze mj?"
,,,,,,"@channooo3 thank u lol"
,,,,,,"@waldorfsfinest if u do the eye test, u would know that mac was different."
,,,,,,"@waldorfsfinest t mac could do it all. Don't get it twisted. He was booked in for 30-6-5 every night. Nobody could stop him bro lol"
,,,,,,"@waldorfsfinest I'm on here arguing about TMac. What has the world come to, guess he's not the ""two way player"" u want."
,,,,,,"@waldorfsfinest u don't know basketball so you don't get it"
,,,,,,"@waldorfsfinest he played with mutumbo when he was the oldest player in the league and grant hill got hurt a few times, so did Yao!"
,,,,,,"@waldorfsfinest he got traded for franchise. Know your history"
,,,,,,"@waldorfsfinest oh yea I know that"
,,,,,,"@waldorfsfinest it's always been about winning. U get more buckets than the other team and u win"
,,,,,,"@waldorfsfinest I don't get what u tryna say."
,,,,,,"@waldorfsfinest u like assist and rebounds right? U make a pass so that u can score right? U rebound an attempted shot right?"
,,,,,,"@waldorfsfinest elaborate"
,,,,,,"@blazeisbaseball he wore number 1 on his jersey"
,,,,,,"The game will always be about buckets. When it comes to buckets, there was nobody like T-Mac. FOH, number 1 in the HOF. Respect OG"
,,,,,,🗣HA
,,,,,,"RT @laurenepowell: A terrible day. But a day that will elevate millions to stand up for #Dreamers. Congress, we’re all watching https://t.c…"
,,,,,,"@ZachFozz yooo that shit was crazy, right? Still honored til this day"
,,,,,,"@LiamNBA John fast as shit so he stop on the dime and it's over. I can't do that, I got the mini snatch lol"
,,,,,,"@Benny_Powers Bernie sanders"
,,,,,,"@Terrance623 CJ McCollum dropped me off reaaaalll smooth this year. I had to pay homage lol"
,,,,,,"@RipCityGoon haaa man that snatch back was viscous 😂😂"
,,,,,,"Touched earth https://t.co/4bUpdJG8G5"
,,,,,,"@CallMeShayy_ dope! Thank u"
,,,,,,"Good luck tonight, my good men! Bring it home https://t.co/VaYIfl3dts"
,,,,,,"@KingMike210 every Saturday. We still talk about those stories today"
,,,,,,"@nickswish8 @NekiasNBA I feel positive about myself when I respond to ""negative"" shit lol"
,,,,,,"@BarstoolRDT you right, I apologize."
,,,,,,"@BarstoolRDT you can throw jokes and it's fun but when I do it I'm in my feelings? It don't work like that bro. U don't have that much power"
,,,,,,"@JimWhite67 hahaha love ya man"
,,,,,,"@__ballas__ that boy gotta sneak away from his parent to kiss his girl in the bathroom. I remember bro, respect 💯"
,,,,,,"@JustinEvans05 you bypass everything else I said when I made that statement which was made like last year probably. U aren't better at this"
,,,,,,"@JustinEvans05 u pick and choose what u wanna see. That's your problem"
,,,,,,"@JustinEvans05 that's exactly why I will win hahaha"
,,,,,,"@JustinEvans05 yea u don't have knowledge. I won already"
,,,,,,"@TyroneSpikes @BarstoolRDT you both have other men in your profile pics."
,,,,,,"@BarstoolRDT no asshole, you aren't good enough."
,,,,,,"@JustinEvans05 bro I think about ball in my sleep. U can't mess with me son"
,,,,,,"@BarstoolRDT I don't know u so I don't have a better response."
,,,,,,"@BarstoolRDT your mother"
,,,,,,"@dmduberstein I said basketball tough guy"
,,,,,,"ICYMI: My @YouTube Live LA experience w/@FirstWeFeast, @swooz1e, @WhatsInside, #RyanToysReview: https://t.co/fjiCtpk77N"
,,,,,,"@PocketChange300 haha yea man. It's pretty funny"
,,,,,,"@HitmanHolla lucky shot"
,,,,,,"@HitmanHolla no chance u scoring on me"
,,,,,,"@RipCityGoon 😂😂😂"
,,,,,,"@RipCityGoon nah son, we doing this in person. We watching film and everything. U will be a Nba coach when we done lmao"
,,,,,,"@RipCityGoon you don't know more ball than me. Bring ya friends too"
,,,,,,"@RipCityGoon you will not beat me in a Nba debate. Set it up, face to face chump"
,,,,,,"@Silent__C @RipCityGoon @RaeJohnsonNBA he's probably driving his Lambo to the gym to work on his game. Lol"
,,,,,,"@RipCityGoon the starving animal in the court is most dangerous. All that other moral, upbringing shit doesn't matter."
,,,,,,"@RaeJohnsonNBA u make no sense. If he wants to hoop then he knows failure is a part of it."
,,,,,,"@Silent__C @RipCityGoon @RaeJohnsonNBA I never starved, I ain't kno I was poor until I made money. I played cuz it was fun."
,,,,,,"@RaeJohnsonNBA so u think the only reason he wants to make it to the league is to get a Lambo. He ain't u dawg. He prolly likes to hoop"
,,,,,,"@10milekid I was lurkin round his block, he was lurkin on my twitter"
,,,,,,"@RaeJohnsonNBA I don't even get what you mean"
,,,,,,"@canadian_boy11 @Lazy3_ @RaeJohnsonNBA ok so tell me what his career is gonna be like if it's guaranteed?"
,,,,,,"@RaeJohnsonNBA no, it wouldn't Push YOU to be great. Speak for yourself, not him. U don't know that man lol"
,,,,,,"@Lazy3_ @RaeJohnsonNBA he ain't making the league cuz his name. He gonna make it cuz he nice."
,,,,,,"@RaeJohnsonNBA that's not true. Maybe He's not playing basketball to get ""things"""
,,,,,,"@Sonnnnnnnnnnnny @RaeJohnsonNBA I'm crying 😂😂😂"
,,,,,,"@RaeJohnsonNBA you don't have to struggle growing up to be a good basketball player."
,,,,,,"@RaeJohnsonNBA aww u want a Lambo too?"
,,,,,,"Young Melo with the Lambo. Stop playin wit shorty, he really out here."
,,,,,,"RT @kathrynvarn: This Facebook status from a @HoustonChron reporter says everything you need to know about local newspapers. https://t.co/H…"
,,,,,,"RT @firstwefeast: 🚨 NEW HOT ONES ALERT 🚨

@KDTrey5 talks rap shoutouts, NBA style icons, and mumbo sauce. WATCH ---&gt; https://t.co/NIvHBNb88…"
,,,,,,"RT @rubrikInc: Good day at Rubrik. @TechTarget Best in Show and Gold Award for Data Protection + @KDTrey5 as an investor. #DontBackupGoForw…"
,,,,,,"RT @rubrikInc: [NEWS] @KDTrey5 invests in Rubrik, will advise on strategic initiatives. Full story via @SVbizjournal --&gt; https://t.co/iZCc4…"
,,,,,,"RT @richkleiman: https://t.co/uQd0aEswbu"
,,,,,,"@RipCityGoon hell yea he did."
,,,,,,"@rawan_sger when 2k comes out I'm gonna set the league up. It's gonna be dope"
,,,,,,"@RipCityGoon @SimzAdam_Jr @King_Chaney @chrisjamke bro I'm just tellin u to watch games. Stop looking at stats, u will learn a lot watching"
,,,,,,"@ParkerHanft just arguing over basketball. Something I'll probably do for the rest of my life 🤷🏾‍♂️"
,,,,,,"@Abdiqalis yes it does and vice versa but I'm not even the court in this pic lol"
,,,,,,"@RipCityGoon @SimzAdam_Jr @King_Chaney @chrisjamke so as soon as steph walks across he gets double teamed?"
,,,,,,"@RipCityGoon @SimzAdam_Jr @King_Chaney @chrisjamke lol u got it big homie lol"
,,,,,,"@RipCityGoon @SimzAdam_Jr @King_Chaney @chrisjamke ok"
,,,,,,"@RipCityGoon @SimzAdam_Jr @King_Chaney @chrisjamke they do NOT get doubled team. You got watch the games when they are on, not twitter lol"
,,,,,,"@Legend_Today much love bro"
,,,,,,"@HatcherSeth I get it, you're hurt on a personal level, sorry. But we are talking about the actual game. Wrong convo for u lol"
,,,,,,"@RipCityGoon @SimzAdam_Jr @King_Chaney @chrisjamke why would I want to play basketball against 2 people? Why should they have an advantage?"
,,,,,,"@RipCityGoon @SimzAdam_Jr @King_Chaney @chrisjamke pick and rolls causes 2 guys to guard the ball. Steph plays in Pick and roll a lot"
,,,,,,"@RipCityGoon @SimzAdam_Jr @King_Chaney @chrisjamke so u saying I'm too good to get played one on one? I need a double team every play?"
,,,,,,"@RipCityGoon @SimzAdam_Jr @King_Chaney @chrisjamke nope that was just bad transition defense. Not strategy"
,,,,,,"@KDTrey5 @RipCityGoon @SimzAdam_Jr @King_Chaney @chrisjamke and its 9.6 seconds left in the half. Most teams trap in pick and roll that late"
,,,,,,"@RipCityGoon @SimzAdam_Jr @King_Chaney @chrisjamke matter fact, I'm not even in the game. Maybe the reason steph was trapped harder"
,,,,,,"@RipCityGoon @SimzAdam_Jr @King_Chaney @chrisjamke issa pick and roll. He only got trapped cuz it was a screen. And do u see me wide open?"
,,,,,,"@SK6Stan nah my narratives don't fit."
,,,,,,"@RipCityGoon @SimzAdam_Jr @King_Chaney @chrisjamke you're tellin me? Lol"
,,,,,,"@RipCityGoon @SimzAdam_Jr @King_Chaney @chrisjamke I see y'all arguing, just wanted to give some insight into the game! 💯"
,,,,,,"@RipCityGoon @SimzAdam_Jr @King_Chaney @chrisjamke nobody got double teamed the whole series. Pick and rolls is 2 on 2 defense, not traps"
,,,,,,"@BrandoX_FSU no charge"
,,,,,,"@ThaRealRicci Tell them stop asking me questions all the damn time"
,,,,,,"Shoutout Guwop for the inspiration, I see the growth big dog. I don't know why I tweeted this but it was on my mind. 💯"
,,,,,,"@chrisjamke what's that mean?"
,,,,,,"Back to where it all started in Seat Pleasant. Watch: https://t.co/ippZ3PdgqZ"
,,,,,,"Prayers up for Houston. God Bless"
,,,,,,"@eoe_COOP haha true. Would love to curse you out in person 😂😂"
,,,,,,"@eoe_COOP haaaaaaaaaaaaaaa good luck with that coop"
,,,,,,"@yuuuuuuuuuhhh it was nothing like it."
,,,,,,"@KevinYateesh23 hell no."
,,,,,,"@eoe_COOP HAAA give it a break coop, u ain't shit"
,,,,,,"@eoe_COOP never heard of ya but I don't mind ⛽️'n your bum ass up lolol"
,,,,,,"@eoe_COOP I get it, I shouldn't be talking to y'all because it shows ""weakness""? You ain't got that much power to hurt me king. Lolol"
,,,,,,"@nick_coleman3 they just wanna talk, their favorite player don't even know they exist. I'm just showing love and lettin them vent lmao"
,,,,,,"@eoe_COOP yea,  u ain't real"
,,,,,,"@eoe_COOP oh u mad? Hahaha"
,,,,,,"Lets get it https://t.co/0uZFff8ddD"
,,,,,,"@ThatGuy_JAYTEE I'll dub your bum ass"
