NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
KairosSociety,6060,986,"Focusing the next generation of founders on problems worth solving.",679,358,"It's official... our 2018 Kairos 50 application is up! If you know an innovative young founder disrupting an old in… https://t.co/TNhSP86yUT"
,,,,,,"RT @VicenteFoxQue: Very proud to be a part of this important initiative with @ankurjain_2. We need more entrepreneurs to solve our world’s…"
,,,,,,"RT @richardbranson: Interesting read on the increasing power of the tech world &amp; its responsibility to solve the problems that matter most…"
,,,,,,"“Big problems equal big needs,” says @justbobbibrown, founder of @BobbiBrown who serves on Kairos' Board. “So focus… https://t.co/knbYftbJWV"
,,,,,,"""Silicon Valley has gotten out of touch in a time when it's more powerful than ever and the work that it does affec… https://t.co/tKfqUYTKsX"
,,,,,,"""We're looking to solve problems for the less comfortable: the shrinking middle class, people riddled with student… https://t.co/n293SkNIT2"
,,,,,,"""If there's one thing we should have learned from this recent election, it's that the middle class is being squeeze… https://t.co/54JpgPk5cu"
,,,,,,"""The $25M fund and its investment thesis is a response to the often heard complaint that while inarguably innovativ… https://t.co/eKEbdRQ0Uw"
,,,,,,"""While many in Silicon Valley focus on futuristic technology — ranging from cryptocurrency to drone delivery — a qu… https://t.co/Ok4p3cBKPx"
,,,,,,"Announcing the focus of our new fund today. Join us in this movement and share with entrepreneurs you know rethinki… https://t.co/RTAb7repOM"
,,,,,,"Congrats to @KairosSociety Fellow @SeanHenryATL for making the 2018 @Forbes #30Under30 list for Manufacturing &amp; Ind… https://t.co/CVEVEHqpfd"
,,,,,,"Full house listening to @nadinebongaerts - President of The Netherlands @KairosSociety &amp; VP of @HelloTomorrowNL - t… https://t.co/1I6ssqtOYP"
,,,,,,"Congrats to @TimEntrepreneur - a @KairosSociety Fellow &amp; Founder of @KYMIRAsport - for crushing his pitch at… https://t.co/u7X0ekVdLS"
,,,,,,"RT @KairosSocietyEU: Day &amp; Night. @KairosSociety fellows and alumni from all around the world are joining us at the @WebSummit ! #pushforwa…"
,,,,,,"RT @KairosSocietyEU: Pre- @WebSummit dinner with @KairosSociety crew in London! #food #websummit2017 #inspiration #tech https://t.co/5fKtwM…"
,,,,,,"Another exciting &amp; productive @KairosSociety Board meeting! Thanks @nflcommish, @DrOz, @justbobbibrown,… https://t.co/7eqxKD39kG"
,,,,,,"""How Brands can elevate community strategy around Generation Y + Z"" https://t.co/e0fDkRsw5x on @LinkedIn"
,,,,,,"RT @KairosSocietyEU: Danish K50 @neurescue covered by @WIRED #health #Denmark #kairossociety https://t.co/llCBTqscUE @habibfrost @KairosSoc…"
,,,,,,"RT @KairosSocietyNL: Congratulations @kukuaweather for receiving the @Microsoft Affordable Acces Initiative #Grant !! #NLtech #uganda https…"
,,,,,,"RT @L_R_M_Crawford: Thank you to @KairosSociety for organising a brilliant fireside chat with @LisaA_HR @fifepaul @TimEntrepreneur @OvensDa…"
,,,,,,"RT @LisaA_HR: Launch event @KairosSociety #Edinburgh - #Entrepreneurs #Engineers #Scientists #Designers 25 or under #collaboration #investm…"
,,,,,,"RT @KairosSocietyEU: Kairos Society Switzerland is growing! Keep up the good work guys! #impact #changemakers #swiss #kairossociety https:/…"
,,,,,,"RT @KairosSocietyEU: Amazing days behind us: @KairosSociety  at @Pioneers Festival in #Vienna ! #tech #entrepreneurship #Pioneers17 https:/…"
,,,,,,"RT @KairosSocietyEU: Former Canadian K50 @MedellaHealth on stage at #Pioneers17 . The @KairosSociety is well represented this year! #kairos…"
,,,,,,"RT @_PeterRyan: Thank you for coming out to #Startupcities chat with @bhargreaves tonight at @ThinkRiseNY with @KairosSociety https://t.co/…"
,,,,,,"RT @_PeterRyan: ""If your unit economics are good, you can always raise more money."" - @bhargreaves at #Startupcities with @KairosSociety ht…"
,,,,,,"RT @KairosSocietyNL: TFF Founder @ChristineRGould : ""Purpose before paycheck"" @tffchallenge #tffsummit #amsterdam #kairossociety #food #agr…"
,,,,,,"RT @KairosSocietyNL: US @KairosSociety fellow @ThatMrE from @spirainc sharing his view on #DIY innovation within #food at @tffchallenge . #…"
,,,,,,"RT @KairosSocietyNL: Kairos society crew enjoying 1st day at the #tffsummit . @tffchallenge @kromhouthal @KairosSociety #food #impact #chan…"
,,,,,,"RT @KairosSocietyNL: The official #tffsummit afterparty started!
""Networking the global way"" @tffchallenge #food #amsterdam #innovate https…"
,,,,,,"RT @KairosSocietyNL: Last weekend we had an #inspiring ""Meet the Fellow"" with beloved #international @KairosSociety guests! #friendship #NL…"
,,,,,,"RT @_PeterRyan: Don't miss @KairosSociety NYC event on #StartupCities on May 31 w/ @bhargreaves https://t.co/1h6zTaSuaT @ThinkRiseNY https:…"
,,,,,,"RT @KairosSocietyNL: Kairos fellow @SamyAndary with Crescent at @TheNextWeb Conference. #NLtech #healthcare #education @KairosSociety https…"
,,,,,,"RT @KairosSocietyNL: First day at @TheNextWeb Conference with @KairosSociety team. #inspiration #TNW2017 #NLtech #Entrepreneurship https://…"
,,,,,,"RT @KairosSocietyEU: Congratulations @joinverse with the latest #investment round! #tech @alopera10 @borjarossell @KairosSociety   https://…"
,,,,,,"RT @KairosSocietyEU: 1st Kairos Society Germany meetup in #Karlsruhe today! Keep up the good work guys. #tech #innovation #leadership #entr…"
,,,,,,"RT @KairosSocietyEU: Great to see the @KairosSociety is well represented at the #CUBETechFair in #Berlin. #Tech #impact @CUBEConnects https…"
,,,,,,"RT @KairosSocietyEU: Another day at the #CUBETechFair in #Berlin with @KairosSociety fellows from all over the globe. #kairossociety #tech…"
,,,,,,"@prabhadublish @pillar_vc Congrats!"
,,,,,,https://t.co/J6aWi4k8kF
,,,,,,"@NabeelAdeni Thank you for sharing!"
,,,,,,"@UsmanSattarMD Thanks for sharing!"
,,,,,,"@MillianGehrer @r_prior @CNNMoney Great work Ryan. We enjoyed meeting you at the Summit!"
