NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
Kotaku,2055539,79,"The Gamer's Guide",6895,23496,"Xenoblade Chronicles 2 is tedious, frustrating, and ultimately disappointing. Our review: https://t.co/ZTEI4z5WOX https://t.co/fQJnKJZSG9"
,,,,,,"How video games' biggest award show comes together https://t.co/ltvMQ0qmox https://t.co/WwLQP4Xa9i"
,,,,,,"Team Secret is in the driver's seat of the Dota pro circuit: https://t.co/vRimN1oMX8 https://t.co/rKRiFZFll7"
,,,,,,"New Pokemon Cafe opening in Tokyo: https://t.co/Nq2h6tPp3O https://t.co/ixT1vL7LL0"
,,,,,,"Ryus, ranked: https://t.co/SO4NppQQTK https://t.co/jVkv1wXzfQ"
,,,,,,"Speedrunner loses it after finally breaking legendary GoldenEye record https://t.co/6r482hlCYD https://t.co/CoJtiCwbSF"
,,,,,,"Meet the 19-year-old who spent over $10,000 on microtransactions https://t.co/1ec5MpDLsV https://t.co/b082ZcqGX6"
,,,,,,"Show us your Animal Crossing: Pocket Camp (you could be featured on our Twitter)! https://t.co/gTwNkwOmaf https://t.co/vT8vvcZ4U0"
,,,,,,"Sunday Comics: rough week https://t.co/1VtLBDJkh3 https://t.co/c0I2KI51Db"
,,,,,,"After Ultra Sun and Moon and the explosive popularity of  Pokémon Go, there are even more reasons to hate Pikachu:… https://t.co/1n8QzNjD8i"
,,,,,,"The creator of Little King's Story and Million Onion Hotel discusses his love of arcades https://t.co/zCHPVPQ3vy https://t.co/Y1d4AHlwgt"
,,,,,,"Torment: Tides of Numenera's opening accomplishes so much with just words https://t.co/NgKlPrwBAJ https://t.co/kiykPIUmlg"
,,,,,,"The best flight sims. https://t.co/AZNS4vkKMY https://t.co/xzVMmXBBI0"
,,,,,,"New Pokemon Cafe opening in Tokyo: https://t.co/xm0harlpro https://t.co/oULZjWBFml"
,,,,,,"Hidden character customization menu found in Star Wars: Battlefront II. https://t.co/Xu0xqCt1A6 https://t.co/W05mqCNEiI"
,,,,,,"The investigation into Toad's head continues https://t.co/cbZJgVU6WL https://t.co/NKoQafq0OO"
,,,,,,"Zelda's story in Breath of the Wild is powerful, but also a bummer: https://t.co/xsBuiOK35w https://t.co/Lc49VwzLqi"
,,,,,,"Persona 5 cosplay is on the case. https://t.co/FQaQpOxXtf https://t.co/gJgGRMshd1"
,,,,,,"Here's December's PlayStation Plus lineup: https://t.co/L0f0jtUqR5 https://t.co/XTlPGTsd0h"
,,,,,,"It’s just your typical Saturday afternoon playing with friends. Join us: https://t.co/dSoevyC2zF https://t.co/6GRS7G8ZkD"
,,,,,,"Smash player proposes to girlfriend before championship match: https://t.co/5gH5u9I7hh https://t.co/Hm1WF4FPcK"
,,,,,,"Animal Crossing: Pocket Camp gets inevitable fan art: https://t.co/WUY8Z7ZBz9 https://t.co/bgoU8ucX2V"
,,,,,,"Drama around Milwaukee's Pokémon Go ordinance ends in $83,000 settlement https://t.co/vIkmAzYXrH https://t.co/rKD18aqubt"
,,,,,,"Here's how Ultra Sun and Moon shouts out the time Iwata helped save Pokemon: https://t.co/lyAvRTWobn https://t.co/KC1cEoH6Kv"
,,,,,,"Kotaku's Cecilia D'Anastasio is marathoning her favorite local multiplayer games along with a few friends on our Tw… https://t.co/udUqkUhHyQ"
,,,,,,"Hearthstone game ends in almost impossibly improbable sequence: https://t.co/xp9bRXQUVU https://t.co/S3liqmKhY6"
,,,,,,"First look at the horror anime from Japan's creepiest manga artist: https://t.co/q88TuNc43v https://t.co/VxolQPAHGt"
,,,,,,"Where to catch Gears of War, Rocket League, and the rest of the weekend's biggest esports tournaments… https://t.co/YK2zUvuu0f"
,,,,,,"Overwatch's little onion octopus has become a sensation: https://t.co/kyLnNNLdYP https://t.co/8suY2vzwDL"
,,,,,,"Smash pro narrowly wins after missed ledge grab: https://t.co/bHVRM8zXYl https://t.co/TEQ1PSQGTn"
,,,,,,"Dota commentator loses his mind and mic: https://t.co/ri61ZFznib https://t.co/PPMmmzurgp"
,,,,,,"There's an Amiibo on every box of Super Mario Cereal https://t.co/PIYbBWeRHg https://t.co/nfwjbOzw2D"
,,,,,,"After Ultra Sun and Moon and the explosive popularity of  Pokémon Go, there are even more reasons to hate Pikachu:… https://t.co/eApZoEFLEr"
,,,,,,"This Week In The Business: EA tries to explain https://t.co/R5UiPkGcbV https://t.co/EBQVOYlw05"
,,,,,,"Battlegrounds' new kill cam needs some work https://t.co/pbXUmDUk8p https://t.co/BYo8WJ6Ery"
,,,,,,"Meet the 19-year-old who spent over $10,000 on microtransactions https://t.co/0Elrp2GifJ https://t.co/jWDPzqYj7W"
,,,,,,"What are you playing this weekend? https://t.co/jPAcuZpNfO https://t.co/7EF0cMXPiT"
,,,,,,"Final Fantasy XV multiplayer is great fun in small doses. https://t.co/G7LSd7hGnk https://t.co/tRshFZfDZk"
,,,,,,".@vahn16 loves it when games let him collect souvenirs https://t.co/xYd4Tx0qDe https://t.co/jFL5t8t25V"
,,,,,,"Dragon Heart Dumplings and other real recipes from Battle Chef Brigade: https://t.co/gYWvUC5utO https://t.co/A6GvmT7CJ9"
,,,,,,"The superheroes who saved my life: https://t.co/fH0hh44jfO https://t.co/8IHyRvGbzk"
,,,,,,"Watch the makers of Pokémon play (and flub at) ""Who's That Pokémon?"" https://t.co/3SuqpMvcXi https://t.co/sxtWoPcc1Y"
,,,,,,"Devoted Super Smash Bros. Melee player Mike “Typo” Bassett shattered another decade-old record in the game's Home R… https://t.co/A6QEfAkEQK"
,,,,,,"Fallout 4 looks better on Xbox One X but runs a a little smoother on PS4 Pro. https://t.co/XPCrwCAlDM https://t.co/85ChcgY7V2"
,,,,,,"We've made a minor swap on our list of the 12 best 3DS games: https://t.co/lM9n88UKVt https://t.co/hKMwB7Krl8"
,,,,,,"PS2 theme takes your PS4 back into 2001. https://t.co/N7ymocv3jo https://t.co/hZ1jJdMYQr"
,,,,,,"Ask Dr. NerdLove: How do I hit on women without being a jerk? https://t.co/QNggTsDd4Z https://t.co/N273Ti8LCS"
,,,,,,"For Bungie, solving the Destiny 2 communication problem is no small feat https://t.co/zoQ2IDqJrB https://t.co/RqdPcxTXob"
,,,,,,"Here's December's PlayStation Plus lineup: https://t.co/9Acc5qXngX https://t.co/1Gt4io3aAN"
,,,,,,"Animal Crossing: Pocket Camp: The Kotaku Review https://t.co/6mxcqXDxtT https://t.co/9Q5of5N9qR"
,,,,,,"Akira Toriyama reveals the secret behind Dragon Ball's Super Saiyans:
https://t.co/0SNiznkzDT https://t.co/X1jKJT1D8Q"
,,,,,,"I love it when games let me collect souvenirs https://t.co/Nxh9E8bDxU https://t.co/yZu8REfiz8"
,,,,,,"Bloodborne fans find gnarly unused beasts and bosses in the game's files: https://t.co/oImumDDpQ2 https://t.co/2ikPVsyxCV"
,,,,,,"Business tip: Monetize! Turn your fun camp into a phone bank! https://t.co/z9KUDhmac2"
,,,,,,"First look at the horror anime from Japan's creepiest manga artist: https://t.co/GGLeOjsIuI https://t.co/p6X2YcZjgh"
,,,,,,"RT @108: this jacket is classified for temperatures between 25 and 55 degrees fahrenheit . . . oops https://t.co/SNUrqpDqot"
,,,,,,"What are you playing this weekend? https://t.co/0mNCOQWTFX https://t.co/Y8dmfxJA0d"
,,,,,,"Dear video games: Please stop immediately telling me what to do. https://t.co/EhghjYxKng https://t.co/e2RXVPARXo"
,,,,,,"Dragon Heart Dumplings and other real recipes from Battle Chef Brigade: https://t.co/AM0mx0l2QH https://t.co/jsz6YtG1Iu"
,,,,,,"We're in hell...in VR! That's right, @108 is playing Doom VFR, live. Join us, won't you? https://t.co/SzstSbmFMu https://t.co/3ykbVrOTLN"
,,,,,,"Final Fantasy XV multiplayer is great fun in small doses. https://t.co/TGBieMKj0b https://t.co/k3QmC2yF09"
,,,,,,"The superheroes who saved my life: https://t.co/hwhMuHHzvc https://t.co/mlNQBGz1tD"
,,,,,,"We've made a minor swap on our list of the 12 best 3DS games: https://t.co/YCxGf35d7W https://t.co/BiMXlmK6IK"
,,,,,,"Ask Dr. NerdLove: How do I hit on women without being a jerk? https://t.co/aNFrAvKUWI https://t.co/pOGVhaOT8g"
,,,,,,"For Bungie, solving the Destiny 2 communication problem is no small feat https://t.co/g3gs9U1083 https://t.co/vg73zfK0kZ"
,,,,,,"YouTube show Anime Crimes Division is Naruto meets CSI: https://t.co/wNqWgWevsk https://t.co/XvFtq21UHv"
,,,,,,"Devoted Super Smash Bros. Melee player Mike “Typo” Bassett just shattered another decade-old record in the game's H… https://t.co/Sd20RaCTpF"
,,,,,,"Bloodborne fans find gnarly unused beasts and bosses in the game's files: https://t.co/mDZ8kqFAaq https://t.co/4JBErUphN6"
,,,,,,"Watch the makers of Pokémon play (and flub at) ""Who's That Pokémon?"" https://t.co/8hITPZTV1r https://t.co/7xFeOkSN0e"
,,,,,,"Fallout 4 looks better on Xbox One X but runs a a little smoother on PS4 Pro. https://t.co/Vk1O6x1Ppi https://t.co/shTSA4kWZA"
