NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
LaMonicaBuzz,44178,29037,"All stocks and economy. All the time. Except when I mix in references to sports and pop culture too. @CNNMoney Digital Correspondent",6194,803,"Probably last tweet of day since I'm off to doc appointment &amp; then getting kid from school. So if I don't tweet at… https://t.co/KgYHDLF2JU"
,,,,,,"The Flynn freakout didn't last on Wall Street. Investors still focusing more on economy and earnings and not DC dra… https://t.co/8eQ0LN87wN"
,,,,,,"RT @CNNMoney: After four years of testing, food startup Hampton Creek has finally released its vegan egg product https://t.co/EwmH9Y1daQ"
,,,,,,"Black gold. Texas tea. Crude prices are gushing today. So are oil stocks. $APA $HAL $BHGE $SLB $NFX $RRC $NBL among top 10 S&amp;P 500 gainers."
,,,,,,"Will a new CEO finally lift Blue Apron out of the red? @nmeyersohn on the continued challenges facing this dog of a… https://t.co/7f3cQIZ71w"
,,,,,,"RT @heatherkelly: I love that Period Con is a thing. by @saraashleyo https://t.co/pNiRWvn64c"
,,,,,,"RT @IvanaKottasova: Bitcoin: Nobel winner says digital currency should be 'outlawed' https://t.co/5hSCSNxrfE via @CNNMoney"
,,,,,,"Well off the lows now. Any chance we go green before the end of the day?"
,,,,,,"RT @AaronSmithCNN: Feds want to seize #WuTang album #OnceUponATimeInShaolin from #MartinShkreli https://t.co/ToSMgslY1R"
,,,,,,"Happy December! Time to listen to @TheDecemberists! (Although they are good all 12 months of the year.) https://t.co/Sphkta7noq"
,,,,,,"Off the Flynn lows. For now."
,,,,,,"So much for that whole quiet Friday for the markets. #Flynn https://t.co/Zyyp9po6jZ"
,,,,,,"RT @donnaborak: Dow tanks on report Michael Flynn will testify President Trump directed him yo contact Russians https://t.co/oCWW3hePG1 via…"
,,,,,,"So Stranger Things was officially renewed for a third season by Netflix. Was there any concern that it wouldn't? https://t.co/uT5h7TYTUx"
,,,,,,"And with that, you just won the Reader Comment of the Week! Congrats! https://t.co/RlDKHmqI68"
,,,,,,"Kroger popped yesterday on solid earnings. Looks like $KR can hold its own with $AMZN/Whole Foods and $WMT. I'll be… https://t.co/dnryLvdRJo"
,,,,,,"End of the Trump bump for stocks? Dow and rest of market turn south on talk of Michael Flynn testifying about Russia."
,,,,,,"Tiffany's is back. Forget the old Trump Tower traffic woes. Shining again after yesterday's earnings. $TIF up 3% today, 25% YTD. 52-wk high."
,,,,,,"Market and real world disconnect? Awful week for NBC. Great week for NBC owner Comcast's stock. $CMCSA up 3% today, 7% over past five days."
,,,,,,"Nope. Bitcoin just as volatile as ever. Prices up 7% today and back above $10,500. https://t.co/pBVDUJ40Pt"
,,,,,,"Hair cut for $ULTA today. Earnings beat but sales just in-line. Profit outlook a bit light. $ULTA down more than 6% today, nearly 20% YTD."
,,,,,,"Weak auto sales for 2 of Detroit's Big 3 in November. Down for $GM &amp; $FCAU and so are the stocks today. But Ford sales rose. $F stock up 1%."
,,,,,,"RT @CNNMoneyInvest: The Great Recession began 10 years ago. The economy has recovered in many ways. In others, the scars of the recession r…"
,,,,,,"Stocks relatively flat. Feels like a summer Friday. Except it's December. And there's that whole tax reform vote looming over everything."
,,,,,,"RT @TFEShow: Today's Guests:
@larry_kudlow at 1045 on tax reform
@LizClaman at 1118 with a market update
@LaMonicaBuzz at 1145 chatting abo…"
,,,,,,"Tough times for Blue Apron. $APRN below $3. But stock u p3% #premarket after CEO steps down to become chairman. CFO… https://t.co/kfoJc8yl5S"
