NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
LilTunechi,32428554,13,"IM YOUNG MONEY https://t.co/khKrM22O0r",524469,1478056,"Happy Birthday to an angel. A breath of fresh air. A princess in the now, a queen in the future. My beautiful and a… https://t.co/9NEYYH45fu"
,,,,,,"Only thing in my fridge Ha! @originalbumbu @bumbukrewe 
#bumburum https://t.co/KCLgfDemsc"
,,,,,,"I’m excited to announce Young Money’s Partnership with my favorite underwear brand @Ethika!!! https://t.co/6bKJysKAYY"
,,,,,,Fukkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk.
,,,,,,"GO PACK GO!"
,,,,,,"Only way to end the long weekend @originalbumbu @bumbukrewe #bumburum https://t.co/KiTVJjQt4g"
,,,,,,"New Drop Alert🚨 
@youngmoneymerch Midnight Est Thank You! https://t.co/DKb6BYOZsE"
,,,,,,"Krying laughing at Stephen A"
,,,,,,"Food x Football and @originalbumbu Go Pack!"
,,,,,,"GO PACK GO!"
,,,,,,"F O C U S
📸 @thatboynix https://t.co/lVjWnn6AEm"
,,,,,,"Kongratz to da big homie Swizzy for his achievement at Harvard U. More than amazing. Legendary. Honored to say I’m a friend."
,,,,,,"Due 2 unforseen circumstances we have to postpone the Jacksonville date.  See u soon &amp; shout out 2 Winsquad Ent and… https://t.co/XyLtwTZedu"
,,,,,,"The Krewe is Komin to take over!! @originalbumbu @BumbuKrewe https://t.co/PikfCn7jaz"
,,,,,,"Shout out to my lil bro @vonmiller for creating the cleats dedicated 2 Da Drought 3!! Luv! @adidas #youngmoney https://t.co/CNYLssAS0Y"
,,,,,,"GO PACK GO!!"
,,,,,,"Kooking Up!
@originalbumbu #mulagvng #bumbukrewe https://t.co/m1bXBWqmUe"
,,,,,,"GO PACK GO!"
,,,,,,"Made it to Portland It’s #DameTime! @dame_lillard https://t.co/bniGut2MkC"
,,,,,,"Just might head to Portland to chek Tha homie @Damianlillard and rokk these new kiks he sent me! #Dame4 https://t.co/ImIcRYjK0I"
,,,,,,"Kongratz H Town!"
,,,,,,"Sipping on @originalbumbu before I hit this stage. Houston Let’s Go! #bumbukrewe https://t.co/zQx3iteZJB"
,,,,,,"Krewe Love ❤️ @originalbumbu"
,,,,,,"Leave it all on the stage. I do it all for y’all! #Mula #BumbuKrewe https://t.co/KPDwPBdeKv"
,,,,,,"@originalbumbu N Sportscenter"
,,,,,,"Celebrating my lil bro Jas bday! https://t.co/gjCzkttFEg"
,,,,,,"GO PACK GO!"
,,,,,,"Who’s ready for the weekend?! #RollingLoudFestival #BumbuKrewe @originalbumbu https://t.co/s1z3nRtNeO"
,,,,,,"Bay Area, San Antonio, Vegas and Jackson! Kant wait 2 see you! https://t.co/B21lE3JEZD"
,,,,,,"Welkome to the Krewe @ibabye  @originalbumbu #bumbukrewe https://t.co/I25azlgDB2"
,,,,,,"Dam slime"
,,,,,,"GO PACK GO"
,,,,,,"Introducing the best Rum on the market. 2017’s most decorated rum with 3 gold medals! This my Sh*T!! @originalbumbu… https://t.co/TdymcIz2Je"
,,,,,,"Davante Adams...legend. #17!
GO PACK GO!"
,,,,,,"GO PACK GO!!"
,,,,,,"Bout to get on this @originalbumbu and watch my Pack! Go Pack Go! #BumbuKrewe https://t.co/SjL8WrtuEi"
,,,,,,"Tonight https://t.co/q1jltOp1BQ"
,,,,,,https://t.co/KjQaqmbpEE
,,,,,,"Help my fam help out her fam. https://t.co/rcHkH7Lr0M"
,,,,,,"Signing Deals and Sippin @OriginalBumbu #BumbuKrewe #D6🤔 https://t.co/CpTTCfLlma"
,,,,,,"🙏🏽 for Vegas."
,,,,,,"Supporting my @TIDALHiFi fam efforts to help Puerto Rico! https://t.co/ZPi0iKtHHo"
,,,,,,"GO PACK GO!"
,,,,,,"My slime @damianlillard new single “Run It Up” featuring your boy out on all platforms!
Link:… https://t.co/KlF2mLzkTA"
,,,,,,https://t.co/ON2MytKGAF
,,,,,,"GO PACK GO!"
,,,,,,"Shot out da homiez seshin it up @ Biebel'z. Luv Biebz! 🤙🏽Luv 2my slime Eric 4da shot"
,,,,,,"Happy Bday Killa https://t.co/nPtY6nsxAt"
,,,,,,"https://t.co/C5i0LkTBzs    My lil slime      @_TheRealChris20"
,,,,,,"Watch everything that's set to go down at Lil' Weezyana Fest with @TIDALHiFi's exclusive livestream:… https://t.co/jzPWyU7nVY"
,,,,,,https://t.co/KMOgeVQKlW
,,,,,,"Let's Go! https://t.co/sJnBNQDnAS"
,,,,,,"Klose to that time again! https://t.co/HP0YphpfVo"
,,,,,,https://t.co/nq8QxChux2
,,,,,,"L.A.T.!!!!!! https://t.co/9ChZ9XwMmU"
,,,,,,https://t.co/WzuTpHzwpq
,,,,,,"Yes lawd https://t.co/o53k62Dcs1"
,,,,,,"Great story by ESPN writer @vxmcclure23! @ymapaasports   https://t.co/VjSKCqe5hb"
,,,,,,"Mula Gang! https://t.co/z8US2aH1Q3"
,,,,,,"Download the new Free Weezy game and comment when you're able to unlock my character and set me free! #FreeC5.… https://t.co/zXPkYgmakC"
,,,,,,"Michelle Beadle is a klown. Got me kryin laughing in this bish😭"
,,,,,,"It's here!! New version of my mobile game!! Go chekk me and my SQVAD!! In All App Stores!  #FreeC5 https://t.co/nQI2cByejS"
,,,,,,"""CantStopWontStop"" watch it worldwide tonight on iTunes https://t.co/f6Lp677uEk"
,,,,,,"Columbus,Ohio  I'm on my way!"
,,,,,,"Y'all sold this merch drop out last week!! New Music and restocked store!! I Luv my fans! @youngmoneymerch https://t.co/nB6TfMz5gD"
,,,,,,"I luv my fans. I ain't shit without y'all! 
https://t.co/gbFuvEJxrO… https://t.co/7CJtCMMmrk"
,,,,,,"4:44 x @S_C_ x 6/30 https://t.co/ZCyugjXFWP #TIDALXSprint https://t.co/xs9Lr4lMne"
,,,,,,"Kongratz to my bro Russ!!!!!! Much more than well deserved &amp; he's obviously grateful. A breath of fresh air for me to see such a thing"
,,,,,,"Just heard MC Lyte say ""rap legend"" Lil Wayne. Much more than a compliment. Unforgettable.  You're the legend Lyte."
,,,,,,"New drop on @youngmoneymerch at 2:00 PM EST for the 4th of July, with some restocks #Intunewetrust https://t.co/r4PDBANexN"
,,,,,,"Kongrats @allenkadeem It's Go Time!! @youngmoneyaapasports"
,,,,,,"Kongrats Frank It's Go Time!! @youngmoneyaapasports https://t.co/q8rlgaGeA0"
