NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
LongmireMD,1888,1100,"Physician and CEO @medableinc",3212,330,"I just donated to @Wikipedia. Support free knowledge! #iloveWikipedia https://t.co/CO53fbKFf9"
,,,,,,"It’s the Grim Reality of Frequent Work Travel: Health Problems https://t.co/OG2kRirgu3"
,,,,,,"And, even more great news for coffee ☕️ https://t.co/GB86BYXut6 via @Physns1stWatch"
,,,,,,"RT @KatieDMcMillan: .@Duke_CTSI Mobile App Gateway hosting another @medableinc workshop for researchers to create #ResearchKit Apps. Sign u…"
,,,,,,"RT @EricTopol: Gene therapy went through a ~20 year ""winter""
Then this in &lt; 1 month
@theLancet @NEJM @Nature https://t.co/r0qpjnbD6y"
,,,,,,"#medschoolflashback https://t.co/laEhFUjdZ0"
,,,,,,"RT @mitsi_georgia: Women power! Only at @CNSSummit, amazing night with @LongmireMD ,@KatharinaVolz , @mitsi_georgia -see you next year! htt…"
,,,,,,"RT @Papapetropoulos: Amazing party #CNSsummit! @mitsi_georgia @Apptomics @medableinc #digitalcouple. Beam me up Scotty! Thank you @akalali…"
,,,,,,"Security @ Boca Raton Resort https://t.co/nddCrI7tlE"
,,,,,,"Medable cnssummit 🍍 #biomarkersinboca @ Boca Raton Resort https://t.co/zG0N1h1Gqm"
,,,,,,"RT @medableinc: Great talk by Dr. Nyilas. @medableinc is proud to work with @OtsukaUS, one the true pioneers of digital innovation in pharm…"
,,,,,,"RT @TheTylerPugsley: #CNSSummit Main Stage @LongmireMD https://t.co/Au3DgvLMeI"
,,,,,,"RT @ChelseaMKane: .@LongmireMD on her company @medal einc 

Amazing capability to collect data for use in research. https://t.co/DAgbaL4a9f"
,,,,,,"@TXMedCenter leading the way in innovation in healthcare - thank you! https://t.co/78iz2F3mUZ"
,,,,,,"RT @ONC_HealthIT: .@HITPoicyWonk: “We want patients to have access on smartphones…and are making a big push with industry to build trust th…"
,,,,,,"Medable crew coming through #cnssummit #biomarkersinboca @medableinc @TheTylerPugsley @akalali @sleven1868 https://t.co/Fghun4KDPw"
,,,,,,"@akalali @VahabzadehMD @ProteusDH ... love surprises ❤️👍🤜"
,,,,,,"@akalali @VahabzadehMD @ProteusDH @akalali ... Boca or bust! See you soon."
,,,,,,"@healthtechdan @FrontiersHealth @healthware_intl @RobertoAscione @grants4apps @HealthEugene @HealthTechJen… https://t.co/GryVyVKwGI"
,,,,,,"@VahabzadehMD Totally agree. I know the system and it’s well designed for patient empowerment. @ProteusDH"
,,,,,,"The Secret to Long Life? It May Lurk in the DNA of the Oldest Among Us https://t.co/8fe9vuupTk"
,,,,,,"#londontown https://t.co/P4hEdryhZg"
,,,,,,"Happy birthday to one hot mama and incredible friend and doctor.… https://t.co/ziox5IojH3"
,,,,,,"Happy birthday to this beauty!kraemer7476 https://t.co/i59N7nh5vw"
,,,,,,"#teammedable #q4salessummit @ Palo Alto, California https://t.co/86rOdnvRsA"
,,,,,,"Company wide jump off in 1 hour @medableinc HQ! @TheTylerPugsley @sleven1868 @mauitamtam #reigningchamp ☝️👑 #Q4salessummit"
,,,,,,"TMC Venture Fund launches with $25M for med startups https://t.co/LUNN65vKEl via @HoustonChron"
,,,,,,"Oncologists Recommend Limiting Alcohol Consumption https://t.co/dNQKKPiyJQ"
,,,,,,"Thank you @PanAgoraPharma @pfizer @Knowledgent @saamatechinc for an awesome day! https://t.co/H1CmW25RmS"
,,,,,,"#partnerships #innovation #cambridge #pfizer @ Glass House https://t.co/Y3lzVukRJ7"
,,,,,,"RT @medableinc: https://t.co/UNrkor8LS1"
,,,,,,"Honored to announce that @medableinc is part of the new @TXMedCenter #TMCVentureFund portfolio. Thank you to Bill and the entire TMC team!"
,,,,,,"RT @TXMedCenter: We're excited to announce the #TMCVentureFund - Nurturing early-stage #healthcare companies &amp; Houston's #innovation ecosys…"
,,,,,,"RT @TXMedCenter: Congrats to our inaugural #TMCVentureFund portfolio companies: @alleviant , @safesnips , @cnsdose, @medableinc &amp; @noninvas…"
,,,,,,"RT @PanAgoraPharma: @LongmireMD @medable on the Digitome at #ClinicalTrialsIoT @pfizer and how #machinelearning detects reproducible signat…"
,,,,,,"RT @KatieDMcMillan: In case you missed it @DukeHealth and @DukeU — we have a resource for building #mobileapps! Connect for a consult: http…"
,,,,,,"@llamapodcast @medableinc Thank you @peterbowes and @llamapodcast for including me in your fascinating podcast on longevity."
,,,,,,https://t.co/yH0wBncq8H
,,,,,,"‘Unbelievable’: Heart Stents Fail to Ease Chest Pain https://t.co/LDsJNFELhV"
,,,,,,"RT @AndreaCoravos: Running an experiment: we're open-sourcing our blockchains-for-healthcare map. Are we missing any projects? https://t.co…"
