NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
Maddddieee24,16,2,,1045,0,"Guys really love their video games"
,,,,,,"Had a pretty good day today"
,,,,,,"RT @WhennBoys: I wanna marry 1 man, have all my kids by 1 man. I wanna live and grow old with 1 man. I wanna experience life with 1 man. I…"
,,,,,,"RT @WhennBoys: when ur in the car with ur squad and you play throwbacks and everyone knows every single word. those type of car rides are t…"
,,,,,,"Both my sisters having babies I'm so ready to be a auntie again"
,,,,,,"Late night phone conversations are the best ✨😝"
,,,,,,"Broken crayons can still color and broken hearts can still love 💯"
,,,,,,"It cost $0 to keep it real"
,,,,,,"I’m only here for good vibes ❤️"
,,,,,,"Moving on doesn't mean you forget about things. It just means you have to accept what happened and continue living."
,,,,,,"Let me go to sleep I got work in the morning"
