NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
MalloryLPickett,459,825,"Freelance journalist covering science, technology, and the environment. Former chemist.",568419,120,"RT @KQEDSashaKhokha: Proud of the stories on California Report magazine this week, from a blind kayaker to a Oaxacan marigold farmer @CalRe…"
,,,,,,"RT @ClintSmithIII: In honor of @nhannahjones winning a MacArthur, it’s a good time to remind u tht the best way to fix public education is…"
,,,,,,"@WIRED @jkehe @KatieMPalmer also thanks to @ginapollack  for the tip!"
,,,,,,"My latest for @WIRED: A friendly (I hope) fact check on colloidal silver. Big thanks to eds @jkehe and @KatieMPalmer https://t.co/GO9SuwyLW2"
,,,,,,"RT @emilynussbaum: Langston Hughes’ “Tired.” https://t.co/Ncc9f63xVf"
,,,,,,"RT @laurahelmuth: More than 100 black people were killed in mass shootings in 1917 &amp; 1873. Beware of superlatives about Las Vegas. https://…"
,,,,,,"RT @lizzieohreally: It's one banana, Michael. What could it cost? Ten dollars? https://t.co/bFxTdNwsda"
,,,,,,"RT @annfriedman: wake me up when an iconic female media mogul who lived her entire life in silk pajamas dies in her mansion surrounded by b…"
,,,,,,"RT @xkcdComic: Worrying Scientist Interviews https://t.co/JpH9a3K7f8 https://t.co/4ykqFeHaZN https://t.co/ae1MDkCQlN"
,,,,,,"RT @lauraklivans: What's setting the bar on how to cure Hep C en masse? The VA. https://t.co/uYl3kVBoWi"
,,,,,,"RT @johnrcoats: @RoyScranton @jeffvandermeer @halpen @PennyRed @billmckibben @ElizKolbert @brookeborel @egies @MalloryLPickett @SarahAziza1…"
,,,,,,"President Trump’s War on Science via @NYTimes https://t.co/OouJeufHKc"
,,,,,,"RT @EricHolthaus: Trump EPA chief on the sinking of the Titanic: Now is not the time to talk about icebergs. https://t.co/Z0ewksu1CU"
,,,,,,"RT @nxthompson: It's important to keep this XKCD cartoon handy. https://t.co/KGdfmW6NDt https://t.co/63aZlw1R8e"
,,,,,,"RT @kharloe: Breaking vacation twitter ban for important rt. Tfw yr gurl gets a lede like THIS written abt her!! Unsurprising but v chill @…"
,,,,,,"Incredible &amp; important work by @_TheBrink: Struggling with addiction in CA's opioid ‘treatment deserts’ https://t.co/3bBK8To3o5 @statnews"
,,,,,,"RT @kharloe: Tonight I wrote a story w @julia_lurie, whose reporting is 🔥. Honored to work next to her; forever upset to have to report on…"
,,,,,,"RT @lauraklivans: Covering breaking news all day everyday... about dog surfing! https://t.co/ns4JhDvtXX"
,,,,,,"RT @alex_abads: Dems: John, give me the keys. Where are the keys? Babe, where are those keys??!!!

John McCain: https://t.co/RoA1seVjFp"
,,,,,,"Thanks @JenniferMKahn !! https://t.co/fiiK0cvrEJ"
,,,,,,"@kevsge I'm a journalist, would love to ask you a few questions about your SRC win. Dm me if you'd like to talk!"
,,,,,,"@bradfie Thank you!"
,,,,,,"RT @WomenintheWorld: .@shainashealy with a profile of Fadwa Barghouti, the unflappable voice of a jailed Palestinian freedom fighter: https…"
,,,,,,"RT @lauraklivans: Tune in to @KQED_CalReport Magazine today to learn what happened to 3 homeless students we covered 6 mos ago. https://t.c…"
,,,,,,"Please listen to this important, moving, beautiful story by @lauraklivans about a young homeless woman's journey https://t.co/s6W7PvwZE5"
,,,,,,"RT @lauraklivans: In Dec, I followed a homeless college student, Brittany. Then her life changed in a huge way. Here's what happened. https…"
,,,,,,"It was an honor to represent @dmatziaraki and @ucbsoj at the #BAFTAStudents awards. Congrats Daphne! https://t.co/NdtjJSXMou"
,,,,,,"@alex_javier1 I'm a writer working on a story about colloidal silver. Saw u use GHC goods, do you use silver? DM me if u want to talk!"
,,,,,,"@Hermie_85 I'm a writer working on a story about colloidal silver. Saw u use GHC goods, do you use silver? DM me if u want to talk about it!"
,,,,,,"RT @lauraklivans: Just heard an incredible @snapjudgment by @shainashealy. Recommended listen! Sperm Smuggling in Palestine."
,,,,,,"RT @WillOremus: Fascinating &amp; troubling thread that is also (to me) an interesting experiment in publisher tweet-storming. https://t.co/DtR…"
,,,,,,"RT @chrissyfarr: Let's stop worshipping risk-taking ""visionary"" founders -- couldn't agree more with @MattRosoff https://t.co/yVFu0ONolz"
,,,,,,"RT @MegKinnardAP: BREAKING: FLINT, Mich. (AP) — The head of Michigan's health department is charged with involuntary manslaughter in the Fl…"
,,,,,,"RT @RetractionWatch: Scientist screwed up? Send 'em to researcher rehab. (Not everyone agrees with this approach.) https://t.co/gl5wAiD3Qc…"
,,,,,,"RT @NicoleRPrause: -Masturbation as Medicine- by @MalloryLPickett ""We're going to be fighting this the whole way"" https://t.co/mm9TOUZGos #…"
,,,,,,"My latest for @WIRED: Fallen scientists get a shot at redemption, but not everyone thinks they deserve it. https://t.co/bCGeswxOVh #science"
,,,,,,"@FoodBeerScience Thanks Jenna, so nice! :) Glad you enjoyed it"
,,,,,,"Weekend podcast: @shainashealy 's @snapjudgment story on Palestinian Sperm Smuggling. So beautiful and sad https://t.co/SxZcjQmJuj via @WNYC"
,,,,,,"@jonlovett when's the next LA  #lovettorleaveit and when can we get tickets? Jealous DC got two shows in one week!"
,,,,,,"RT @Atul_Gawande: This will ultimately matter even more to your and others' lives than the news dominating the airwaves. https://t.co/D3cvD…"
,,,,,,"RT @mattyglesias: Russia is the investigation we have. Tax evasion is the investigation we deserve. https://t.co/CqeFfcWdeY"
,,,,,,"RT @longwall26: Comey: He's guilty
Democrats: He's guilty
Trump: I'm guilty
Republicans: We may never get to the bottom of this"
,,,,,,"RT @jmooallem: I see everyone identifying with the guy mowing. Try to remember: we're the tornado. https://t.co/TKz2sZrATU"
,,,,,,"RT @EricHolthaus: Meanwhile, 10,000 miles south of the White House Rose Garden... https://t.co/NEGZMnmOlv"
,,,,,,"@ILWU13news I'm a reporter, researching a story on port automation &amp;effect on workers. Would love to talk to someone from ILWU13, pls dm me!"
,,,,,,"RT @jonfavs: Good for Elon. This is the right move. Every other CEO should follow suit, and then speak out loudly against this lunacy. http…"
,,,,,,"@sewsueme @WIRED Yep! Thank you, so nice!"
,,,,,,"RT @DLeonhardt: Subscribers of the NYT, WaPo &amp; other publications are paying for the investigations and oversight that the U.S. Congress wo…"
,,,,,,"RT @jbenton: Somehow, “President Asks FBI Director to Jail Reporters” is only the third-biggest Trump-related story of the last 24 hours"
,,,,,,"RT @FiveThirtyEight: This is the highest disapproval rating we've measured for Trump so far. https://t.co/8Ygtnox0LR https://t.co/Cj0coJJfa5"
,,,,,,"RT @nxthompson: James Comey could end up the man most responsible for Trump's election and his impeachment."
,,,,,,"RT @rominlee: V proud of you @ginapollack @ucbsoj https://t.co/eUKAM1JJ0Y"
,,,,,,"RT @jonfavs: Paul Ryan called for Hillary to lose her security clearance but I don't expect he'll have anything to say about this https://t…"
,,,,,,"RT @danpfeiffer: While Trump was lighting himself on fire on Twitter, Jeff Sessions did something reprehensible that will affect millions o…"
,,,,,,"RT @ElizKolbert: One piece of good news stands out in an alarming stream of bad... https://t.co/o1xr9ZUAQN"
,,,,,,"RT @eosnos: Serious question: Where are Comey’s files right now? Who controls them? After Nixon fired special prosecutor, office was sealed…"
,,,,,,"RT @brianbeutler: If there were any reasons to doubt the magnitude of today's news, this should put them to rest. https://t.co/CJL1SIFMkn"
,,,,,,"RT @jonlovett: Donald Trump can't erode our democratic institutions without Paul Ryan's permission, which so far he has had."
,,,,,,"RT @ucbsoj: Alum Mallory Pickett ('16) has published her 1st @NYTmag feature: a look at Hollywood's #VFX industry https://t.co/GtfZSnyRi9 #…"
,,,,,,"@R_G_Caballero @_BoydFerguson @nytimes thanks for reading!"
,,,,,,"RT @lauraklivans: Just doing some wknd morning rdg of the NYT Mag @MalloryLPickett https://t.co/PQhvQmG4GN @ucbsoj"
,,,,,,"RT @Reuters: UPDATE: Macron campaign says it has been the victim of a massive, coordinated hacking operation. https://t.co/dZ210WM8aZ https…"
,,,,,,"RT @Tojek_VFX: Great article #VFX and the migrating jobs we follow around the globe.  Fine quotes from @VFXSoldier, @robbwgardner https://t…"
,,,,,,"RT @shainashealy: I've met a lot a lot of very bold women in these parts. Muna Assaf is one of them. More bamf lady news coming soon... htt…"
,,,,,,"RT @jonlovett: AHCA CUTS MEDICAID BY $880 BILLION. It's a reversal far more destructive than ""read my lips"" but hey, Trump's a liar, everyb…"
,,,,,,"@elisapannini @nytimes Thanks for reading!"
,,,,,,"RT @elisapannini: Well researched article on the VFX industry by  @MalloryLPickett @nytimes 
https ://nyti.ms/2pKnfm5"
,,,,,,"@ColinMcLaughlin @NYTmag glad you enjoyed it!"
,,,,,,"My first for @NYTmag: Why movie magic is so often made thousands of miles away from Hollywood. https://t.co/8aKA4SV16m  #vfx"
,,,,,,"RT @BFriedmanDC: Trump: ""People don't ask that question, but why was there the Civil War?"" Literally a question on the test to become an Am…"
,,,,,,"@StephenFollows I'm a journalist working on a story about vfx for a high-profile nat'l pub. Have a quick Q for you, dm me for more info plz!"
,,,,,,"@jordanbateman I'm a US journalist working on a story about vfx and film subsidies, I have a quick Q for you, can you dm me plz? Thx!"
,,,,,,"@BillWestenhofer I'm a journalist working on a story about vfx for a high profile nat'l pub. Would love to ask u a few Q's, plz dm me!"
,,,,,,"RT @emilynussbaum: The TK Administration https://t.co/CIyb4Gd9eM"
,,,,,,"@dneg I'm a journalist writing for a high-profile US pub. would love to speak to someone from your team asap, if interested plz dm me!"
,,,,,,"@Framestore I'm a journalist writing for a high-profile US pub. would love to speak to someone from your team asap, if interested plz dm me!"
,,,,,,"@mikegatto I'm a journalist working on a story about the vfx industry for a high-profile nat'l pub. Just sent you a dm"
