NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
Mensah_23,5070,8160,"Pro Footballer at Aldershot Town FC ⚽️",1117748,2971,"There were some great deals! Hope you all treated yourselves😂😂 https://t.co/lB2OBtJ3n6"
,,,,,,"RT @FChanceF: @BigLotteryFund @comicrelief @UNICEF @optimumgroupser @smpbrixton @ckkonadu @RobinLockhart68 @KitAid @FAZFootball @youngy18 @…"
,,,,,,"@AdamMcDonnell97 @callums_world @Kappadeano Only cause you couldn’t beat the first man on set pieces 🙄"
,,,,,,"No better feeling than winning💪🏾🤣 https://t.co/ywYKXk9aNc"
,,,,,,"Yesterday was fun! https://t.co/8ebPccghBh"
,,,,,,"@MannyOyeleke Triple B🙌🏾🙌🏾🙌🏾🙌🏾 https://t.co/lfRiZSvmxZ"
,,,,,,"Excited to be back at the EBB tomorrow. Big game, big occasion. Proud to be a part of it – hope to see lots of… https://t.co/v2c4wEbMZ3"
,,,,,,"Almost as tense as our game yesterday @MannyOyeleke 😂😂😂 https://t.co/aNY5yqRR4y"
,,,,,,"RT @Kappadeano: @Mensah_23 levels the score for @OfficialShots tonight. Take a bow! Quality finish ⚽️⚽️⚽️⚽️⚽️ #SloMo https://t.co/kxdxOj61pK"
,,,,,,"Gonna miss you brother❤️❤️ https://t.co/y0j59PIeyG"
,,,,,,"RT @Sanchooo10: I've come a long way from being a kid, playing football on my estate!! Saturday was a big day for me. Making my professiona…"
,,,,,,"RT @FChanceF: Please share &amp; retweet with everyone you know ! If you want to get involved message us or email via info@footballchancefounda…"
,,,,,,"When you’re an 11/10 so they decide to put you on the cover of @voguemagazine 😎… https://t.co/nn3KAKiN0j"
,,,,,,"RT @TitusONeilWWE: https://t.co/eFcB9akhqU"
,,,,,,"@CaptainChris90 Broooo that picture had me crying!!! Too much jokes 😂😂😂😂"
,,,,,,"Happy Birthday @CaptainChris90! Hope you have a blessed day brother🙌🏾 #MoreLife 👶🏾 https://t.co/5nBTttvJMJ"
,,,,,,"Big Big Big Tweet🙌🏾👏🏾 https://t.co/ZAuthiFenE"
,,,,,,"RT @Sporf: QUOTE: @FilipeLuis: ""80% of young players go around with a branded bag, €400 shoes, 8 tattoos...and they think they're stars."" 👀…"
,,,,,,"RT @CaptainChris90: It is with great pleasure to announce that I have signed for @OfficialClarets ⚽️ let the journey begin...God bless ever…"
,,,,,,"@CaptainChris90 Soon come brother! Believe in Gods plan🙌🏾"
,,,,,,"Congrats @CaptainChris90 on your move brother! Good to see you climbing back up the leagues again! Soon reach the football league 🙌🏾❤️"
,,,,,,"RT @messi10stats: For those who missed it - Messi's hattrick vs Ecuador to send Argentina to the World Cup. What a performance!!  https://t…"
,,,,,,"Kendrick Lamar tickets booked😎🙌🏾"
,,,,,,"RT @JayPeey: HOLD UP SO AFTER ALL THAT IT IS HER THAT WAS DOING DIRTY. NO GUILT WHATSOEVER https://t.co/2upooUoBmp"
,,,,,,"RT @BleacherReport: When you’re making almost $500K per game for the next 5 years (via @SneakerReporter) https://t.co/0BkhOA3NhA"
,,,,,,"Better from you Matty❤️ https://t.co/UeJg16pWSd"
,,,,,,"RT @GeorgeFoster72: IN HEELS 💃🏾 https://t.co/UL1PS8s5ls"
,,,,,,"RT @FChanceF: Saturday can only mean on thing, SMILES and FOOTBALL for everyone! #Makeadifference  🇬🇧⚽️🇿🇲 https://t.co/D3WVtctzEa"
,,,,,,"@MannyOyeleke he's the best TV pundit/commentator ever!!! The passion❤️❤️❤️ https://t.co/qXniSBF5Pn"
,,,,,,"About time you scored @SRENS09 👏🏾👏🏾👏🏾 https://t.co/BQXiE9aC2a"
,,,,,,"Man like Gav with the double⚽️⚽️ Congrats brooo🙌🏾👊🏾 https://t.co/vHy9zAqO0Y"
,,,,,,"Everyone give footballchancefoundation charity a follow, a charity that I support and work with… https://t.co/56rd1c124N"
,,,,,,"RT @usopen: 6-3, 6-3, 6-4.

@RafaelNadal defeats Kevin Anderson to win his 3rd #USOpen title and 16th career Grand Slam🏆! https://t.co/rJAN…"
,,,,,,"You can be the Princess but Serena still the Queen👸🏾 https://t.co/zzM6DmJMZV"
,,,,,,"Dembele looked like a kid who won a competition to play a match with his idols 😂😂"
,,,,,,"It's 2017 and people still can't bang the Candy Dance correct 🤦🏾‍♂️"
,,,,,,"RT @RafaelNadal: Match point. Always a special feeling and a tough one! #USOpen https://t.co/UpGRCTf9hD"
,,,,,,"@JayPeey As you can see here! I'm a guy who scores all types of goals😎😊 https://t.co/e7qflxlbju"
,,,,,,"RT @Sanchooo10: Good first session today, also nice meeting the fans for the first time 🙌🏼 @BVB https://t.co/0ukw2JV5kK"
,,,,,,"RT @usopen: Congratulations to @serenawilliams for giving birth to a baby girl!

Sending you ❤️ from your friends &amp; family at the #USOpen a…"
,,,,,,"Does anyone even watch England anymore??🤔"
,,,,,,"RT @AberdeenFC: BREAKING NEWS | Dons get Ball over the line on Deadline Day...
#StandFree https://t.co/ar69njud9r"
,,,,,,"RT @BVB: 🤝 Der BVB verpflichtet Toptalent Jadon #Sancho (17) von @ManCity! // Borussia Dortmund sign Jadon Sancho from Manchester City! htt…"
,,,,,,"RT @anthonyfjoshua: I think Floyd Mayweather &amp; Serena Williams do not get the credit they deserve~Legends in their respective sports..."
,,,,,,"I love this guy man 😂😂😂😂 https://t.co/45g226ynM6"
,,,,,,"RT @FChanceF: So with Notting Hill Carnival coming to a close we think some of our young people could of shown some of their moves. 🇿🇲🎼 htt…"
,,,,,,"💰The Money Team 💰"
,,,,,,"RT @PlayersTribune: ""The plane shut off ... then fell from the sky""

This is the story of the @ChapecoenseReal tragedy as told by three sur…"
,,,,,,"RT @TheRickyDavila: She warned us all.
She warned us all.
She warned us all.
https://t.co/r8wCibe2Ra"
,,,,,,"RT @PsychologyDoc: Man plants a tree in the same place every day — 37 years later, the world is amazed by the result https://t.co/hFOdLw827r"
,,,,,,"RT @FChanceF: A shout out to our supporter and pro @Mensah_23 who's boots have put smiles on many faces ⚽️ The power of football is somethi…"
,,,,,,"RT @Boro: .@BrittOfficials' first #Boro goals make it back-to-back wins at the Riverside! #UTB https://t.co/gcNwmvFcMW"
,,,,,,"GOALS GOALS GOALS!!!🙌🏾 https://t.co/gOybygJcaG"
,,,,,,"RT @OfficialShots: Who enjoyed yesterday then?

It certainly got the thumbs up from @Mensah_23! https://t.co/Hno5P9J7jl"
,,,,,,"Bolt got that sniper from the crowd🔫"
,,,,,,"It's Not Easy hats have dropped!!! DM me or @Osmann1987 for your orders!! Get following @itsnoteasyofficial on Inst… https://t.co/dkkQcexLpd"
,,,,,,"And that's why football's the best game in the world ⚽️"
,,,,,,"Already subscribed to Arsenal Fan TV😂"
,,,,,,"So my mate @Cams_01 is pretending to be a pundit! Some interesting views! Give him a watch😂 https://t.co/7HPFSgOhcM"
,,,,,,"GAME OF THRONES IS THE BEST SERIES TO GRACE TV👏🏾👏🏾👏🏾"
,,,,,,"Better from you!👏🏾 But we need to work on the celebration mate 😂 https://t.co/2BCpr8Og3T"
,,,,,,"YES BOYS!!! Best way to start the season!!!👏🏾👏🏾👏🏾 https://t.co/0gtc986QvP"
,,,,,,"Happy Birthday to the funniest guy in football @shamirfenelon ❤️ https://t.co/Yw1W3neBZo"
,,,,,,"RT @JOE_co_uk: Barcelona weren't ready for PSG's plan B... #Neymar https://t.co/IfFIrWBDru"
,,,,,,"RT @idriskanu_9: Thank you big bro ❤️. Big season for you ⚽️ https://t.co/5yhYtphdY4"
,,,,,,"Came a kid, left a young man! All the best young brother🙌🏾 @idriskanu_9 https://t.co/9izKI7ItJx"
,,,,,,"@callmewuzie what a character!! Too much banter😂😂😂 https://t.co/j7GyldCkal"
,,,,,,"@lottiemaclean Speeches where dead! Livs jump was banter tbh😂😂😂😂"
,,,,,,"@lottiemaclean @LoveIsland Can't deal with you! Least emotional thing ever 😑"
,,,,,,"@Coxy3012 @LukeONien Great times, shame we couldn't win it!"
,,,,,,"@Coxy3012 @LukeONien Nope but it was good to play against him"
,,,,,,"@Coxy3012 He didn't have his glasses! Only realised at the end the @LukeONien was playing😂"
,,,,,,"Someone I can call a brother ❤️ https://t.co/Xk125OM9a9"
,,,,,,"@AlexJakubiak 😂 https://t.co/8OW52pfXVp"
,,,,,,"Friday Feeling Ft @MannyOyeleke 💃🏾 https://t.co/vPBLfAddFB"
,,,,,,"WHY IS MONTANA SO STIFF WHEN SHES BUSSING A SKANK😂😂😂😂"
,,,,,,"We stay winning!!! God is good... All the time🎉 https://t.co/9qeEbHSJim"
,,,,,,"RT @WestHamUtd: ""Welcome to West Ham, my friend."" 😂 https://t.co/M1r94rcQq9"
,,,,,,"RT @idriskanu_9: New goal celebration 😂🤷🏿‍♂️@Mensah_23 https://t.co/uIB5u3dcuY"
,,,,,,"Jheeeze got some potential still! I got a few for us this season still brother 💃🏾 https://t.co/fmCkCmnUc5"
,,,,,,"RT @_AndyMillions: 95 Career Goals in 201 Career apps do the maths!! Overpriced? I think not!! #TMUK #BEAST #SPKD #Scores4Fun #theboro #mfc…"
,,,,,,"Congrats brother! All the hard work and success paying off!!💛❤️💚 https://t.co/2kIaqfoVmF"
,,,,,,"@callums_world If he comes to London we have to go man!!!!"
,,,,,,"RT @GameOfThrones: This Sunday. #WinterIsHere https://t.co/OxBDqc9HJn"
,,,,,,"RT @OfficialShots: We've all got that one friend who finds himself far too funny

@Mensah_23 @shamirfenelon https://t.co/2EjNBGhB4l"
