NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
Michaela,59810,906,"Anchor of 2 hour show on @HLNTV | Finding the common ground – watch weekdays at 3pmET/12pm PT
(Photo Credit: Kyle Christy Photography)",32423,4865,"Should you go see the new #TheDisasterArtist or stream #HitmansBodyguard? @NikkiNovak helps make your weekend pick!… https://t.co/Ywb7enlzwz"
,,,,,,"Hear the story of a mother on a quest to run in all National Parks in the continental U.S. to raise awareness for N… https://t.co/nnAsLsVdKX"
,,,,,,"NFL pledges millions of dollars to aid social justice. @Kdubblive breaks down why it's getting mixed reactions. https://t.co/h5hrwOP6ka"
,,,,,,"In the wake of Matt Lauer's firing, what's next for morning television? I'll discuss with @brianstelter at 4pm ET/1… https://t.co/khRvpILWAo"
,,,,,,"Not guilty verdict in Kate Steinle's murder trial stirs controversy. Tune in to @HLNtv now for my discussion with… https://t.co/UiJFdTikBU"
,,,,,,"Pediatrician testifies that 3-year-old Sherin Mathews showed signs of abuse before her death. @DrSophy discusses th… https://t.co/S99P1eNfyQ"
,,,,,,"Tampa suspect’s childhood friend says he’s “not necessarily the same person I remember growing up.” https://t.co/i7w5GysF3g"
,,,,,,"Russell Simmons steps down from his companies after sexual assault allegation. Tune in to @HLNTV at 4pm ET/1pm PT. https://t.co/Xzt6FA8VLR"
,,,,,,"Geraldo Rivera under fire for tweets about Matt Lauer. Tune in for the latest at 3pm ET/12pm PT on @HLNTV. https://t.co/oPz9F1RJ29"
,,,,,,"Teens taking #WeDineTogether program nationwide to ensure students create new relationships and don’t eat alone: “T… https://t.co/cnPQAET4ob"
,,,,,,"@crd228 Hey girl Hey! Thank you so kindly! We look forward to having you with us ✌🏽"
,,,,,,"Suspected serial killer arrested in Tampa. Uncle of victim remembers his niece: “She was always the light of everyb… https://t.co/follZaFnDo"
,,,,,,"After weeks of terror in a Tampa neighborhood, a suspected serial killer has been arrested. More details on the bre… https://t.co/cEbAw9qPOh"
,,,,,,"#GivingTuesday founder discusses the global day of giving back: “I think it proves how generous and creative people… https://t.co/zpTBON1Pzu"
,,,,,,"Planning a trip to the spa? Here's what you need to know to keep yourself safe. https://t.co/e4yD2y8S9w"
,,,,,,"#GRAMMYs nominations: Breaking down all of the surprises &amp; snubs with @iamscottevans. Who do you think deserved a n… https://t.co/WoDH6Q16Pm"
,,,,,,"Actress files civil lawsuit against Harvey Weinstein under the federal sex trafficking statute. @Itayhod discusses. https://t.co/tbiSm977X2"
,,,,,,"RT @StephanieElam: What does a hero look like? John Meffert could have died when a plane crashed in front of him on the highway. Instead he…"
,,,,,,".@PaulReiser discusses #TheresJohnny and the show's ""affectionate take"" on late-night TV legend Johnny Carson. https://t.co/3StvTerxx1"
