NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
Mixed___Gawdess,34,28,"•SC: Monae_alexa 🤤❤️  •C/O 2k18 👅",42987,4,"RT @SexualGif: boy boy boy... this shit here😋 https://t.co/GvhrrT3elu"
,,,,,,"RT @PrettyboiiDB_9: 😂😂 https://t.co/SvtB6fExMC"
,,,,,,"RT @BriannaColes_: Single &amp; talk to nobody"
,,,,,,"Word I Don’t 🤣 https://t.co/sC7B6mssKk"
,,,,,,"💯 https://t.co/dvWGeplCBI"
,,,,,,"😂😂 https://t.co/LbIClh1DoG"
,,,,,,"RT @Maxyfire: How Medical Students study for their Final exams https://t.co/Wun8gEbzv4"
,,,,,,"RT @aeefay: That ain't ya girl no more she belong to twitter https://t.co/K9CcyMDVXM"
,,,,,,"RT @Iifepost: tag them https://t.co/U863KOqHBr"
,,,,,,"RT @SensuaIgifss: eye contact during sex is so fucking sexy"
,,,,,,"Me Asf 😂😂😂😂 https://t.co/V1ZvrVM9qS"
,,,,,,"😩 https://t.co/lcJFCbtALB"
,,,,,,"🤦🏽‍♀️💯 https://t.co/yzjl1Bb3UO"
,,,,,,"RT @cvpcxke: the best girls are always gonna be the most difficult, so deal with it or get yourself a basic hoe"
,,,,,,"RT @PassThaBleezy: when he tell you  “slow down” but you heard “show off , do tricks &amp; start wilding tf out” https://t.co/mtr6SBXz6Z"
,,,,,,"RT @allure_essence: me getting accused of something I know I did https://t.co/KiwG3Bo4nI"
,,,,,,"RT @Royal_Freshhh: Girl if yo man can't pick you up and pin you against the wall you should think about a change. 😘"
,,,,,,"RT @neferteri__: Friend: guess who i seen 
Me: girl who? 
Friend: yo ex and guess what
Me: what? 
Friend: he was with that bitch he told yo…"
