NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
NewYorker,8300974,1610,"The New Yorker is a weekly magazine with a mix of reporting on politics and culture, humor and cartoons, fiction and poetry, and reviews and criticism.",19610,39942,"The empty, sanitized intimacy of “Call Me by Your Name”: https://t.co/8ZvJSMzhGr https://t.co/81vzSkEaH7"
,,,,,,"Emily Nussbaum on Samantha Bee’s slash-and-burn approach to political satire. https://t.co/Ga6CrFyVbw"
,,,,,,"In @tnyshouts: Trump’s desert-island sand trap. https://t.co/nyV1l1paK1"
,,,,,,"The leader of a group called the Initiative sees the rise of the far right in Europe, and the election of Donald Tr… https://t.co/0hKRO1drBb"
,,,,,,"A new film probes the legendary screen siren Hedy Lamarr’s other career: groundbreaking but often thwarted inventor. https://t.co/kA4bn7rZKW"
,,,,,,"Unlike Reaganomics, which passed with bipartisan support, Trumponomics cheats just about every voter except the sup… https://t.co/yVfGZnTbCZ"
,,,,,,"The President insists that the investigations into Russian meddling amount to nothing more than fake news. But the… https://t.co/CAGIS9eMUs"
,,,,,,"@BorowitzReport: Scribbles by Mitch McConnell’s Grandchild Accidentally Incorporated Into G.O.P. Tax Bill. https://t.co/5fe6pFhIhV"
,,,,,,"Meet Irad and Jose Ortiz, two Puerto Rican jockeys, age 25 and 24, whose rides have been electrifying New York’s ra… https://t.co/XeYN1gRJ95"
,,,,,,"Spend your Sunday with a collection of pieces about the comedians who help us understand and survive political chao… https://t.co/HgGTHYZ8hk"
,,,,,,"Pauli Murray was an architect of the civil-rights struggle—and the women’s movement. Why haven’t you heard of her?… https://t.co/hiwpeaaEhj"
,,,,,,"Why facts don't change our minds: https://t.co/Tksbe7LkRS https://t.co/sOd3HpmzKG"
,,,,,,"When a Southern city takes down a Confederate monument, it rights an old wrong, and removes the source of an old gr… https://t.co/aIHmZ7MKtF"
,,,,,,"The brilliantly self-absorbed millennials of “Search Party”: https://t.co/C9Jhsi67Gd https://t.co/aFpnTSl9cA"
,,,,,,"Fortunately, in attacking the media Trump has in many ways strengthened it. https://t.co/zRJN4KNhTW"
,,,,,,"The teen brides of Georgia: https://t.co/PYw4ntxN1z https://t.co/wvgj5sKTKf"
,,,,,,"By the end of the 90s, Lake Chad, once the size of New Jersey, had shrunk by 95%, and much of the northern basin wa… https://t.co/3Pg3ZPKSqt"
,,,,,,"In her series of self-portraits set in the New Mexican desert, Laura Aguilar is at once part of the American land,… https://t.co/sjqqgUk5IW"
,,,,,,"Few pop musicians have seemed so futuristic and so weird for as long as Björk has: https://t.co/3aTIQOYHVS https://t.co/lKvAYLWATX"
,,,,,,"What “Antiques Roadshow” taught us: https://t.co/rOtnyztj15 https://t.co/00zR6k4WmJ"
,,,,,,"Leonard Bernstein’s “Kaddish” is difficult because of its ideas—and its pounding insistence on putting those ideas… https://t.co/nhcUwYU7cC"
,,,,,,"An illustrated stroll through Greenwich Village with the humorist and singer-songwriter Loudon Wainwright III:… https://t.co/grg9MMw3wV"
,,,,,,"Winston Churchill instinctively understood that statecraft is partly stagecraft: https://t.co/KJmG9FpRGE https://t.co/VTQEYqXO5z"
,,,,,,"David Sedaris has kept a diary for 40 years. He has filled 153 handmade notebooks. Here are some of the entries:… https://t.co/DbfnIA1Tzo"
,,,,,,"The play “The Parisian Woman” may be a response to the Trump White House, but it has trouble finding its angle on t… https://t.co/GA5sHdjDDB"
,,,,,,"Whether you adhere to using Retin-A for acne once a week, or go overboard—peel you will: https://t.co/dnqYv1DZwt https://t.co/3uH82ElYNg"
,,,,,,"For months, Trump has insisted that the investigations into Russian meddling amount to nothing more than fake news.… https://t.co/2wRmUT1363"
,,,,,,"How the Lake Chad region was devastated by climate change, violent extremism, food insecurity, population explosion… https://t.co/Mcq8ivLMGp"
,,,,,,"Why has R. Kelly's career thrived despite sexual misconduct allegations?
 https://t.co/z8r1mH2M97 https://t.co/NQy8izpV4u"
,,,,,,"Though Bruno Mars is arguably the most instinctive and enthralling showman of his generation, the pop singer can fe… https://t.co/zw41LLLbLp"
,,,,,,"Donald Trump is not generally known for his magnanimous impulses toward former associates, so the question of why h… https://t.co/S0EYf1NOQF"
,,,,,,"""Having watched this movie twice, I still can’t define it. Maybe I need another plunge,"" Anthony Lane writes about… https://t.co/p5hxzvbCs9"
,,,,,,"Roy Moore had been banned from a mall in Gadsden, Alabama, because he badgered teen girls, residents of the town, i… https://t.co/zs9bre1po7"
,,,,,,"The anti-natalist philosopher David Benatar argues that it would be better if no one had children ever again. https://t.co/69EDwL93Ts"
,,,,,,"A tale of two jockeys: https://t.co/ghcOAurGBh https://t.co/IJrPWSTYel"
,,,,,,"In this series, the photographer Vincent Ferrané documents his wife breastfeeding their infant child:… https://t.co/aF2ZZN9AnM"
