NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
OG_Smithster,8,0,"06/25 ⛽️ Cancer 🚀💸🙏",0,0,"Zone1️⃣5️⃣➡️🆙town ®️aised 💯 https://t.co/ukT11qW6Z7"
,,,,,,"Chill I’m 🅾️nly 1️⃣5️⃣#2️⃣0️⃣0️⃣0️⃣s Baby 👶 https://t.co/LURhWPMzMs"
,,,,,,"That’s My Dawg 🆗🎯Follow My Boy @_1015g https://t.co/RfaW405MWE"
,,,,,,"Lincoln Heights Finest 🔟1️⃣5️⃣🎃 https://t.co/rZJnav3RfY"
,,,,,,"Extort yo big homie 🤐💯🎃 https://t.co/JEcOrMQSOq"
,,,,,,"Count money 💰 fuck hoes 👯 make sure you get money 🎯💯🙏 https://t.co/HdvzuguyRx"
,,,,,,"#NewProfilePic😎🖕🏾💸😶 https://t.co/Yff2nMABlc"
,,,,,,"#️⃣🏀5️⃣🎯 https://t.co/ZLgcJyytJz"
,,,,,,"King 👑Smith💔🤑😈💸 https://t.co/7pZwkFdu7Z"
,,,,,,"🔟1️⃣5️⃣ Associated 👑⛽️😇 https://t.co/HufSOFSOqd"
,,,,,,"🔟1️⃣5️⃣ Associated 👑⛽️ https://t.co/nieJ9u40oF"
,,,,,,"👑⛽️🤐 https://t.co/GnFUOXvJW1"
,,,,,,"He A double felon how he back on instagram??🙇🏾🤔🔥🔥 #️⃣🏀5️⃣🎯 https://t.co/qzGm7Ttewd"
