NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
RAEngNews,20794,2111,"As the UK's national academy for engineering we bring together the most successful and talented engineers to advance and promote excellence in the profession.",2671,1487,"Receive up to £100,000 to pursue interdisciplinary and curiosity-driven research! Apply for the APEX Award scheme b… https://t.co/G6PWNgh5hZ"
,,,,,,"Academy recognised for excellence in Diversity and Inclusion: https://t.co/8D859BzAZW #EngDiversity https://t.co/wNfMudEbye"
,,,,,,"The Academy is delighted to announce that Dr Hayaatun Sillem has been appointed as our new Chief Executive, succeed… https://t.co/f0H0Eu58Zx"
,,,,,,"Our video series raising awareness of #LGBT engineers with @MottMacDonald and @InterEngLGBT won @EiDAWARDS Best Div… https://t.co/02BE8KTSKN"
,,,,,,"RT @EiDAWARDS: The Winner of the Best Diversity Resource Award is @MottMacDonald, @InterEngLGBT &amp; @RAEngNews!! Mott MacDonald, InterEnginee…"
,,,,,,"RT @ECITB_Skills: We've published a report on the #economic footprint of the #engineeringconstruction industry. Find out how the #ECI emplo…"
,,,,,,"RT @InclusiveTop50: #41 @RAEngNews #IT50 GreatWork!! https://t.co/y4EbzsPyzl"
,,,,,,"Join us for a high-impact and interactive event to promote and support the next generation of young women leaders i… https://t.co/8x51cPiOAE"
,,,,,,"Discover all the shortlisted entrants, finalists and winners of the #AfricaPrize for Engineering Innovation with ou… https://t.co/NLATvoEHpb"
,,,,,,"@BushraSez Thanks for sharing your photo from our New Scientist Live stand, Bushra, and congratulations! For sharin… https://t.co/GPWdzqNXrm"
,,,,,,"RT @EiDAWARDS: #Goodluck to @MottMacDonald &amp; @InterEngLGBT &amp; @RAEngNews  Shortlisted for Best Diversity Resource of the Year. #EiDA17 https…"
,,,,,,"Listen to our debate from @instofideas' #BattleofIdeas - ""From #AI to #BigData: can tech save the NHS?""… https://t.co/hewnlfCduL"
,,,,,,"Read the Academy's response to the government's #IndustrialStrategy white paper, published earlier this week:… https://t.co/6V22QN2BcN"
,,,,,,"RT @RAEng_Hub: We're excited to announce a new Enterprise Fellowship for graduates based in the North East of England: https://t.co/xFfdRlx…"
,,,,,,"From the catalytic convertor to the CT scanner, the #MacRobertAward has successfully predicted ‘the next big thing’… https://t.co/quisVsNFR7"
,,,,,,"We are delighted to announce that Dr Hayaatun Sillem has been appointed as our new Chief Executive, with effect fro… https://t.co/DbGyJWSrVQ"
,,,,,,"What will it mean when cars can drive themselves? Interesting piece, including comments from Academy Fellow Prof Ma… https://t.co/LdRx3C7UVw"
,,,,,,"RT @TheIET: Have you seen today's @CosmopolitanUK? 

Our #PortraitofanEngineer campaign features (p114-15) to dispel the typical image of w…"
,,,,,,"The @RAEngMacRobert recognises an outstanding engineering innovation that has proven commercial success and tangibl… https://t.co/YNHdxZUH0b"
,,,,,,"RT @turinginst: Our live stream starts at 2pm https://t.co/gYaNTiYbl7 - join the conversation #TuringLecture #TuringAI! You can also take p…"
,,,,,,"We welcome the focus on the four grand challenges of artificial intelligence and big data, clean growth, the future… https://t.co/IRh7c6W9fI"
,,,,,,"Congratulations to our President Dame Ann Dowling, who is one of eighteen foreign academics elected to the Chinese… https://t.co/kP9cvQOrrK"
,,,,,,"RT @Camtechpole: “If you design things right, you’ll have a long term advantage over your competition” @DrJCTOBE sharing extraordinary insi…"
,,,,,,"#RAEngResearch Fellow wins first #NewtonPrize in Vietnam for developing a communications system that can operate in… https://t.co/Wq8Yw61hq7"
,,,,,,"RT @AnitaBernie: Who will be the first woman on the moon?
https://t.co/9ymfhZ0cdT
Here’s to some of the amazing female engineers and scient…"
,,,,,,"2018 is going to be the Year of Engineering. How will you #inspireanengineer? https://t.co/Spsx8Lwsdm @YoEgovuk #YoE https://t.co/p3bw926FuJ"
,,,,,,"Read our full response to the government's #IndustrialStrategy white paper: https://t.co/fkjatlFS95 #STEM… https://t.co/qmupwdaGgG"
,,,,,,"Meet the 2018 #AfricaPrize shortlist, which recognises the most talented engineers from across sub-Saharan Africa.… https://t.co/V5lbM6HLU6"
,,,,,,"Join us on 11 December for an impact-driven conference that aims to inspire young British and Arab women to enter i… https://t.co/vfcLbjICTz"
,,,,,,"RT @RAEng_Hub: We're looking for outstanding entrepreneurial engineers, working at a London-based university, to #spinout a business: https…"
,,,,,,"The Academy responds to today’s publication of the government’s #IndustrialStrategy white paper. Engineering is cru… https://t.co/e5oj8gjjYv"
