NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
RobbieBarstool,35832,20650,"Wrestling/MMA/Movies/Nerd Shit for @barstoolsports | My podcast is called @FromTheTop(Rope)",29544,26693,"RT @LightsCameraPod: This is the dream right here, folks. #TheLastJedi https://t.co/4kGyovIGrw"
,,,,,,"@yodair21 Nah it was solid on Hoth"
,,,,,,"How pissed do you gotta be if you're a Stormtrooper and you show up to Endor with your shiny ass plastic bright whi… https://t.co/o9u8rA3hUA"
,,,,,,"Shoulda called @HulkHogan brother he would've torn it down with a legdrop -RF

https://t.co/OV93UHOlJd"
,,,,,,"@duttysamg Batman/Superman are DC Heroes"
,,,,,,"RT @HulkHogan: #PontaicSilverdome if you are really done just call@WWE  and Hulk Hogan and we will tear down the place again brother HH"
,,,,,,"@KORcombat So sorry for your loss Kyle. Thoughts with your family."
,,,,,,"Thinking about ordering some green tinted glasses on Amazon so I can give everything in life the filter they used i… https://t.co/6eXAnlRtqc"
,,,,,,"Uh oh. I'm back on my bullshit, as the Natedawg would say. https://t.co/z99gYPNz0i"
,,,,,,"@LightsCameraPod @JeffDLowe @trillballins @LCPkenjac On The Border. I worked there and dropped a big ol thing of food once. Traumatized me."
,,,,,,"@RockWalkLondon Nice."
,,,,,,"@lthomasnews UFC champ (Rafael dos Anjos)"
,,,,,,"The Boogeyman is checking under his bed for Francis Ngannou tonight."
,,,,,,"HIDE YOUR GRANDPARENTS, YOUR PARENTS, YOUR CHILDREN, YOUR PETS, ETC. FRANCIS IS KNOCKING EVERYONE OUT! https://t.co/kikWlQ2waO"
,,,,,,"Max Holloway Capped Off A Great Night Of Violence With A Rough Beatdown Over Jose Aldo https://t.co/tGZWGY4vGZ"
,,,,,,"@D_Coff Max is night and day a different fighter from that Conor fight. I'm the biggest McGregor fan in the world b… https://t.co/Bt6l9RGxXC"
,,,,,,"@natepoole89 About to publish my post fight blog"
,,,,,,"@mbrowner55 you take my parlay?"
,,,,,,"Max Holloway and his son just dabbed all over us. He starts his post-fight interview with his catchphrase...

""It i… https://t.co/Ht9PguE7wI"
,,,,,,"Joe Rogan calls Max Holloway the best Featherweight of all time and man, it's close, but hard to argue at this poin… https://t.co/JlfEuMIeMc"
