NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
RoyaMahboob,8360,4073,"Named in the 2013 #TIME100 Most Influential People in the World. Founder of EdyEdy, Co-Founder & CEO of @digitalcitizenf",34051,2358,"RT @nowthisnews: This all-girls robotics team from Afghanistan was once denied entry into the U.S. — now they're champions https://t.co/IMP…"
,,,,,,"Afghan girls' robotics team banned from the US win top European prize https://t.co/9bn272OWAc"
,,,,,,"RT @AgileTD: Today @RoyaMahboob and the Afghan Girls Robotic Team visited the Werner von Siemens High School in Berlin and shared their sto…"
,,,,,,"RT @claire1ancaster: Lovely writing this story about these inspiring entrepreneurs: Meet the all-girl Afghan robotics team who just won gol…"
,,,,,,"RT @NITIAayog: Women First, Prosperity for All! Our panelists @sbikh, @Radha_Kapoor, @AnoushehAnsari, @RoyaMahboob &amp; @RajanAnandan  discuss…"
,,,,,,"Meet the All-Girl Afghan Robotics Team Who Just Won Gold at Europe's Biggest Robotics Festival via @culturetrip https://t.co/yFGT7FFim4"
,,,,,,"Afghan Girls’ Robotics Team Overcomes Setbacks to Win Contest in Europe https://t.co/jmJ3qZn8ia"
,,,,,,"RT @glblctznIN: At #GES2017: Innovations that bridge the digital divide discussion with @RoyaMahboob @AnoushehAnsari @RajanAnandan https://…"
,,,,,,"@fpoplady Thank you Farhat jan,"
,,,,,,"RT @KeithKlain: Very humbled to be included in this incredible group of people, but so happy for the team to get the recognition it deserve…"
,,,,,,"RT @Embassy_of_AFG: Another round of congratulations to the girls robotics team for winning the entrepreneur challenge at the Estonian  Rob…"
,,,,,,"RT @hmohib: Congratulations #AfghanRoboticsTeam for this achievement and making us ever more proud. Thank you @RoyaMahboob for your continu…"
,,,,,,"@MahmoudSaikal Thank you Ambassador @MahmoudSaikal  for your support!"
,,,,,,"RT @MahmoudSaikal: Congrats to our Girls Robotics Team. They have had big achievements in 2017! https://t.co/LkDJhKfJdL"
,,,,,,"RT @AmbMellbin: Another great win for the Afghan Girls Robotics Team! Afghan youth continues to show the way forward. #GoGirl #Robotics #Af…"
,,,,,,"@hmohib Thank you Ambassador @hmohib for all your kind support."
,,,,,,"@ahmadigulhusain Thank you Ambassador,"
,,,,,,"RT @Afghan_Emb_LON: Congratulations to our Afghan Girls Robotics Team for winning the entrepreneur challenge in the biggest Robotics Festiv…"
