NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
SaraEisen,88811,2063,"@CNBC @cnbcwex 5 am and @SquawkStreet 10 am. first love: foreign exchange https://t.co/XAlrkmuynB",3445,8705,"“We're going to do nothing that would lend creadence to an idea that we are making concessions to address someone's… https://t.co/rRKPKtwars"
,,,,,,"Another highly respected economist pick for Fed board from @realDonaldTrump. Policy continuity though not so clear.… https://t.co/enx4ezXPV5"
,,,,,,"RT @BloombergBriefs: Wall Street (and Bloomberg) lost one of its best and brightest yesterday. RIP: Rich Yamarone by @ritholtz https://t.co…"
,,,,,,"I can’t believe I’m missing this monster move #Bitcoin11k @SquawkStreet @carlquintanilla https://t.co/2muUZ5BpCy"
,,,,,,"Rich @Yamarone: the warmest, funniest and most thoughtful economist and friend. called me “sister Sara” He will be missed."
,,,,,,"#GivingTuesday2017 @RoomtoRead  for girls’ education https://t.co/pMQHZ4wLep @diddy"
,,,,,,"Off but obviously monitoring bitcoin to $10k: Busting into the mainstream or biggest bubble ever? https://t.co/dl35gbGixG #Bitcoin10K"
,,,,,,"When Meg Whitman leaves HPE, that will leave 25 S&amp;P companies led by women. When Staples goes private, it will be O… https://t.co/odr3vLE09Q"
,,,,,,"P&amp;G says ""the IVS tabulation results are preliminary and are going through the customary review to ensure a final a… https://t.co/B4KX6qaKM6"
,,,,,,"Can AT&amp;T use this in their defense against DOJ suit blocking Time Warner deal? https://t.co/yuFBJNYsNk"
,,,,,,"Footwear looked like it would be a hot growth area for UA but has not delivered $uaa https://t.co/0cbnhdSh3p"
,,,,,,"President Trump will have 4 Fed board member spots to fill out of a 7-member board. Wow."
,,,,,,"Still the “most pro business administration since the founding fathers” @DowChemical Andrew Liveris?… https://t.co/EI8Ep7n1oN"
,,,,,,"RT @DiMartinoBooth: Applaud Stephenson’s defense of sanctity of the First Amendment. https://t.co/tr6y1aWVCE"
,,,,,,"“Today's DOJ lawsuit is a radical and inexplicable departure from decades of antitrust precedent” AT&amp;T says in resp… https://t.co/nBGOpvUdF2"
,,,,,,"End of an era https://t.co/nGNlBUGWVb"
,,,,,,"""Hopefully that will be a big beautiful Christmas present"" @realDonaldTrump hopeful to pass tax reform, cuts by year end"
,,,,,,"Euro up as markets continue to brush off political risk. After 12 years of stability for Europe's stalwart economy… https://t.co/XiQX7qRbQ7"
,,,,,,"$eurusd https://t.co/7eWKuEKrgz"
,,,,,,"Thanks @tvnewser https://t.co/afLwPpGsOg"
,,,,,,"Bitcoin price up 95% or so since Jaime Dimon called it a fraud"
,,,,,,"RT @CNBC: Stitch Fix CEO says there are not enough female 'decision-makers at the top' https://t.co/NNSttBSKeh"
,,,,,,"Bill Gurley says bitcoin is going higher, Benchmark is invested in it, and it’s not a fraud."
,,,,,,"I see my sparkling lemonade (zero sugar) @BeverageDigest https://t.co/A0iYfqCfNx"
,,,,,,"How to get people excited about soda? Turn them into slushees. Coke's CEO gave us a demo https://t.co/x4RXiiBNDS"
,,,,,,"Why aren’t new hot companies run by women? Since 2014, only 1 in 20 U.S. IPOs are led by female CEOs via Rich Peter… https://t.co/rj0oFF0bur"
,,,,,,"Coca Cola plus with fiber! Too bad only in Japan. https://t.co/TBAxeuiiKR"
,,,,,,"Coke CEO James Quincey on reinventing the company, taxes, M&amp;A and more: full transcript  https://t.co/VSC0uznEJw"
,,,,,,"Coke CEO James Quincey tells us he’s not looking boost jobs and wages if able to repatriate $20b+ overseas cash at… https://t.co/PNJOzqlCjA"
,,,,,,"A new #brexit referendum?  @lloydblankfein suggests. Maybe not a bad idea given this https://t.co/5zOSODFBmL https://t.co/qjWgxq1Xtt"
,,,,,,"RT @angelicalavito: .@SaraEisen asked Coca-Cola's James Quincey about booze speculation. His response? 'Never say never,' but it 'doesn't m…"
,,,,,,"“We think we can help solve the obesity problem” James Quincey, Coke CEO $ko"
,,,,,,"Great cover shot @Enquirer ! @ProcterGamble hometown company in my hometown https://t.co/TwPFZzeVDw"
,,,,,,"Major #bitcoin https://t.co/gmWXkRTXWi"
,,,,,,"From Atlanta: Coke to roll out new 'local craft' drinks in the US this year. Georgia Peach and California Raspberry… https://t.co/JFCCIRGQAz"
,,,,,,"Huge twist in p&amp;g proxy fight: Prelim vote count by independent inspector reveals Nelson Peltz is actually ahead by… https://t.co/gRAcsy9Nu7"
,,,,,,"Yes @Benioff pay would be an overdue start... this is a must read https://t.co/LirzktVuN3"
,,,,,,"Combining many passions... fx + girls education. final days of @Citi #eforeducation which has raised millions for o… https://t.co/qkRBmrP93w"
,,,,,,"Nike and Adidas are Singles Day winners @Nike @adidas $nke $addyy https://t.co/Q8ujJvfKGV"
,,,,,,".@realDonaldTrump in Vietnam, whose stock market has outperformed the US since Election Day. Trump rally? https://t.co/IZ4VENwom9"
,,,,,,"Why? Can't blame strong dollar anymore... @CourtReagan https://t.co/AsIGJKdkGr"
,,,,,,"""Only battle he's winning is for the least popular president in modern history"" @mcuban on @realDonaldTrump"
,,,,,,"""Republican before democrat but most likely independent"" @mcuban on how he would run for President"
,,,,,,"""Whether it's me or Bob Iger or Howard Schultz, there's a door that's wide open"" for non-politicians  says @mcuban on running for President"
,,,,,,"Adidas signed Kanye West in Nov 2013. Since then its stock is up 103%. Nike is up 45% and Under Armour is -42% $adsgn.de $nke $uaa"
,,,,,,"Adidas ceo tells us NCAA indictment of exec Jim Gatto and bribery allegations won’t affect sales, basketball only r… https://t.co/QkcacaKR2c"
,,,,,,"bonds are usually smarter https://t.co/G4WpTAsDYJ"
,,,,,,"WH economic advisor Gary Cohn to @JohnJHarwood ""The most excited group out there are big CEOs, about our tax plan"" https://t.co/Qy4a0ldrYg"
,,,,,,"Adidas posts 31% growth in North America last quarter, as Under Armour and Nike see US slowdown. BUT @KimKardashian… https://t.co/WzvJ8l6osY"
,,,,,,"Whats going on with the drop in global bond yields? bund yield at lowest sine Sept. https://t.co/aWNjDwebtF"
,,,,,,"Throwback election day: ""Economists: A Trump win would tank the markets""
https://t.co/8lUZpQmEEM"
,,,,,,"Best performing currency in the 1 year since Trump elected? Russian Ruble +7% vs dollar. $USDRUB"
,,,,,,"Based on worldwide growth. Nikkei +33%, hang sang +27%, Kospi +27%, Dax +29% in same period S&amp;p rallied 21%… https://t.co/w7ViBimrXo"
,,,,,,"Trump rally in context https://t.co/hprUSZLeKh"
,,,,,,"Dudley, Yellen, Fischer: the Fed is losing some of its most experienced monetary experts. Is this not a risk? https://t.co/hddVQGKBR2"
,,,,,,"Tax Policy Center says 28% of Americans will pay MORE in taxes as a result of GOP tax reform by 2027 https://t.co/QTj8YHuiTV"
,,,,,,"Disney has been in talks to buy most of 21st Century Fox. scoop by @davidfaber https://t.co/HBjsJRGMDK"
,,,,,,"""about 75% of Japanese-brand vehicles sold in the U.S. are already built in North America"" https://t.co/OslcMiOYcd"
,,,,,,"""The EU, China and Japan all talk free trade and practice protectionism"" @SecretaryRoss @CNBCWEX"
,,,,,,"""There is nothing that wasn't disclosed. these holdings in Navigator were disclosed""@SecretaryRoss on @CNBCWEX"
,,,,,,"What a plug for @ThomasFarley and @NYSE as @POTUS pressures the Saudis https://t.co/BynmZNLHjq"
,,,,,,"Might @JeffBezos pull the ultimate power move and change the face of the most important swing state in the country?… https://t.co/fCotFIXO8Z"
,,,,,,"RT @Morning_Joe: Economy adds 261,000 jobs in October. @SaraEisen https://t.co/bT6WP83lrI #morningjoe"
