NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
Slopadopolis,31,112,,776,16,"I never thought espn could be turned into  this. one day we will look back and remember when we used to watch highlights and not propaganda"
,,,,,,"So does caitlyn or Bruce Jenner get to be represented on the Olympic statue"
,,,,,,"@notaxation common sense will you do a show on Thomas Paine. The forgotten hero of the Revolution"
,,,,,,"We are a nation built on freedom, but yet we have spent more of our time as a nation at war than not. Freedom or military industrial complex"
,,,,,,"Washington post has a 600 million dollar contract with the cia.... Russia just hacked my twitter"
,,,,,,https://t.co/9QTmlLcLYu
,,,,,,"There is nothing like a cop circling a bar to catch ppl to say freedom.... Freedom isn't free."
,,,,,,"# thank you John Oliver"
,,,,,,"I will always love Tom petty"
,,,,,,"#merica https://t.co/RpWK1Rp6wb"
,,,,,,"#merica https://t.co/KF95dlq6jr"
,,,,,,"Please don't let me be misunderstood #noidea"
,,,,,,"@anniejae2012 3blunts"
,,,,,,"Requiem for the American dream"
,,,,,,"Joe dirt on the hill tonight for the reds #life'sagardendigit"
,,,,,,"Kobe forever"
,,,,,,"The best thing about bartending is making ppl happy."
,,,,,,"One question.   Why?   To all political candidates?   And if you give the to make America great again slogan then you are an obvious liar."
,,,,,,"What Is change?"
,,,,,,"Thank you for the news room..... If we had ppl in real life this would be a better place.... That's how I got to Memphis."
,,,,,,"In one night we realize that the seeds of the tournament are more important than the seeds of an American farmer."
,,,,,,"We believe"
,,,,,,Freedom
,,,,,,Love
,,,,,,http://t.co/rLzLfwOCV7
,,,,,,"important factor was a higher host-resistance due to better nutrition."" -Ivan Illich, Medical Nemesis, Bantam Books, 1977"
,,,,,,"In part, this recession may be attributed to improved housing and to a decrease in the virulence of micro-organisms, but by far the most"
,,,,,,"of the total decline in mortality between 1860 and 1965 had occurred before the introduction of antibiotics and widespread immunization."
,,,,,,"The combined death rate from scarlet fever, diphtheria, whooping cough and measles among children up to fifteen shows that nearly 90 percent"
,,,,,,"Top gov't. scientists say no to vaccines for their kids
 
Los Alamos, New Mexico
 
By Jon Rappoport
March 26, 2015
http://t.co/GG988RNThX"
,,,,,,"NAFTA on steroids is being secretly pushed through it will be known as the TPP trans- Pacific partnership... Big business Christmas present"
,,,,,,"20 yrs of NAFTA and we have achieved 2 destroyed economies...who has really benefited... #end NAFTA"
,,,,,,"Rand Paul Plans Bill To End Police Militarization

Presidential hopeful will target Pentagon transfers of weapons and vehicles to cops"
,,,,,,http://t.co/HKfu97X84q
,,,,,,"90 Pounds of Cocaine Found on Cargo Ship Owned by Senate Majority Leader Mitch McConnell’s Father-in-Law"
,,,,,,"Nick sabans house paid for by boosters 3.1 million Todd gurley signs his own name for 3 grand suspended for 4 games... Genius"
,,,,,,"If kershaw wins MVP does that mean jonny cueto wins cy young                      ERAW-LSOWHIPBAA
2.2616-8205 0.97.195"
,,,,,,"@Ty_Behr shit I know all I do is work i didn't even get to go out for beers with nick on his bday"
,,,,,,"@Ty_Behr @Slopadopolis not exactly he got a dwi too but now they are changing the domestic violence penalties cause of the uproar."
,,,,,,"In the nfl weed gets you a year long suspension but if you beat a woman you only get 2 games #genius"
,,,,,,"William Thompson CDC whistle blower comes forward with vaccines (mmr) link with autism"
,,,,,,http://t.co/4wQ6t4Ltdr
,,,,,,"What's that song from forest gump ? Who stopped the rain? No wait that's by purple Floyd."
,,,,,,"In one decade the medical field kills more Americans than any wars combined. 2 million ppl a decade for modern medicine"
,,,,,,"The Beatles... In my life"
,,,,,,"Bob Dylan, don't think twice it's alright"
,,,,,,"""All tyranny needs to gain a foothold is for people of good conscience to remain silent."""
,,,,,,"The only antidote to mental suffering is physical pain."
,,,,,,"Religion is the opium of the masses"
,,,,,,"When the people fear the government, there is tyranny. When the government fears the people, there is liberty.
TJ"
,,,,,,"Wicked Wednesday"
,,,,,,"Incubus. Out from under"
,,,,,,"Only stupid people are breading"
,,,,,,"We have it in our power to begin the world over again."
,,,,,,"Reason obeys itself; and ignorance submits to whatever is dictated to it."
,,,,,,"and enslave mankind, and monopolize power"
,,,,,,"All national institutions of churches, whether Jewish, Christian or Turkish, appear to me no other than human inventions, set up to terrify"
,,,,,,"in defense of custom. But the tumult soon subsides. Time makes more converts than reason.”"
,,,,,,"“A long habit of not thinking a thing wrong, gives it a superficial appearance of being right, and raises at first a formidable outcry"
,,,,,,"Revolution is in the air.  Tyranny must die.  Men knew they would be hanged for their beliefs.  Give me liberty or give me death."
,,,,,,"Modest mouse we missed the boat"
,,,,,,"It's not the night that makes you sleep"
,,,,,,Tyrants
,,,,,,"The tree of liberty must be refreshed from time to time with the blood of patriots and turants"
,,,,,,"Goin squatchin http://t.co/sp6icnN7rv"
,,,,,,http://t.co/kCHxnYJlRt
,,,,,,"6 feet deep http://t.co/0paVOYQqL7"
,,,,,,"Awesomeness found at #theCHIVE! Daily Afternoon Randomness in HQ (43 Photos) http://t.co/cqm0ArQwN7"
,,,,,,"I'm just a soul whose intentions are good... O'lord please don't let me be misunderstood"
,,,,,,"Awesomeness found at #theCHIVE! Daily Afternoon Randomness (51 Photos) http://t.co/UWEqx4aCng"
,,,,,,"RT @WhatTheFFacts: A scientist has calculated that your chance of being born as you are in this very time, place and circumstance is 1 in 1…"
,,,,,,"I would love to change the world... But I don't know what to do?"
