NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
ThingsWork,366452,317,"Satisfy your curiosity with amazing new perspectives on how things work.",151235,325462,"This is how solid rocket fuel works https://t.co/GnSfB7Lfl0"
,,,,,,"This is how rolled turf is made https://t.co/0vW5AiaCuN"
,,,,,,"This is how a plane evacuation slide is deployed https://t.co/eORTgzY4yf"
,,,,,,"This is how books are scanned https://t.co/XYCp0ua3qs"
,,,,,,"This is how a gearbox works https://t.co/9CZEDKGfZq"
,,,,,,"This is how aid is dropped off in Africa https://t.co/3vcmhHQiXV"
,,,,,,"This is how #NetNeutrality works https://t.co/Cu4p3LaFQb"
,,,,,,"This is how a mosquito finds a blood vessel https://t.co/jC0PUQZrbJ"
,,,,,,"This is how a pound lock works https://t.co/ZmrQB7bsjc"
,,,,,,"This is how to remove permanent marker from a dry erase board https://t.co/87miiUaVuP"
,,,,,,"This is a visualization of the air flow field around the nose landing gear of a Boeing 777 https://t.co/dn0NdYYCL1"
,,,,,,"This is how Rip Currents work https://t.co/PBrIyIhKX8"
,,,,,,"This is how a chipped tooth is repaired https://t.co/gEJTYokXop"
,,,,,,"This is how three primary colors can be used to create a multicolored image https://t.co/fgDRAC8S9L"
,,,,,,"This is how cherries are harvested https://t.co/Ph8EGv4oxm"
,,,,,,"This is how to string a guitar https://t.co/Z1fN6dydEu"
,,,,,,"This is what happens when animals are orphaned and shelters need to prevent them from imprinting on humans https://t.co/uBCctSPB0z"
,,,,,,"This is a map of the Internet's Pulse (based on time of day and average use of Internet worldwide) https://t.co/grxXa8dSz2"
,,,,,,"This is how manhole covers are replaced https://t.co/1BVXKkiwTP"
,,,,,,"This is how a bear fishes underwater https://t.co/OBNsX0HkhT"
,,,,,,"This is how to create a Spirograph ""S"" https://t.co/dLwqd0jAPi"
,,,,,,"This is how a hummingbird shakes off water https://t.co/TUGjoYwUmQ"
,,,,,,"This is how the Nazis advanced through France in the 1940s https://t.co/keMjDnF5Xu"
,,,,,,"This is how “floaters” work. They are tiny (not-alive) objects that exist inside the eyeball and cast shadows on th… https://t.co/YUljK10BT2"
,,,,,,"This is how raindrops get their smells https://t.co/1giOt64elP"
,,,,,,"This is how Jacquard weaving works https://t.co/dolAjgAsvJ"
,,,,,,"This is how a dam failure works https://t.co/NOqTJYo4wN"
,,,,,,"This is how cataract removal surgery works https://t.co/K4zZap0mjS"
,,,,,,"This is how a vinyl disc needle works https://t.co/kkqe1cTaM6"
,,,,,,"This is how Maisie Williams and Gwendoline Christie rehearsed for their fight https://t.co/7Gu2GLjcPl"
,,,,,,"This is how prosthetic eyes are made https://t.co/GaBB7UY17o"
,,,,,,"This is how an NFL football is made https://t.co/6npiApcLrN"
,,,,,,"This is how a piano key works https://t.co/7jozL8LVa2"
,,,,,,"This is how an automatic train washing system works https://t.co/I57gn2JRSn"
,,,,,,"This is how electrolysis of water works https://t.co/pq894SmpQJ"
,,,,,,"This is how the formula for the area of a circle works https://t.co/8Q1NrOdHvG"
,,,,,,"This is the 21 day embryonic development of a bird https://t.co/rMZcGOLYBM"
,,,,,,"This is how devastating the flooding in Houston has been to Interstate 10 https://t.co/J1ZYFMUOI2"
,,,,,,"This is how a Tomato Separator works https://t.co/Fg4DgJALMt"
,,,,,,"This is how Thermal Conductivity works https://t.co/vsYVBsozEc"
,,,,,,"This is how Satellite Imagery of 2017 Solar Eclipse looked https://t.co/ZxQghMZ2Sr"
,,,,,,"This is how the cell division in a frog egg works https://t.co/CzNj5N8eHg"
,,,,,,"This is what you need to know about the upcoming eclipse https://t.co/Qxko1xmi5y"
,,,,,,"This is how synesthesia works https://t.co/HmYLbYQeK0"
,,,,,,"This is how the roof of the Mercedes-Benz Stadium closes https://t.co/Eoy98m1szY"
,,,,,,"This is how a fly looks like under a microscope https://t.co/8Z270YDb72"
,,,,,,"This is the difference in size of living things https://t.co/28SBlG0umh"
,,,,,,"This is how nautilus gears work https://t.co/GWYWfPugBT"
,,,,,,"This is how a nanobot performs artificial insemination on an egg https://t.co/A9Tf20s2NA"
,,,,,,"These are the phases of the Moon https://t.co/PTdxlxhqUd"
,,,,,,"This is how a graph of sine and cosine is made https://t.co/jjIG89pIm2"
,,,,,,"This is how Crayons are made https://t.co/Z0L8ruhw51"
