NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
VintageUtd,10504,73628,"Appreciate greatness. It's better shown than told.",4006,4357,"Looking at that City performance and realising we are without Pogba in the Derby ffs. Hate life."
,,,,,,"@KingMartiaI Ahh my man. Congrats bro"
,,,,,,"RT @AFCAMDEN: United are getting walloped tomorrow. Can feel it. #afc"
,,,,,,"Proud of the team today. Big game and everyone stepped up big time. De Gea, Pogba and Matic so so good today. On we move."
,,,,,,"Performance of the season from De Gea. Deserving MOTM."
,,,,,,"So fucking stupid of him ffs. My man's dropping a clear 10/10 performance but nah. So fucking annoyed rn."
,,,,,,"Hate to say it but Pogba might have actually ruined the Manchester Derby by that red card."
,,,,,,"Told you fellas."
,,,,,,"ITS POGBA'S GOAL OMG. FUCKING INSANE"
,,,,,,"LINGARDDDDDD YESSSSSS"
,,,,,,"Someone hold me. I'm shaking ffs. Can't take this."
,,,,,,"Herrera coming on ffs. A goal is inevitable."
,,,,,,"No shit that's not human from De Gea. Fucking insane."
,,,,,,"FFS KNEW HE WILL ULTIMATELY SCORE"
,,,,,,"That's the best goalkeeper in the world, there. No running away from facts."
,,,,,,"Matic deserves all the credit. Top top class. So good this half."
,,,,,,"RT @MrDtAFC: I am absolutely buzzing for tomorrow, play like we did in the Spurs game and I have no doubts we will win the game!"
,,,,,,"2 in 2 for Lingard. Man, he's outdone Mkhi no shit"
,,,,,,"HAHAHAHAHAHAHA LINGARDDDDDD"
,,,,,,"Pogba assist. Argh. We eating good againnnnn https://t.co/8okJnSDUrU"
,,,,,,"HAHAHAHAHAH YESSS WE SCORED AS SOON AS I OPENED MY STREAM"
,,,,,,"@LaCroqueta6 Best songs from it?"
,,,,,,"@oliviaella_x Happy birthday g. Have a great day 😳"
,,,,,,"Hit me up with your favourite/best albums. Just want to know lmao"
,,,,,,"Argh forgot about these three, man. Nobody's stopping these killers. https://t.co/CVHgymXPSq"
,,,,,,"Cake walk for France in the group stage lmao. Looking forward to Spain - Portugal and obviously Messi in the WC."
,,,,,,"@PatrickTimmons1 @GerrardsPrime @dribblatore @Dybxlaa @EiFsoccer @XavsFutbol @Koloholic @MikLFC @ReidTheGame… https://t.co/uecVrdaTRo"
,,,,,,"@Hayles_101 I don't see us getting a result Arsenal away and City home tbh. A draw at home to City is the most I ca… https://t.co/8zAB8bv0ir"
,,,,,,"DWLWWWLWW 

4 W's in league. 2 L's. 1 D. I'll take that ngl. City at home being the most difficult of all. https://t.co/AM47fd2xGK"
,,,,,,"MARTIALLLLLL LMAO WHAT IS HAPPENING"
,,,,,,"Black Beckham no shit"
,,,,,,"RT @Darmianology: LMFAO https://t.co/brUnSOkre6"
,,,,,,"YOUNGGGGGGGG OMGGGGGGGGG"
,,,,,,YOUNGGGGGGGG
,,,,,,"@angieelalalala I make myself watch ngl"
,,,,,,"Bored of finding negatives to all our lineups. I'll let this one slip away. https://t.co/leJ6zwmGyR"
,,,,,,"@angieelalalala True and I'm used to that now."
,,,,,,"@UtdDN Well, we shouldn't lose but if we do, I'll go all out on them.."
,,,,,,"Can see nothing except a boring 0-0 tonight."
,,,,,,"@ClassyMesut Happy Birthday bro. Have a good one big man :)"
,,,,,,"Well, all of us know it, José won't. https://t.co/z6qOEv0Z6x"
,,,,,,"@Goalanke Lmao, I used to think Spurs had the biggest field of all the football fields cause of the camera angle. L… https://t.co/kfqR4P596F"
,,,,,,"3 points is all that matters. We were 4/10 overall but anyways. Serious questions need to asked on our quality of football."
,,,,,,"No shit, Young has been one of our top players of the season until now. Performed whenever required."
,,,,,,"Why are we so shit?"
,,,,,,"Alright, I expected much better."
,,,,,,"Catch my boy Lukaku scoring a brace today with a Pogba assist. https://t.co/sl33sWZAnG"
,,,,,,"Don't disagree to the fact that ter Stegen has been one of the best GK's this season, but mind me, he isn't better… https://t.co/oR1Q0E8Ov7"
,,,,,,"@PatrickTimmons1 @GerrardsPrime @dribblatore @Dybxlaa @EiFsoccer @XavsFutbol @Koloholic @MikLFC @ReidTheGame… https://t.co/Y0dDwT0qtd"
,,,,,,"Our game yesterday was pretty much shit but I see our fans, yet again, overreacting. Need to only work on our away… https://t.co/CQrU4IGEAy"
,,,,,,"@ClassyMesut Argh nothing more satisfying than seeing the pump in the gym lmao"
,,,,,,"Get back to tweeting those cringe memes. Stats and discussions ain't looking good on your account. https://t.co/UQGprihLnh"
,,,,,,"@DembeIesque Vegans getting daily Ls lmaooo"
,,,,,,"@DeadlyRomeIu Have nearly the same ones. Too comfortable man. Cloudfoam technology?"
,,,,,,"@kroo5role @DilIatronic Yeah, correct."
,,,,,,"@Mk_9873 Explain to me how it isn't a fact."
