NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
VivaRonaldo,171503,1011,"Welcome to the most vibrant Cristiano Ronaldo Fan Community - Where True Fans Belong, created by @VivaSuperstars.",134687,21664,"The legend started 15 years ago @Cristiano #bestintheworld #ballondor #vivaronaldo https://t.co/9csHVIuoQm"
,,,,,,"This is our Captain. #bestintheworld #whoelse #vivaronaldo
Photo by AMP. https://t.co/Q0XrC7hUNh"
,,,,,,"R O N A L D O  T H E  B E S T  E V E R
@cristiano #bestintheworld #ballondor2017 https://t.co/NOvCjWr9uq"
,,,,,,"How many goals will @cristiano score tonight? #VivaRonaldo #bestintheworld #champion #UCL https://t.co/GA7MMXU2Gd"
,,,,,,"Either you accept the inevitable and learn to grow old. Or... you rebel like @Cristiano #VivaRonaldo https://t.co/5mI86uL6n2"
,,,,,,"1... 2... 3!!! ⚽️⚽️⚽️ @Cristiano leads the way to Cardiff! Siiiiiii! #APorLaDuodecima https://t.co/NzhQQ8fWkE"
,,,,,,"CR💯 #UCL #bestintheworld #champion #bestplayerever @cristiano https://t.co/pbgXjSSbgZ"
,,,,,,"Happy birthday Champ!!! 32 years of glory 🎉🎂👑🥇🏆@Cristiano #VivaRonaldo https://t.co/uCVC8s9Hlj"
,,,,,,"RT @ManUtd: Congratulations to @Cristiano Ronaldo... Ballon d'Or winner for an incredible fourth time. 🏆🏆🏆🏆 https://t.co/QS5AJs1ebm"
,,,,,,"Congrats Champ!!! You are the best of the best, @Cristiano!! #WhoElse #EuropeanChampion2016 https://t.co/7AxfMGw4N2"
,,,,,,"RT @RZR_GFX: .@Cristiano lockscreen https://t.co/UZP92jAmIk"
,,,,,,"RT @RZR_GFX: What a performance by .@realmadriden https://t.co/SZOgTPCImd"
,,,,,,"Do you like @Cristiano's new goal celebration? #hattrick #likeaboss #ronaloballondor2016 #bestintheworld… https://t.co/1eloeUAg1P"
,,,,,,"The Captain. @Cristiano #bestintheworld #Portugal #Euro2016 #champions #vivaronaldo https://t.co/9Hx8WQ3KNQ"
,,,,,,"Yesterday @Cristiano was back to his National Team #Portugal scoring FOUR goals! #poker #flyhigh #CR7 #VivaRonaldo… https://t.co/j4XdaMfrSt"
,,,,,,"RT @FIFAWorldCup: 📸 ⚽️⚽️⚽️⚽️
@Cristiano scores 4 goals in a game for Portugal for the first time https://t.co/TEiUeRnNIR"
,,,,,,"Viva Ronaldo superstar @emiliegranb met @Cristiano Ronaldo today! What a great photo Emilie! 🔝👌🏽✌🏽️#vivaronaldo https://t.co/zvRyhmc1E0"
,,,,,,"@Cristiano is back after winning the Euro 2016! He's always available to his fans. Way to go! #Portugal… https://t.co/ly2O2muxBR"
,,,,,,"Oh Captain, our Captain @Cristiano Ronaldo!!! #FlyHigh #BestInTheWorld #Euro2016 #Portugal #VivaRonaldo https://t.co/xTYAOpSISH"
,,,,,,"This is @Cristiano Ronaldo! #Captain #ShareYourPassion #BestInTheWorld #Euro2016 #Portugal #VivaRonaldo https://t.co/CmW8zw0Q3f"
,,,,,,"Just Ronaldo https://t.co/lMPd9lGc6H #WhoElse #BestInTheWorld #EURO2016 #Portugal #VivaRonaldo #truechampionsansweronthepitch"
,,,,,,"@Cristiano leads the new UEFA EURO 2016 Player Barometer https://t.co/HLusBYCOGg #WhoElse #VivaRonaldo #BestInTheWorld #RonaldoBallondOr2016"
,,,,,,"@Cristiano scored Real Madrid's winning penalty to win his 3rd Champions League!!! #halamadrid #vivaronaldo https://t.co/3MNSncpVhC"
,,,,,,".@Cristiano the Living Legend. #VivaRonaldo #RonaldoBallondOr This happened yesterday: https://t.co/NqcPId4P9V https://t.co/I7WshRASKW"
,,,,,,".@Cristiano shuts up Camp Nou once again. #BestInTheWorld #VivaRonaldo #ShareYourPassion https://t.co/JggBSmBOV7 https://t.co/960UqzNSHq"
,,,,,,"#VivaRonaldo and @VivaSuperstars, making dreams come true #ShareYourPassion https://t.co/kEtiqof884"
,,,,,,"RT @VivaSuperstars: .@VivaRonaldo, making dreams come true. Thanks @Cristiano! ⚽️🏆✌🏽️#vivaronaldo #shareyourpassion https://t.co/3uYV4Ya4xu"
,,,,,,"This happened yesterday in #Madrid... What a poker by @Cristiano!!! #VivaRonaldo #GoldenBoy #BestInTheWorld https://t.co/lb0GWzBnCz"
,,,,,,"Exactly 15 years ago, @Cristiano started playing for #Portugal. Congratulations Champ!!
- Images by @selecaoportugal https://t.co/xVclIJzBq3"
,,,,,,"What an amazing goal by @Cristiano! It happened yesterday in #Rome: https://t.co/zVmPUSVOoG #VivaRonaldo #HalaMadrid https://t.co/ePGprCngUx"
,,,,,,"15 years with #Portugal!!! Congratulations @Cristiano :) #VivaRonaldo #BestInTheWorld Image by @selecaoportugal https://t.co/CiH7kzVbt6"
,,,,,,"Happy Happy Birthday @Cristiano Ronaldo!!! #VivaRonaldo https://t.co/BRKlskhqOC"
,,,,,,"What a goal by @Cristiano!!! Amazing!! And that's his second tonight! #VivaRonaldo https://t.co/wJufGAAk1B"
,,,,,,"Pure Magic by @Cristiano #Ronaldo eight years ago today 12.01.2008 #CR7 #VivaRonaldo https://t.co/X6mgpC8u61"
,,,,,,"Ronaldo, Neymar, Messi. Who should win the #BallondOr2015? @Cristiano @VivaSuperstars #VivaRonaldo #ShareYourPassion"
,,,,,,"Thanks for the support @VivaSuperstars. Guys, help us reaching 140K fans!! Together we are stronger. https://t.co/L6MkMNjPgi"
,,,,,,"Have you seen @Cristiano's film? Did you like it? #ronaldofilm https://t.co/nUbIrsIAl3"
,,,,,,"In 1998-99, this kid scored 37 goals in 23 matches. Who is he? #WhoElse Photo by @SportingCP_en #VivaRonaldo https://t.co/ORvRV2VI9L"
,,,,,,"Check out all @Cristiano's 48 #LaLiga goals in 2014-15. Amazing, right???#VivaRonaldo https://t.co/wSEVxGbpR7"
,,,,,,"Will you be there for the premiere? https://t.co/GCOXx2PIF8"
,,,,,,"GAMEDAY!!! How many goals for @Cristiano today? Will he get goal 500?
#VivaRonaldo #500xRonaldo By @CR7Awesome12015 http://t.co/HIuQlUItA3"
,,,,,,"Will @Cristiano reach 500 goals today? Will he become @realmadrid's top scorer ever? By @LukinhasMendes7 #VivaRonaldo http://t.co/yG2d9w9pZ9"
,,,,,,"ROOONAAAALLDOOOO!! Hat-trick!! @Cristiano #VivaRonaldo"
,,,,,,"318 @Cristiano goals in 303 games for #RealMadrid #halamadrid #vivaronaldo By @KaiqueSD_CR7 http://t.co/4wJhICKVOr http://t.co/fgqG6TtdMJ"
,,,,,,"Today we'll have @Cristiano playing! ALB x POR #Euro2016. Predictions? #ForçaPortugal #VivaRonaldo By @KaiqueSD_CR7 http://t.co/KnN2fXHGkK"
,,,,,,"Remember the incredible story of Martunis? As promised @Cristiano met him today (photo by @Sporting_CP) #VivaRonaldo http://t.co/G8x64iFiDl"
,,,,,,"Today @Cristiano met Aurélio Pereira who brought him to @Sporting_CP in 1997 (photo by FPF). #VivaRonaldo #PORFRA http://t.co/J1AP1dwTQy"
,,,,,,"RT @PauSanz13: @VivaRonaldo Más de 4 meses de trabajo y más de 2 metros a base de puntos @cristiano @KaiqueSD_CR7 @angela_mazur http://t.co…"
,,,,,,".@Cristiano with children at Audi Football Clinic Australia. @idolCR7Forever on http://t.co/4wJhID2wFZ #VivaRonaldo http://t.co/Vv8ng63MDR"
,,,,,,".@Cristiano during the boat trip. Hope you had a great time! By @idolCR7Forever ♡ http://t.co/X94YHTWHKV"
,,,,,,".@Cristiano playing American #football in training today. By @LukinhasMendes7 on http://t.co/4wJhICKVOr #VivaRonaldo http://t.co/uAdU9pBjW5"
,,,,,,".@Cristiano is nominated for #UEFA Best Player of the Year 2014/2015 award! @ShantaRonaldo on http://t.co/4wJhICKVOr http://t.co/Gv9vW2bGqT"
,,,,,,"Scientists found the most brilliant galaxy in the Universe and named it CR7! #VivaRonaldo #CR7 http://t.co/W0mYbmzL7s http://t.co/z3OOvTPgAX"
,,,,,,"RT @KaiqueSD_CR7: E no dia do abraço: http://t.co/VhQ6urs4Iu"
,,,,,,"RT @TheCRonaldoFan: Cristiano Ronaldo is the FIRST player in history to score EIGHT HAT-TRICKS in one season. #HalaMadrid http://t.co/EjHfX…"
,,,,,,"Ronaldo is the first player ever to win 4 European Golden Shoe awards!!! Congratulations @Cristiano!!! #VivaRonaldo http://t.co/1VGhHRVUhZ"
,,,,,,"GOOOOOAAAAALLLLL!!!! ROOOONAAAALLLLDOOOO!!! Header @Cristiano #VivaRonaldo"
,,,,,,"HAT-TRICK @Cristiano!!!! GOOOOAAAALLLL!!!! #WhoElse #VivaRonaldo"
,,,,,,"RT @Cr7Prince4ever: Cristiano (308) has now surpassed Di Stefano (307) and becomes Real Madrid's 2nd all-time topscorer. [@InfoCristiano] h…"
,,,,,,"Goal @Cristiano! #WhoElse https://t.co/8U4shU9CVR #VivaRonaldo"
