NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
WBJenna,6445,17388,"Co-founder of @PineappleMedia - jenna@pineapple.fm",78062,1369,"@hannahgoldfield Context https://t.co/SZlXx3rOyZ"
,,,,,,"@joshgondelman pls email jenna@pineapple.fm pls pls"
,,,,,,"@hannahgoldfield Irreconcilable differences"
,,,,,,"@emilykbecker What I say on Twitter is private emily"
,,,,,,"@hannahgoldfield I could only do 11 days if I were very dead"
,,,,,,"@iSmashFizzle PUNCH THE DICK PUNCH THE DICK 🥊"
,,,,,,"@FrancescaToday good point"
,,,,,,"""A Prairie Home Companion is terrible to listen to."" - @jon_bois, 2013, @SBNation: https://t.co/zXTe4soFaF"
,,,,,,"i'm so glad i don't have to pretend i like prairie home companion at radio conferences anymore. it's always been a snooze, people!"
,,,,,,"@asarahlarson CANCEL IT"
,,,,,,"I plan all my meetings around the probability that a free lunch will be involved"
,,,,,,"RT @BenjaminRiskin: The amount of gossip and opinion content that the podcast industry accepts as reported fact is astounding."
,,,,,,"Amazing story, glorious audio! https://t.co/ps5PhlF5Dw"
,,,,,,"@iSmashFizzle Miami! South Beach specifically. It’s cheap and warm."
,,,,,,"RT @raesanni: It’s not disguised. My podcast is literally called Misandry with Marcia and Rae. https://t.co/Tsu0kjeUUk"
,,,,,,"@damsorrow I have a google doc that is my “script” about their “experience”"
,,,,,,"THE BEST THING ABOUT OWNING A COMPANY IS A GET TO DECIDE WHAT WE DO FOR THE HOLIDAY PARTY https://t.co/c435nek0O0"
,,,,,,"@AbbieRuzicka Wait wut"
,,,,,,"@leiladayleila Omg does this mean shonda listens to the stoop?? Yes it does"
,,,,,,"@rameswaram Hi Al I’m very proud of u"
,,,,,,"@rameswaram hi Sean I’m very proud of u"
,,,,,,"@nwquah I’ll help you."
,,,,,,"@xcusemybeauty &lt;3"
,,,,,,"@OutrageLA Ha I️ don’t have one but I’ll be there"
,,,,,,"@OutrageLA Damn u thirsty! Going to third coast?"
,,,,,,"@alexLronan Lolz wow wow"
,,,,,,"RT @GuildofFeathers: Seriously, @MakingGayHistry is such a treasure of a podcast. Important, historical, and very relevant. I would gladly…"
,,,,,,"@__keating I hate this"
,,,,,,"RT @pineapplemedia: When you have 2 shows in the @ApplePodcasts Top 10 🎃 @PreetBharara +  @heavensgateshow https://t.co/AfqRslJpc2"
,,,,,,"RT @NewYorker: .@BorowitzReport: Millions Disappointed It Wasn’t Jared https://t.co/juHqnpTJ5U https://t.co/3tjWsjM6bv"
,,,,,,"@Biedersam @AndyBremmen @ByYourLogic I c u"
,,,,,,"RT @emilykbecker: Nothing but respect for my presidents. https://t.co/WhDXBGdVk3"
,,,,,,"@web @pineapplemedia Sorry I’m the worst! Will write back! Come play"
,,,,,,"The @pineapplemedia basketball team is playing the courthouse security guard team 2nite, pray for us"
,,,,,,"i'm on a sold out panel tonight about starting your own media biz, but i have a few tix! lmk if you want to go.  https://t.co/foAFgBo7MV"
