NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
Young_Kobs,154,17,"SC: Kobe0916💜|#TSU21🐯💙",51540,3,"It be yo own niggas ‼️"
,,,,,,"RT @KayyMulaa_: Have that same energy g fr 💯"
,,,,,,"Keep my circle small for a reason"
,,,,,,"RT @Misfitdre: If she text you ""bye"",  you still gotta reply😭"
,,,,,,"RT @DeeAnderson21: I will pass my exams. 
I will pass my exams. 
I will pass my exams. 
I will pass my exams. 
I will pass my exams. 
I wil…"
,,,,,,"😍😍 https://t.co/tGR9eBhXRY"
,,,,,,"RT @Eddie_Cargor_: If you think water is NOT wet you can un-add me right now and never talk to me again"
,,,,,,"When they play finese2tymes at any party ‼️ I turn into a different person 😂💃🏾"
,,,,,,"RT @TanDreaLashaa: It’s Crazy How My Presence Can Change A Bitch Who Dont Fuck With Me Whole Mood"
,,,,,,"@Briannaaamo @DeavionNicole @TanDreaLashaa 😂😂😂CRINNE"
,,,,,,"RT @amouryannna: Not sure what’s worse.. my attitude, facial expressions , or my mouth."
,,,,,,"RT @iRaaeee: I GOt oNE mOrE rELatIoNShiP iN ME https://t.co/UMdLrLwD9d"
,,,,,,"RT @DeavionNicole: Our room is booked for spring break‼️"
,,,,,,"RT @juscallmegavin: Wise men change, fools stay the same."
,,,,,,"RT @BlocBoy_JB: She Said She Want Some Marvin Gaye🍇 https://t.co/bMJiSC0v4Y"
,,,,,,"RT @JAYY_GOLDEN: I never been the type to beg for attention"
,,,,,,"@DeavionNicole Really"
,,,,,,"RT @bahjarodriguez: feeling a little down 😔"
,,,,,,"RT @DeavionNicole: Me n my bitches will be in Panama during in Spring Break 😜 @Briannaaamo @TanDreaLashaa @Young_Kobs @brownbnne522"
,,,,,,"RT @zierrazhane: Redirecting my energy, time and focus to me, myself, my life and my goals. I owe myself that."
