NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
_chloi,17992,8757,"한국인 🇰🇷 + ایرانی 🇮🇷 / writing about games at @IGN. previous work on @KillScreen, @IndieGamescom, @PocketGamer, @Gamasutra.",106652,9677,"RT @SulomeAnderson: The gravity of an American president's favorite catch phrase being used to justify ethnic cleansing will probably be lo…"
,,,,,,"every frame a painting is ending, which makes me sad. here's one of my favorite video essays from their channel, ab… https://t.co/XINxHhHJ5L"
,,,,,,"@tonyszhou @glassesattached this project was fantastic. thanks for all the videos! ^__^"
,,,,,,"RT @profwolff: The just-passed Senate tax ""reform"" will do what this graph shows unless (1) US has historically unprecedented economic grow…"
,,,,,,"RT @BlakeDontCrack: Voting blue won’t change the material interests of the people. Democrats are bloodsucking capitalists just like the GOP…"
,,,,,,"RT @BlakeDontCrack: This #TaxScamBill is doing exactly what capitalism is designed to do. Exploit the poor and give tax breaks to the rich."
,,,,,,"@rodgerk1 you don't have to explain that to me. some of the worst atrocities this country has committed have been u… https://t.co/1auUGzWFGK"
,,,,,,"RT @kaylasara: Never forget. The ESA, representing the video game industry, supported this farce of democracy that will ultimately damage t…"
,,,,,,"remember when GG-era trumpites shit their pants at the thought of journalists writing about a friend's video game https://t.co/DIc9xUvlMV"
,,,,,,"the GOP is a criminal organization committed to waging war on the poor, the sick, the disenfranchised, and the envi… https://t.co/GvdqcruDW1"
,,,,,,"@spacetwinks oh my god that is beautiful"
,,,,,,"RT @EmmaVigeland: Three Democrats voted against Bernie Sanders' amendment to the #TaxScamBill, which would have blocked cuts to Social Secu…"
,,,,,,"RT @ByYourLogic: one of the last things John McCain will have done before he dies is give a guy he fucking hates his only victory because i…"
,,,,,,"RT @fightfor15: @MoveOn @4TaxFairness @taxmarch @SSWorks @popdemoc @peoplefor @mkink @keithellison @MarkRuffalo @SEIU These Senators sold u…"
,,,,,,"RT @NormsRespecter: It really does feel like the term ""Political correctness"" has completely lost all fucking meaning https://t.co/1EdKX4sT…"
,,,,,,"friday night, time 2 cry https://t.co/d9Fy4dUmjZ"
,,,,,,"RT @People4Bernie: BREAKING: Senate votes DOWN @SenSanders amendment making it more difficult to cut Social Security, Medicaid, and Medicai…"
,,,,,,"i know i'm just shouting into the void about all this but it sucks and i'm determined to make december better even… https://t.co/QyQ4xDhXii"
,,,,,,"november sucked. between mounting work stress, my house falling apart, random health issues, several threatening en… https://t.co/G8rqcLVELl"
,,,,,,"@mushbuh congrats on launching this!! 👀"
,,,,,,"RT @_chloi: notch said something https://t.co/HqpyuuKoN1"
,,,,,,"@MartinKvale @johnnemann it looks gorgeous, sad i missed it!! got major crowd anxiety this year 😭"
,,,,,,"i don't know what this is but it's cute and i love it https://t.co/kE80KqSVz3"
,,,,,,"RT @Fengxii: [Sexual Assault] I'm a little surprised that no one ever mentioned that there was a time when white woman did constantly lie a…"
,,,,,,"RT @oysterFAKE: Have a little peek at a shortform, narrative game I've been working on with @ForgetAmnesia during my evenings off 
#Gamedev…"
,,,,,,"@oysterFAKE @ForgetAmnesia it's beautiful :')"
,,,,,,"RT @mcclure111: Here is a thread about probably the most unambiguous case of criminalizing protest I have seen in America in my lifetime ht…"
,,,,,,"@MattPetrak im sorry"
,,,,,,"RT @_glocks: @_chloi  https://t.co/UMgHN5sK9e"
,,,,,,"thanks @bombsfall https://t.co/O8ZQb4qKh4"
,,,,,,"i just spent like 20 minutes making this and now i hate myself https://t.co/UCMuHMXAxA"
,,,,,,"@bombsfall https://t.co/5gZJUNQhwz"
,,,,,,"RT @bombsfall: *zizek theme begins to play*

here comes zizek"
,,,,,,"@metallicaisrad considering i'd put a few of the games in its bottom 100 in my personal top 100 i'm so interested i… https://t.co/y2kDsae35B"
,,,,,,"the smallest achievement i'm proud of this year was getting yume nikki on our top 100 moments list at @IGN. next goal: top 100 games. 👀👀👀"
,,,,,,"i don't know how a group of humans even begins to rank 500 things but i'm hoping to see yume nikki on this list! 👀https://t.co/Fu7oUxGaMR"
,,,,,,"@steelviper77 1. dujanah (jack king-spooner)
2. wire wood daughters (rook)
3. crypt underworld (lilith)
4. anatomy (kitty horrorshow)"
,,,,,,"@ellaguro 💖"
,,,,,,"@AndrewElmore ahh papers please is good and how could i forget cart life??"
,,,,,,"yemen is going to be wiped off the face of the planet and most americans will have had no idea what part our government played in it."
,,,,,,"mainstream reporting on yemen consistently refuses to explain key details about the conflict much less call it what… https://t.co/s4FdV8Zc3n"
,,,,,,"i didn't spend my weekend collecting fruit and bugs to be treated this way tbh"
,,,,,,"this motherfucker is just standing there turning the water on and off while passive aggressively side-eyeing me https://t.co/9TfW2lFjnE"
,,,,,,"support creators making games and other art like no one else

- lilith https://t.co/6w5ED1v0Oh
- jack king-spooner… https://t.co/9WkLVCgXmj"
,,,,,,"another shout-out to problem attic, which was breaking the rules and paving the way for alt games before it was coo… https://t.co/vqak5jLCh0"
,,,,,,"i should also give a shout-out to Everything Is Going to Be OK, which unapologetically defies definition in all the… https://t.co/JyjL9XWppq"
,,,,,,"@ForgetAmnesia i can explain it in DM if you want"
,,,,,,"@indynozebone i'd throw in lisa: the first with this list too!"
,,,,,,"not dismissing anyone still having those conversations, i am just too tired for them rn. but shout-out to everyone… https://t.co/MLuDGLlK4x"
,,,,,,"a few of mine are yume nikki, dayZ, some of increpare's work, and more recently rain world, which is among my favorite games of the year."
,,,,,,"it's exhausting hearing people, in 2017, insisting games need to be ""fun"" to be good. so instead of arguing about i… https://t.co/rjCC8laRdf"
,,,,,,"RT @alexnpress: this rules, I hope it makes some of those who have been driving this conversation to shift that convo to incorporate low-wa…"
,,,,,,"RT @bombsfall: this is a very good thread https://t.co/jdSBhVRzZK"
,,,,,,"@juliemuncy23 between this and the conversations the other day about press covering indie games i am SO SO tired lol"
,,,,,,"@juliemuncy23 gamers are being shitty to an artist who had a bad experience showing her game off at an indie event.… https://t.co/UYX62Gkv4D"
