NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
_markusLFC_,35639,8,"15 years old from Norway. Big fan of Cristiano Ronaldo! @Cristiano followed 31.12.2012 and met him 06.01.2013 #Instagram: Markus_nilsen9",145499,5924,"Miks – Learn Colors with Tayo Little BUS &amp; Wheels On The Bus Nursery rhymes songs for Kids Compilationiiihh https://t.co/ePXO309pIc"
,,,,,,"@IbeJordon 😁🤙🏽 https://t.co/DYmWwBEvll"
,,,,,,"El Clasico😍"
,,,,,,"😕 https://t.co/1ctU7voVwt"
,,,,,,"RT @Cristiano: Not in the field but always with you! Good luck guys ! #halamadrid 💪🏼 https://t.co/7vy0svAvKk"
,,,,,,"Roberto Carlos 😃⚽️ https://t.co/hBX5m1J9fa"
,,,,,,"Real Madrid - Sevilla ⚽️ #HalaMadrid https://t.co/ej9ySdcwWO"
,,,,,,"Had a good session today⚽️💯
——————————————#footballfreestyle#football#ballerzdistrict… https://t.co/xf4TU7Gu6J"
,,,,,,"Cristiano Roooonaldo❤️❤️❤️🙌🏼🙌🏼"
,,,,,,"RT @emiliegranb: Wish I was in Madrid now, imagine the atmosphere at Bernabeu today 😍 and the atmosphere at Cibeles when we win 😋"
,,,,,,"Can't wait until Real Madrid - Atletico Madrid starts 🙌🏼😻"
,,,,,,"RT @martinio98: Happy birthday Norway!❤️🇳🇴🇳🇴
#Hipphipp"
,,,,,,"RT @emiliegranb: Well, just wait Barca. Next season we will have Zidane from the beginning 😏 No more Benitez"
,,,,,,ROOOOOOONNNNAAAAALLDDOOOOO!!!!
,,,,,,"RT @emiliegranb: What the fuck fucking referee what the fuck do you want"
,,,,,,"Come on Real Madrid!!"
,,,,,,"RT @emiliegranb: Come on guys we can do it!!!"
,,,,,,Yes❤️❤️
,,,,,,"Come on Real Madrid!"
,,,,,,"My second combo⚽️👌🏼 Getting better and better every day😊… https://t.co/vhfUR0ipkn"
,,,,,,"My first combo! And almost two around the worlds ⚽️
-------------------------------
#Freestyle… https://t.co/OoawIjkykN"
,,,,,,"@emiliegranb Gratulere med dagen ☺️🎉🎉"
,,,,,,"Happy Birthday @Cristiano 🎉 https://t.co/u73ZFWVEz3"
,,,,,,"Cristiano's twin :) @Cristiano https://t.co/J8ANqS7rlm"
,,,,,,"RT @emiliegranb: When Norway actually meet Portugal in a friendly, of course the match is in Portugal"
,,,,,,"😚☀️ https://t.co/yR9XMSmBdB"
,,,,,,"Hahahaha https://t.co/IaTqlw4LoU"
,,,,,,"🙈 https://t.co/xU2twz4Umt"
,,,,,,"Gooaal ⚽️⚽️⚽️"
,,,,,,"GOOAAALL!!! #CR7"
,,,,,,"Benzema!!! #BBC"
,,,,,,"Cristiano Roooooonaldo!!!!!"
,,,,,,"Gareth Bale!! &lt;3"
,,,,,,"Real Madrid now &lt;3"
,,,,,,Yes!!
,,,,,,"Watching Real Madrid :) https://t.co/EkVZgzrsIY"
,,,,,,"Merry Christmas 🎅"
,,,,,,"Good job Real Madrid!"
,,,,,,"@Mowafag2016 Can you please change name??"
,,,,,,"@Mowafag2016 Can you please change name?"
,,,,,,"@Mowafag2016 Why have you made a fake account of me?"
,,,,,,"@emiliegranb Ser sånn ut ja.."
,,,,,,"@emiliegranb Hæææ???😂😂"
,,,,,,https://t.co/XdKTCaQlWD
,,,,,,"My big dream was to meet Real Madrid, and that dream came true⚽️ https://t.co/zccA9oAsGj"
,,,,,,"The best player in the world 😍 https://t.co/CA2GX7yfu7"
,,,,,,"El Clasico tonight 😍"
,,,,,,https://t.co/tl2xO49GXR
,,,,,,"😍 https://t.co/WLEkF3gHuN"
,,,,,,"RT @Cristiano: Today is the day. I'm here in London and my film Ronaldo will be revealed to the world tonight! #ronaldofilm https://t.co/kv…"
,,,,,,"✌ https://t.co/I8JgBLKpkl"
,,,,,,"2 days left to Ronaldo movie! #CR7 #Ronaldomovie 😎 https://t.co/EECxA4CIPH"
,,,,,,"RT @emiliegranb: Im too excited about the Ronaldo film. I hope there will be live coverage of the red carpet and premiere"
,,,,,,"Failed on TATW 😅 http://t.co/Rnv6x6Q4HI"
,,,,,,"Freestyle http://t.co/w7zRLOtvzE"
,,,,,,"Hop the world 💯 http://t.co/YtdLkk9Qp1"
,,,,,,".@MarceloM12 http://t.co/s9zuu7Y5Rv"
,,,,,,"#tb http://t.co/PbewdrHiCs"
,,,,,,"RT @Daniel_Nilsen: NEW VIDEO: PERFORMANCE DAY! Football Freestyle Show! [HD]: http://t.co/bkxAlmk4bs"
,,,,,,"💯 http://t.co/reNsKBJ7dD"
,,,,,,"Freestyle http://t.co/qKqYFEOrta"
