NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
ahiza_garcia,2786,3291,"Sports business reporter for @CNNMoney. @Columbia University alum. @NewhouseSU alum.",746254,226,"When you plan to grab a meal at the airport and then realize your flight is leaving out of the small terminal at JF… https://t.co/64MR6z8xph"
,,,,,,"FIFA: Russia World Cup 2018 is struggling to find sponsors. https://t.co/NZagP13cbN"
,,,,,,"RT @oliverdarcy: Yes, Fox News dot com is really leading with Hillary Clinton news right now https://t.co/nQy0LNWBto"
,,,,,,"RT @CNN: White House Lawyer Ty Cobb: ""Nothing about the guilty plea or the charge implicates anyone other than Mr. Flynn."" https://t.co/bl7…"
,,,,,,"RT @CNN: Former Trump national security adviser Michael Flynn disclosed that he is cooperating with Special Counsel Mueller's office https:…"
,,,,,,"RT @CNN: JUST IN: Michael Flynn is expected to plead guilty to the charge of ""willfully and knowingly"" making ""false, fictitious and fraudu…"
,,,,,,"RT @kylegriffin1: 1. George Papadopoulos 
2. Paul Manafort
3. Rick Gates
4. Michael Flynn

Flynn is now the 4th Trump team member to be cha…"
,,,,,,"RT @CNN: BREAKING: Michael Flynn charged with making false statement to FBI https://t.co/nwAMpHZanh https://t.co/qo1Zv2TrrU"
,,,,,,"RT @juliaccarpenter: this

is

so

smart

NYT analyzes the apologies (and non-apologies) from high-profile men accused of sexual misconduct…"
,,,,,,"RT @juliaccarpenter: I've never seen these before -- a series of videos depicting what harassment *actually looks like,* based on real inci…"
,,,,,,"RT @FastCompany: “It’s like a petri dish festering”: Women in Hollywood on how to fix the culture of abuse https://t.co/6IyFNRLqzt https://…"
,,,,,,"While this movie is definitely a win, I question the optics of its presentation in theaters. It didn’t need Frozen as a buffer. #Reality (4)"
,,,,,,"This conscious animated movie with a predominantly Hispanic cast should’ve been allowed to shine on its own. (3)"
,,,,,,"Didn’t Iike that getting to a movie entirely about Mexican culture, meant being forced to sit through a ridiculously long Frozen short (2)"
,,,,,,"#Coco was phenomenal! Great to finally get a @DisneyPixar film that celebrates my culture &amp; highlights the importance placed on family. (1)"
,,,,,,"RT @VICE: ""It always was a symbol of hate.” https://t.co/ttkFq1Pr54"
,,,,,,"RT @RulingSports: As many other women, the past few months have been difficult and eye-opening for me as others share stories of sexual ass…"
,,,,,,"Colin Kaepernick earns Sports Illustrated Muhammad Ali Legacy Award. https://t.co/46ZnqJh1zk"
,,,,,,"RT @mattdpearce: There are still other local outlets covering L.A. alongside us. But I’m seriously disturbed by the loss of all these journ…"
,,,,,,"RT @ShaunKing: Sports Illustrated just honored Colin Kaepernick with its Muhammad Ali Legacy Award. 

The lead w/ this quote from Ali...

“…"
,,,,,,"RT @Teuta_Metra: ""You don't have to burn books to destroy a culture. Just get people to stop reading them.” 
― Ray Bradbury #reading #books…"
,,,,,,"RT @CNNPolitics: First on CNN: A Steve Bannon-backed group makes a six-figure ad buy in a last-minute push for Roy Moore https://t.co/PlKwI…"
,,,,,,"RT @kylegriffin1: More than 2400 representatives from Christian, Muslim, Jewish, Sikh, Buddhist and other faith traditions from around the…"
,,,,,,"RT @saba_h: Rep. Joe Barton: I will not seek re-election https://t.co/qGs8R0bFV0"
,,,,,,"RT @Eugene_Scott: #OTD Shirley Chisholm was born. She became the first African American woman elected to the House and four years later, sh…"
,,,,,,"RT @deirdrewalshcnn: News: @SpeakerRyan says Conyers should ""resign immediately"""
,,,,,,"RT @terrycrews: Abusers protect abusers
@WME @UncleRUSH  https://t.co/C3q4SeSdb2"
,,,,,,"RT @politico: British diplomat told White House about 'concerns' over anti-Muslim videos https://t.co/SM5HCFPT4c https://t.co/arxZi3CKmR"
,,,,,,"Oh, okay: The @FCBarcelona players got their new Audis today. https://t.co/zZUcj8ATIL"
,,,,,,"RT @NYMag: The Regional Plan Association has come up with a radical idea: close down the subway from 12:30 to 5 a.m. on weeknights https://…"
,,,,,,https://t.co/yMj5I3iDBE
,,,,,,"RT @staceyNYCDC: “Even seventeen years of reporting hasn’t been enough to turn as bright a spotlight on Kelly as the one exposing many othe…"
,,,,,,"RT @mj_lee: Every kind of sexual harassment is horrifying &amp; unacceptable. Stephanie Kemplin's story was esp. tough because she was assaulte…"
,,,,,,"RT @jimsciutto: The minor in the video retweeted by Trump is not a 'migrant', Dutch Prosecutor's Office says. He was born and raised in the…"
,,,,,,"RT @jimsciutto: I would not discount this as the increasingly prevailing view of the Trump admin and others in Washington: https://t.co/cLx…"
,,,,,,"RT @swin24: msnbc has been MATT LAUER MATT LAUER MATT LAUER all morning. Remember that the next time someone tries to spin you on, “oh it’s…"
,,,,,,"RT @polly: I know there's a lot going on today but let's not forget that the House Judiciary Committee is marking up the concealed carry re…"
,,,,,,"RT @AlexKoppelman: One of the most infamous Russian Twitter trolls came back, and Twitter did nothing until @donie pointed it out. Then it…"
,,,,,,".@espn layoffs: Network cuts about 150 more jobs. https://t.co/JO62bOs0A7"
,,,,,,"RT @thedailyvox: Some queer folks from Zimbabwe say they are hopeful that Emmerson Mnangagwa will decriminalise homosexuality. https://t.co…"
,,,,,,"RT @brianstelter: CONFIRMED: “Breaking news overnight: Matt Lauer has been terminated by NBC News,” @SavannahGuthrie says on @TODAYshow"
,,,,,,"RT @TheBeatWithAri: .@LawProfButler lays out the questions that need to be answered in murder of Baltimore police officer, who was killed a…"
,,,,,,"RT @kylegriffin1: Here's the video: Trump calls Elizabeth Warren 'Pocahontas' while honoring Native American code talkers: ""You were here l…"
,,,,,,"RT @JimTrotter_NFL: The first column I ever wrote at Sports Illustrated was about media coverage of Sean Taylor’s death. https://t.co/QhMQ0…"
,,,,,,"How these Millennials are fighting for your holiday dollars. @away @harrys @glossier https://t.co/rhD1jcCfLa"
,,,,,,"RT @aimeerawlins: Journalist who told Laquan McDonald’s story faces First Amendment showdown over sources. https://t.co/7VKlnsSCbT by @juli…"
,,,,,,"RT @andy_murray: Bbc just called to say I was PROBABLY going to be named sports personality of the year but I would have to agree to an int…"
,,,,,,"Still seems weird to say Los Angeles @Chargers, but gotta give it to them: That end was classy."
,,,,,,"RT @ByJillMartin: Jerry Jones addresses Roger Goodell's contract, Trump https://t.co/jkGSyn1nUH"
,,,,,,"RT @TheSandraG: This year will be my first Thanksgiving without my dad. Here, I pay tribute to the man who taught me how to turkey. https:/…"
,,,,,,"RT @mj_lee: This — the president of the United States casting doubt on a victim’s memory because it was “a long time ago” — has to be extre…"
,,,,,,"RT @juliaccarpenter: Many have said we're at a ""watershed moment"" when it comes to talking about sexual harassment: but why now and not aft…"
,,,,,,"@_abigailbrooks Hate that when you finish an episode, playing the next one isn't easier to do."
,,,,,,"RT @nycjim: Charlie Rose is accused of walking naked in front of assistants multiple times. He says he thought he was “pursuing shared feel…"
,,,,,,"Trump says Marshawn Lynch, Raiders running back, should be suspended for standing only during Mexican anthem.… https://t.co/D7aGMBSIPJ"
,,,,,,"RT @brianstelter: URGENT: The Justice Department is set to file a lawsuit to block AT&amp;T’s takeover of Time Warner, the parent company of CN…"
,,,,,,"RT @anthonyVslater: Steve Kerr on the Trump, LaVar stuff: ""Two people seeking attention...It'd be nice if you stopped covering both of them…"
,,,,,,https://t.co/JIBSmMNp6Q
,,,,,,"Jerry Jones vs. NFL: What's the worst that could happen to him? https://t.co/rrXfvBaObZ"
,,,,,,"Very interesting conversation with @harikondabolu about how Apu of @TheSimpsons promoted negative Indian stereotype… https://t.co/F1UPGk7ngF"
,,,,,,"""It's somewhat ironic that Kaepernick received GQ’s #CitizenOfTheYear award, b/c what he's fighting against is the… https://t.co/pZJdmFsnKf"
,,,,,,"Thursday night's NFL game is getting a whole new look. @SNFonNBC https://t.co/bCZ98tLzYr"
,,,,,,"RT @ShaunKing: This is Wilbert Jones. Free at last. 

He just spent 16,790 days in prison (that's 46 years) for a crime he didn't commit.…"
,,,,,,"Steph Curry will teach you how to play basketball. https://t.co/Py971NhjsK"
,,,,,,"NFL: Jerry Jones is hurting the league. https://t.co/oPQNe7Exf6"
,,,,,,"Love this, especially ahead of @ColumbiaLionsFB vs. Brown this weekend: ""For detractors, it is the biggest piece of… https://t.co/BiL0sAJKQQ"
,,,,,,"RT @markgeragos: The NFL Is Making Colin Kaepernick’s Collusion Case for Him - The Atlantic https://t.co/mWEZbtZx5f"
