NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
alexnautilus,812,2916,"Technology Curator and Editor @TEDTalks. I'm a designer, programmer and entrepreneur: I think these activities are the same.",51075,183,"@DanielWiegand_ Hi Daniel. My name is Alex Moura, I am the Technology Curator at TED. I would love to know how best… https://t.co/t1lZayZYmf"
,,,,,,"@Cloe_Shasha @nytimes Well said."
,,,,,,"Watched @AnoukWipprecht's talk at TED NYC and I love this new generation of designers like @kyun_kun creating kick-… https://t.co/FWL6VxvGDd"
,,,,,,"RT @TEDTalks: Now's your chance to audition to give a TED Talk. https://t.co/GKsjhWR1Ib"
,,,,,,"@DrKateMarvel Really cool: ""At the end of that period, Genghis Khan’s army marched across Europe and Asia and took… https://t.co/eIjPCH7tny"
,,,,,,"It is time to think: How did these four tech companies come to infiltrate our lives so completely?… https://t.co/da8cHCruSy"
,,,,,,"@JenniferJolly It depends: age, development level, personal interests, personality, parent's financial resources, etc"
,,,,,,"RT @SCMP_News: Children born to deaf parents are taught life and speech skills in special Hong Kong course https://t.co/jcVvLdLblV"
,,,,,,"Watching Blade of the Immortal 🗡️👘😲 https://t.co/bAuIDz3esx"
,,,,,,"""A Silent Voice"" (映画 聲の形) is a beautiful strong drama about bullying, seen from both the victims/survivors' and per… https://t.co/YydReUHo8E"
,,,,,,"@TokyoFashion @darayunya @KrissSoonik @KrissSoonikJP @gucci @gucci_jp Wow, beautiful look."
,,,,,,"RT @StephenByrne86: Thoughts and Prayers https://t.co/njF1fO71nq"
,,,,,,"@ericwilhelm Hi Eric. I am a big admirer of Instructables, and I am trying to reach Christy Canida. I would love to… https://t.co/LyfNMhATZe"
,,,,,,"@MelissaRauch Amazing voice acting as Harley Quinn. Congrats! https://t.co/QzgocZxo8W"
,,,,,,"This is SO cool that it should become a tradition! Humans are better together. https://t.co/fY3bFbRmq7"
,,,,,,"@TokyoFashion @Converse @LOWRYSTWIT @gu_global Gorgeous look!"
,,,,,,"""Made in Africa"" could soon replace the famous ""Made in China"" labels https://t.co/DnbiCO04b5 @HelenHaiyu"
,,,,,,"@DrNadz Great talk, Nadine. Congrats!"
,,,,,,"Modern tiny home in Beijing, China https://t.co/3r7o4Ae19r @designboom @cheepearlman https://t.co/ZQqYuMBFYT"
,,,,,,"🎃💀👻 #Halloween https://t.co/zQ5KIu7OmQ"
,,,,,,"Kids and screens: it is time to re-imagine the future https://t.co/6kOpMuvM3v @saradewitt @TEDTalks"
,,,,,,"If he had waited another four years it would now value US$30.000.000 https://t.co/mFAxFyyX3d"
,,,,,,"When 64Kb is all you need https://t.co/Yt3EQYqbuE #demoscene"
,,,,,,"The under $5 #Halloween costume: Be a #TED speaker https://t.co/v45P0ue71u … @TEDTalks 😂 https://t.co/hsqFYqNHon"
,,,,,,"The Best Street Style From Tokyo Fashion Week Spring ’18 https://t.co/u7Sb3lKETZ @TokyoFashion @voguemagazine… https://t.co/LiOA1z5s8t"
,,,,,,"How to build the future. Amazing! @TEDTalks Tks @guita_rei @bhu_srinivasan @profgalloway @daozers @AmyCEdmondson… https://t.co/hRh6QQy94P"
,,,,,,"Rei performed on the TED stage. It was like when a friend visits your home. 😍🎸 @guita_rei @TEDTalks https://t.co/LMOEjOsLdm"
,,,,,,"@melsil Wow, for a moment I thought it was about President Lula!"
,,,,,,"An amazing week in Japan. Already missing it! @6dokidoki @guita_rei @noricoco @sebastea #CEATEC2017 https://t.co/nBEOcyx6wK"
,,,,,,"So happy to see Noriko Arai again! 😊 @noricoco https://t.co/blRzr9xckW"
,,,,,,"Meeting with some old friends here in Japan CEATEC! @noricoco https://t.co/YoxiAfuaHZ"
,,,,,,"How to re-imagine our cities together with the fascinating @pelikaroliina Karoliina Korppoo https://t.co/S5dxkruyUK #TED #urbanplanning"
,,,,,,"The power of collective artificial intelligence with the amazing Radhika Nagpal https://t.co/Nidn5WAeCS #TED"
,,,,,,"Elif Shafak, beautiful talk #TEDGlobalNYC #TED https://t.co/nsYn2PuVMA"
,,,,,,"@noricoco @TEDTalks Congratulations, you did awesome!"
,,,,,,"I absolutely love Noriko Arai and her TED Talk: Can a robot pass a university entrance exam? https://t.co/dV08oeSFoE #AI #Education #Japan"
,,,,,,"@mathbabedotorg You did awesome, Cathy! Congrats!"
,,,,,,"Sebastian Masuda installation based on Monet. So impressive! https://t.co/iOBgK0miac via @sebastea"
,,,,,,"@sebastea @6dokidoki Beautiful! Really impressive."
,,,,,,"Are you in NYC? Don't miss https://t.co/BENB9ApK30 @mbrianaepler"
,,,,,,"I'm in love with that bizarre Ikea ad https://t.co/1J7KGevAVC"
,,,,,,"Ageism! Really powerful talk from @thischairrocks https://t.co/8ixOFyq8qX"
,,,,,,"Get inspired to create cool things with @pjreddie on #TED https://t.co/LcHSQt9IL8"
