NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
benpauker,5625,283,"Executive editor @ForeignPolicy",313445,8863,"A great dispatch from our Moscow correspondent about the frustrations of reporting from the epicenter of the world'… https://t.co/CQlnILOhwo"
,,,,,,"Forget Godwin's Law. Daniel Altman cuts right to the chase about why Trump's retweets are so dangerous for Muslims… https://t.co/XqZMAyJvEa"
,,,,,,"RT @DefenseBaron: @benpauker @brooks_rosa Rosa is the bomb, this sucks to read. We're lucky to have her as an American national security le…"
,,,,,,"RT @weinbergersa: Tomorrow's event @ComputerHistory on Imagineers of War and DARPA is at capacity, but will be live streamed.  Looking forw…"
,,,,,,"Must-read: @brooks_rosa on the rampant culture of sexual harassment within the U.S. national security establishment… https://t.co/99fJ9JjWsi"
,,,,,,"RT @TyMcCormick: Mugabe's 37-year rule just came to an end. But the looting machine he built is here to stay. @toddjmoss has impeccable tim…"
,,,,,,"There's been a million parodies of Trump and Putin, but this is — no joke — the best one yet. Must watch. https://t.co/AG7LpVxXVC"
,,,,,,"Ceci n'est pas un coup? @tymcormick is just back from Zimbabwe and reports on what looks to be the toppling of Robe… https://t.co/3Jiz6GtRl3"
,,,,,,"How Donald Trump unleashed Saudi Arabia and set the Middle East on a collision course. https://t.co/t5Y1LF3Wtt"
,,,,,,"RT @Wolfe321: Trump administration put out a directive at 8 p.m. last night to shut down the Central American Minors (CAM) Refugee and Paro…"
,,,,,,"Three cheers for consolidating power, purging all enemies, imprisoning activists, and silencing any hint of a free… https://t.co/82cxWK6zTZ"
,,,,,,"The ghost of Malcolm Tucker is still prowling 10 Downing and writing statements for marzipan dildos. @Aiannucci https://t.co/BwSht05IKS"
,,,,,,"I have great confidence in @KngHnryVIII, he knows exactly what he is doing.... https://t.co/xiWs2F1yw0"
,,,,,,"An exclusive investigation into Syria's online weapons bazaar. From guns to IEDs to tanks, on Telegram. https://t.co/0AjHlfQtzc"
,,,,,,"Call me a skeptic, but this @discoverneom Saudi ""future city"" seems closer to crazytown. https://t.co/mWOWNhwVlK"
,,,,,,"The Foreign Service is not happy about Trump's pick. It's like ""making a former Captain the Army Chief of Staff."" https://t.co/60PgZ8UDAm"
,,,,,,"On Weinstein, Western women, and China's denial of epidemic rape. A brave and incisive piece by @BethanyAllenEbr https://t.co/wkOTtnpJfQ"
,,,,,,"Our future robot overlords are strategic geniuses. Nothing to worry about here. https://t.co/jPU1iribP2"
,,,,,,"Has Xi Jinping already chosen the man who will succeed him? Fascinating read for China watchers... https://t.co/sDQYG0ekbP"
,,,,,,"RT @ccaryl: Was waiting for someone to do this piece. Home run https://t.co/RseIqclsVj"
,,,,,,"The only thing necessary for the triumph of evil is for Aung San Suu Kyi to do nothing. And then there's the UN.  https://t.co/LbAX1pqvhW"
,,,,,,"Smarter, better, faster, stronger. Meet the new https://t.co/ZSI9w6Fag3. https://t.co/xqSkJywXAU"
