NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
berggruenInst,9894,19951,"Independent,nonpartisan think tank exploring new ideas across tech, governance & philosophy in an era of Great Transformations https://t.co/2Y6rFJgCeY",4395,847,"What does #philosophy mean to you? #qotd https://t.co/hoMeMOMyms"
,,,,,,"As AI grows in sophistication and application, we need, more than ever, a corresponding flourishing of religion, ph… https://t.co/n5rLhuWgqk"
,,,,,,"RT @mgmcquarrie: Important and excellent piece from @craigjcalhoun on Trump's assault on knowledge. A terrific end to an excellent series h…"
,,,,,,"RT @SuzanneGaber: ""French reforms aim for a new social contract in the age of disruption."" —Nathan Gardels → https://t.co/MhIdRzDu35 in @Th…"
,,,,,,"RT @publicbooks: Trump has so little respect for scientific knowledge that he didn’t invite America’s Nobel Prize winners to the White Hous…"
,,,,,,"A Question of Trust (2002) is our #BookOfTheWeek! Originating as Onora O’Neill’s Reith Lectures, she distinguished… https://t.co/C1AIdiHxB8"
,,,,,,"RT @CASBSStanford: CASBS director @margaretlevi on the consequences of #hightech #work platforms for workers rights &amp; #policy correctives t…"
,,,,,,"RT @Ryan_J_Mitchell: Zhao Tingyang's work on the international and cosmopolitan aspects of early Chinese thought is very much worth reading…"
,,,,,,"We look forward to working with famous Chinese philosopher Zhao Tingyang (middle) whose influential “Tianxia Concep… https://t.co/thUSHCK9Lx"
,,,,,,"RT @ProSyn: ""Nobody can be a good economist if he or she is just an economist"" https://t.co/UwOHzgcl1C"
,,,,,,"Baltimore police are receiving lessons in #philosophy and @microphilosophy recommends #BerggruenPrize winner Onora… https://t.co/eDOGUBxjR1"
,,,,,,"The researchers say they can use that knowledge to determine the political leanings of a given neighborhood just by… https://t.co/O6OSGTf6wD"
,,,,,,"RT @PeterMellgard: ""France must protect workers, not jobs."" —@JeanTirole → https://t.co/qSXXKPD3QI in @TheWorldPost https://t.co/t8aGPPbg5K"
,,,,,,"Our colleagues at the Berggruen China center meet with Jia Jia, the most well-known and intelligent humanoid robot… https://t.co/hOXrfgJQ5P"
,,,,,,"RT @RoboticsAutomat: China reveals highly realistic Humanoid Robot Jia Jia. for more info: https://t.co/UMnU4ulcfX https://t.co/dexX46VDUy"
,,,,,,"6 laws of technology you need to understand in the era of Facebook, Google and the iPhone https://t.co/wMzWaCKJnz… https://t.co/FKEw75i4Ru"
