NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
bjhall1996,385,344,"Its not your fault if your born broke. Its your fault if you die broke.",220181,44,"RT @caramelthot: exact representation of me minding my business &amp; bad shit still happening to me https://t.co/IXTd0MMoJf"
,,,,,,"RT @SportsCenter: Kyrie doing Kyrie things. #SCtop10 https://t.co/cYy7kne379"
,,,,,,"RT @kingtrelll: What if Usher &amp; R. Kelly made a Same Girl 2017 version???? I'm crying 😭😭😭😭 https://t.co/0JhoXpyLR5"
,,,,,,"RT @DanielIeBregoli: Bitch lookin like Peter Griffin https://t.co/VH6GIkVNwb"
,,,,,,"My new car!!!! https://t.co/PpCMYhTtzt"
,,,,,,"Im hire people for my new business if you are interested hit me up must have a car"
,,,,,,"@Livin_La_Vie heyyyyy"
,,,,,,"RT @fearthe_beard11: Martellus Bennett went in on the Bears man... 😂😂😂😂

""Brandon, 6x pro bowlers can get knocked out too"" lol https://t.co…"
,,,,,,"RT @bobatl: See y'all tonight! #NoGenre #BonFireATL #A3C ... Remember to BYOB !!! https://t.co/ombWSVNLwd"
,,,,,,"@Livin_La_Vie hey"
,,,,,,"RT @ImHatedByAll: 1991 or 2015 nothing changes but the date..  https://t.co/ZQ67uSO1m4"
,,,,,,"Defense wins games #TNF"
,,,,,,"Just pulled a 48 hour shift about to head back to work with only 2 hours of sleep.😯😧"
,,,,,,"RT @BestWSHHVids: When a black song finally come on in a white club but it's remixed  http://t.co/SgEE0Y8446"
,,,,,,http://t.co/ltfW0bvkCK
,,,,,,"Life is like a roller coaster. One minute I'm up then I'm down"
,,,,,,"RT @ThirtySecFights: What a gentleman 😂😊 http://t.co/HBWsFGH7Qa"
,,,,,,"RT @ThirtySecFights: When you catch a nigga disrespecting his momma in public 😤👊 http://t.co/sKyPtQBnFs"
,,,,,,"RT @Sideninja: My childhood in one picture http://t.co/maSD3CNfeQ"
,,,,,,"RT @LordAnxrchy: this some shit i would do 😂 http://t.co/f3JZpbriAk"
,,,,,,"RT @bluezlimit: Keep it 💯..Ppl only (tryin) to compare Lebron to MJ bc he still playing. KOBE is the closest to MJ you will EVER see http:/…"
,,,,,,"RT @TheFliestPlane: GET THE ENTIRE FUCK MOE 💀💀💀💀💀 http://t.co/VsqZnYKS7V"
,,,,,,"RT @BestComedyVine: I'm dead 💀😂 http://t.co/fJqTgTn4dD"
,,,,,,"RT @_PsychoThoughts: The most important thing is to enjoy your life—to be happy—it's all that matters."
,,,,,,"RT @Globvl: 24 Hilarious Funny Comparisons!
LOL! 😂😂😂
CLICK HERE 👉 http://t.co/8rsHL1Z5CB http://t.co/95R7Vgjfla"
,,,,,,"RT @Madison30276165: http://t.co/GPG0BwVEkk"
,,,,,,"RT @NBAonTNT: This was not scripted. https://t.co/zIc3At8uh1"
,,,,,,"@trevonjbeck_ what up bro"
,,,,,,"@RizmaTheWeirdo what you been up to"
,,,,,,"@RizmaTheWeirdo what's up"
,,,,,,"RT @Ya_QU33N_: Head is my weakness😩🙈👅💦"
,,,,,,"RT @EverydayAth: Favorite if you wanted Duke to win! 
#Duke #DukeBasketball #DukeNation http://t.co/uPEz2cI4aV"
