NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
deanpomerleau,1678,1846,"Tech entrepreneur & CMU adjunct faculty. Politics, Neural Nets, Machine Learning, AI, Neuroscience, Philosophy, Ethics, Health, Nutrition & Longevity",158831,375,"RT @deliprao: Sponsoring and working on the #FakeNewsChallenge has been most challenging and satisfying. Proud of this community of 800 and…"
,,,,,,"@xamat @fastml_extra Had the great privilege today to pay up on the $1K bet that started the #FakeNewsChallenge. Re… https://t.co/o2pI44Vzmw"
,,,,,,"RT @deliprao: Automatic policing content may not be possible or desirable. Why we aimed to apply AI to empower human fact-checkers at #Fake…"
,,,,,,"RT @deliprao: @stanfordnlp's #cs224n delivers! At least 9 teams worked on #FakeNewsChallenge data and show impressive results https://t.co/…"
,,,,,,"RT @DalaiLama: Caring for others is the best way to fulfil our own interests. We are social animals; we need to be warm-hearted and to take…"
,,,,,,"RT @aliceisanalias: This fucking InfoWars / National Enquirer / X-Files presidency is gonna get us all killed. https://t.co/kwawp0S41S"
,,,,,,"RT @JuddApatow: Everyone should retweet this to remind voters that all of these people do not believe a word they say. They are paid hacks…"
,,,,,,"RT @SenBobCasey: My sincere thanks to everyone who chose to spend their Sunday actively participating in our Democracy. I will continue to…"
,,,,,,"RT @SenSanders: Never lose sight of the fact that our ultimate goal is not just playing defense. Our goal is a Medicare-for-all, single pay…"
,,,,,,"Paul Ryan on wealth inequality &amp; giving a tax break to those who are already the richest: ""I'm not that concerned a… https://t.co/f04gZLrm2v"
,,,,,,"Beauty contest.

Paul Ryan: ""You’re never going to win a coverage beauty contest when it’s free market versus gover… https://t.co/QcFGm4FJH3"
,,,,,,"Alec Baldwin is back on #SNL &amp; Trump WON'T be amused by Baldwin's portrayal of the cowardly president facing aliens. https://t.co/zK2kCcAd1H"
,,,,,,"I really wish folks on the Left would STOP claiming they're publishing hateful fake news to show how gullible Trump… https://t.co/LWzSx3cDb8"
,,,,,,"New CA regs to allow driverless car makers to 'self-certify' safety &amp; then test on public roads.What could go wrong? https://t.co/GNJdvhw9R9"
,,,,,,"God bless the cow or pig that gave its life for that barbecue. 🐮 🐄🐷 🐖 😔. #GoVegan @TheNextWeb https://t.co/uHu0YKPsU4"
,,,,,,"RT @joshtpm: I sure hope reporters help people remember all these promises! Bigly! https://t.co/mbkcK6qCU1"
,,,,,,"Now that bots are better than humans at CAPTCHAs, Google is simply spying on our typing style&amp;mouse movements. What… https://t.co/qG6fDYwENv"
,,,,,,"Ironic but unsurprising - Trump voters will be the biggest when comes to #Trumpcare benefits. Hope they're happy...… https://t.co/iwcf57ZidO"
,,,,,,"Even when story says at the bottom ""this is fiction &amp; presumably fake news,"" Trump supporters eat it up &amp; share it. 😑https://t.co/9DeF64nw8e"
,,,,,,"Me to Google Home: ""OK Google, are you connected to the CIA?""

Google Home:""I've got to admit, I'm not sure.""… https://t.co/aHzpyL5iwi"
,,,,,,"RT @SenBobCasey: .@BrookingsInst tells you what @SpeakerRyan won’t: his #Trumpcare scheme will cost 15 million Americans their health care…"
,,,,,,"I earn $100K &amp; buy healthcare on exchange. Under Obamacare I get $0. Under #Trumpcare I'd get $1.5K grant I don't n… https://t.co/DQ4TUBzAdQ"
,,,,,,"Seems like the flat, age-based grants of #Trumpcare are more like #basicincome than needs-based subsidies of Obamacare. True @scottsantens?"
,,,,,,"RT @sarahkliff: Wait wait wait this is literally how insurance works. https://t.co/Bf3vUEYin3"
,,,,,,"Maybe you could try to provide healthcare rather than a beautiful  PICTURE of healthcare @realDonaldTrump? https://t.co/TRElw2y531"
,,,,,,"@shit_queen My original reply: Hard to argue scientists/engineers inherently more honest than other professions. Po… https://t.co/N8VFXv4F5K"
