NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
dreana_nicole,85,32,"PYRO'S Girlfriend 😍🤞🏼👫💖💕😘",18797,7,"RT @google_my_name4: Grinding behind the scenes 😈 just so you know https://t.co/m5wrcPwrJU"
,,,,,,"RT @beenthatshit: i just want some penn station☺️😋"
,,,,,,"RT @ESPNNBA: This is why we play. https://t.co/KfkPtIJAea"
,,,,,,"RT @Myrie_Bluee: I ain't been on my hustle like I need to be"
,,,,,,"RT @TovannyW: I still haven't been to sleep &amp; it's passed 6am 🤦🏾‍♀️"
,,,,,,"RT @SavageIsMyNamee: don't wanna waste your time don't wanna waste my time just wanna be all about one person &amp; they be all about me &amp;we bu…"
,,,,,,"RT @TasteMyVenum: HAD to stop fucking with people who pick and choose when to fuck with me🤷🏽‍♀️✌🏾"
,,,,,,"RT @AdoreDaijaa: i literally do this for my brother💯🙏🏽"
,,,,,,"It doesn't even feel like Christmas Eve"
,,,,,,"RT @_xoxo_beautyyy: Myesha party was lit ☺️😊"
,,,,,,"RT @_xoxo_beautyyy: When a bitch don't like me 😂😂😊 💁🏽. Bitch I don't care I like me 😎😚"
,,,,,,"I bet you start loving me soon as I start loving someone else😩😘✌🏻️😞"
,,,,,,"RT @Malan_21: I'm salty I lost ALL my friends but everything happen for a reason, right?"
,,,,,,"RT @TovannyW: What's the point of arguing on social media ??"
,,,,,,"RT @ChasinMajorMon: Real Shit 💯 http://t.co/rk29CIzilf"
,,,,,,"All I do is work work work💸💸💸😏😏"
,,,,,,"RT @YoungJHollyWood: can't change a person who doesn't see an issue in their actions"
,,,,,,"RT @ChasinMajorMon: Never disrespect a girl, to impress your niggas.💀😴"
,,,,,,"RT @YoungJHollyWood: iPhones 1% last longer than it's 100%"
,,,,,,"RT @YoungJHollyWood: If you put in the work, the results will come."
,,,,,,"RT @YoungJHollyWood: Keep working"
,,,,,,"RT @_xoxo_beautyyy: You can't be ""cute"" and ""retarted"" that doesn't add up ✌😂"
,,,,,,"I need some friends that I can go out with"
,,,,,,"RT @QueenMaji_: Shopping Always Make My Day 😊"
,,,,,,"I'm off work and bored"
,,,,,,"I wanna go out some where😩😩"
