NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
ducker7,25704,907,"Skillful little footballer, Footy trials with Chelsea n Mk Dons, Corby Town F.C, Football Freestyler, Currently At Oxford City F.C,",11,352,"Good effort from WestHam but ManCity get the goals that count in the end. Manchester Derby will be interesting"
,,,,,,"Man City are just lucky as fuck !!! #WestHam #ManCity #Whuman"
,,,,,,"Man City dare just luck"
,,,,,,"West Ham goalkeeper is a beast !!! #WestHam #PremierLeague"
,,,,,,"Had feeling it was coming City sit down shut up 
West Ham have taken the lead C,mon !!! #WestHam #PremierLeague"
,,,,,,"C,mon West Ham need a win today 
Break City unbeaten record !!! #WestHam #PremierLeague"
,,,,,,"#UFC218 it’s already fucking sick"
,,,,,,"@ryantaylorbmx Can already tell the vid is gunn be sick 
I need to do a challenge with u bro 
Don’t give a shit if I get caught 😂😂"
,,,,,,"@MrDtAFC DT take the L don’t be sore lil cunt I respect the passion u have for ur team but we run u down today we w… https://t.co/AqQiMYT6iP"
,,,,,,"What a game united get the 3points know it’s time to head back home n to take the game to Man City next weekend C,mon United 🔴⚽️🔴⚽️ #MUFC"
,,,,,,"What a stupid challenge that was from Pogba 
Red card he’s off ffs !!!! ⚽️🔴⚽️🔴 #MUFC"
,,,,,,"Lingard !!!! 3-1 United ⚽️🔴⚽️🔴 #MUFC"
,,,,,,"Unbelievable saves from David De Gea 
#MUFC 🔴⚽️🔴⚽️🔴C,mon United #PremierLeague"
,,,,,,"First half has been fucking insane 
C,mon United !!!! 🔴⚽️🔴⚽️ #MUFC"
,,,,,,"David De Gea save us again mad 👌🏽💯💯 #MUFC #PremierLeague #ARSMUN"
,,,,,,"David De Gea saves was so sick 👌🏽💯💯 #MUFC #PremierLeague #ARSMUN"
,,,,,,"@ManUtd need to sort there defence out there looking shook at the back but we can keep composed n everything will b… https://t.co/9yW2cJx7Uk"
,,,,,,"Oh this is beautiful 2-0 United 🔴⚽️🔴⚽️🔴
Jesse Lingard !!!! C,mon United #MUFC #PremierLeague"
,,,,,,"4mins in n United are leading 🔴⚽️🔴⚽️ 
C,mon United Antino Valencia !!! #MUFC"
,,,,,,"Come on United 🔴⚽️🔴⚽️🔴 #MUFC"
,,,,,,#SoccerAM
,,,,,,"@FootyAccums WTF mate I’ve been betting since I was 18 n not gunna lie I do win lot bets sometime big sometimes not… https://t.co/WjI919cjZD"
,,,,,,"At least we dont have Iceland in are group 
What a fuck up that could’ve been 😂😂 
#WolrdCup #WorldCup2018"
,,,,,,"England group is actually pretty easy 
Only one that is difficult is Belgium !! 
#WorldCup2018 #WorldCup2018draw #WorldCup"
,,,,,,"@jordankayejacks So fit like 👀😍"
,,,,,,"@ryantaylorbmx Seen the vid man u guys are mad bro did u get ur bmx back mans seen on the other side of the trampoline lol 😂"
,,,,,,"@AllyALaw n @ryantaylorbmx are fucking savages 😂 I’ve just there latest vid n it was fucking madness escaping from… https://t.co/2eXJCoCqBK"
,,,,,,"@SpencerOwen 😂😂 fair play mate, it must shit to be West Ham fan right know lol ur team look so poor man n even addi… https://t.co/N4P8tIkkan"
,,,,,,"@SpencerOwen Can you imagine West Ham playing championship football next year 😂😂 in a stadium like yours that would… https://t.co/YmUr7Ixoot"
,,,,,,"West Ham are fucked there next 3games are Man City Chelsea Arsenal damn man not gunna lie it would be sad to see a… https://t.co/A23R3WkvTT"
,,,,,,"West Ham are fucked damn 4-0 😂😂😂 #Everton #WestHam #PremierLeague #EVEWHU"
,,,,,,"WTF what a fucking goal from Wayne Rooney half way line Goal n his first ever hat-trick for Everton fair play ROONE… https://t.co/QUTj8E1qLT"
,,,,,,"What a save for Jordan Pickford 👌🏽💯💯 #Everton #WestHam #PremierLeague"
,,,,,,"What match @JesseLingard goal was absolute class his run past those players it was like it nothing to em swear I se… https://t.co/kuaReQLqmf"
,,,,,,"Sensational 🔴⚽️🔴⚽️ #MUFC #AshleyYoung https://t.co/0KAqFraWPb"
,,,,,,"@JMXFifa Dude Ashley Young is on fire two absolute class of goals n he freekick was just sensational 👌🏽💯💯 u missed… https://t.co/nWDTE1VdvT"
,,,,,,"3-0 United game over 😂😂🔴 #MUFC ⚽️🔴⚽️🔴 #AnthonyMartial"
,,,,,,"Young could get a hat-trick #MUFC 🔴⚽️🔴⚽️"
,,,,,,"Ashley Young has done it again what a Freekick 🔥🔥🔥 Mourinho reaction was priceless !!! C,mon United 🔴⚽️🔴⚽️ #MUFC #PremierLeague"
,,,,,,"Ashley Young goal was sensational 👌🏽💯💯 
C,mon United #MUFC 🔴⚽️🔴⚽️"
,,,,,,"What a goal from Ashley Young 🔥🔥🔥 #MUFC #WATMUN #Watford #PremierLeague 🔴⚽️🔴⚽️"
,,,,,,"Swear I need to do a overnight challenge or in n out challenge with @ryantaylorbmx this dude is mad 👌🏽💯💯 love the vids man keep it up"
,,,,,,"#QPR vs #Brentford damn what a match thought QPR was gunna lose but na they scored two goals in the last 2mins of the match to make it draw!"
,,,,,,"@ComedyGamer Na Deji I think ur mum does that for you mate 😂😂"
,,,,,,"@Sazclose Used to na mans still does it 😂😂"
,,,,,,"Don’t know what the Sevilla manger is doing with his players at half time but it seems to work, Villarreal lead 2-0… https://t.co/LCg9VherTB"
,,,,,,"Swear what ever going in that Sevilla dressing room is working Villarreal leading 2-0 at half time n then Sevilla c… https://t.co/3SHyqdRP7B"
,,,,,,"Man City are so fucking lucky man thought Huddersfield could of stole at least a point ffs 😒😒 #Huddersfield #ManCity #PremierLeague"
,,,,,,"@TeamFA Maybe he can defend it against Aldo n get knocked out in 13secs again 😂😂"
