NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
emiliegranb,45070,2958,"CR7 & Real Madrid ❤️ 30/11/12, 15/12/13, 6/10/16, 7/10/16 & 8/10/16 👑 Ig: emiliegberg",1038252,1166,"@ComeOnNorge 2-1 #chillogspill"
,,,,,,"@ComeOnNorge 0-4 #chillogspill"
,,,,,,"@ComeOnNorge 24 #chillogspill"
,,,,,,"RT @ComeOnNorge: Vi takker for 2500 følgere ved å..

Gi 2500 kr i CASH til våre følgere💥

RT + FØLG👏 https://t.co/R5UgLpVeqp"
,,,,,,"@ComeOnNorge 3-0 #chillogspill"
,,,,,,"Just preordered the iphone x 🙋🏼"
,,,,,,"@ComeOnNorge #chillogspill"
,,,,,,"@ComeOnNorge Takk ☺"
,,,,,,"@ComeOnNorge 3-0 #chillspill"
,,,,,,Iscooooo
,,,,,,"Cristianoo Cristianoo 😍"
,,,,,,"RT @ComeOnNorge: Champions League freebets⚽

Vi deler ut 5stk FREEBETS på 100kr til morgendagens kamper!

RT + FØLG 

Vinner trekkes i dag…"
,,,,,,"RT @Cristiano: En este momento de dolor, envío a la familia de Santiago y a todas las familias que han perdido sus seres queridos un enorme…"
,,,,,,"RT @TeamRonaldo: A huge fan of Cristiano died after the earthquake in Mexico, Cris knew about his story. He sent this shirt to his family❤️…"
,,,,,,"From Real Madrid's new video series on Facebook 😄😄 https://t.co/wbs29pozyF"
,,,,,,Ffs
,,,,,,"This match.."
,,,,,,"@ApoyoCR7 Happy Birthday Paula ❤❤ Hope you've had a great day and that Cristiano scores for you 😋"
,,,,,,"Ahh a red card is just what we needed"
,,,,,,"Thank you Vazquez 😍"
,,,,,,"Good to be home again 👌🏼"
,,,,,,"The KING!!! 😍"
,,,,,,"Yessss! Beautiful 😍"
,,,,,,"Im loving the sight of two goals from Cristiano tho 😋😋"
,,,,,,"Didnt wake up to the alarm I set for the match, but atleast I woke up now 😴 Any good streams for the match?"
,,,,,,"Keeping my eyes up has been really hard, so I'm probably missing the Portugal match today 😔 #Illcheerfrommydreams"
,,,,,,"@Helder_Santos85 Removed my appendix ☺ Thank you!"
,,,,,,"Done with surgery, all went well 👌🏼"
,,,,,,"Going into surgery today to finally remove my appendix after two years with pain 🙅🏼"
,,,,,,"Come on.. We are not playing a draw tonight"
,,,,,,"@moosawi17 Han blir (er) stor! Er så gøy at vi klarer å produsere så mye, og beholder dem i klubben"
,,,,,,"This season I have a feeling we're taking them all 😋"
,,,,,,"So what was Benzema doing exactly 🤔"
,,,,,,"Preikestolen 😍 #pulpitrock https://t.co/cJLPlJSvmb"
,,,,,,"Exploring 🌏 https://t.co/FfhCU9h2hp"
,,,,,,"RT @Cristiano: Great to be back!👍🏼⚽ https://t.co/AKjVLn05AQ"
,,,,,,"RT @TeamRonaldo: Guess who's back😍❤️ https://t.co/1G1FcRHRYS"
,,,,,,"Australia, New Zealand, Philippines, Malaysia, Maldives, Singapore, Bali and Thailand 😋4 months of travelling ✈️ https://t.co/LzibC4cf22"
,,,,,,"RT @EuroRoad17: We have a Norwegian champion!!! Andreas Leksnessund ! 🇳🇴🇳🇴🇳🇴👏👏👏 https://t.co/1DJ476dB79"
,,,,,,"Follow @andreaslek 👈🏼 He just won the european championsship in his class, and is a huge talent within road cycling… https://t.co/urDAqy7dCT"
,,,,,,"I know I've been inactive lately, but all of this summer has been just work every day👀 I'll get more active when the season starts👌🏼"
,,,,,,"🛫 Off to Cyprus"
,,,,,,"RT @Maya_AveiroCR7x: Do you like my drawing of you @Cristiano ?? ❤️💞 https://t.co/GMNDFOJCzc"
,,,,,,"Graduated 😋 The last months with time for nothing but school is finally over https://t.co/QQ69ofJb3Q"
,,,,,,"I hate goodbyes, this one very much included. Thank you for everything you have done for our club Pepe. You are a g… https://t.co/5PnOVQU58r"
,,,,,,"RT @feroze17: Latest work for https://t.co/cTXFBNA28U! @Cristiano  RONALDO! 🔥 Of course he writes his name in the history books one more ti…"
,,,,,,"😍😍 https://t.co/IAFaBm7raE"
,,,,,,"RT @TeamRonaldo: His passion❤️❤️ https://t.co/AfIt3JEqzB"
,,,,,,"RT @TeamRonaldo: Cris liked this pic on insta😂😂😂 https://t.co/pq5xCzAF8r"
,,,,,,"Campeonessss campeonesss ole ole ole"
,,,,,,"@GoetzeReusBVB09 @realmadriden @MissAshCR7 @inkdeepply @rAk3l_13allack Thanks ⚽️⚽️"
,,,,,,"Casemirooooo 😍😍😍"
,,,,,,Fuckk
,,,,,,"I love that man!"
,,,,,,"Cristiano 😍😍😍😍 Number one, always"
,,,,,,"No matter what I have to pay though, not watching is not an option https://t.co/NrluaZaiGq"
,,,,,,"Brought my pc to work because my work doesnt have the right channel for the final. Just spent 30€ to watch the channel:/ #HalaMadrid"
,,,,,,"Just realized I have a shift until 10 pm on Saturday.. There goes my chance watching the final"
,,,,,,"How did Trump become the president tbh"
,,,,,,"That was my first tweet in like more than two months 👀 You can say the last months of school has been way harder than expected. #oneexamleft"
,,,,,,"Trump withdraws from the Paris agreement, to protect the interest of people in the US? Protecting them won't mean much if we fuck up the 🌏"
,,,,,,"RT @cartierburgundy: 3 years ago i DMed a girl on here. 3 years later we have each other blocked and this is a random pic i found on google…"
,,,,,,"@moosawi17 Haha veldig 👀"
,,,,,,"@moosawi17 Det er the sun 😜"
,,,,,,Wtf
,,,,,,Ramooosyoubeautifulbeautifulman
,,,,,,"Ramooooos! Thank youuu"
,,,,,,"Sooo are we going to have another frustrating match or, bc im not up for that"
,,,,,,"RT @realftmadrid: mood; https://t.co/KtoaP7jZVm"
,,,,,,"Casemiro 😍😍"
,,,,,,Yssssssss
,,,,,,"RT @realftmadrid: Not a big fan of Danilo but he's still one of our players and celebrating his injury is disgusting so pls get out asap"
,,,,,,"RT @GoetzeReusBVB09: @emiliegranb gratulerer med dagen! 🎂🎁🎉🎈"
,,,,,,"@GoetzeReusBVB09 Takk ☺️"
,,,,,,"@marianast7 Thank you ☺️"
