NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
ercrdy77,146,102,,1197680,34,"@TheMayorsOffice @AaronBoone_ESPN When are you going to be a manager?"
,,,,,,"@The_Rege @TheHerd @joelklatt I hate UT. But I’ll take the job. I’ll be recruiting you as my punter @The_Rege"
,,,,,,"@RapSheet He’s better off where he is"
,,,,,,"@WWERamsey They have to do something to make him look like a man. His story line as Angles son is so terrible."
,,,,,,"@YahooNoise Because as soon as you bench him. He’s going to go 11-210-2"
,,,,,,"@LanceStorm Bring back The King. Bra and Panties Rumble"
,,,,,,"@BobBrumberg @sprint But at least you’d have had insurance"
,,,,,,"@BobBrumberg @sprint Did you go see Demetrious"
,,,,,,"@MGolicJR57 This is like battle of the human skittles. Really need Marshawn Lynch to commentate"
,,,,,,"@ColinCowherd Browns will love Money Mayfield the way the loved Money Manzel"
,,,,,,"@RapSheet He will be perfect for the Bengals"
,,,,,,"@culenjensen @IvankaTrumpHQ I’ll/alijao is your time of djjiaoankj#xnnm.      Sckerh bmbhjs.   BjnqnlkkAlqkei"
,,,,,,"@YahooNoise Do u like Gabbert more than Osweiler?"
,,,,,,"@nickn311 https://t.co/1Zn7U0mHXB"
,,,,,,"@JamesRapien Better line. Better QB. Better coach"
,,,,,,"@ChrisRose @IntentionalTalk @MLBNetwork Rangers only won 75 games the year A-Rod won it"
,,,,,,"@WWERamsey Never should have split him and Gable up. They could have done a 3 person tag team with Benjamin still a… https://t.co/aXqvyr0vjJ"
,,,,,,"@Scott_Ian You could kill it with a flame thrower"
,,,,,,"#CodyBellinger had an historic rookie season. He has to be the NL Rookie of the Year. https://t.co/01I8G6SfQK"
,,,,,,"@The_Rege @ClayTravis Tee Martin is not walking through that door anytime soon"
,,,,,,"@JamesRapien I️ don’t feel he is as good a QB as Deshaun Watson. But is a better runner. Upgraded version of Michael Vick"
,,,,,,"@JamesRapien I️ have no problem with Votto or his contract. Except we are rebuilding and I️ find it hard to underst… https://t.co/lLoyIMrq0r"
,,,,,,"@Ellie_Idol This person needs a slap in the face and a hug"
,,,,,,"@LanceMcAlister  https://t.co/abhoM0qAu8"
,,,,,,"@LanceMcAlister 10"
,,,,,,"@nickn311 seriously https://t.co/qpbCK97pPb"
,,,,,,"@JamesRapien @MoEgger1530 Fix the line and you fix Andy. Sort of"
,,,,,,"@LndsPatterson @ChickfilA I️ still miss the spicy chicken biscuit"
,,,,,,"@BillSimmons Seems like a lot to give up for a guy that doesn’t stay healthy"
,,,,,,"@LndsPatterson No still on season one myself"
,,,,,,"@camartin132 Probably a less depressing game"
,,,,,,"@TerrificThomas @BobBrumberg I sent your resume in"
,,,,,,"I cast my Heisman ballot for #BakerMayfield! Click the player you think deserves the @NissanUSA #HeismanHouse vote! https://t.co/ZiMcZl19j2"
,,,,,,"@TerrificThomas Have you reached out to @BobBrumberg about a banking job"
,,,,,,"@The_Rege @ColinCowherd He’s leaving Cleveland after this year. He should go to The Thunder and really shit on KD"
,,,,,,"@YahooNoise Thoughts on De-De Westbrook?"
,,,,,,"@JamesRapien Expected"
,,,,,,"@MGolicJR57 Bird? Were they going to Jurassic Park"
,,,,,,"@JamesRapien So since you say that Fuller is good when healthy. Why don’t you wait and see if Ross will be good when healthy?"
,,,,,,"@YahooNoise So Colin Kaepernick to the Dolphins?"
,,,,,,"@RusevBUL Finn Balor"
,,,,,,"@BobBrumberg Is 111th street"
,,,,,,"@LanceStorm Because they gave her the world title after she pinned David Arquette"
,,,,,,"@WWERamsey Would be great.  Brining the power or negativity"
,,,,,,"@LanceMcAlister Why is Tim Couch busy?"
,,,,,,"@WWERamsey Tables, ladders, and Ass-less Chaps. I expect @MmmGorgeous and @WWEFandango to investigate"
,,,,,,"@MikeBeauvais He looks like he should be a character in a Tyler Perry movie"
,,,,,,"@MatthewBerryTMR @bomani_jones Die die darling Metallica.  Original The Misfits"
,,,,,,"@LanceStorm Yup he’s a virgin"
,,,,,,"@BobBrumberg If Tiffany sees that snakeskin. You won't be seeing her for weeks either"
,,,,,,"What hit looked more painful. The Davante Adams hit from Thursday or Gary Sanchez taking a pitch in the sac"
,,,,,,"@YahooNoise How long does Bilal keep it up?"
,,,,,,"@LanceStorm Everything WCW did with @BretHart was stupid and made no sense"
,,,,,,"@scott_pianowski Fox wants fired so he doesn't have to quit and be labeled as a quitter. I would start Cohen and Trubisky"
,,,,,,"@ericostoich Then he starts talking shit. Dirt ball"
,,,,,,"Trevathan should be thrown from the game. No room for hits like that. Hope Adams is okay"
,,,,,,"Am I the only one that actually enjoys @tonyromo calling games? Entertaining, professional, can't ask for much more."
,,,,,,"I can only imagine how long the bathroom lines are at the Packers game right now. #lightningdelay"
,,,,,,"@The_Rege @nickn311 https://t.co/2bIHSAfcmk"
,,,,,,"@ColinCowherd Wizards are better than the Celtics. Thunder are better than the Rockets. Carmelo is finally on a rea… https://t.co/hIn3Pg2zCF"
,,,,,,"@BobBrumberg Don't you know me? I've been banking here for at least 25 years. Accounts opened 2017"
,,,,,,"Saquan Barkley is the second coming of Reggie Bush"
,,,,,,"@LanceMcAlister Underrated Sports movie. I mean Coach himself is in it."
,,,,,,"@YahooNoise Jets."
,,,,,,"@LanceMcAlister They aren't watching the Packers/Falcons game then."
,,,,,,"@The_Rege @OhioStateFB This is how they thank you for being a fan. You should have stayed with the Maize and Blue."
,,,,,,"@MattCo0k @YahooNoise Not really fair to the player. Not his fault game one is rescheduled"
,,,,,,"@YahooNoise How does the delay of this game affect the Doug Martins suspension"
,,,,,,"@The_Rege @etnow @SportsTVRatings The lines for the bathroom will be the longest in halftime history"
,,,,,,"RT @PennStateIFC: With the current devastation in Houston, we are pledging $0.15 for every RT this gets! Please forward this along to help…"
,,,,,,"@YahooNoise Not a fan of Kevin White"
,,,,,,"I know #Michigan is going to win this week's @Wendys #RivalryBeef. Who do you pick to win https://t.co/SclWSKgiCt"
,,,,,,"@Andy_Benoit I wish someone would sign him. So we could talk about something else"
,,,,,,"So good https://t.co/otdFQ1wQtJ"
,,,,,,"@richeisen Ditto"
,,,,,,"@The_Rege https://t.co/QXQp1Ma2M3"
,,,,,,"@AmandaLGifford It's better than talking about Donald Trump"
,,,,,,"@TerrificThomas Zaxbys"
,,,,,,"@attn @Schwarzenegger So true"
,,,,,,"@VelVelHoller Resident Evil 4"
,,,,,,"@richeisen I say the 6th over all pick"
,,,,,,"@richeisen That the way I read it. Can you imagine how crusty the French fries are between his seats"
,,,,,,"@LanceMcAlister An athletes contract is never their fault. It's the teams. They offer the money. They player would… https://t.co/tMUSuXWiPb"
,,,,,,"@The_Rege @AdamSchefter No more day drinking and tweeting"
,,,,,,"@Alyssa_Milano Maybe someone is tweeting for him. The tweeter of the house."
,,,,,,"@YahooNoise @TheRealMKR Even in Cleveland?"
,,,,,,"@JonHeyman @RobertMurrayFRS Would you trade Clint if you were the Yankees? As a Yankees fan I would especially if t… https://t.co/vYdzMoeQRw"
,,,,,,"@nickn311 https://t.co/wIae8xgjO9"
,,,,,,https://t.co/R0qHSyv4Z8
,,,,,,"@LanceStorm It's like a reverse @AustinAries"
,,,,,,"@LanceStorm We should also thank you for not wearing a fish net shirt"
,,,,,,"@LanceMcAlister Be fair he's been a good player for the @Reds. I say 3 years $36 million"
,,,,,,"@LanceStorm As a WWE fan I would be fine if he stayed in the UFC. I'd like to see @HeymanHustle manage some other w… https://t.co/ZVuoJaHGHD"
,,,,,,"@LanceMcAlister Have you ever had the opportunity to speak at The Green Diamond in Montgomery?"
,,,,,,"RT @Mrjimflorentine: O.J. Simpson's parole bid could be in jeopardy after he was reportedly caught masturbating in his cell https://t.co/C4…"
,,,,,,"@YahooNoise So a solid second round fantasy pick"
,,,,,,"@YahooNoise How high is your ceiling for Marshawn Lynch?"
,,,,,,"@LanceMcAlister Phil needs to sit down and watch Bachelor party and learn how to gift someone a donkey"
,,,,,,"@YahooNoise Who do you feel touched the ball more Ingram or Peterson"
,,,,,,"@YahooNoise What's next car phones?"
,,,,,,"@WWEHOFerSunny A water puddle on a sunny day"
,,,,,,"@RusevBUL I say block @WWECesaro."
,,,,,,"@BreeOlson Makes you look like a country girl."
,,,,,,"@LanceStorm They should have brought @JohnCena out to show both those teams what real rap is."
,,,,,,"@richeisen Never should have traded Miller"
,,,,,,"@The_Rege @ArashMarkazi No sir. You're delusional the Lakers will be a playoff team in 2 years."
,,,,,,"@TerrificThomas Shame they couldn't keep Victor along with Russ and PG. sad they are still barely better then a 6 seed"
,,,,,,"@SparkTabor @TerrificThomas Could have won at least one title if he'd have stayed healthy. I agree with Hill though. He was one of the best"
,,,,,,"@TerrificThomas https://t.co/i4tI4fixIs"
,,,,,,"One of the best knockouts ever https://t.co/jidkQ0pcRR"
,,,,,,"@TerrificThomas @SparkTabor Im gonna go with Chris Webber"
,,,,,,"@BillSimmons Agreed. I feel as though he could have been a solid asset to  Minnesota"
,,,,,,"@LanceMcAlister Can he be sent down? Or is he out of options?"
,,,,,,"He looks like belongs in a bad boy band https://t.co/g7kd8eP0bW"
,,,,,,"@nickn311 thought you'd appreciate this https://t.co/g22sUHYgla"
