NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
fantewasgenius,227,353,"Proud father of Nicholas. QPR, PAFC, Adelaide Utd fan. Lover of music, film, books and tv.",174,107,"@fenlandgent 😊"
,,,,,,"Yes, certainly a legend of the club. https://t.co/f16mw5P5Rf"
,,,,,,"@ichymochek I like the pre send-off Idea."
,,,,,,"@fenlandgent The girl with beanie on looks like she has seen something very disturbing."
,,,,,,"@fenlandgent No sign of Cowley?"
,,,,,,"A lovely set of songs that. https://t.co/LjovtEygI5"
,,,,,,"@LoftforWords When I first saw a blur of blue and white I thought it was us. 😏"
,,,,,,"@Crap90sFootball His right foot appears to be broken."
,,,,,,"@hayleylouisaa End of an era. Starting  a new one. X"
,,,,,,"@davidmcintyre76 Yep, move on indeed."
,,,,,,"@Speakola_ @ratherbeatlunch @GeoffLemonSport @Martin_Flanagan @rustyjacko @emmasq Absolute legend."
,,,,,,"@SPQPR1 Did he need to apologise?"
,,,,,,"@LondonChrisQPR What I don’t get is our fans having a laugh at Brentford for surrendering the lead. A little small minded if you ask me."
,,,,,,"Only in Adelaide...... https://t.co/6TS2egLPwa"
,,,,,,"@Pulpcurry I understand what you mean re Frenzy. Robert Rusk is such a creepy character. I like it as well."
,,,,,,"@rdhinds @OffsidersABC Good article Richard. 👍"
,,,,,,"@trabeames @hayleylouisaa So heartfelt. https://t.co/JuPlIasK9k"
,,,,,,"@ichymochek What an apt title for that show."
,,,,,,"@ichymochek if they got rid of the bounce what would they call Jason Dunstall’s Show?"
,,,,,,"Oakbank Hotel beer garden. Beers, food, fun. #adelaidehills https://t.co/HLwFXXHjaU"
,,,,,,"@diogenesbrown I had a double scoop bought in 1980. First night went to bed with it. Loved it to bits. Put pressure… https://t.co/axgzpbocAJ"
,,,,,,"@hayleylouisaa @trabeames I’m sure you’re both delighted to know this. 😊 #romseyboy https://t.co/3U78ZENjnY"
,,,,,,"@4Boat Get him on the plane! #WorldCup2018 #Socceroos"
,,,,,,"@1968Tv @QPRReport @BushmanQPR @TonyIncenzo @TransfersQprfc Brilliant stuff, lovely kits, mud and #QPR"
,,,,,,"@WSC_magazine I flip flop with the team. Shaky at the back but a creative midfield which create chances for striker… https://t.co/lOorGHsz5V"
,,,,,,"@mrtonymartin Hurry up then!"
,,,,,,"@paul_football good photo! Can’t believe that Brett is 33! Villa have a stern test this weekend though! #QPR"
,,,,,,"@diogenesbrown Beerenberg?"
,,,,,,"@diogenesbrown just retweeting to create a bit of a buzz. https://t.co/1llFSquMCA"
,,,,,,"Brilliant stuff.  https://t.co/SGKAqgygt2"
,,,,,,"Awesome! https://t.co/bF7xxzh7lZ"
,,,,,,"@dstyling @RyanSimmonds23 @NorthAdelaideFC Truth be honest, was thinking the same thing!"
,,,,,,"@FNR_Radio The guy was a specimen at 16! Saw him play against Adelaide City many times. He was one of a kind."
,,,,,,"@Channel5Sport @QPRPod @paulfinney1969 @QPRFC Well said Martin!"
,,,,,,"@TitusOReily @serge_para surely the most bizarre sporting appointment of the year. I wonder if they have heard of S… https://t.co/X6akv8Po4N"
,,,,,,"@FNR_Radio haven’t had a chance to listen to radio as yet. Sounds great though! Any chance of podcasts in the future as well?"
,,,,,,"@Jimeevans Champions League!"
,,,,,,"@4Boat Hope they don’t complain about Barry. #donttouchthebuff"
,,,,,,"@diogenesbrown I vomited during the reserves game and had to go home with my grandparents. I believe the guy who ra… https://t.co/Q4k9HEigkE"
,,,,,,"@ichymochek Milk it for all it’s worth why don’t you!"
,,,,,,"@diogenesbrown “Brown, you’re on the wing today!”"
,,,,,,"@TitusOReily Nothing like a late night stir."
,,,,,,"Great song. Love that bloody album!👍 https://t.co/K5Rrafa3cy"
,,,,,,"Falling in love with the new St. Vincent album.  Such a great artist."
,,,,,,"@calexico65 I love your #laterjools tweets Jim. That one, for you must have been a corker!"
,,,,,,"@MarkClaridge72 Cherries are in some strife. Howe seems to be a good young manager but once you’re on a slide, hard to stop. I support QPR!"
,,,,,,"@McAlmanac bloody awful"
,,,,,,"@4Boat that would be ideal. How bad are those Utd kits?"
,,,,,,"@MarkClaridge72 Spurs will be toothless in attack if Kane gets injured. Who do they have this weekend?"
,,,,,,"@MarkClaridge72 @kanecornes this coming from a Spurs fan! Won’t win anything again this year. If they ... https://t.co/vLwB69FX0D"
,,,,,,"@ichymochek it’s fine but movie is more menacing."
,,,,,,"@swishtter damn, didn’t see later tweets!🙄"
,,,,,,"@swishtter @ichymochek @diogenesbrown I’ve heard he’s buying the Birkenhead Tavern. #intheknow"
,,,,,,"Have been watching a reboot of “Wake in Fright”. I guess it’s okay but people must see the movie. #realdeal"
,,,,,,"@hayleylouisaa was Jake Lever there?!"
,,,,,,"@ichymochek Windowlicker"
,,,,,,"@GavinMitchell26 @SAfootyarchive @YouTube Have you watched the 1980 GF? Another great game with much happier memori… https://t.co/Cb96wIZyEx"
,,,,,,"@SAfootyarchive @YouTube No thanks. 😔"
,,,,,,"@4Boat The mug looks great!"
,,,,,,"@diogenesbrown Your late night is sorted then. 👌#postseason"
,,,,,,"@Cornesy12 what happened with the John Halbert pod? It changed into Matt Gilbertson’s 3/4 the way through! Love the series by the way. 👍"
,,,,,,"@Ports1870 @MarkClaridge72 @RebeccaMorse10 @PAFC @kanecornes @SheShopped And Spurs win jack. Not Lever either."
,,,,,,"@serge_para guy on far right. Your man! #bringhimbackhome https://t.co/p4Q3GvsbVJ"
,,,,,,"@EMezzetta I’m losing faith in Ange."
,,,,,,"@kelly_welles Bit like this https://t.co/3otn7MVVKh"
,,,,,,"@ichymochek big changes in Swans coaching box then with Dew out and highly regarded Francou moving to Crows apparently."
,,,,,,"@ichymochek Job"
,,,,,,"@ichymochek I will say job again"
