NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
jacoprisco,953,169,"Journalist @CNNi. I might have been born yesterday, Sir, but I stayed up all night.",1667774,15,"RT @Susan_Hennessey: This is a pretty substantial confession to essential knowledge elements of an obstruction of justice charge. https://t…"
,,,,,,"RT @ddale8: Trump admitting to knowing Flynn had committed a crime at the time he pressured Comey is one of these instances where, if a sec…"
,,,,,,"RT @simongerman600: How many people must die in a disaster before it receives news coverage? Source: https://t.co/GSJUTUxmte https://t.co/m…"
,,,,,,"RT @Comey: “But justice roll down like waters and righteousness like an ever-flowing stream” Amos 5:24 https://t.co/o89PSY1YBd"
,,,,,,"RT @jimsciutto: Keep in mind this is the administration’s favorite barometer of success: https://t.co/6uM2Gi9rZA"
,,,,,,"This is no longer true and everyone should know better to check before RT'ing https://t.co/T6qSP7OFMs"
,,,,,,"RT @mashable: Guy paints his own arrows on the road, in hopes of speeding up his commute https://t.co/jbKOkOLIgV https://t.co/i6a0adhx2S"
,,,,,,"Amazing story. The tattoo worked. https://t.co/tKk9VyICYQ"
,,,,,,"Great profile of the only outlet that actually increases its traffic every time Facebook changes its algorithm https://t.co/0sk23WCphE"
,,,,,,"It's hard not to think that saying ""it was the wrong thing to do"" really doesn't measure up with something that mig… https://t.co/pyAzC5d8Ro"
,,,,,,"RT @PhilipRucker: In the current moment, it can be easy to forget that Trump faces more than a dozen accusations of sexual harassment &amp; ass…"
,,,,,,"#F1 ditches one of the greatest ever negative space logos for... a variation of ESPN's https://t.co/KBfNF62s1G"
,,,,,,"The myth of the white marble: Sculptures from the ancient world weren't colorless as we see them now https://t.co/5PidbCSzud"
,,,,,,"RT @Evan_McMullin: Whether by instinct or design, Trump's racially charged comments are meant to inspire his supporters to despise other Am…"
,,,,,,"WOW. Do not miss this truly amazing, eye-opening interactive feature. https://t.co/eVyJm6wVfp"
,,,,,,"The ratio on this one says everything. https://t.co/obF8WXpLOk"
,,,,,,"@Experian Hello. I'm locked out of my account and your password recovery system doesn't work. I email customer serv… https://t.co/bPWMWaIgmX"
,,,,,,"RT @thereaIbanksy: This photo is from 1955, it was called ""a few seconds before happiness"". https://t.co/kavW9SBvpg"
,,,,,,"RT @Acosta: Trump has railed against ""illegals,"" African American athletes, used slur Pocahontas and shared anti-Muslim videos this week. I…"
,,,,,,https://t.co/Gb7csVnhK0
,,,,,,"RT @willripleyCNN: Initial US assessment: North Korea missile was an ICBM. It reached an altitude of 4,500km (about 2,800 miles). For conte…"
,,,,,,"RT @cashjim: I could not believe this illusion I saw today, tweeted out by @pickover... so I coded it myself in @Scratch. This is a fascina…"
,,,,,,"🤦‍♂️ https://t.co/PebbRgdgkx"
,,,,,,"RT @CNN: Meet the 11-year-old who created a cheap device to test drinking water for lead, and won a $25,000 science prize https://t.co/llx4…"
,,,,,,"When you fight journalism and journalism wins https://t.co/lAbJB2oVvJ"
,,,,,,"RT @mrdiscopop: Katie Hopkins is leaving the Mail Online by ‘mutual consent’. Here's a quick reminder of what she thinks about that phrase.…"
,,,,,,"RT @CNNPR: @realDonaldTrump It's not CNN's job to represent the U.S to the world. That's yours.  Our job is to report the news.  #FactsFirs…"
,,,,,,"🤔 https://t.co/oLrS7HDfRV"
,,,,,,"RT @BTP: Following our call to Oxford Circus, we have been unable find any evidence of gunfire. We remain on scene alongside @metpoliceuk a…"
,,,,,,"RT @RAGreeneCNN: #Egypt #mosque attackers AMBUSHED AMBULANCES transporting wounded from bombing. I have no words. https://t.co/oey3hr4JP2"
,,,,,,"I kinda wish journalists stopped tweeting about weird/funny/annoying/typo-ridden PR emails they receive. They’re do… https://t.co/yUaYedTfLy"
,,,,,,"RT @carlzimmer: It’s been ten months since the inauguration. If you go to https://t.co/tnOQXN7WCy this is what you find: https://t.co/U6Nb4…"
,,,,,,"RT @dmartosko: TODAY--
8:01 -- White House tells press to expect a ""low-key day""
8:07 -- White House instructs pool to clarify that the PRE…"
,,,,,,"RT @qikipedia: In Washington DC, the Slovakian and Slovenian embassies meet once a month to exchange wrongly addressed mail."
,,,,,,"RT @mj_lee: This — the president of the United States casting doubt on a victim’s memory because it was “a long time ago” — has to be extre…"
,,,,,,"RT @otraletra: Last week, ProPublica bought dozens of rental housing ads on Facebook, but asked that *they not be shown to* certain categor…"
,,,,,,"RT @Spacekatgal: John Lasseter stepping down from @DisneyPixar for reasons that sure sound like sexual misconduct. I guess the new playbook…"
,,,,,,"RT @cnni: ""This is a country that has changed overnight"" - @McKenzieCNN takes us through the streets of Harare, where people are celebratin…"
,,,,,,"""Few rulers grow wiser in their 2nd decade in office, let alone the 3rd or 4th. Even if they start well, they event… https://t.co/OsfSdOieKA"
,,,,,,"RT @lukew: in case what’s happening wasn’t clear... https://t.co/1hpEq3BKI0"
,,,,,,"RT @CNN: Two Soviet-era space shuttles from the Buran program, which had its only flight in 1988, still lie abandoned in a hangar in the Ba…"
,,,,,,"@reckless @johlag Pink and green noticed from day one, yes."
,,,,,,"RT @JoyAnnReid: It’s all-out war on the poor at this point. https://t.co/v89ZgmRQCd"
,,,,,,"RT @mlcalderone: Sam Nunberg says he made up story about Christie picking up Trump's McDonald's orders to embarrass him https://t.co/x7y3IX…"
,,,,,,"🤔 #Spotify https://t.co/PkBxuivU5S"
,,,,,,https://t.co/FWkFrgHRBa
,,,,,,"RT @verge: Facebook adds trust indicators to news articles in an effort to identify real journalism https://t.co/D3cisgwGxX https://t.co/g9…"
,,,,,,"RT @MSNBC: Roy Moore's Attny. Trenton Garmon suggests Ali Velshi's ""background"" would help him understand why Moore would date underage wom…"
,,,,,,"RT @DaleJohnsonESPN: Last 6 World Cup playoff games....

Honduras 0-0 Australia
New Zealand 0-0 Peru
Denmark 0-0 Ireland
Switzerland 0-0 N…"
,,,,,,"RT @Visit_Japan: The beauty of Japan's lonely vending machines  via @CNN =&gt; https://t.co/jiu4FVIobg #Japan #travel #VisitJapan https://t.co…"
,,,,,,"RT @cnni: Japan didn't invent the first computer game, but it has embraced the gaming culture with an almost unrivaled passion https://t.co…"
,,,,,,"RT @meghara: 177 journalists have been killed in the Philippines since 1986, making it among the deadliest countries to be a journalist.

H…"
,,,,,,"RT @Acosta: Trump laughed as Duterte shut down questions. ""You are the spies,"" Duterte said, referring to press. ""Hah, hah, hah,"" Trump sai…"
,,,,,,"RT @CNN: Japan didn't invent the first computer game, but it has embraced the gaming culture with an almost unrivaled passion https://t.co/…"
,,,,,,"RT @cnnasiapr: How #Japan changed #videogames forever: https://t.co/kZg8MnLBqW @jacoprisco @blakejharrisNYC #OnJapan https://t.co/bilomyxkJH"
,,,,,,https://t.co/YtbhNas7qA
