NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
jaysunsilver,2340,2667,"Deputy breaking news editor @Newsweek, adjunct @BklynCollege411. (Various quirky facts and humblebrags) j.silverstein@newsweekgroup.com",19758,542,"McConnell a few weeks ago: Roy Moore should drop out, I believe the women, maybe we should even have Jeff Sessions… https://t.co/L7sdOXCGQe"
,,,,,,"Feinstein: Senate Russia probe building obstruction case against Trump https://t.co/liclIOi8mu via @nbcnews"
,,,,,,"Trump wants to see investors file a class action lawsuit against ABC News over the stock market dip caused by the b… https://t.co/Ps3D3z16g3"
,,,,,,"You people who insist on taking dumb group photos on narrow Manhattan streets are DEMENTED"
,,,,,,"RT @iamsuzyace: Fillin up my carts &amp; wishlists like I’m Mizzz Claus wit endless benjis—but I ain’t NEVER hittin pay. Solid stresss reliever…"
,,,,,,"Thanks very much to @aaronmedwards for speaking to my @BklynCollege411 class today about his work with @outline. A… https://t.co/3q9YVQ80uM"
,,,,,,"@kateefeldman @nbitty @SpencerDukoff @crbustamante @nick_parco By all means, Nicole"
,,,,,,"Even the Westboro Baptist Church has had enough of President Trump https://t.co/3ZqSdrjHpZ"
,,,,,,"@SpencerDukoff So glad this article exists"
,,,,,,"Let's settle this: They both suck. But especially LOVE ACTUALLY https://t.co/7r9hH6dv4s"
,,,,,,"I don't know if I'd call it my favorite album of 2017 but there really isn't anything else like Mount Eerie's A CRO… https://t.co/Qw7nXvrgWf"
,,,,,,"A study in presidential rhetoric by @msolis14 https://t.co/ERvl2oOBao"
,,,,,,"I just realized that this is actually a story tag we have at Newsweek https://t.co/6YNvG77PCj https://t.co/gac5FV5MYL"
,,,,,,"RT @LinleyAnn: The minimum wage will increase across 15 states in 2018 — but those small raises will continue to leave people impoverished:…"
,,,,,,"Guys...Donald Trump is the President of the United States"
,,,,,,"Yikes https://t.co/6g3YWFBoLA"
,,,,,,"Matt Lauer interviewing Miley Cyrus in 2013. She mocked his old age and told him, ""You're really definitely not sex… https://t.co/gUvvF9r26K"
,,,,,,"Evergreen content https://t.co/ye6YVMAylC"
,,,,,,"A decades-long career centered on love for the written and spoken word, and this is the apology Garrison Keillor co… https://t.co/fcPbasPKoF"
,,,,,,"RT @WesleyLowery: common thread in many of these bad faith attacks on press are that they seek to exploit public's misunderstanding/ignoran…"
,,,,,,"Sorry to make everyone even more disgusted, but: Garrison Keillor and Donald Trump once shared spots on Playgirl's… https://t.co/iFgMrZlzgg"
,,,,,,"Records show FBI was afraid of ""black supremacist extremists"" targeting the RNC and DNC after Dallas police shootin… https://t.co/0uFq5v4oif"
,,,,,,"@jmolinet @NicoleGoodkind For real?"
,,,,,,"Rich people in the Northeast are getting afraid of tax hikes under GOP tax plan and want to rush down to Florida to… https://t.co/pv6oPOZ7UG"
,,,,,,"Sarah Huckabee Sanders is a ""serial congenital liar"" who buries the American people ""in an avalanche of horse shit""… https://t.co/WrvoEo8Mb5"
,,,,,,"@Dgood73 I just may"
,,,,,,"The cycle is pretty clear. Journalists use Twitter to talk to other journalists = Journalists' audience on Twitter… https://t.co/XfbpftzAJi"
,,,,,,"I have cut back on my time on Twitter in the past few weeks and it has taught me a very important lesson: Journalis… https://t.co/qUZ45bauJh"
,,,,,,"RT @kmcdonovgh: Lol are you kidding me with this shit https://t.co/9NHwpz1LfG https://t.co/o7ZBc8oiZe"
,,,,,,"White House is arguing that ""Pocahontas"" isn't a slur against Native Americans. Native Americans say: Wrong. By… https://t.co/CM3sn0pRtS"
,,,,,,"@mrejfox Took a while, eh"
,,,,,,"This is all so many levels of insane it's hard to even know where to begin. The worst part is knowing there's soon… https://t.co/mxa81DeqYO"
,,,,,,"The most Lynchian moment from this administration since Trump's epic water sip https://t.co/ncTt5mE08P"
,,,,,,"Al Franken, who's returning to work today, ""can't say"" that he didn't grope even more women in ""crowded chaotic sit… https://t.co/M6m4J2dnDH"
,,,,,,"Inside Jeff Sessions' plan to end medical marijuana before the end of the year; excellent piece by @MelinaDelkic https://t.co/kZnH9g2noX"
,,,,,,"There comes a time in every journalist's life when you really have to take your one prestigious internship out of your Twitter bio"
,,,,,,"Poster for Night Of Too Many Stars, Rector Street station https://t.co/hsmYT3yDQ8"
,,,,,,"Fair journalism will never have a chance of surviving if readers and other reporters kill the messengers who bring the most unsettling news"
,,,,,,"Tesla workers cut in a recent wave of 700 firings say the company wants them to agree to not criticize its products… https://t.co/Bm9jiU7hdj"
,,,,,,"Nancy Pelosi defended John Conyers against harassment allegations today right after praising the #MeToo campaign. H… https://t.co/bwF63GaYs1"
,,,,,,"Trump suggests an alleged child sex abuser would be better for the Senate than a Democratic ""puppet"" https://t.co/hWlYQOL4hU"
,,,,,,"I never get sick of walking into this place and asking when it closes https://t.co/gvqQ6wqnnR"
,,,,,,"@iamsuzyace Us."
,,,,,,"@GershKuntzman Did it all for the cookie"
,,,,,,"My partner, my annam, my Suzy 🦋 https://t.co/uJ9DK0ACCc"
,,,,,,"My mom did not cut any slack to the tastes of fourth grade Jason https://t.co/9tkQGS1tKc"
,,,,,,".@TheBuffaloNews is one of the best local news sources in America and it's always wonderful to be welcomed home by… https://t.co/34HEvzzxdK"
,,,,,,"I am thankful for each and every one of you followers and that we've all survived this batshit year. Now please, get off Twitter today"
,,,,,,"An evergreen tweet for any news organization: ""There are storm clouds encircling ___________, where morale is low a… https://t.co/bHQQiYs0yV"
,,,,,,"A very special look at Trump's history of calling things -- such as women and himself -- ""very special,"" by the ver… https://t.co/O797D7V0rY"
,,,,,,"RT @BC_Excelsior: Hey @nypost, @DailyMailUK, @FoxNews, @FreeBeacon, @campusreform, @NoqReport, @DailyCaller &amp; @theblaze, ever heard of fact…"
,,,,,,"This is one of the best pieces I've seen about how the DC press corp became its own kind of swamp. By @evefairbanks https://t.co/kjCmaThGYH"
,,,,,,"@SpencerDukoff This list is invalidated by the lack of Yeezus"
,,,,,,"RT @meerajag: @jaysunsilver Don't trust anyone ever"
,,,,,,"@kenli729 When they start knocking on my door with pitches I'll be sure to refer them to your place"
,,,,,,"Don't trust the perspective of people who have never had to work holidays"
,,,,,,"I enjoyed almost a full month at my new job before all the annoying PR spammers from my previous job found me again"
