NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
justinbieber,104077030,3448,"Let's make the world better. Join me on @bkstg at 'justinbieber'. FRIENDS out now. OUR album PURPOSE out NOW",11024542,22434047,":) bts @telekomerleben 
#magentaverbindet #streamon
https://t.co/bcfNj7zu2Y https://t.co/AjzLTCWlAI"
,,,,,,"Everyone have an amazing week"
,,,,,,"@LuisFonsi @daddy_yankee congrats on the wins"
,,,,,,"@djkhaled congrats buddy"
,,,,,,"@JohnLegere just released a new commercial in Germany. Let’s release it in the US for the holidays. #Friends"
,,,,,,"RT @telekomerleben: .@justinbieber is always by your side #magentaverbindet #streamon #bestesnetz"
,,,,,,"@xkarla congrats @karla_welch"
,,,,,,"RT @Spotify: ""You give me purpose everyday, you give me purpose in every way"" 
🙌 @justinbieber 🙌 https://t.co/X74DDaPVj1 https://t.co/Pv7TI…"
,,,,,,"RT @Forever21: #JUSTINFOREVER IT'S HERE 😁😁😁 SHOP NOW: https://t.co/Ttv2Aj1HlG https://t.co/ZgQDsRmYQG"
,,,,,,"STADIUM TOUR MERCH 2.0
https://t.co/ZXLGuwusLr https://t.co/M6PEuKdRal"
,,,,,,"Praying for all those in pain"
,,,,,,"Praying for Puerto Rico"
,,,,,,"Praying for Las Vegas"
,,,,,,"RT @davidguetta: The official video of #2U ft @justinbieber is OUT NOW ! #musicvideo https://t.co/Ow4Kj8Dij8"
,,,,,,"RT @hmusa: 🎧 Can we still be friends?! 🎶 Get @JustinBieber #StadiumMerch in stores &amp; online now: https://t.co/oBYNUyCTwW  #HM #JustinBieber…"
,,,,,,"Everyone watch my boys tonight #DareToLive https://t.co/SYgICpkyPm"
,,,,,,"Amazing. Thanks everyone. Let's keep helping eachother. https://t.co/RNbmGPeJqX"
,,,,,,"RT @handinhandfund: YOU CAN STILL DONATE 🚨

https://t.co/s83ifdAVdB"
,,,,,,"Call me
1 (800) 258-6000
#HandInHand"
,,,,,,"RT @handinhandfund: Watch #HandInHand live on Twitter! 
❤️ or retweet to show your support for hurricane victims.
https://t.co/FtEEjCADuY"
,,,,,,"See you tomorrow. #HandInHand let's help. 8pm tomorrow https://t.co/mt06FCxiTm"
,,,,,,"Honored to be taking part in a great cause https://t.co/e9s4wG7nSN"
,,,,,,"RT @JasonKennedy1: 🙏@scooterbraun is always the first to jump in after tragedy &amp; @KELLYROWLAND you're an angel, praying for all families af…"
,,,,,,"RT @hm: Fresh streetstyle — get them before it's too late! #HM #HMMan #StadiumMerch @JustinBieber https://t.co/feW4xWlbWb https://t.co/ry0t…"
,,,,,,"RT @PacSun: The wait is over: @justinbieber's #stadiumtour Collection is available online now + in stores next week. https://t.co/ul0g9G9RL…"
,,,,,,"RT @TwitterMusic: In each other's company since Tweet number one.

Congratulations @justinbieber on #100MBeliebers https://t.co/ftaTRwFrHP"
,,,,,,"Praying for everyone down in Houston"
,,,,,,"Proud of you bro https://t.co/ADT1W0EAxV"
,,,,,,"RT @RoryKramer: When your friend says he's not coming to your party...only to surprise you.  justinbieber ❤️… https://t.co/rdqb99TtJb"
,,,,,,"RT @DareToLive: “Take it like a man...we need a bigger one!” —@RoryKramer. #DareToLive https://t.co/E8jhum4pHt"
,,,,,,"#stadiummerch at @hm september 7th https://t.co/Mnib8sEp7O"
,,,,,,"RT @billboard: #Despacito is the second song EVER to lead the #Hot100 for at least 15 weeks https://t.co/ryWdKg7hlb https://t.co/J94kD1Rdoc"
,,,,,,"RT @Spotify: Still on repeat 🔁 https://t.co/ayAuwtURbD https://t.co/yKWM5o35IU"
,,,,,,"RT @AppleMusic: We're not worthy.
New @justinbieber x @bloodpop.
#Friends
Listen now.
https://t.co/562LuzY3vt"
,,,,,,"#Friends lyric video https://t.co/b7DmNCbX6O"
,,,,,,"#friends https://t.co/RzDxHxDsIB"
,,,,,,"#FRIENDS out now. https://t.co/oeLF25VGyo https://t.co/SMxtOSpg0i"
,,,,,,"https://t.co/oeLF25VGyo https://t.co/7b6pTCUEQb"
,,,,,,"New song #Friends out now @bloodpop https://t.co/Bzzi41jtGd https://t.co/CxrvzXUdmZ"
,,,,,,"1 HOUR #Friends"
,,,,,,"New music. Thursday noon https://t.co/xUOsYoqQce"
,,,,,,"Can we still be friends"
,,,,,,"#xkarla https://t.co/bMtdxYFvVo"
,,,,,,"RT @karla_welch: It's HERE! @xkarla x Hanes featuring @justinbieber ON SALE tomorrow! https://t.co/nFaKFQUmU6"
,,,,,,https://t.co/y8sxm6vyJa
,,,,,,"Who has the merch from the #StadiumCollection ?"
,,,,,,"Thank you to Europe for an incredible #PurposeTourStadiums https://t.co/gRP5ipJV57"
,,,,,,"London today #PurposeTourStadiums"
,,,,,,"RT @Selfridges: .@justinbieber's Purpose Tour #StadiumCollection launches in store &amp; online today! UK shipping only and worldwide shipping…"
,,,,,,"Supporting my brother @djkhaled. Get #FANLUV https://t.co/7VDJUhICy6"
,,,,,,"RT @mmilive: JUSTIN BIEBER | #PurposeTourMNL | 9.30.17 | PHILIPPINE ARENA | Tickets on sale 7.9.17 https://t.co/HCHUiNjNaW https://t.co/3w6…"
,,,,,,"Got something special for the Hyde Park show in london July 2nd. #PurposeTourStadiums"
,,,,,,"RT @billboard: ""Despacito"" dominates #Hot100 &amp; @JustinBieber has week's three top-selling songs https://t.co/IG0o6AdtB6 https://t.co/UeqNbm…"
,,,,,,"Thank u https://t.co/OUjKimDMzZ"
,,,,,,"RT @AEG_Presents: Not long to go til @justinbieber plays Cardiff! Who's in? 
Tix: https://t.co/Zkj0iqAhb8 https://t.co/QzB8tpb7zG"
,,,,,,"Congrats buddy https://t.co/kAeQTKJIpy"
,,,,,,"RT @ABCNetwork: #WeStandTogether for the #OneLoveManchester benefit concert. Catch highlights again tonight at 8|7c on ABC. https://t.co/A4…"
,,,,,,"RT @VictoriasSecret: It’s HERE! @davidguetta &amp; @justinbieber’s new song #2U—watch the Angels lip sync it now: https://t.co/D6rB2bOnaE"
,,,,,,"New single #2U https://t.co/vOH1g22Cl9 https://t.co/B9fFNG8fZb"
,,,,,,"Out now #2U https://t.co/ebRKsx1T0G https://t.co/uU9FE6Xmac"
,,,,,,"Out now https://t.co/VtVl2uxjXB https://t.co/RKa7jeLjv8"
,,,,,,"10 minutes #2U https://t.co/UV9N42v2XF"
,,,,,,"30 minutes https://t.co/V5EyyUzIzf"
,,,,,,"RT @MarthaHunt: 😛🙈😉 #2U @justinbieber x @davidguetta https://t.co/IFY31q2Sl9"
,,,,,,"Friday #2U https://t.co/PWBSM7U6dv"
,,,,,,"RT @SaraSampaio: Turn on the volume  #2U 😉😏 @justinbieber @davidguetta https://t.co/03uxlF2q2k"
,,,,,,"#2U Friday @davidguetta https://t.co/ebRKsxjupg"
,,,,,,"RT @billboarddance: .@JustinBieber announces @DavidGuetta collab out Friday https://t.co/7xGgV1E4aC https://t.co/b3dvuNU81a"
,,,,,,"RT @BBCR1: We're more than a little excited to see what magic @davidguetta &amp; @JustinBieber have come up with 😍🎵

https://t.co/XwjSmsWwnX"
,,,,,,"RT @davidguetta: 🔜 @davidguetta ft. @justinbieber - #2U
https://t.co/cMlNmR6nBy
Out friday ! https://t.co/p0MGuZAhcc"
,,,,,,"New music. This Friday. Me and @davidguetta #2U"
,,,,,,😘😘😘😘😘
,,,,,,"I also don't know enough about sports to Really have valid opinion but I do enjoy sports!! And enjoy any high level sports game. Any team"
,,,,,,"Leafs above all but other than that  u give me ANY JERSEY THAT LOOKS COOL ILL THROW IT ON"
,,,,,,"I support all  sports I'll put ANY jersey from ANY pro team if I'm whack for wearing jerseys they give me out of love then I'm Whack"
,,,,,,https://t.co/jLauxTUvCU
,,,,,,"Elsa
Jasmine
Sara
Romee
Stella
Martha"
,,,,,,"#OneLoveManchester https://t.co/dLcK2kYvP3"
,,,,,,"RT @YouTube: Watch @ArianaGrande's #OneLoveManchester live this Sunday on YouTube. Help support the victims and their families at https://t…"
,,,,,,"RT @MTV: Watch #OneLoveManchester with us this Sunday at 2p EST at https://t.co/lYZwLFGc2i 💜 To make donations please visit https://t.co/Zg…"
,,,,,,"RT @iHeartRadio: We are bringing to you live the historic #OneLoveManchester concert on Sunday at 2PM ET. ❤️ https://t.co/lkXEg65dGN https:…"
,,,,,,"RT @ABCNetwork: Watch highlights from the One Love Manchester benefit concert this Sunday on ABC. #WeStandTogether https://t.co/wZOV2dMUDO"
,,,,,,"See you soon https://t.co/LVOSJszZTr"
,,,,,,"RT @ArianaGrande: #OneLoveManchester
https://t.co/tW93fZN9sw https://t.co/AxPMRZH7IF"
,,,,,,"Nice https://t.co/fgHHK6WVPg"
,,,,,,"See you Sunday https://t.co/FNG2L3LgRY"
,,,,,,#PrayforManchester
,,,,,,"UK. @BSTHydePark in July 
https://t.co/cZqFvfZ5Uv https://t.co/gR5sLY4Yrd"
,,,,,,"South Africa is incredible #PurposeTourStadiums"
,,,,,,"Thank you https://t.co/lqI8U2fX78"
,,,,,,"RT @officialcharts: .@JustinBieber has scored his 6th UK Number 1 and has replaced himself at the top of the Official Singles Chart https:/…"
,,,,,,"Dubai is incredible... India you are next. @Amit_Bhatia99 u ready? #PurposeTourStadiums"
,,,,,,"@djkhaled congrats my friend"
,,,,,,"RT @SB_Projects: ☝🏼🏆 https://t.co/lsBJhPIgt3"
,,,,,,"RT @billboard: .@DJKhaled's all-star ""I'm the One"" debuts at No. 1 on the #Hot100 chart! https://t.co/lnvWGTvKmk https://t.co/fslLGKtqSN"
,,,,,,"RT @polydorrecords: Despacito is Tune of the Weekend on @BBCR1! @justinbieber @luisfonsi 

https://t.co/haETcisQUc https://t.co/wZ9gxnVYdJ"
,,,,,,"I see u @chancetherapper . Request #imtheone https://t.co/8qaatwx1hk @djkhaled"
,,,,,,"Israel was incredible... Dubai your next #PurposeTourStadiums"
,,,,,,"Israel is next #PurposeTourStadiums"
,,,,,,"Always give back. Happy #WorldWishDay @MakeAWish"
,,,,,,"#ImTheOne https://t.co/pJibbCZK1J"
,,,,,,"RT @Vevo: #Summer17 anthem is here. Watch @djkhaled, @justinbieber, @QuavoStuntin, @chancetherapper &amp; @LilTunechi's #ImTheOne https://t.co/…"
,,,,,,"#ImTheOne https://t.co/Xc7FIJs9ML"
,,,,,,"RT @djkhaled: Friday video and Anthem will be available everywhere 6am!  Get some rest ! WE COMING ! #IMTHEONE… https://t.co/2ejpX1MXqD"
,,,,,,"RT @djkhaled: Dj Khaled ""I'm The One"" FT @justinbieber @QuavoStuntin @chancetherapper @LilTunechi will be available everywhere Friday #Grat…"
,,,,,,"Despacito #1 in the world. Thank you"
,,,,,,https://t.co/Z43Zkq0jF5
,,,,,,"#DespacitoRemix https://t.co/ROULx0zv9X"
,,,,,,"#DespacitoRemix https://t.co/i8a2T9Euhb"
,,,,,,"Despacito (Remix) [feat. Justin Bieber] - Single by Luis Fonsi &amp; Daddy Yankee
https://t.co/itfUuQyJzx"
,,,,,,"Remix https://t.co/RZazHB94F8"
,,,,,,"RT @charitywater: Today is #WorldWaterDay! Come take our quiz and see what life without clean water looks like for someone like you: https:…"
,,,,,,"S America next #PurposeTourStadiums"
,,,,,,"I love New Zealand"
,,,,,,"#PurposePopUpAUS https://t.co/qN6ugBqu6c"
,,,,,,"#PurposeTourStadiums #Australia"
,,,,,,"RT @Bkstg: Are you attending any of the upcoming @justinbieber OZ/NZ #PurposeTour dates? https://t.co/FsCNcnQHNo https://t.co/m5Mgmdz4lt"
,,,,,,"Congrats https://t.co/mtQ0XskEEn"
,,,,,,"It's my birthday and all I want is to be a better friend, better brother, better son and better man https://t.co/hBau3PWYKo"
,,,,,,https://t.co/pUGWM6HA2X
,,,,,,"Someone got me flowers and I was driving, made a turn, and the water spilled on my dick area...Didn't bother me if it made ya laugh nice!"
,,,,,,"RT @bookmyshow: Tickets to @justinbieber Purpose India Tour India are now live!

Book NOW before they run out: https://t.co/whJqo5KMVR

#Ju…"
,,,,,,"Mexico City #PurposeTour"
,,,,,,"#PurposeTourStadiums https://t.co/JUfGkFyLh2"
,,,,,,"#PurposeTourMonterrey tonight"
,,,,,,"India tickets go on sale Feb 22. See u May 10th at DY Patil Stadium https://t.co/lVBHPwhohq"
,,,,,,"Happy Valentine's Day #Justmoji 
https://t.co/h7pxjRTO7K"
,,,,,,"RT @justinbieber: I want a super bowl commercial :)"
,,,,,,"My #SuperBowl commercial w/ @TMobile. Let’s go!! Let me see those #UnlimitedMoves https://t.co/J3YYPkR9nw"
,,,,,,"I'm playing today in the @NHL celebrity all star game. https://t.co/VJgB17ysJw"
,,,,,,"RT @NHL: All-time NHL greats, @justinbieber, @88PKane... you won't want to miss tomorrow's Celebrity Shootout. #NHLAllStar https://t.co/Fuo…"
,,,,,,"Yep. Today https://t.co/bYTi9z4jM6"
,,,,,,"Working on something special"
,,,,,,"My I love you face https://t.co/FjDaOjinwE"
,,,,,,"#10yearsofkidrauhl where it all began. Thanks https://t.co/iXMOt2sT3E"
,,,,,,"RT @Bkstg: Where it all began. Celebrate a decade of @justinbieber on YouTube 🎥 #10YearsOfKidrauhl https://t.co/NK08BLQzzW https://t.co/yMp…"
,,,,,,"Watched never say never on Netflix. Great movie"
,,,,,,"Tour access https://t.co/12mNDNJeYS"
,,,,,,"Life is good"
,,,,,,"RT to Send my boy Chris Paul @CP3  to the NBA All-Star Game #NBAVote #retweettovote"
,,,,,,"My sister has a YouTube channel. Proud of you Jazzy. https://t.co/Q8HEULYLUk"
,,,,,,"RT @iHeartRadio: Are you guys the best company?🏆 Welcome back to the big stage @JBCrewdotcom &amp; the #Beliebers. @TacoBell #BestFanArmy #iHea…"
,,,,,,"Today. https://t.co/VIVmpJ4I4X"
,,,,,,"you just got knocked the fuck out"
,,,,,,"RT @Fontainebleau: A few more days to get your tickets to the hottest poolside party with @justinbieber this NYE! #JustinBieber #NYE https:…"
,,,,,,"Great book #howsyoursoul by my friend @judahsmith https://t.co/OXkSFgzyAk"
,,,,,,"Thank you https://t.co/o8h1AUSifO"
,,,,,,"RT @SB_Projects: For your consideration... https://t.co/AZB4DbSOhd"
,,,,,,"Miami. See you at @Fontainebleau​ for #NYE2017 
https://t.co/lSBp5aVirr https://t.co/fyNHjapdkC"
