NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
katyperry,107103496,5832,,925816,3069610,"Picture this: you in a bebe shirt, smelling of lovespell, listening to Pardon me by Incubus on your disc man, runni… https://t.co/pZ0mvv7bJS"
,,,,,,"The LAST night of the 🇺🇸 + 🇨🇦 tour is on sale now, 👁 me and @carlyraejepsen in Vancouver on Feb 6 and we’ll make it… https://t.co/fAbbmrucRA"
,,,,,,"Peru, I can’t wait to see you ❤️ Tickets to Witness: The Tour in Lima are available now https://t.co/xktMUxQE3s https://t.co/2QpYNXa6J8"
,,,,,,"Check out my little fawn @cynthialovely and her very first video as a psycho stalker fan for… https://t.co/SEy8WEER8X"
,,,,,,"Thanks for the love @Refinery29 💘 https://t.co/CnA1PRH77Q"
,,,,,,"She's obsessed and I'm obsessed with her 💘 Check out this little fawn and her first video for Only With You❗️ https://t.co/EVIHoIUnCF"
,,,,,,"🎅🏻🎄TIS THE SEASON🌲🎅🏻 Scroll right to see some of my favorite holiday styles from @kpcollections… https://t.co/haOTgAua8F"
,,,,,,"It's your turn, Buenos Aires! 🇦🇷 Witness: The Tour tickets available now at https://t.co/0cLgj9dwhY https://t.co/Ttv3CdSvDE"
,,,,,,"Santiago! Your Witness: The Tour tickets are on sale now 🇨🇱 https://t.co/qGGKN5Jzr1 https://t.co/fsDAUzkzl9"
,,,,,,"nbd asking Warren Buffet his thoughts on cryptocurrency @ Berkshire Hathaway https://t.co/erKvhd6WRj"
,,,,,,"ASIA I am bringing #WITNESSTHETOUR to you in 2018 🌏 
Be sure to stay on the L👀KOUT for more cities soon❗Details at… https://t.co/YFSnOvggXo"
,,,,,,"Toronto, I really saw myself in you! 👀 Halloween on #WITNESSTHETOUR was WILD 🎃👻 See the full video on #xfinity https://t.co/064w5WnCKW"
,,,,,,"No one will ever believe in you if YOU don't believe in you."
,,,,,,"SOUTH AMERICA your one true girl is coming through like you knew she would 🇵🇪🇨🇱🇧🇷🇦🇷 Can’t wait for you to… https://t.co/BipUV65PRj"
,,,,,,https://t.co/itRIbdXgqr
,,,,,,"The FINAL night of the 🇺🇸 + 🇨🇦 tour has just been added in Vancouver on Feb 6! We’re going to leave it all on the s… https://t.co/hY3UzNYUNk"
,,,,,,"❗️SCROLL RIGHT❗️ Honored to be a muse for the magical artist #ursfischer's BLISS. Visit my… https://t.co/SXl0Z7znQC"
,,,,,,"HOLY SHIT @PINK'S @AMA PERFORMANCE IS THE STUFF OF LEGEND"
,,,,,,"🇺🇸❗@AmericanIdol premieres in MARCH, but voting starts tonight! We're giving 1⃣ lucky singer a second shot at a gol… https://t.co/zBLV1zE6pk"
,,,,,,"¡Hola! Mexico we’re coming for that spice❗️All your WITNESS: The Tour tickets are on sale now 🇲🇽👁️🇲🇽 https://t.co/DrwtoddaGk"
,,,,,,"Can't skip the steps, gotta pay your dues... Warped Tour 2008 #fbf https://t.co/9Qbz8wxNo6"
,,,,,,"Mexico City, your Santander 🎟️ presale starts now! https://t.co/VNXmphRhJe https://t.co/qkdo48Zbsn"
,,,,,,"Most confusing driving question ever: It's a left, right?"
,,,,,,"resonate https://t.co/AlD4suUdYm"
,,,,,,"Mexico City❗We’re going back to back 🇲🇽 🇲🇽 A second chance to #WITNESSTHETOUR has been added for Friday, May 4 and… https://t.co/eg9KI2wKLz"
