NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
kevinweil,72017,24454,"VP of Product at Instagram, board member at Strava. Former engineer & SVP Product at Twitter. Ultramarathons, particle physics, DMD, hadoop, lolcats.",2448219,4133,"@ameet What was the best book you read?"
,,,,,,"@mikeindustries @kennethn thanks for having this conversation in public guys"
,,,,,,"RT @rands: How good are Instagram ads? I’m wearing them on my feet this morning. Oddly, a first for me in a bajillion years on the Internet."
,,,,,,"Today we announced 25M businesses on Instagram! ""Nearly 50 percent of business profiles don’t link to an outside we… https://t.co/8K9R44vFM3"
,,,,,,"@CaseyNewton @WillStick @adambain Lies."
,,,,,,"@greenberg PHP whyyyyyyyyyyyyyyy"
,,,,,,"@CaseyNewton ok ok i get it i'll stop sending you my ideas if you're just going to tweet them anyway"
,,,,,,"@aunder @rands All credit to @vishalshahis @AshleyYuki and team!"
,,,,,,"RT @rands: Shit. Instagram ads are good."
,,,,,,"@bohan I love e.e."
,,,,,,"@mulligan @instagram @rmstein cc @keithpeiris @blakecutler @jyotisood661 @hemal @eddieruvinsky and many others who are making this happen!"
,,,,,,"@wsjCMO @robnorman say it ain't so!"
,,,,,,"RT @elizabeth: 👍🏼 @JeffBezos on raising kids: We let the kids use sharp knives since they were 4 and soon power tools, because if they hurt…"
,,,,,,"@adambain @singhtv @ryangoodman @yipe  https://t.co/mi1DNAoyQ5"
,,,,,,"@adambain @singhtv I️ think you're just getting old. That's how I remember Baljeet."
,,,,,,"@jdrishel @DoorDash Congrats bud!"
,,,,,,"This is genius. We might need to adopt this idea @elizabeth. (h/t @hemal) https://t.co/haSNUNQpP7"
,,,,,,"@steketee ask @elizabeth yourself! 👍"
,,,,,,"@CaseyNewton You can do anything you set your mind to."
,,,,,,"If you love running, you will love this article about @ShalaneFlanagan https://t.co/fvdVw9Rk83"
,,,,,,"@bohan @elanfear @ju2thalee @evanr @stephanied @emrambrose @emilysklar Yeah! With @ApoloOhno back in 2011. For @SUBWAY. It's a good story :)"
,,,,,,"@elanfear @ju2thalee @evanr @bohan @stephanied @emrambrose @emilysklar Congrats you guys!!"
,,,,,,"@vishalshahis I think @elizabeth and I were one. The weird thing that comes with hitting zero is you have no idea w… https://t.co/EnkBx2OEqW"
,,,,,,"SHALANE! https://t.co/v4Wc8XCNNL"
,,,,,,"@NathanCHubbard @dickc Don't start something you can't finish. https://t.co/NVF6JpFBsZ"
,,,,,,"@Ravi @KatieS @Color @othman How was it?!"
,,,,,,"RT @iamdevloper: 1969:
-what're you doing with that 2KB of RAM?
-sending people to the moon

2017:
-what're you doing with that 1.5GB of RA…"
,,,,,,"@thirdweil A bag from @Derella I believe! cc @elizabeth"
,,,,,,"@cra @thirdweil and I could do that! Bet the record is faster though... I think the half marathon record is 1:09 or 1:11"
,,,,,,"@bhagen @gingerm @bradkeown @carey I sense the presence of DMD and join any meetings that include it."
,,,,,,"@blambertsluder i'm rooting for seven games :)"
,,,,,,"@blambertsluder this is INSANE"
,,,,,,"RT @msquinn: ""So if you're a woman, you started working for free two days ago."" https://t.co/0xtxoB9l4U"
,,,,,,"RT @iSmashFizzle: I want Marshawn Lynch to give a TEDTalk."
,,,,,,"RT @KelvinBeachumJr: The ultimate measure of mental toughness is consistency."
,,,,,,"@verge @CaseyNewton Yep!"
,,,,,,"""Dramatic chipmunk as a service."" Great review of Instagram's new Superzoom tool from @verge @CaseyNewton https://t.co/82Edaazn8z"
,,,,,,"@deray cereal is the best."
,,,,,,"@stevesi Me seven"
,,,,,,"Launching worldwide today: go Live with a friend on Instagram! Bringing people Live with you is twice the fun. https://t.co/EofngG7aDb"
,,,,,,"RT @JustJOSH_ingYa: Burger King just released one of the best anti-bullying PSAs I've ever seen https://t.co/0RV1JUvBd2"
,,,,,,"@alizar Don't think about it, just send email. You were born to be a PM 😂"
,,,,,,"@MeredithFrost This was just what I needed this morning. Thank you 😂"
,,,,,,"RT @MeredithFrost: Take a minute of your day to revel in a Beastie Boys/Muppets mashup https://t.co/xdkP5prl4h"
,,,,,,"@dflieb Purrty well done!"
,,,,,,"@keltonlynn @segment congrats to you and @segment!"
,,,,,,"Jerry Rice the wedding crasher is my new favorite Jerry Rice. https://t.co/qdcRZDFIrF"
,,,,,,"@balasankaran Congrats! Awesome run."
,,,,,,"@ltm Looks like your only choice is to set the whole thing on fire"
,,,,,,"@greenberg cc @CaseyNewton"
,,,,,,"@greenberg End of an era buddy! Congratulations on an amazing run. So many great memories of our time building things together."
