NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
kfan,3705,128537,"I write books about Kim Kardashian & Chrissy Teigen saving the world 🛀🏽 ""A nice boy"" - @theames",363287,746,"RT @aedison: I’m glad all my “guillotines!” jokes are just that, jokes, because advocating for violent revolution against the rich is legal…"
,,,,,,"RT @knottyyarn: I DON’T KNOW MAYBE PART OF THE PROBLEM IS THAT SENATORS, IN A POSITION DESIGNED TO SERVE THE PUBLIC, CAN BECOME MULTI-MILLI…"
,,,,,,"Maybe instead of calling and emailing our senators every day we should be burning their houses down. jmt"
,,,,,,"@nzle I got kind of garbage side of the stage tickets but WHO CARES I GET TO SEE HIM AGAIN"
,,,,,,"@nzle YAY"
,,,,,,"Ah more Harry Styles tickets for Boston ahhhh who’s going"
,,,,,,🐇🐇
,,,,,,"RT @laura_hudson: Last week, @sarahjeong reported on chat logs where a celebrated hacker and activist confessed to countless sexual assault…"
,,,,,,"@sarahbrown RT"
,,,,,,"RT @JessicaKRoy: feminist cheeses ranked
3. cheddHER
2. monterey...jill
1. girlgonzola"
,,,,,,"@pauvrelapinou yes just some problems with her butt, you know how it is. is Ren doing ok?"
,,,,,,"@pauvrelapinou Ren &amp; Lola are twinning https://t.co/Vue1g4RCFe"
,,,,,,"The pics I took came out bad but I saw @joshgondelman do comedy last night and it was extremely great! If he visits… https://t.co/0MdSVPueT2"
,,,,,,"RADICAL PEQUEÑO"
,,,,,,"RT @TheDweck: To make sure they appeal to conservative Christian values, Starbucks holiday cups should show a 32-year-old DA molesting a 14…"
,,,,,,"@heatheremerrick So annoying!!!!!"
,,,,,,"Boo @hqtrivia"
,,,,,,"@zanopticon @mmpopkey @nzle I'm SO jealous"
,,,,,,"Scott's boss sounds completely chill and fun to work for https://t.co/mz08lZBPnh"
,,,,,,"RT @theames: CHRISTMAS WISHLIST BY AMY M SPALDING:
1. Patriarchy overthown
2. One to three GOOD celebrity friendships
3. More cats, just, I…"
,,,,,,"RT @electrolemon: why hasn’t the fast and furious franchise had a second spinoff film based entirely on m.i.a’s ‘bad girls’ video"
,,,,,,"@katieferg @joshgondelman Nooooooo 😫"
,,,,,,"@pilotbacon @joshgondelman HMMMMMMMMMMMMMMM"
,,,,,,"@joshgondelman Can’t wait! 💜"
