NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
kristinluck,6199,4517,"Serial entrepreneur turned growth strategist. Mktg measurement/data monetization pro. Rabid Oregonian. Passion project: @womeninresearch",353697,241,"RT @FastCompany: ""If someone shifts from a long commute to a walk, their happiness increases as much as if they'd fallen in love."" https://…"
,,,,,,"RT @HarvardBiz: Does your company’s operating model support your strategic mission?
https://t.co/19exigXGGS"
,,,,,,"RT @SallieKrawcheck: My Opinion piece in tomorrow's Sunday @NYT: ""The Cost of Devaluing Women."" If my experiences are any indication, we ar…"
,,,,,,"RT @SallieKrawcheck: This article is pure fire: The Men Who Cost Clinton the Election, via @nytimes https://t.co/wUJTciIfE1"
,,,,,,"RT @WomenInResearch: Results From a New Study By the Nonprofit Women in Research (WIRe) - Education and Career News https://t.co/Yyiso13TpL…"
,,,,,,"Thanks Rebecca! https://t.co/XkG9tahCYb"
,,,,,,"I'm a Depression historian. The #GOP tax bill is straight out of 1929. https://t.co/xr19qYcwRP #dumptrump"
,,,,,,"Q: How can you best educate, develop and improve yourself in market research? https://t.co/CVRteJvQOe @voxpopme #mrx"
,,,,,,"RT @paul_long: Paul's Market Research Daily is out! https://t.co/ZI7Dbvu9uY Stories via @kristinluck"
,,,,,,"RT @WomenInResearch: Results From a New Study By the Nonprofit @WomenInResearch  (WIRe) - Education and Career News https://t.co/Yyiso13TpL…"
,,,,,,". @WomenInResearch is in the @MediaplanetUSA #WomeninResearch issue! Only 28% of the world’s researchers are women.… https://t.co/ADfR46A9Yu"
,,,,,,"Five Women Who Are Changing Market Research for the Better  https://t.co/QJQ4Ts9Yjh @womeninresearch #mrx #changetheratio"
,,,,,,"RT @HarvardBiz: Having a side hustle can make a dramatic difference for your career
https://t.co/mwlQE69kQU"
,,,,,,"RT @HarvardBiz: Businesses can do a better job of showing that ethical and profitable practices don't always conflict
https://t.co/ndSD2AO0…"
,,,,,,"RT @SenFeinstein: UPDATE: Democrats just offered an amendment to ensure corporations use their tax savings to raise employee wages at the s…"
,,,,,,"RT @Ellevest: Meet the women of @argent who are reinventing the pantsuit. #WhatTheElle https://t.co/PP6DH9Wa55"
,,,,,,"@united Of course!"
,,,,,,"RT @businessinsider: McKinsey: Robots will put up to 800 million people out of a job by 2030 — and the problem will be worst in rich countr…"
,,,,,,"RT @odgersberndtson: #GenderDiversity amongst APAC leaders of UK companies: Only four of 78 leaders mapped across the 20 representative com…"
,,,,,,"RT @ProphetBrand: #Brand purpose is key to consumer’s views of @NHSEngland. Check out what else we found: https://t.co/b4KczliqUL https://t…"
,,,,,,"RT @voxpopme: Tips for creating videos that go viral on #Facebook and how to make them sticky https://t.co/Kb87PV0dWV #mrx #newmr #insights…"
,,,,,,"RT @BrandQuarterly: Growth Hacking Your Brand Strategy https://t.co/QBQCmszReD"
,,,,,,"Best campaign slogan ever.....""who can you trust most not to show you their penis"" https://t.co/liyEW5haHg"
,,,,,,"The Insidious Economic Impact of Sexual Harassment https://t.co/vDEhGC3iy8 #changetheratio @WomenInResearch @nilofer"
,,,,,,"❤️❤️❤️ https://t.co/RhsIYB3a44"
,,,,,,"RT @theboardlist: ""Adding just 1 woman is suboptimal. To fully achieve the benefits of building a diverse board, it turns out that the magi…"
,,,,,,"Ever hear of @hootsuite , @jbretcha ? 😄 https://t.co/Gy8xgKitbj"
,,,,,,"RT @HarvardBiz: 8 Tough Questions to Ask About Your Company’s Strategy https://t.co/TrAET5W9Ez"
,,,,,,"RT @infotools: Infotools Harmoni was designed to allow researchers to spend less time preparing data and more time generating valuable insi…"
,,,,,,"Puerto Rico’s Women #Entrepreneurs Are Doing What Trump Wouldn’t https://t.co/iqqlzxDq8K #changetheratio @thelist"
,,,,,,"The #AI Guru Behind Amazon, Uber, and Unity Explains What AI Really Is https://t.co/l6WfFxUl63 #mrx"
,,,,,,"13 Women That NBC Could Have Picked To Host The Golden Globes https://t.co/3VqBW8XCK3 #goldenglobes #changetheratio"
,,,,,,"RT @HarvardBiz: Mindfulness can transform you into a better leader
https://t.co/vuW2YuJrib"
,,,,,,"RT @HarvardBiz: You need time to evolve. Don't be afraid to ask for it
https://t.co/Te3YAYAnSM"
,,,,,,"RT @paul_long: Paul's Market Research Daily is out! https://t.co/gEx99a3lqF Stories via @jgownder @kristinluck @survey_guru"
,,,,,,"Congrats team! @Voxpopme gets funding boost  https://t.co/fQrhQHUyzS #mrx"
,,,,,,"RT @JDDeitch: Inaugural event of the Paris chapter of @WomenInResearch! Thanks to Nikki @mindsparklab for bringing us together. #mrx #newmr…"
,,,,,,"5 Changes We Can Expect for the Future of Respondent Engagement https://t.co/OWFLkrAqFf #mrx @GreenBook @VirtualRewards @KoskiResearch"
,,,,,,"RT @WomenInResearch: Double your donation on #GivingTuesday...the Gates Foundation is matching donations starting at 8am EST today. Right n…"
,,,,,,"RT @GPollowitz: Prince Harry's kids will be Americans. What if one grows up to be president and is in line for the throne at the same time?…"
,,,,,,"Sweet mother of...... #facepalm #changetheratio https://t.co/5JERIxFKCx"
,,,,,,"RT @WomenInResearch: Make a donation in honor of #givingtuesday &amp; give us the chance to get a matching grant from the Gates Foundation! We…"
,,,,,,"Congrats to you and your team @erica_dfirst ! Exciting times! #mrx https://t.co/qkivODkXy3"
,,,,,,"RT @TweetMRS: While all the attention is on the data scientists, it’s market research where the really interesting work is, writes Ryan How…"
,,,,,,"RT @Inc: Self-made billionaire Jack Ma: IQ and EQ are great, but to succeed you need LQ too https://t.co/ABqsGaukxD"
,,,,,,"RT @ASlavitt: Black Friday: Time to smash ACA sales records Trump does not want ppl to see.👇

80% can get coverage for &lt; $75/mo thru 12/15.…"
,,,,,,"RT @HarvardBiz: Great Corporate Strategies Thrive on the Right Amount of Tension https://t.co/GwEEdUcxJu"
,,,,,,"RT @HarvardBiz: Startups That Seek to “Disrupt” Get More Funding Than Those That Seek to “Build” https://t.co/EeMYS77gC4"
,,,,,,"RT @WomenInResearch: Today we're giving thanks for all the powerful women out there who inspire us! Help us continue to provide programs an…"
,,,,,,"RT @RayPoynter: Hear @kristinluck talk about ""Business Unusual: Strategies to Ensure 2018 is the Year Research Stops Dreaming and Starts Do…"
,,,,,,"RT @HarvardBiz: Make sure you don’t fall into these 3 common transformation traps.
https://t.co/FuuDbXWaV7
@IMD_Bschool"
,,,,,,"RT @WomenInResearch: Want to learn more about the people included on our Top Ten #mrx Diversity Champions List? https://t.co/BEsjPFjqd6  Fo…"
,,,,,,"RT @NewMR_News: Hear @kristinluck talk about ""Business Unusual: Strategies to Ensure 2018 is the Year Research Stops Dreaming and Starts Do…"
,,,,,,"RT @simonchadwick: If there is one book that should be under your tree this season, it's The Innovation Biome by Kumar Mehta. Absolutely br…"
,,,,,,"RT @HarvardBiz: Strategy is an interconnected cascade of choices
https://t.co/mUR1Jc3Ypa"
,,,,,,"RT @simavasa: To Create Gender Equality, Companies Must Open Up About Failure @TIME  https://t.co/0LbrMZQwd6 #genderequality #workplace #te…"
,,,,,,"RT @RonanFarrow: Harvey Weinstein used money from his brother Bob, high-powered lawyers who funneled dirt on accusers to law enforcement, a…"
,,,,,,"RT @HarvardBiz: When it comes to failure, is there a right way to be wrong?
https://t.co/vbAPOBxMAh"
,,,,,,"RT @infotools: We just announced the formal launch of Infotools Harmoni, our cloud-based market research platform that allows researchers t…"
,,,,,,"RT @soledadobrien: Ridiculous. If you're a man who can't be alone with a woman and not grab her or rub up against her, you probably shouldn…"
,,,,,,"RT @HarvardBiz: How to Excel at Both Strategy and Execution https://t.co/Qz1x1m16vV"
,,,,,,"RT @infotools: Infotools launches cloud-based Harmoni | News https://t.co/S5cV0YPkfW by @researchlive"
,,,,,,"RT @WomenInResearch: Our popular mentoring program is now open! Apply by December 18: https://t.co/dz9mWz4DiT #womeninresearch #mrx https:/…"
,,,,,,"RT @ESOFound: Want to relax in a beautiful hotel in Central America? You might be the lucky one! Join our Xmas Charity Draw and support our…"
,,,,,,"RT @WomenInResearch: Call for Papers Announced for @InsightsMRX NEXT Deadline: Friday, December 1. This conference sold out last year and i…"
,,,,,,"RT @simonchadwick: Insights Association members! Get nearly 1,000 euro off non-member rates @ ESOMAR's Big Data World, NY!, Nov 27-29 BIGDA…"
,,,,,,"To Create More Economic Dynamism, Empower #Entrepreneurs Of Color https://t.co/jexULGqeUS"
,,,,,,"RT @salichristeson: “The Silent Rise of the Female Driven Economy” by Danielle Kayembe https://t.co/tjOUKoFbPO"
,,,,,,"RT @Inc: These 8 podcasts will bolster your business and change your life in 2018 https://t.co/97CfATuWxU"
,,,,,,"RT @ParticleDesign1: We're excited to be apart of the @WomenInResearch panel on career leadership! Catch Particle CEO @clrutland on the dis…"
,,,,,,"RT @WomenInResearch: We're hiring! Marketing &amp; Events Manager for @WomenInResearch: https://t.co/ysiNaa3EGA #mrx"
,,,,,,"Things we Learned at The Marketing Research Event (TMRE) 2017 https://t.co/QpLHvWcl1w #tmre #mrx #marketing"
,,,,,,"Just More Evidence #Women And #Minorities Are Left Out Of #VC Funding https://t.co/cdVv9GFvYU #changetheratio #entrepreneur"
,,,,,,"What Is It About Working At @eBay That Makes #Women Start Businesses? https://t.co/XnO6SrQhBj #changetheratio"
,,,,,,"This is EXACTLY why sexual harassment persists- thanks  Paul Thibado for the moronic quote.”It isn’t like they’re s… https://t.co/FsLBCpRUzO"
,,,,,,"How To Find Time For A Side Hustle When You Have A Full-Time Job https://t.co/DMGdv2Mh68 #sidehustle #entrepreneur #startup"
,,,,,,"RT @argent: Honored to have @HillaryClinton wearing Argent in @TeenVogue's last print version. #nicework https://t.co/4PLNzIRi4f"
,,,,,,"Congrats to the @voxpopme team on the launch of the new website- looking sharp ! https://t.co/Eu9yeUXQUi #mrx"
,,,,,,"Love love love seeing Michelle Mitchell’s smiling face on the cover of Bend Quarterly! @hummkombucha #inbend https://t.co/LT2D1gqB89"
,,,,,,"RT @WomenInResearch: The #womeninresearch #mrx Mentoring program is now open! https://t.co/dz9mWz4DiT Applications due by 18 Dec. Empower y…"
,,,,,,"RT @emilyslist: Before tonight the most women serving in the Virginia House of Delegates was 19. As of this moment, with several additional…"
,,,,,,"RT @TheEconomist: With his aim to foster greater scale, Mr Macron should be pushing on an open door https://t.co/6MnITYQ39n"
,,,,,,"RT @IronStache: And in 2018, we’re coming for Paul Ryan. https://t.co/BhO7WgUXtH"
,,,,,,". @ResearchNowUS this little gem has kept this road warrior charged for the last 2 weeks. I️ may be out of steam bu… https://t.co/JibSPLDWyi"
,,,,,,"RT @cmclymer: Breaking: Danica Roem has become the first openly transgender person elected to a state legislature in American history, defe…"
