NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
kumailn,2222343,22440,"My new movie The Big Sick is on Amazon, iTunes, Blu ray, all the streamings. Get to it!",828327,1678067,"RT @jaketapper: Thread https://t.co/HoRvNoJzcl"
,,,,,,"@alissamarie @davidlsims Leaving Twitter?"
,,,,,,"@alissamarie @davidlsims I’ve heard Gary Oldman is showing up in full make up outside critics’ houses &amp; screaming “… https://t.co/j2WruIj8OY"
,,,,,,"@alissamarie Oh my. This is very embarrassing. And also thank you and also sorry."
,,,,,,"RT @SulomeAnderson: The gravity of an American president's favorite catch phrase being used to justify ethnic cleansing will probably be lo…"
,,,,,,"@robfee HYPE"
,,,,,,"We got him right? This is it, right? Now it has to be over, right? - Me in the year 2022 https://t.co/TsT5guo8sn"
,,,,,,Shit.
,,,,,,"Oh man. Wait till you hear about some of the other stuff the media found out about today. https://t.co/FV0vqgcOkV"
,,,,,,"@jhoffman holy *fucking shit"
,,,,,,"@nprmonkeysee Yep. It’s big one."
,,,,,,"@EricIdle And thank you for your brilliant work as well. Your brilliant brilliant work."
,,,,,,"Whoa. Thank you. Oh my god. Thank you. This means... a lot. https://t.co/ccgrsoWCIW"
,,,,,,"Trump is the best thing to ever happen to you and the worst thing to ever happen to us. https://t.co/QiYpBWZd8e"
,,,,,,"RT @ASlavitt: JUST OUT: No one knows what the Senate is about to vote on.

Except lobbyists.👇

Amendments we won’t learn about til later. I…"
,,,,,,"RT @Sethrogen: We mistakenly gave an excuse that nobody liked we are currently looking for new ones. We appreciate the feedback. https://t.…"
,,,,,,"RT @bessbell: I'M SORRY I'M YELLING AND THIS IS GREAT WITH FLYNN BUT THEY *JUST* GOT ENOUGH VOTES TO PASS THE TAX BILL UNLESS WE FLIP SUSAN…"
,,,,,,"CALL YOUR SENATORS NOW! https://t.co/nzYvGqUWmA"
,,,,,,"@shanndsmith Yessss! One more down, billions to go!"
,,,,,,"RT @chrislhayes: All of the looking the other way, and the excuses and the complicity w Trump was so the GOP could pass this bill today. Th…"
,,,,,,"Aaaaah I love this! Holly is the BEST OF US! https://t.co/nOKYlbeEWz"
,,,,,,"RT @NormEisen: Don't be distracted, even by Flynn plea.  #TaxScam is reportedly losing votes--POUR ON THE CALLS AND FAXES TO YOUR SENATOR.…"
,,,,,,"Mr @realDonaldTrump, we really want to hear your thoughts on this Flynn news. Please tweet and let us know what’s g… https://t.co/ZddhBRzIu3"
,,,,,,"Legit question: What if we get airtight proof of Trump knowingly colluding with Russians and Congress doesn’t do an… https://t.co/saX3dDyDgl"
,,,,,,"MERRY CHRISTMAS!!!🎄🎁 https://t.co/KzpEczjh8Q"
,,,,,,"CNN: Flynn pleads guilty. 
MSNBC: Flynn pleads guilty. 
Fox News: Dogs: Does they even know about Christmas?"
,,,,,,"They’re going to pass this tax bill while we celebrate the Flynn news. Call your senators!"
,,,,,,"Hey @realDonaldTrump, turn on the TV. Something fun is happening."
,,,,,,"Seems like my main man Flynn is singing!"
,,,,,,Flynn!
,,,,,,"The correct term for “Nazi sympathizer” is “Nazi.”"
,,,,,,"*heats up a knitting needle and shoves into own eye to distract from the pain* https://t.co/zZkdwgBkSQ"
,,,,,,"@MurrellDan Co-sign"
,,,,,,"So apparently @AjitPaiFCC, chairman of the FCC who is trying to kill #NetNeutralityِ to please big corporations, mo… https://t.co/mF91Ya2b6Y"
,,,,,,"@JaredLogan Is she on Twitter? Or do I have to call her again?"
,,,,,,"The only people surprised by Trump sharing fake racist anti-Muslim videos is literally not one person."
,,,,,,"@davidehrlich Oh. Oh no. Oh no. Oh. No. 

No no no no no. 

Oh no."
,,,,,,"@Andrew_Reiner Is it really good? Do i need to read any other books first for Context?"
,,,,,,"Yay! Thanks for watching! https://t.co/fWOcyvQxZ4"
,,,,,,"@Rosie Awwww thank you Rosie! We’re big fans of you!"
,,,,,,"@MichaelAusiello Thank you, my friend"
,,,,,,"@MichaelAusiello It’s a lovely film. Hard not to root for it."
,,,,,,"The Big Sick is rooting for Call Me By Your Name all the way. This is an official press release. https://t.co/9yq4btXdNL"
,,,,,,"@morninggloria These are my two favorite bits. https://t.co/MMVyFQ8I72"
,,,,,,"Calling a member of any race/ethnicity by the name of another famous member of that race/ethnicity is racist.

The More You Know."
,,,,,,"Remember when this would have been shocking &amp; unacceptable? https://t.co/pY22ZNE47M"
,,,,,,"You know what’s a good turn of phrase? Turn of phrase. 

Anyway that’s what Twitter used to be before it was “CALL… https://t.co/1vy73oawVK"
,,,,,,"Must read thread on why that @nytimes Nazi story rubbed so many people the wrong way. https://t.co/xxzwt4w5R1"
,,,,,,"@OGHopp @iraglass That headline was altered later. It used to be ""The Nazi Next Door"" or something like that."
,,,,,,"@armiehammer Dammit Armie. I can’t maintain my rehearsed cool exterior when I’m around you..."
,,,,,,"@armiehammer Shit. And I thought this was gonna be a fun evening..."
,,,,,,"@emilynussbaum @iraglass I think the idea that this Nazi kept saying he wanted to use humor to spread his message w… https://t.co/MxGt6P08uf"
,,,,,,"@emilynussbaum @iraglass Exactly right. The online roots of alt-right &amp; nazism provide a great context. It’s terrif… https://t.co/yRqAnuzvKx"
,,,,,,"@hodgman @emilynussbaum @02BITPODCAST @iraglass Challenge the nazi’s notions. Go in armed with facts and try and ge… https://t.co/VWD2MMy7nr"
,,,,,,"@emilynussbaum @iraglass And also everything Emily said. There was a piece in the New Yorker by Andrew Marantz abou… https://t.co/2ELnu3Nr20"
,,,,,,"@iraglass But I also think the author's intention wasn't to normalize. I think the author's intention was to be chi… https://t.co/VITqMOZKG7"
,,,,,,"@iraglass I think the implicit understanding that ""Nazis = bad"" isn't there anymore. I really think that. Most ppl… https://t.co/iyUgkm1RzT"
,,,,,,"Exactly. https://t.co/MLVgYqCHKk"
,,,,,,"@iraglass I think some sort of context about the damage that ordinary people are capable of doing was required. Som… https://t.co/n3qVl92UOh"
,,,,,,"Awesome parody by @TheAtlantic of that awful @nytimes “Nazis are just like us!” dreck. https://t.co/LNMYpYCOL6"
,,,,,,"This right here👇🏾 https://t.co/AydsdCYnsQ"
,,,,,,"@DannyTRS @emilyvgordon Thanks for watching, man!"
,,,,,,"@originalspin Thank you!!! 🙏🏾🙏🏾🙏🏾🙏🏾🙏🏾"
,,,,,,"All Nazis are bad people. 

There. I just took a major political stand in #2017."
,,,,,,"@drklrdbill @Sethrogen I'm sorry man. This must be hard."
,,,,,,"@Sethrogen @drklrdbill Whoa. Is this for real? Shit."
,,,,,,"This is infuriating. My god. https://t.co/IyhpEzRhzb"
,,,,,,"Here's a good rule of thumb, newspapers: If you can imagine a Nazi reading the article and going ""This is a great article"", DON'T PRINT IT!"
,,,,,,"This dreck and the “dapper Nazi” dreck is what led us here. 

Newspapers, you have a responsibility. I mean, I woul… https://t.co/ZiVk2vipLm"
,,,,,,"@Massawyrm Do. Not. Engage."
,,,,,,"@Massawyrm Be careful or you’ll end up as a face in one of those framed pictures behind the bar"
,,,,,,"Hollywood called to say that The Big Sick was PROBABLY going to be named “Movie (Film) of the Century,” &amp; make a bi… https://t.co/0xO7hfanFA"
,,,,,,"RT @TIME: The President is incorrect about how we choose Person of the Year. TIME does not comment on our choice until publication, which i…"
,,,,,,"@sepinwall I may still have watched 4 Weddings more times..."
