NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
lafawn,1110,794,"Global Head of Culture & Inclusion @ Twilio. Traveler. Mother. Bay born and raised. Mixed with magic, sprinkles and unicorn dust. IG: thelafawn",1426964,428,"@joshuaenc @adblanche @twilio I get off the interwebs for ONE day and this is what happens?!? 😂 You two get it toge… https://t.co/nETZR2mjIa"
,,,,,,"@adblanche @perfnormalbeast What Blache said!!"
,,,,,,"@perfnormalbeast @adblanche  https://t.co/qVkO8RFuPL"
,,,,,,"Got M&amp;A AND HRBP experience? Twilio is hiring a Director, HRBP - G&amp;A/M&amp;A! https://t.co/mMtwp5IDNP"
,,,,,,"@adblanche @perfnormalbeast What is this “quiet” thing you speak of? https://t.co/cdy69PqrR4"
,,,,,,"@adblanche  https://t.co/LX4VgVgi3A"
,,,,,,"Yaaaaaaaaaaaaaassss!!! 🙌🏽🙌🏽🙌🏽🙌🏽#squadsgiving https://t.co/P6Hd2FI6ib"
,,,,,,"@ArlanWasHere @ErikaDMSF  https://t.co/Kzh8ToAiFZ"
,,,,,,"RT @ArlanWasHere: I received an invite to an event this morning run by white men called ""What is the problem with Silicon Valley &amp; Diversit…"
,,,,,,"Thank you for having us! 🙏🏽 https://t.co/Ok8cUkrTT0"
,,,,,,"RT @MomoUhOh: So I made a game cause I got tired of women putting their hands in my hair. 🤷 https://t.co/q0M3i4Pwoh  #donttouchmyhair #hair…"
,,,,,,"@FeminismTech @twilio Prentice Powell 😀"
,,,,,,"@KershBranz  https://t.co/M7VursMmXx"
,,,,,,"@rhianstudio SKROOOOONG 😂😂😂"
,,,,,,"@FeminismTech @twilio You’re fabulous too!! 🙌🏽🙌🏽"
,,,,,,"@rhianstudio  https://t.co/3tBXObFV5j"
,,,,,,"@daphnerocha  https://t.co/oiYpRvRR3W"
,,,,,,"@maxmasure @lesbiantech @getpantheon @lepitts @Michelle_Skoor @outlandishjosh @Airbnb @zynga @boles_eye… https://t.co/nJsq7h9hlx"
,,,,,,"@halfwrittensong @lesbiantech Thank you ❤️"
,,,,,,"RT @RobertGordonIV: @twilio @FollowPrentice @lafawn @perfnormalbeast @coreylweathers “Stand for something or people will define you.” -@Fol…"
,,,,,,"RT @FeminismTech: @twilio #speakeasynight bringing me to tears over and over with moving spoken word and the fabulous @lafawn https://t.co/…"
,,,,,,"❤️❤️❤️❤️ https://t.co/bLmZGnDgoF"
,,,,,,"@Michelle_Skoor  https://t.co/ljlj73wl7I"
,,,,,,"@Michelle_Skoor  https://t.co/PONsY7slXi"
,,,,,,"@stemoore09 @lesbiantech Not always. Sometimes single stall bathrooms are still marked as gender specific."
,,,,,,"RT @Michelle_Skoor: Exactly that *simple*. When inclusion is safety for your employees #WhenLaFawnSpeaks #genderqueerbathroomanxiety https:…"
,,,,,,"RT @lesbiantech: “This burden [inclusion and diversity] cannot rest on the shoulders of those who are marginalized and oppressed.” -@lafawn"
,,,,,,"RT @lesbiantech: “I️ am more than just my gender. When you have gender programs [focused on gender diversity in tech], those benefits don’t…"
,,,,,,"RT @lesbiantech: “The conversation has been very binary around diversity.” -@lafawn"
,,,,,,"@mpalizi @bernardcoleman3 @heymsrachel @WeWork @mlaxros Thank YOU, Moh! 🙌🏽"
,,,,,,"RT @mpalizi: What an honor to introduce such an inspirational group to kickoff a breakfast session at #DF17. The world can learn immensely…"
,,,,,,"RT @lesbiantech: “We turned all our single stall bathrooms to gender neutral ones. We put a sign up saying ‘No judgments, just toilets.’” -…"
,,,,,,"RT @lesbiantech: “How do you create a supportive atmosphere were all people can be productive in your environment?” -@lafawn"
,,,,,,"RT @lesbiantech: “What are the bigger picture issues that maybe lead to filling the pipeline with the same type of people who are already t…"
,,,,,,"RT @lesbiantech: “How do you elevate pipeline beyond who’s applying?” - @lafawn starting off the panel with the hard questions! 
#diversity…"
