NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
lkherman,20867,44772,"Contributing editor for @refinery29. Also catch me on @TeenVogue, @Allure_magazine, and more. Ladies, subscribe to (Net)Work B*tch: https://t.co/o5RD6ZIhJr",88658,9478,"@oliviamuenter GIRL WHAT"
,,,,,,"👏🏼👏🏼👏🏼👏🏼👏🏼 https://t.co/hC3mKORZxR"
,,,,,,"@LTintheCity 💜💜💜 also just responded to your email this AM!!"
,,,,,,"@jkalderash Yes, always and forever!"
,,,,,,"I need to eventually create an updated thread about this but also I'm lazy AF."
,,,,,,"Hi yes the Republicans suck and I want them all replaced by progressive women and 1,000+ volunteers and I are doing… https://t.co/bWRSHUZ0sn"
,,,,,,"RT @EricHaywood: Not listening to black women https://t.co/EPblWT3tI1"
,,,,,,"Ridiculously excited to speak on a panel today about media and representation for @onegirlinc's #WomenInCharge even… https://t.co/qIKsHwiNqg"
,,,,,,"THIS IS THE PUREST DAMN THING. https://t.co/oaIG9IjDZ8"
,,,,,,"These ""life comes at you fast"" before/after tweets are writing themselves. https://t.co/4AItFlMWdT"
,,,,,,"@StandardFifty But of course"
,,,,,,"*checks when Mars will be habitable* https://t.co/X2y6lrHoyG"
,,,,,,"*chokes on wine* https://t.co/a0VNxyxAcQ"
,,,,,,"Omg here for very appropriately sassy commentary from Jon Tester. https://t.co/prtazWQDbh"
,,,,,,"It's gonna be fun! Come hang out. https://t.co/IPdOOW6UQS"
,,,,,,"RT @leochu88: Hey Writers! This is happening! Polish up those scripts and submit them to this amazing Fellowship which I co-chair. It's lau…"
,,,,,,"I absolutely love @Luvvie's work and oh my god this TED Talk is so good: https://t.co/9dzje9klAu"
,,,,,,"And here's the old Twitter thread about said initiative because we don't have a website (for a variety of intention… https://t.co/SphAaCkC55"
,,,,,,"If you're a progressive woman running for office at ANY level of government:

My initiative's hosting a free webina… https://t.co/Ou6yrfVVEA"
,,,,,,"HAHAHAHAHAHAHA https://t.co/OsdYd7Gcxc"
,,,,,,"@G_Russo1 Awwww thank you!!!"
,,,,,,"Folks, meet Blake Farenthold, a sitting member of Congress who used $84,000 of taxpayer money to settle a sexual ha… https://t.co/JohFZtXAl9"
,,,,,,"I hate so many damn people rn. https://t.co/mFBnl33rSy"
,,,,,,"Bloop. https://t.co/KNsbFA7DNR"
,,,,,,"I'm already furious at Republicans for pushing this terrible and soulless AF tax bill, but I'm extra pissed that th… https://t.co/iuWVHvlxc5"
,,,,,,"Make it raaaaain, Michael. https://t.co/co9ydvZ0Zg"
,,,,,,"WELL HOLY SHIT GODDAMN WTF https://t.co/2cAe6MFQ9V"
,,,,,,"Y'all know I love lists, and @BitchMedia's #BitchMedia50 is excellent. https://t.co/Ds0VrLl1CC"
