NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
mastersofscale,7429,1270,"In this new podcast from WaitWhat, Silicon Valley entrepreneur & investor @reidhoffman shows how famous founders take their companies from zero to a gazillion.",1894,1528,"RT @reidhoffman: Today, take a refresh on the lessons from @MastersofScale episode Learn From Every 'No'. @TristanWalker shares his tips fo…"
,,,,,,"@jasonsmontoya Hi Jason, thanks for the head's up. We're trying to replicate the issue, but no luck. What version of Chrome are you in?"
,,,,,,"@karemarr 👏👏👏"
,,,,,,"Cool! Thanks for sharing, Farzin! https://t.co/76fGH1hf1H"
,,,,,,"RT @ATTBusiness: Scaling a business? Your goal isn't beating competition, but breaking free of competition. Great podcast listen from @mast…"
,,,,,,"RT @Receipts_Sophie: “Speed is not manufactured by how fast your feet move... but by how much force per step.”👟⚡️💥 great quotation via @rei…"
,,,,,,"RT @dturchin: Must-listen: ""The Big Pivot"" w/ @stewart on @reidhoffman's @MastersOfScale. A 38-min metaphor for life: 1) we all screw up, 2…"
,,,,,,"@JokrCantSpell @reidhoffman Thanks Anton, great idea."
,,,,,,"RT @reidhoffman: Another gem from this week's @MastersofScale? @Stewart's advice to always end things well with your employees. This isn’t…"
,,,,,,"RT @SanketAtal: Priceless skill ! @mastersofscale #Slack https://t.co/5qLCgXeGCg"
,,,,,,"@AdamMitcheson @reidhoffman @peterthiel Thanks for listening Adam!"
,,,,,,"RT @jenyosef: There is a power in telling a story and making your audience believe in it is @mastersofscale #MondayMotivation #Slack https:…"
,,,,,,"@AdamLeidhecker @HashtagsPod @hellocoplex @reidhoffman Thanks for the rec Adam!"
,,,,,,"“What do you do with an idea that isn’t working? You kill it.” 
-@ReidHoffman in The Big Pivot, Episode 13 of… https://t.co/4UecNcfdMw"
,,,,,,"RT @reidhoffman: How did @Stewart start with two video game companies and end up with @Flickr and @Slack? He knows when to pivot. You can,…"
,,,,,,"RT @SlackHQ: Storytelling, good will, and a little derring-do: Hear how Slack's CEO @Stewart Butterfield led two teams through big pivots i…"
,,,,,,"RT @efLDN: Mark Zuckerberg gave a terrible pitch but @PeterThiel and @ReidHoffman invested in Facebook anyway. Learn why on Ep. 11 (“Escape…"
,,,,,,"@aaronhughellis Glad to hear it, Aaron! Which part of the episode was most useful?"
,,,,,,"RT @ericschmidt: Masters of scale season 2 is live today.  Enjoyed my discussion with @reidhoffman, and now new lessons for entrepreneurshi…"
,,,,,,"RT @codybarbo: @mastersofscale by @reidhoffman is a must for entrepreneurs https://t.co/eCKXX58OT0"
,,,,,,"RT @reidhoffman: Mark Zuckerberg gave a terrible pitch. But @PeterThiel and I invested in Facebook anyway. Learn why on Ep. 11 (“Escape the…"
,,,,,,"RT @ApplePodcasts: Excellent advice for entrepreneurs, @mastersofscale is back for season 2. Learn how to take your business from zero to g…"
,,,,,,"RT @markpinc: I love @mastersofscale. Congrats @reidhoffman and thx for surfacing so many lessons."
,,,,,,"@peytonreaves Thanks Peyton!"
,,,,,,"RT @reidhoffman: Years before Diane Greene became Google’s Cloud Chief, she laid the foundations of cloud computing as Co-founder of VMware…"
,,,,,,"RT @cindygallop: We love. Let's see many more Mistresses Of Scale. @mastersofscale @reidhoffman #changetheratio #diversity https://t.co/yhH…"
,,,,,,"RT @designVRllc: @reidhoffman @cheddar @mastersofscale Good stuff cooking at the @mastersofscale podcast with the #Yoda of our times, @reid…"
,,,,,,"@skaragiannis @JohnTChambers Thanks for the suggestion Sotiris!"
,,,,,,"RT @milk: One of the best podcasts for entrepreneurs. Masters of Scale is back. @mastersofscale  https://t.co/LY3lJOMx4E"
,,,,,,"Intrigued by the theory in today's episode? @reidhoffman shares more thoughts about ideas that come at you sideways… https://t.co/BMoieO5w0F"
,,,,,,"“Don't you know software's dead?” - Diane Greene on what she heard when she pitched VMware in the late 90s. Heard i… https://t.co/Bphp7kTVEX"
,,,,,,"RT @andrewrsorkin: This is a great listen. Fascinating convo. Nice @reidhoffman! https://t.co/1ZR1dtMAlQ"
,,,,,,"RT @davemorin: Really impressed with the quality of @reidhoffman’s new @mastersofscale podcast. Listen to his conversation with @peterthiel…"
,,,,,,"RT @reidhoffman: The best business ideas? They come at you sideways. On today’s episode of @MastersofScale — yes, two in one week! — I talk…"
,,,,,,"Hear what excited @reidhoffman and @peterthiel in Mark Zuckerberg's first pitch for investment in Facebook. Spoiler… https://t.co/ck6ZITBh76"
,,,,,,"RT @reidhoffman: ""I don't believe you have to be the singular owner of a market to be successful.”
—Rockstar banker-turned-baker @umberahma…"
,,,,,,"RT @narendra: Who knew @reidhoffman has a damn fine radio voice!  Enjoying some @mastersofscale..."
,,,,,,"Go to Stanford✅
Get into law school✅
Land a job @ top law firm✅
@peterthiel was winning everything. But then he rea… https://t.co/1nDOdqZsgU"
,,,,,,"RT @reidhoffman: “We needed to achieve escape velocity.” Great clip from Peter Thiel on this week’s @mastersofscale podcast. Full episode:…"
,,,,,,"RT @joshelman: This is a great listen between two friends who met in college and went on to have incredible impact in the world https://t.c…"
,,,,,,"RT @LeahFessler: spoke with @reidhoffman and he shared the most important insight he has learned on his podcast @mastersofscale (hint: @bch…"
,,,,,,"Today, @reidhoffman’s old friend, @paypal colleague &amp; sparring partner @PeterThiel joins #MastersOfScale to talk co… https://t.co/iROEiGF1VJ"
,,,,,,"RT @joeoptions: Escape the competition. @mastersofscale https://t.co/0II1nvt2ZG"
,,,,,,"@willsampls @reidhoffman @peterthiel Noted! 🙂"
,,,,,,"@caffe_makiato Thanks for tuning in, Edwin!"
,,,,,,"RT @reidhoffman: “Competition is for losers.” @PeterThiel says this and I mostly agree. We talk competition, startups and PayPal (but not p…"
,,,,,,"RT @TomPJacobs: One of the best podcast episodes I’ve ever heard. Escape velocity. Invent your own game. Cronuts. https://t.co/LMQRYxcwt1 @…"
,,,,,,"@TedKenney207 Thanks Ted. We're keeping a tally of the Reid v. Peter votes... Stay tuned here for updates."
,,,,,,"@aelhawli1 @bchesky @reidhoffman 😊"
,,,,,,"Entrepreneurs, @reidhoffman wants to know: How can you define your market so you're escaping the competition, rathe… https://t.co/S24dmLwtMD"
,,,,,,"Share the stories that can help entrepreneurs everywhere. New season of Masters of Scale #podcast - now live!… https://t.co/6UsaFq2O8R"
,,,,,,"@techlondonio Thanks! Excited to join the community."
,,,,,,"@RY_Scientist Hi Rohit! We haven't released video yet, but appreciate the request. We'll keep you posted when we st… https://t.co/zKLFmiNmSB"
,,,,,,"@sdotguenin @bchesky @reidhoffman https://t.co/ATWoFZMRTt Thanks for checking it out!"
,,,,,,"@tanoojp Thanks Tanooj! Can't wait to hear what you think of the new episodes."
,,,,,,"RT @bchesky: New season of @mastersofscale with @reidhoffman starts today and entrepreneurs will find the series invaluable"
,,,,,,"@willfleiss @reidhoffman @ThunderclapIt @davidcascino Thanks for bringing the thunder Will :)"
,,,,,,"RT @GreylockVC: On new @mastersofscale, @peterthiel teaches #entrepreneurs not to compete w competitors but to have no competitors. https:/…"
,,,,,,"Hi Twitter 👋 we're back with a new episode in the morning... Any guesses on which famous founders will be sharing w… https://t.co/9NKuMpdfWI"
,,,,,,"RT @reidhoffman: I rarely agree with my friend @peterthiel but always respect him. Thrilled he's on tomorrow's @mastersofscale season premi…"
,,,,,,"Tomorrow: We’re back with Season 2 &amp; it starts with a bang... Literally. (You’ll see) Subscribe now &amp; hear it first  https://t.co/tv8rr4ugY4"
,,,,,,"@swapnilad @ThunderclapIt Thanks Swapnil!"
,,,,,,"@denistodirica @ThunderclapIt Appreciate you, Denis!"
,,,,,,"@RGeaux @ThunderclapIt Thanks, Rob!"
,,,,,,"@startupfndtn Thanks! Thrilled to be part of the group!"
,,,,,,"@Lindstroem_K Thanks Kristoffer! Can't wait for you to hear the new season :)"
,,,,,,"@villis85 In two days!"
,,,,,,"We're back Wed with a new season! Help episodes reach #entrepreneurs who need them. Join our Thunderclap campaign! https://t.co/tpkVg9R19Z"
,,,,,,"@_HPNTK Five days!"
,,,,,,"RT @krishnansriram: Best part of my commute is listening to unplayed episodes of @mastersofscale. I have started replaying them now and tak…"
,,,,,,"@rhopen @reidhoffman Thanks, Rich! We're back Wednesday with new episodes."
,,,,,,"RT @afromusing: Which city will claim the title of “The Next Silicon Valley?” Find out ep.9 @MastersofScale + my 2 cents from 🇰🇪 https://t.…"
,,,,,,"RT @pjrabice: New favorite podcast, @mastersofscale with @reidhoffman. Great interview with @netflix founding CEO Reid Hastings. https://t.…"
,,,,,,"@Davejules @tristanwalker Wednesday!"
,,,,,,"@abreu_adrianna @reidhoffman @ThunderclapIt Thanks for supporting, Adrianna!"
,,,,,,"RT @pedroneiraf: Where's the next #SiliconValley ? Amazing podcast on @mastersofscale by @lindarottenberg from @endeavor_global https://t.c…"
,,,,,,"@AdamPaciorek @hassanLhage We're back with the new season next week!"
,,,,,,"@hassanLhage Hey Hassan thanks for listening! We're in between seasons right now, but will be back with weekly episodes later this month."
,,,,,,"RT @iannock: Netflix CEO Reed Hastings has no office, hardly needs a laptop – Business Insider https://t.co/BG219sr3Js"
,,,,,,"@Davejules @tristanwalker We're excited to release that one! It's definitely in the lineup and we'll shoot you a note when it's coming up."
,,,,,,"New today: @mastersofscale uncut interview feat. Netflix' Reed Hastings on company culture, focus &amp; more! Listen:… https://t.co/bADbtazMVt"
,,,,,,"@brechtdonckels Hey Brecht thanks for listening!"
,,,,,,"RT @CrisisTextLine: What are @nancylublin's 3 rules for hiring? Listen to her uncut @mastersofscale interview: https://t.co/4QEsMLzYPe"
,,,,,,"""With age comes wisdom, but with wisdom comes less creative problem-solving."" https://t.co/xf9rfDQLi0"
,,,,,,"RT @AlexLuxenberg: New sign on my screen inspired by @mastersofscale interview with Mark Zuckerberg https://t.co/AQlzJdeusm"
,,,,,,"Excellent! Great spot for a reminder. https://t.co/btJXsEsy0i"
,,,,,,"RT @peterladka: The only thing I've binged on harder than Breaking Bad @mastersofscale https://t.co/KjbiPbbuTm"
,,,,,,"RT @breatheHR: Make the commute productive by listening to one of these top 10 business podcasts. Ft. @mastersofscale &amp; @tferriss: https://…"
,,,,,,"RT @reidhoffman: What did Airbnb CEO @bchesky ask Santa for as a kid? Poorly designed toys. So he could redesign them. Hear more: https://t…"
,,,,,,"@jakeanthony91 Bonus episodes and interviews come out every Wednesday and we'll be back with season 2 in Oct. Thanks for listening!"
