NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
mayli,6317,25539,"Design / prototyping / art / invention / evolution. Long-term research, design VP @khanacademy. Formerly @apple. Dancer & DJ. Brown & proud.",274223,1782,"Nerd snipe warning https://t.co/m94tr5yRq0"
,,,,,,"@Namastaywoke does it also do emotional labor tho"
,,,,,,"RT @JoshuaMound: A fun part (no...really) of being a historian of tax politics/policy is that I’ve done tons of research — looking at distr…"
,,,,,,"RT @FedericoArdila: Mathematicians have feelings too. https://t.co/6LoKNX3ykW"
,,,,,,"@FedericoArdila Wtf you can’t make that shit up dude"
,,,,,,"I can’t tell whether new places in the neighbourhood are cafes or dispensaries anymore they look more and more the same"
,,,,,,"If I started a jam company I would call it Slow Jam

It would have a bit of spice in all the flavors"
,,,,,,"@purpleyay Whoah congrats!!!"
,,,,,,"I see so much creative possibility here. Very excited to play with it! https://t.co/HMVw7WAn0W"
,,,,,,"@ClintSmithIII This continues to be evergreen"
,,,,,,"@EricHaywood https://t.co/xz9Vp8MWs7"
,,,,,,"RT @SashaLaundy: The best debugger ever made is a good night's sleep."
,,,,,,"No matter how cutting edge people’s research might be, they still wind up dealing with 2017 A/V 

#irony 
(At this… https://t.co/zr3CUEivc9"
,,,,,,"@anildash My dad used to smack my hand if I reached it anywhere near the monitor. To this day I still have visceral… https://t.co/gDuJXkZWNN"
,,,,,,"@missmodular Yep still in therapy"
,,,,,,"This makes me think of @burstofbeaden https://t.co/hAX6CsYjqR"
,,,,,,"I like this thread a lot. One of my undergrad professors hammered this home to us one lecture:

“Simple does not me… https://t.co/eIBwSYKQKP"
,,,,,,"@Blackamazon Yasssssss"
,,,,,,"@mattwhitlockPM Linear video editing with no memory buffer"
,,,,,,"@Ben_Reinhardt Ideally, both. And I’d argue some people haven’t left old temporal bubbles due to their social bubbles."
,,,,,,"@aral @RBReich Have you seen Inequality for All? Another good @RBReich film to watch"
,,,,,,"@raju @NPR Great article. This goes for at home too. I’m very explicit with the team that we are no home for savior… https://t.co/SSvRtxW1p4"
,,,,,,"@johnresig guess this makes you a grandpa ; ) I feel like your kid takes after their dad &lt;3 https://t.co/zJf7cxAK2I"
,,,,,,"@marcelocoelho @medialab @formlabs Congrats Marcelo!"
,,,,,,"@KarlSainte I was geeking out on some traditional music from the Colombian Pacific and found out that even on tradi… https://t.co/6zXIhKNb6G"
,,,,,,"@KristyT @KarlSainte @naima Yeah, my co-DJ @BrwnAllAround has amazing names for his crates and his playlists. That’… https://t.co/nOhJh2kSIC"
,,,,,,"@KarlSainte @KristyT @naima Scarred has special build up tho :) I performed to that track at the opening of a Busta… https://t.co/6hvyP3YeeP"
,,,,,,"@KarlSainte @KristyT @naima As a DJ I have a virtual crate called “dramatic beginnings” and depending on the contex… https://t.co/vOPyZsWc5g"
,,,,,,"@ejacqui Yeah in my school they did the Sound is Music one year and cast only white blond kids for the family despi… https://t.co/5watWoDSDU"
,,,,,,"Thread. For anyone wondering, that is in fact a popsicle stick with some play-doh on the end of it. And it works.… https://t.co/LNSfQr7dOR"
,,,,,,"Great fodder for a math lesson and cautionary tale on the use of averages — even the way we use the word “average”… https://t.co/HUBwZ3FCEi"
,,,,,,"@FedericoArdila @IBJIYONGI 💖💖💖"
,,,,,,"Dear creative people &amp; researchers,

Make friends with the part of you that tells you your work isn’t good enough.… https://t.co/wyySb8fUc0"
,,,,,,"To be clear: this is for everyone! I’ve had to explain a lot to my family also. (May seem ironic but it’s true; it’… https://t.co/rSFGZ1q1IR"
,,,,,,"@Ben_Reinhardt How about undo"
,,,,,,"@blinkpopshift 💕 shout out to your mom"
,,,,,,"@blinkpopshift We are all very fortunate that you stuck it through. 

I always wonder what the ratio is between who… https://t.co/2VxEyl3r74"
,,,,,,"Great tips in this thread and the article. It’s important work to have these conversations and I’m preemptively sen… https://t.co/PetPD8WYfs"
,,,,,,https://t.co/c6eGZf2BDu
,,,,,,"I navigated harassment from TAs and classmates and abuse in college and still got a 4.9 / 5.0 GPA and two degrees f… https://t.co/MCjXot1Mp5"
,,,,,,"I wonder how we’d account for the loss of intellectual contribution.

Harrassment &amp; abuse starting in middle school… https://t.co/kwiI6oLNNg"
,,,,,,https://t.co/TPZlnx3BtF
,,,,,,"@MikeIsaac Which flavor"
,,,,,,https://t.co/Bnk1U4Eken
,,,,,,https://t.co/4qsh23TPBE
,,,,,,https://t.co/RpcOOvgHOB
,,,,,,"Yes please save it please https://t.co/04Ifzznd39"
,,,,,,"RT @KamalaHarris: This week, the Chairman of the FCC is looking to release new rules that would dismantle #NetNeutrality. This is a direct…"
,,,,,,"@Cabbibo Inside myst"
,,,,,,"@sullivanamy @mathbabedotorg And now many will assume that it did take off because you have an unfair advantage as… https://t.co/CZD3ckZ7Zr"
,,,,,,"It’s going to be increasingly important for democracy &amp; modern citizenry to have power &amp; fluency with data. I’m hon… https://t.co/6oIODrFJF3"
,,,,,,"RT @ncasenmare: ""hey you got swarm dynamics in my coupled oscillators!""
""and you got coupled oscillators in my swarm dynamics!""

TWO EMERGE…"
,,,,,,"@RG803 @fakerapper @Appolition https://t.co/mPqtrwSzZN"
,,,,,,"Yes! Like this. More creative good with tech. It’s supposed to be empowering, but won’t truly be unless we make it… https://t.co/USBTV64eZw"
,,,,,,"I wound up teaching some future lady DJs tonight 

(It’s amazing how much kids can learn from DJing… rate, wave vis… https://t.co/1UNN7XJ9W5"
,,,,,,"@joyding @joeyhagedorn"
,,,,,,"I love the fact that the ad starts by saying “You’re a welder”"
,,,,,,"@joeyhagedorn I know right"
,,,,,,"Twitter is giving me ads for MIG welders. Not sure why, but I’m experimenting with faving them, even though I haven… https://t.co/XWU8rxgulO"
,,,,,,"RT @DanielleFong: Let the records show that nobody ever funded Leonardo da Vinci at anything like the level of the price of a single one of…"
,,,,,,"@mjyazzie Love my team for jumping right on it too! They filed some great bugs, and I was able to send it straight to people operations :)"
,,,,,,"@mjyazzie I literally made a bug queue"
,,,,,,"@mjyazzie Agreed; the incentive systems have to support the value, otherwise when push comes to shove, it’s all tal… https://t.co/odYe0Ft9WS"
,,,,,,"@erin Hehehehehe"
,,,,,,"@pifafu omg haha you’d get through so many"
,,,,,,"I kind of liked the ritual, just not the cigarette smoke! so anyway. I think about this still when I see people smoke (cigarettes)"
,,,,,,"when I first started out as a designer, so many designers smoked. important design discussions &amp; decisions would ha… https://t.co/CdrOemoQsk"
,,,,,,"goofy product idea: breatherettes

problem: we forget to breathe deeply

solution: small tubes that we take outside… https://t.co/mj2jkUgntA"
,,,,,,"@marazepeda Wish I could be theeeeerrreeeeee"
,,,,,,"@wolfchirp @robinsloan @kiyash Omg"
,,,,,,"@tankcat And cultural appropriation"
,,,,,,"I’ve survived 20 years and wonder: 

- How the number may have changed over time (the generation of women before me… https://t.co/wCYznnF0dv"
,,,,,,"@vegbby 9) yeah! That’s what I said just a minute ago. Glad you agree.
10) yeah! That’s what she said just -a minut… https://t.co/pr5p2e7ftp"
,,,,,,"RT @mrgan: @mayli Follow-up tip: if you don’t know how to pronounce it, ask, then give it your best shot. Don’t make it look like a chore i…"
,,,,,,"@mschoening Awww I love the ö"
,,,,,,"Meta for this: take the time to get your teammates’ names right both in writing and pronunciation. 

I, for one, do… https://t.co/kIfWAMlrS3"
,,,,,,"Diversity &amp; Inclusion tip: if somebody has an “ñ” in their name, use it, &amp; do so accurately. In other words: get pe… https://t.co/L5o8FCUogs"
,,,,,,"I wish more humans would adopt the practice of checking for understanding, even in casual conversation.… https://t.co/Al3fgQF1CE"
,,,,,,"@jeremydomasian So much! Thanks for that. I was looking to repin it and you helped me do that :)"
,,,,,,"@raytraced Aw nice yeah. I remember seeing my mom reading that when I was a kid, and now as an adult, it helps me a… https://t.co/VJvqWROKL8"
,,,,,,"@DevinBalkind Can’t lie; I was enjoying my own personal game of using clues to play “Where In The World Is That Rec… https://t.co/z4sbb0j3nq"
,,,,,,"Never underestimate children’s authors https://t.co/HrbF6YXUa9"
,,,,,,"@themikestern Love @Procreate !!!"
,,,,,,"@samim My dad would congratulate you were he still alive"
,,,,,,"RT @tressiemcphd: Zeynep told you. https://t.co/M3vTroo7BZ"
