NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
michastweet,4,1,,112,0,"Trevor Noah eröffnet Trump Twitter Library: Die Kunst des ""covfefe"" https://t.co/FknBt8OkOG via @SPIEGELONLINE"
,,,,,,"RT @BR_quer: Dringend gesucht - bitte teilen: https://t.co/bdZqyrq6zd"
,,,,,,"tach auch. bin wieder da"
,,,,,,"zwitscher. wann endlich!"
,,,,,,"Morning everybody"
,,,,,,"2.678.400sec already over. Invest 60min to figure out what to do with the remaining 8760hours! https://t.co/LCu5hqP8"
,,,,,,"Every brand has a lifetime (except Coca Cola perhaps) http://t.co/JyO0wQqn"
,,,,,,"have a nice day!"
,,,,,,"Sharks are in trouble: http://t.co/asTApJb via @AddThis"
,,,,,,"www.HRS.de | Hafen Hamburg****, Hamburg, http://www.hrs.de/web3/hotel.do?l=de&hn=346 Meine Wertung: 2/10 Punkte, Gesamt: 7/10"
,,,,,,"@justinsandercoe:take two drives (2x1TB) and setup a mirror. also care for backup (at least another 1TB (timemachine)). save=redundancy"
,,,,,,"@justinsandercoe Looking forward to it :-)"
,,,,,,"@justinsandercoe: hope you feel better now. comeback on guitar after 20y. chords I memorized but never understood til ur musictheory"
,,,,,,"RT @COMPUTERWOCHE Bubbles in OpenOffice3.2 came just in time. Use them since 2 days. http://bit.ly/aljYrW"
,,,,,,"Culture and Technology need to be in sync. Problem: Techno changes faster than culture. http://www.spiegel.de/spiegel/0,1518,665806,00.html"
,,,,,,"work wireless everywhere and buy cars to get there. ... and build more roads of course. how about education? we need more thinking."
,,,,,,"Do you also commute daily to office to phone and email? Is this 21st century?"
,,,,,,"@IndustryWeek less overlap compared to big blue. finally sun is the sw-company jonathan wanted it to be. less open source/more $ with larry."
,,,,,,"Krisen machen retro / 20er-Jahre Look, Investieren in Dividende / Wenn es nicht weitergeht schaut der Mensch zurück und recycled alter Ideen"
,,,,,,"@MatthiasAdel ich bin drin! das war ja einfach...  ich folg dir mal :-)"
,,,,,,"thanks tulle for this new tamagotchi :-)"
,,,,,,"starte meinen neuen tweed online-anzug 06.04.2009 00:38/mal sehen ob er passt/und jetzt ist schon schluss mit diesem textfensterchen. nacht."
