NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
minironaldo19,34544,36857,"Griffs • @cristiano",2194703,121,"RT @Fergie: happy birthday bitch !! #itsbritneybitch 💝💝 @britneyspears"
,,,,,,"@kyliemurphy_ No problem girly😊💕"
,,,,,,"RT @Pontifex: May the wisdom of God help us to know how to welcome and accept those who think and act differently from us."
,,,,,,"Wanna be your blessing"
,,,,,,"RT @gucci1017: It's Decembrrr 🎅🏾"
,,,,,,"@kyliemurphy_ so many worse pictures I found, hard to believe these are some of the better ones😬😂 I miss you, you w… https://t.co/TuAQH7nGnT"
,,,,,,"RT @marshmellomusic: I’ve been silent for too long"
,,,,,,"RT @AlbertaSoccer: Another incredible year for @AlphonsoDavies  - congratulations on your nomination! https://t.co/vVHP58ftjv"
,,,,,,"RT @InterEdmonton: San Diego Surf Cup success! The competition was superb! The tournament was amazing! Coach's phone is ringing off the hoo…"
,,,,,,"@InterEdmonton Congrats girls !!😍💙"
,,,,,,"RT @Cristiano: ❤️ https://t.co/9lbC3DzpEm"
,,,,,,"RT @elegantclothe: OMG I WANT THIS DRESS!! 👰💗💕 https://t.co/60qXDdIEJm"
,,,,,,"RT @gucci1017: Be a blessing to someone"
,,,,,,"@evecchio18 @TimHortons Extra flavour👅"
,,,,,,"@renetakats Happy birthday 😍❤️"
,,,,,,"@liylakamel  HAPPY 18TH MY BEAUTIFUL BABY😍😘❤️ I love you to death and I hope you have the best year ever!! I miss y… https://t.co/9JuZJMo8Oc"
,,,,,,"@sambourbonnais 😱😱😱🤤🤤🤤😍😍😍😍"
,,,,,,"@sambourbonnais happy birthday babes!!!! Hope you have an amazing day!!!!😍💕❤️🥂"
,,,,,,"RT @selenagomez: Wolves video x @marshmellomusic is out now! Watch it first on @applemusic. 🐺 https://t.co/gKCG3e9ef0 https://t.co/yaBVR97D…"
,,,,,,"RT @hiitaylorblake: She's been missing for 3 weeks now. Please RT, imagine if it were your mom. https://t.co/Rp0BXALd2w"
,,,,,,"RT @GoldenKnights: Edmonton Had: The Great One
We Have: The Nate One

🎩🎩🎩🎩 https://t.co/d76uqTbI18"
,,,,,,"RT @GoldenKnights: they got a goal on us but it wasn't mcdavid so we're still overachieving:)"
,,,,,,"RT @GoldenKnights: mcdavid hasn't scored on us yet we must be better defensively than people give us credit for😊"
,,,,,,"RT @GoldenKnights: Reminder: Only 60 more days until we get a crack at the Oilers in our place. Until then, we'll be petitioning to get the…"
,,,,,,"RT @GoldenKnights: On nights like this, it’s always reassuring to remember that what happens in Edmonton stays in Edmonton✌️ https://t.co/W…"
,,,,,,"@kendramccourt_ Yes please😍😂😂❤️"
,,,,,,"@kendramccourt_ HAPPY BIRTHDAY BABY!!!!💕💕💕💕 I love you so much!!!! You’re finally 18!!😍 I miss you so much and love… https://t.co/PJPd6Qe3D4"
,,,,,,"RT @marshmellomusic: You and Me 🤤"
