NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
nancyleong,9469,4171,"Professor at U Denver Law. @stanfordlaw alum. Teach & research constitutional law & civil rights.",1136456,3963,"RT @BarristerSecret: As a lawyer, I can confirm that I frequently compose tweets confessing to crimes and send them from my clients’ twitte…"
,,,,,,"RT @surt_lab: 🐱 1
🎄0"
,,,,,,"RT @law_soc: The Center for Law, Society &amp; Culture and the Indiana University Maurer School of Law invite applications from scholars of law…"
,,,,,,"RT @CharlotteGarden: (Infuriating) thread on the tax bill and paid family leave: https://t.co/UIUpicDiVP"
,,,,,,"As a lawyer, I would love for you to continue tweeting about this ongoing investigation. https://t.co/sDPa2k6KG8"
,,,,,,"The programs at science conferences are different #ASCBEMBO17 https://t.co/d5ZO94WPVp"
,,,,,,"Says @AndyMcCanse: ""We know from public reports that Flynn has a ton of criminal exposure,  and yet he’s pleading g… https://t.co/7XveNDpnB8"
,,,,,,"RT @CBHessick: Given all of the information that's been reported about Flynn's wrongdoing--and that he almost certainly bargained for no ch…"
,,,,,,https://t.co/TNIKP5F0fI
,,,,,,"RT @kalhan: in fairness, this one's a tax hike too https://t.co/nfQlK6d8D4"
,,,,,,"RT @CatherineNCrump: Hey @DavidColeACLU, does the ACLU have any women attorneys who will argue before the Supreme Court this term? Not on t…"
,,,,,,"RT @matthewharrison: i keep thinking about all the industries where the high profile sexual predators aren’t being fired or resigning, like…"
,,,,,,"THREAD. Disgusting child molesters are drawn to one another, I guess. https://t.co/oRX2JRkoaW"
,,,,,,"This story is shocking even by 2017 standards. https://t.co/Av5TUe5gWB"
,,,,,,"Back in July, I wrote for @ShallTakeCare about the felon reenfranchisement law that is making @MooreSenate feel so… https://t.co/9pARFR7G0B"
,,,,,,"pretty sure moral turpitude still includes sexual assault and child molesting tho 😬
#awkward"
,,,,,,"@MooreSenate Specifically, the law clarified the definition of “moral turpitude.” Only felonies demonstrating “mora… https://t.co/RbMiRp2ze5"
,,,,,,"Dear @MooreSenate, if you actually read the article you linked, you would learn that back in May the Alabama legisl… https://t.co/NkSlHoT9O3"
,,,,,,"Bills by both D &amp; R legislators in Michigan would help #domesticviolence victims: would protect wages &amp; benefits; p… https://t.co/4WopL0hCjt"
,,,,,,"Remember when Matt Lauer was disgusting to Anne Hathaway back in 2012? No one should be surprised by what happened… https://t.co/PErc6v6ap9"
,,,,,,"What even to say about this story of an old man with Alzheimer's and his cat? The last picture especially. https://t.co/f59yjmQGTS"
,,,,,,"RT @davidaxelrod: The @POTUS this morning retweeted unverified, inflammatory anti-Muslim videos posted by a neo-fascist party in Britain.
T…"
,,,,,,"RT @ananavarro: Matt Lauer lost his job.
Charlie Rose lost his job.
Mark Halperin lost his job.
Glenn Thrush lost his job.
Billy Bush lost…"
,,,,,,"RT @Shakestweetz: And let us once again return to the question of whether misogynistic, objectifying men covering the election made a diffe…"
,,,,,,"RT @Shakestweetz: My surprise about Matt Lauer is fucking zero, since he was a disgusting lech to Anne Hathaway right on live television. H…"
,,,,,,"RT @JillFilipovic: Does this go for abortion too or do a lot of men still have thoughts on that? https://t.co/JX51OsvYWq"
,,,,,,"RT @JoshuaADouglas: I just donated to this great organization, which is, one-by-one, helping to enfranchise voters who face obstacles becau…"
,,,,,,"cc @realJohnFKelly @whitehouse have you tried this yet https://t.co/5YZfnxCcM3"
,,,,,,"RT @nancyleong: THREAD. Three things everyone who cares about our democracy should read today:"
,,,,,,"RT @IlyaSomin: Famous law professors on both right and left are advocating court-packing. Here’s why that’s a terrible idea. https://t.co/c…"
,,,,,,"3. For the long view on white supremacy and willful obliviousness by white people: read this by @AdamSerwer. This i… https://t.co/1kHHnsOFPM"
,,,,,,"2a. I’m not kidding, read the @Richard_Primus piece. Every word. And ask yourself if this is the America we want.… https://t.co/arrlsfXjxe"
,,,,,,"2. This @HarvLRev blog piece by @Richard_Primus explains in clearest terms why court-packing flies in the face of c… https://t.co/7iwxBiBbE7"
,,,,,,"1. This piece by @sarahkendzior is the best big-picture explanation of the current threats to our democracy.… https://t.co/8pkyHqViFM"
,,,,,,"THREAD. Three things everyone who cares about our democracy should read today:"
,,,,,,"""'Nazis are so normal' is not a responsible storyline when you are quoting Nazis talking about how being normal hel… https://t.co/a82Xk0E0h9"
,,,,,,"RT @saletan: I sorted all the Roy Moore evidence in this @Slate piece so nobody can hide behind ""He denies it."" Moore molested kids. Either…"
,,,,,,"@CharlotteGarden WHOA IF TRUE https://t.co/XrGvpEVMpW"
,,,,,,"@ProfSamKamin @smotus @AdamSerwer @TheAtlantic ""pedophile Senator-elect"""
,,,,,,"@smotus @AdamSerwer @TheAtlantic ""Nazi puff piece"" is maybe the most 2017 phrase yet"
,,,,,,"This thread is A+. Read it, share it.

The only thing I’d add: maybe NYT could have NOT linked to the website peddl… https://t.co/bFm00FGEu4"
,,,,,,"RT @greenfield64: This is an extraordinary cry of despair, especially given Gen. Hayden’s career and staunchly conservative views. https://…"
,,,,,,"RT @sarahkendzior: Three major policy shifts are set to decimate US democracy:
1) Gutting of net neutrality
2) Packing of courts
3) Comprom…"
,,,,,,"RT @kkelkar: One of the toughest things for white ppl to do is ignore impulses to be defensive, listen to how they affect other people and…"
,,,,,,"RT @TheTattooedProf: Got all these ""if you don't understand Nazism how can you defeat it"" and ""just listen to their ideas"" people in my men…"
,,,,,,"RT @SKhojaMoolji: My latest for @AJEnglish on why we shouldn't be too quick to celebrate the hijab-wearing #Barbie. Drawing on @SaraNAhmed…"
