NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
nikkiguardi,12463,4360,,620057,208,"RT @jessscolfer: Buttoning ur body suit when ur drunk https://t.co/RefToCX0L5"
,,,,,,"RT @LeBearGirdle: Deer population is controlled by releasing wolves into an area. All problems should be solved that way. Too much pollutio…"
,,,,,,"RT @chancetherapper: In the future, the titles “Father” and “Zaddy” are both acceptable.
 https://t.co/ofv2BZ9cSy"
,,,,,,"RT @kaylavanw: YOU MEAN HARVARD LAW GRADUATE AND POWERFUL NEW YORK ATTORNEY MIRANDA HOBBES? I'M ALL IN https://t.co/DXQEz04HpR"
,,,,,,"RT @ezekielfiguero: i still can't believe that people with 20/20 vision just .... see. no glasses no contacts no squinting to make ur eyes…"
,,,,,,"RT @KidCudi: I LOVE YOU!!!"
,,,,,,"when ur @dominos app says ""delivered"" and it wasn't delivered even though you paid for it https://t.co/WbgJZ6kB2u"
,,,,,,"RT @ameliuhhh: living in florida be like https://t.co/WhSoozaOCN"
,,,,,,"RT @livelokai: @nikkiguardi Thanks for the support, keep living Lokai :)"
,,,,,,"@NancyRichmond social media has created a shift in the way that businesses can interact with their consumers… https://t.co/KnSClLx5ko"
,,,,,,"@NancyRichmond @livelokai is doing an exceptional job at humanizing their social media marketing creating high prod… https://t.co/ORc7j7skAP"
,,,,,,"RT @NancyRichmond: Hello all from @FIU Join our Twitter Chat. #LeadersGetSocial https://t.co/deMC6fwfyK"
,,,,,,"@NancyRichmond when focusing on your target audience's needs and desires comes authenticity #LeadersGetSocial https://t.co/fkpRq0iUTt"
,,,,,,"@NancyRichmond greatest value of social media marketing is the ability to foster &amp; engage with a widespread communi… https://t.co/3I7tCcOMPR"
,,,,,,"@NancyRichmond through social media organizations can humanize their brands and wow their consumers https://t.co/vdcynkFmqL"
,,,,,,"My followers live in USA (12%), India(6%)... Get your free map: https://t.co/jX6RsKvL5a https://t.co/bPtymg0ki8"
,,,,,,"""If content is king then culture is checkmate."" @equalman #LeadersGetSocial"
,,,,,,"@gohomemelina your tweets are pure genius"
,,,,,,"RT @gohomemelina: every man I ever cared about has a baby or is still acting like one"
,,,,,,"RT @andrewrotondi: ""West Palm girls are spoiled rotten"" 😂 #VIEWS https://t.co/Boqakh5pDu"
,,,,,,"RT @gohomemelina: Drake could've released 45 min of him heavily breathing over beats and I would still be in the streets screaming that it…"
,,,,,,"RT @BestMakeupTuts: Me after I'm done filling in my brows. http://t.co/piXMOS8p7U"
,,,,,,"RT @trevso_electric: Nothing terrifies me more than girls who can hide an entire relationship from social media until the day they're engag…"
,,,,,,"RT @CristinaHernn: can Florida stop being hotter than the 7th level of hell"
