NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
noch2x,136,116,"Forever Standing Alone 💰🔋",848731,27,"And Remain Humble https://t.co/xqGJH5sqW0"
,,,,,,"RT @BIackKodak: get u a shawty w/ resting bitch face that only smiles at u"
,,,,,,"RT @GGYOUNGBOY: Up’s in down’s is a way of life make sure you stay real &amp; supportive threw it all"
,,,,,,"I’m so antisocial i will look u dead in ya face and not speak 😂😂 idgaf 🤷🏽‍♂️"
,,,,,,"RT @GGYOUNGBOY: So sick of being alone in unbalanced times ⛈"
,,,,,,"RT @GGYOUNGBOY: A Real friend gone be there no matter what a real girl gone stay the same no matter what"
,,,,,,"From ""come over"" to ""come home"" is a real relationship goal 🙌🏼🙌🏾"
,,,,,,"Can’t wait to fall in love with someone who can’t get enough of me"
,,,,,,"@highsiditttty @noch2x"
,,,,,,"RT @amour_erykah: Elevation Requires Separation 💯"
,,,,,,"RT @LilBibby_: I’d rather have 4 quarters than 100 pennies"
,,,,,,"Life without weed is like waking up dead 💀😂"
,,,,,,"Analyze the situation before you act, and show no emotion when you know the facts 💯"
,,,,,,"All that fake shit you doing, i don’t feel it"
,,,,,,"RT @highsiditttty: I need a trip somewhere tropical &amp; relaxing I keep taking trips to other hoods lmaoooo"
,,,,,,"@highsiditttty Probably 😭"
,,,,,,"Man on my life i be salty 🤕 https://t.co/aKMMyQjorF"
,,,,,,"RT @lildurk: I choke her cause Ima buy her chokers 💙🇮🇳🦅💎 @prettyindie https://t.co/TquxLq1R3M"
,,,,,,"i ain’t had sex since sex had me 😂"
,,,,,,"RT @thatsrealcuteee: I love being high😂"
,,,,,,"If we “talking” you only need to be talking to me, bitch 🗣🗣🗣"
,,,,,,"Dick her down 💪🏿, eat her pussy, 👅suck her nipples, 🤱🏾👅put her first, ✊🏾stay loyal 🤞🏾, make her smile , spoil her , ❤️💯"
,,,,,,"My thanksgiving was so ass 💩☹️🤦🏽‍♂️"
,,,,,,"🤪🤘🏾🤫 https://t.co/JKK6aUL4Th"
,,,,,,"I Never Ask You For Anything 🤞🏾 That’s your Honesty 💙#NewProfilePic https://t.co/1qhbOpQ6LX"
,,,,,,"RT @highsiditttty: If we ain’t finessin bitches into threesomes stay the fuck from me"
,,,,,,"RT @Lecreethegreat_: Bitches be smelling good but burning 🤔 well OK candle 😬🤷🏽‍♀️😂 https://t.co/Dy8aPqc0EP"
,,,,,,"RT @lildurk: I will never play a role to get cool with niggas FUK U"
,,,,,,"I want a Big fine Bitch 🤤🍯🍑🍫"
,,,,,,"Blac Youngsta said ""SHOW ME YO MAMA MADE A HOE"" And Females be like “AYEEEEE"" 😂😂"
,,,,,,"RT @Official_LudFoe: You gotta show luv to get luv 😤💯"
,,,,,,"Facts https://t.co/JlsKlqXys2"
,,,,,,"RT @bombblackgirlss: how im tryna be https://t.co/nzGUiTLmlo"
,,,,,,"Yop https://t.co/VQdaI49E7i"
,,,,,,"Real bitch need a real nigga 🤞🏾💙"
,,,,,,"If l Got $5O.OO And My Shorty only Got $4.OO l Got $54.OO 💯"
,,,,,,"@prettyindie @DemetriAtes00 😭😭 facts"
,,,,,,"You turn you Head they gon Dome you 😷💯"
,,,,,,"RT @lildurk: I been talked bout my whole life i don’t care bout no damn words -"
,,,,,,"Them Perks I Swalllow, Make Me Want You I’m Jus Honest 😩"
,,,,,,"RT @JayyyyHerbo: Mfs Come In &amp; Out My Life All The Time🤣 I’m Use To That It💯"
,,,,,,"RT @APoetWrites: Niggas be having the finest girl in their life and still be eyeballing basic girl .😴shit I’ll never understand"
,,,,,,"RT @highsiditttty: Time flyin"
,,,,,,"@_Mauveee ^^😂"
,,,,,,"😍😍😭 https://t.co/QemFNoQzxG"
,,,,,,"@_Mauveee 😍🤤😭"
,,,,,,"@_Mauveee 🤦🏽‍♂️ Facts cause mf’s don’t know how to keep a conversation 🙁"
,,,,,,"😂😂🤤 https://t.co/XrdRWf3RRY"
,,,,,,"RT @Tunnyking: If you laugh, you'll go to hell 😭😭😭😭😭😭😭😭😭😭😭😭😭 https://t.co/NVlpQ1RXwm"
,,,,,,"Gotta Accept What Come Wit Me Its Alot🖤"
,,,,,,"Believe that 🤞🏾💯 https://t.co/1COuaECBQF"
,,,,,,"RT @highsiditttty: Everybody know me but y’all don’t know me"
,,,,,,"@Southsidepapi1 @highsiditttty 💯🤦🏽‍♂️💔🤮"
,,,,,,"Only if it’s Larosas or pasta bread bowl from dominos! https://t.co/jjYMoEGCOZ"
,,,,,,"RT @og_3three: Just cause you got money that don't make you real"
,,,,,,"RT @og_3three: Life really like a sandwich , either way you flip it , your bread ""ALWAYS "" comes first"
,,,,,,"@MaxT0MI Lmao facts"
,,,,,,"@APoetWrites @__Bmun I fw it 🔥😎🤷🏽‍♂️"
